0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2024091801024601,NABIL,1,4,10,556.00,"5,560.00"
2,2024091801024517,NABIL,1,22,25,556.00,"13,900.00"
3,2024091801024384,NABIL,1,4,10,556.00,"5,560.00"
4,2024091801024383,NABIL,1,49,10,556.00,"5,560.00"
5,2024091801024382,NABIL,1,34,18,556.00,"10,008.00"
6,2024091801024381,NABIL,1,38,100,555.50,"55,550.00"
7,2024091801008402,NABIL,54,43,40,558.70,"22,348.00"
8,2024091801008381,NABIL,59,57,155,558.60,"86,583.00"
9,2024091801008782,NABIL,64,53,272,558.90,"152,020.80"
10,2024091801008683,NABIL,64,26,80,558.90,"44,712.00"
11,2024091801008669,NABIL,45,26,10,558.90,"5,589.00"
12,2024091801008643,NABIL,48,26,400,558.90,"223,560.00"
13,2024091801008588,NABIL,93,26,10,558.90,"5,589.00"
14,2024091801008506,NABIL,8,38,20,558.00,"11,160.00"
15,2024091801009036,NABIL,17,38,20,560.00,"11,200.00"
16,2024091801009035,NABIL,17,36,20,560.00,"11,200.00"
17,2024091801009006,NABIL,21,42,25,560.00,"14,000.00"
18,2024091801008999,NABIL,57,54,20,560.00,"11,200.00"
19,2024091801008785,NABIL,8,42,10,560.00,"5,600.00"
20,2024091801008784,NABIL,8,3,33,560.00,"18,480.00"
21,2024091801009314,NABIL,93,53,10,560.00,"5,600.00"
22,2024091801009292,NABIL,28,1,200,559.00,"111,800.00"
23,2024091801009146,NABIL,64,17,39,558.90,"21,797.10"
24,2024091801009145,NABIL,34,17,10,559.00,"5,590.00"
25,2024091801009055,NABIL,93,33,70,561.90,"39,333.00"
26,2024091801009037,NABIL,17,35,10,561.00,"5,610.00"
27,2024091801009593,NABIL,22,53,100,560.00,"56,000.00"
28,2024091801009552,NABIL,13,53,25,560.00,"14,000.00"
29,2024091801009507,NABIL,52,53,15,560.00,"8,400.00"
30,2024091801009469,NABIL,58,53,25,560.00,"14,000.00"
31,2024091801009341,NABIL,34,53,100,560.00,"56,000.00"
32,2024091801009319,NABIL,13,53,100,560.00,"56,000.00"
33,2024091801009789,NABIL,21,33,34,561.90,"19,104.60"
34,2024091801009734,NABIL,38,53,373,560.00,"208,880.00"
35,2024091801009676,NABIL,11,53,100,560.00,"56,000.00"
36,2024091801009644,NABIL,42,53,50,560.00,"28,000.00"
37,2024091801009635,NABIL,49,53,10,560.00,"5,600.00"
38,2024091801009628,NABIL,55,53,20,560.00,"11,200.00"
39,2024091801009959,NABIL,47,42,10,562.00,"5,620.00"
40,2024091801009868,NABIL,34,38,15,562.00,"8,430.00"
41,2024091801009867,NABIL,34,41,200,562.00,"112,400.00"
42,2024091801009866,NABIL,34,58,182,561.90,"102,265.80"
43,2024091801009846,NABIL,32,58,18,561.90,"10,114.20"
44,2024091801009845,NABIL,32,33,32,561.90,"17,980.80"
45,2024091801010113,NABIL,32,60,483,562.00,"271,446.00"
46,2024091801010112,NABIL,38,60,127,562.00,"71,374.00"
47,2024091801010111,NABIL,17,60,90,562.00,"50,580.00"
48,2024091801010109,NABIL,7,42,15,563.00,"8,445.00"
49,2024091801010108,NABIL,7,4,10,562.90,"5,629.00"
50,2024091801010016,NABIL,17,42,110,562.00,"61,820.00"
51,2024091801010537,NABIL,34,33,50,563.80,"28,190.00"
52,2024091801010510,NABIL,45,4,10,563.10,"5,631.00"
53,2024091801010234,NABIL,1,58,15,563.00,"8,445.00"
54,2024091801010233,NABIL,1,42,425,563.00,"239,275.00"
55,2024091801010203,NABIL,6,42,50,563.00,"28,150.00"
56,2024091801010138,NABIL,93,42,10,563.00,"5,630.00"
57,2024091801010749,NABIL,22,45,70,563.90,"39,473.00"
58,2024091801010710,NABIL,22,19,585,564.00,"329,940.00"
59,2024091801010709,NABIL,22,57,295,563.90,"166,350.50"
60,2024091801010674,NABIL,34,57,105,563.90,"59,209.50"
61,2024091801010624,NABIL,13,19,100,564.00,"56,400.00"
62,2024091801010541,NABIL,35,19,10,564.00,"5,640.00"
63,2024091801010830,NABIL,7,17,110,563.90,"62,029.00"
64,2024091801010807,NABIL,22,17,115,563.90,"64,848.50"
65,2024091801010805,NABIL,22,56,10,563.90,"5,639.00"
66,2024091801010799,NABIL,34,19,53,564.00,"29,892.00"
67,2024091801010794,NABIL,22,56,275,563.90,"155,072.50"
68,2024091801010772,NABIL,22,42,30,563.90,"16,917.00"
69,2024091801011104,NABIL,42,60,90,563.50,"50,715.00"
70,2024091801011103,NABIL,16,60,10,563.60,"5,636.00"
71,2024091801010953,NABIL,43,19,500,564.00,"282,000.00"
72,2024091801010937,NABIL,18,19,10,564.00,"5,640.00"
73,2024091801010936,NABIL,18,17,80,563.90,"45,112.00"
74,2024091801010858,NABIL,17,17,10,563.90,"5,639.00"
75,2024091801011180,NABIL,43,45,10,563.90,"5,639.00"
76,2024091801011168,NABIL,42,5,6,563.00,"3,378.00"
77,2024091801011167,NABIL,55,5,10,563.00,"5,630.00"
78,2024091801011166,NABIL,49,5,14,563.00,"7,882.00"
79,2024091801011165,NABIL,48,5,10,563.50,"5,635.00"
80,2024091801011164,NABIL,42,5,10,563.50,"5,635.00"
81,2024091801011365,NABIL,58,58,20,563.00,"11,260.00"
82,2024091801011363,NABIL,58,25,10,563.50,"5,635.00"
83,2024091801011311,NABIL,4,25,100,563.50,"56,350.00"
84,2024091801011310,NABIL,39,25,150,563.60,"84,540.00"
85,2024091801011223,NABIL,42,19,102,564.00,"57,528.00"
86,2024091801011181,NABIL,43,19,490,564.00,"276,360.00"
87,2024091801011495,NABIL,21,32,83,563.00,"46,729.00"
88,2024091801011465,NABIL,48,6,10,563.50,"5,635.00"
89,2024091801011464,NABIL,48,25,40,563.50,"22,540.00"
90,2024091801011371,NABIL,21,38,117,563.00,"65,871.00"
91,2024091801011370,NABIL,42,38,80,563.00,"45,040.00"
92,2024091801011369,NABIL,58,38,30,563.00,"16,890.00"
93,2024091801011584,NABIL,42,58,70,563.00,"39,410.00"
94,2024091801011583,NABIL,16,58,198,563.00,"111,474.00"
95,2024091801011537,NABIL,16,60,302,563.00,"170,026.00"
96,2024091801011536,NABIL,45,60,198,563.00,"111,474.00"
97,2024091801011499,NABIL,45,59,40,563.00,"22,520.00"
98,2024091801011496,NABIL,45,32,117,563.00,"65,871.00"
99,2024091801011767,NABIL,35,58,10,561.00,"5,610.00"
100,2024091801011766,NABIL,20,58,10,561.00,"5,610.00"
101,2024091801011706,NABIL,32,58,35,562.00,"19,670.00"
102,2024091801011705,NABIL,21,58,45,562.00,"25,290.00"
103,2024091801011665,NABIL,21,38,50,562.00,"28,100.00"
104,2024091801011641,NABIL,21,11,100,562.20,"56,220.00"
105,2024091801011873,NABIL,45,42,2,560.00,"1,120.00"
106,2024091801011872,NABIL,45,26,98,560.00,"54,880.00"
107,2024091801011871,NABIL,34,26,100,560.00,"56,000.00"
108,2024091801011870,NABIL,22,26,10,560.00,"5,600.00"
109,2024091801011869,NABIL,58,26,292,560.00,"163,520.00"
110,2024091801011834,NABIL,58,58,28,560.00,"15,680.00"
111,2024091801012117,NABIL,35,43,16,560.00,"8,960.00"
112,2024091801012103,NABIL,41,43,30,560.00,"16,800.00"
