0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2024091504031956,NGPL,50,32,500,450.00,"225,000.00"
2,2024091504031945,NGPL,50,59,225,450.00,"101,250.00"
3,2024091504031912,NGPL,50,59,100,450.00,"45,000.00"
4,2024091504031891,NGPL,50,29,200,450.00,"90,000.00"
5,2024091504031824,NGPL,50,14,200,450.00,"90,000.00"
6,2024091504031823,NGPL,25,14,50,450.10,"22,505.00"
7,2024091504019391,NGPL,7,60,500,458.00,"229,000.00"
8,2024091504019390,NGPL,4,60,50,459.00,"22,950.00"
9,2024091504019512,NGPL,5,58,100,460.00,"46,000.00"
10,2024091504019506,NGPL,39,58,43,460.00,"19,780.00"
11,2024091504019505,NGPL,38,58,400,460.00,"184,000.00"
12,2024091504019437,NGPL,38,45,100,460.00,"46,000.00"
13,2024091504019393,NGPL,48,60,300,458.00,"137,400.00"
14,2024091504019392,NGPL,43,60,500,458.00,"229,000.00"
15,2024091504019889,NGPL,10,58,200,457.00,"91,400.00"
16,2024091504019888,NGPL,51,58,65,457.00,"29,705.00"
17,2024091504019887,NGPL,34,58,448,457.20,"204,825.60"
18,2024091504019841,NGPL,58,48,10,458.90,"4,589.00"
19,2024091504019803,NGPL,34,60,500,457.20,"228,600.00"
20,2024091504019779,NGPL,34,48,52,457.10,"23,769.20"
21,2024091504020005,NGPL,55,52,50,458.00,"22,900.00"
22,2024091504019952,NGPL,19,52,10,458.00,"4,580.00"
23,2024091504019942,NGPL,48,8,300,456.80,"137,040.00"
24,2024091504019892,NGPL,48,58,184,456.80,"84,051.20"
25,2024091504019891,NGPL,25,58,60,456.80,"27,408.00"
26,2024091504019890,NGPL,98,58,500,457.00,"228,500.00"
27,2024091504020139,NGPL,48,62,300,456.80,"137,040.00"
28,2024091504020138,NGPL,34,62,"1,000",456.90,"456,900.00"
29,2024091504020137,NGPL,29,62,200,456.90,"91,380.00"
30,2024091504020073,NGPL,4,52,190,458.00,"87,020.00"
31,2024091504020072,NGPL,4,29,10,457.90,"4,579.00"
32,2024091504020058,NGPL,29,50,100,456.90,"45,690.00"
33,2024091504020289,NGPL,60,38,170,456.80,"77,656.00"
34,2024091504020288,NGPL,54,38,30,457.00,"13,710.00"
35,2024091504020268,NGPL,54,34,270,457.00,"123,390.00"
36,2024091504020240,NGPL,58,34,50,457.00,"22,850.00"
37,2024091504020212,NGPL,60,14,500,456.80,"228,400.00"
38,2024091504020207,NGPL,60,77,300,456.80,"137,040.00"
39,2024091504020425,NGPL,25,77,50,456.90,"22,845.00"
40,2024091504020424,NGPL,26,77,150,460.00,"69,000.00"
41,2024091504020420,NGPL,26,58,200,460.00,"92,000.00"
42,2024091504020419,NGPL,26,41,500,458.60,"229,300.00"
43,2024091504020418,NGPL,26,38,100,458.00,"45,800.00"
44,2024091504020417,NGPL,26,52,50,458.00,"22,900.00"
45,2024091504020493,NGPL,26,13,100,465.00,"46,500.00"
46,2024091504020492,NGPL,26,71,100,465.00,"46,500.00"
47,2024091504020491,NGPL,26,77,500,464.00,"232,000.00"
48,2024091504020490,NGPL,26,55,10,462.00,"4,620.00"
49,2024091504020489,NGPL,26,10,180,462.00,"83,160.00"
50,2024091504020488,NGPL,26,29,10,460.90,"4,609.00"
51,2024091504020659,NGPL,29,29,60,465.00,"27,900.00"
52,2024091504020658,NGPL,29,41,100,465.00,"46,500.00"
53,2024091504020657,NGPL,29,3,800,464.00,"371,200.00"
54,2024091504020648,NGPL,26,3,200,464.00,"92,800.00"
55,2024091504020647,NGPL,26,44,300,463.90,"139,170.00"
56,2024091504020494,NGPL,26,41,100,465.00,"46,500.00"
57,2024091504020858,NGPL,62,34,120,467.00,"56,040.00"
58,2024091504020857,NGPL,62,33,10,466.90,"4,669.00"
59,2024091504020663,NGPL,29,34,790,467.00,"368,930.00"
60,2024091504020662,NGPL,29,57,100,465.50,"46,550.00"
61,2024091504020661,NGPL,29,38,100,465.00,"46,500.00"
62,2024091504020660,NGPL,29,50,50,465.00,"23,250.00"
63,2024091504021079,NGPL,45,4,500,467.70,"233,850.00"
64,2024091504021066,NGPL,26,10,93,467.00,"43,431.00"
65,2024091504020980,NGPL,26,10,370,467.00,"172,790.00"
66,2024091504020979,NGPL,26,40,30,467.00,"14,010.00"
67,2024091504020963,NGPL,80,40,100,467.00,"46,700.00"
68,2024091504020859,NGPL,62,40,370,467.00,"172,790.00"
69,2024091504021100,NGPL,26,34,"1,000",468.00,"468,000.00"
