Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024-04-22,392.10,-1.23,397.00,390.10,390.10,"1,932","761,919.20"
2024-04-24,393.00,0.23,407.70,384.40,392.00,"3,196","1,245,305.90"
2024-04-25,392.10,-0.23,399.00,391.50,395.00,"2,648","1,038,855.10"
2024-04-28,396.00,0.99,396.00,385.00,392.00,"3,224","1,260,979.70"
2024-04-29,395.00,-0.25,395.00,388.30,388.30,"5,789","2,261,137.30"
2024-04-30,395.50,0.13,401.00,388.00,390.00,"4,024","1,594,178.70"
2024-05-02,392.80,-0.68,405.00,392.50,400.00,"3,976","1,571,852.20"
2024-05-05,389.10,-0.94,394.00,385.20,393.00,"4,277","1,674,209.90"
2024-05-06,387.00,-0.54,394.00,381.40,381.40,375,"145,525.60"
2024-05-07,382.00,-1.29,392.00,381.50,386.00,"1,622","621,191.50"
2024-05-08,396.90,3.9,397.20,382.00,388.00,"16,825","6,637,904.50"
2024-05-09,387.30,-2.42,395.00,383.20,389.10,"3,314","1,280,162.50"
2024-05-12,394.00,1.73,397.80,385.00,391.00,"1,878","733,301.20"
2024-05-13,387.00,-1.78,401.00,387.00,401.00,"1,160","452,717.00"
2024-05-14,408.00,5.43,410.90,380.20,380.20,"6,098","2,449,192.10"
2024-05-15,404.80,-0.78,415.00,404.80,414.90,"4,441","1,835,895.90"
2024-05-16,413.30,2.1,421.00,405.00,412.80,"15,008","6,205,643.60"
2024-05-19,415.00,0.41,421.50,407.00,421.50,"7,473","3,080,809.40"
2024-05-20,412.00,-0.72,420.00,412.00,420.00,"7,252","3,014,649.10"
2024-05-21,447.00,8.5,447.90,399.00,419.80,"299,859","123,849,744.60"
2024-05-22,436.10,-2.44,455.00,436.10,452.10,"18,671","8,327,105.00"
2024-05-26,423.00,-3,430.00,419.60,428.00,"56,929","23,969,525.60"
2024-05-27,437.90,3.52,437.90,416.10,416.10,"69,566","29,845,798.00"
2024-05-29,429.90,-1.83,446.60,424.00,446.60,"22,716","9,790,544.60"
2024-05-30,434.40,1.05,447.00,422.00,429.90,"34,856","15,277,324.50"
2024-06-02,459.00,5.66,464.70,434.30,438.00,"95,133","42,975,334.70"
2024-06-03,452.90,-1.33,468.00,431.90,468.00,"55,085","24,788,864.90"
2024-06-04,447.80,-1.13,460.00,435.20,460.00,"25,679","11,413,167.40"
2024-06-05,439.00,-1.97,456.00,429.50,439.00,"42,509","18,388,092.60"
2024-06-06,443.50,1.03,444.40,431.10,431.10,"63,306","27,848,991.90"
2024-06-09,442.00,-0.34,450.00,434.00,450.00,"41,069","18,111,607.80"
2024-06-10,453.00,2.49,486.00,440.10,448.70,"162,595","73,850,044.20"
2024-06-11,484.90,7.04,490.00,462.00,462.00,"124,460","59,829,893.20"
2024-06-12,486.00,0.23,504.00,475.30,475.30,"62,102","29,960,242.80"
2024-06-13,478.90,-1.46,495.00,470.20,488.50,"44,886","21,305,511.40"
2024-06-16,468.60,-2.15,482.40,468.10,470.10,"40,586","19,229,701.70"
2024-06-18,460.00,-1.84,465.00,451.30,460.00,"47,941","21,794,342.70"
2024-06-19,451.00,-1.96,469.00,451.00,451.10,"13,663","6,229,950.20"
2024-06-20,460.00,2,477.00,445.10,459.90,"32,269","14,768,363.00"
2024-06-23,458.00,-0.43,466.00,455.00,457.00,"28,888","13,213,159.80"
2024-06-24,452.00,-1.31,467.00,448.00,451.00,"36,026","16,308,884.90"
2024-06-25,457.00,1.11,471.00,447.00,447.00,"25,040","11,567,708.40"
2024-06-26,462.00,1.09,483.00,453.10,453.10,"49,745","23,183,399.70"
2024-06-27,460.00,-0.43,480.00,454.00,455.00,"33,393","15,362,820.20"
2024-06-30,447.00,-2.83,469.20,445.00,469.20,"13,314","6,026,731.70"
2024-07-01,442.00,-1.12,455.90,441.00,455.90,"15,047","6,705,367.00"
2024-07-02,453.00,2.49,468.90,448.00,450.80,"16,409","7,464,333.00"
2024-07-03,457.90,1.08,457.90,445.10,445.10,"19,454","8,765,908.40"
2024-07-04,454.00,-0.85,460.00,450.00,460.00,"72,678","33,089,002.30"
2024-07-07,451.20,-0.62,463.00,446.00,463.00,"10,712","4,858,445.70"
2024-07-08,459.00,1.73,460.00,446.00,446.00,"18,892","8,542,274.90"
2024-07-09,453.00,-1.31,456.50,450.00,455.00,"42,812","19,372,408.00"
2024-07-10,452.00,-0.22,460.00,446.10,460.00,"10,225","4,593,171.30"
2024-07-11,453.50,0.33,459.00,445.10,445.10,"65,668","29,855,287.70"
2024-07-14,460.00,1.43,471.00,450.10,462.50,"18,630","8,532,482.70"
2024-07-15,465.00,1.09,478.00,451.00,460.00,"52,210","24,488,671.90"
2024-07-16,491.00,5.59,493.00,465.00,465.00,"75,249","36,456,334.10"
2024-07-17,495.00,0.81,510.00,490.00,500.80,"53,036","26,381,742.50"
2024-07-18,487.00,-1.62,510.20,481.80,490.10,"67,979","33,640,220.30"
2024-07-21,492.00,1.03,500.00,478.10,496.70,"68,813","33,809,389.00"
2024-07-22,524.00,6.5,529.00,492.00,501.80,"118,660","61,027,681.90"
2024-07-23,543.00,3.63,565.00,514.00,514.00,"110,399","59,406,838.10"
2024-07-24,540.00,-0.55,553.00,520.00,546.00,"74,929","39,823,387.90"
2024-07-25,519.40,-3.81,534.00,509.60,530.00,"79,233","41,396,826.70"
2024-07-28,520.00,0.12,550.00,505.00,529.70,"49,830","25,869,739.80"
2024-07-29,515.00,-0.96,535.90,515.00,520.10,"46,565","24,448,788.40"
2024-07-30,539.90,4.83,544.00,505.00,507.00,"73,409","38,604,578.40"
2024-07-31,534.00,-1.09,563.00,531.00,549.00,"83,048","45,441,238.80"
2024-08-01,530.00,-0.75,538.00,517.50,538.00,"31,280","16,426,351.40"
2024-08-05,534.00,0.75,550.00,511.00,520.00,"42,759","22,796,282.30"
2024-08-06,528.00,-1.12,581.50,523.40,531.30,"114,193","62,626,484.50"
2024-08-07,551.00,4.36,559.00,528.00,538.50,"61,648","33,609,672.80"
2024-08-08,545.00,-1.09,562.00,540.00,562.00,"29,812","16,412,971.00"
2024-08-11,559.00,2.57,561.00,540.00,555.90,"65,933","36,346,370.00"
2024-08-12,573.20,2.54,588.00,555.00,565.00,"122,725","69,913,814.00"
2024-08-13,565.00,-1.43,580.00,555.10,575.00,"26,920","15,270,365.40"
2024-08-14,570.00,0.88,573.20,550.00,555.00,"40,272","22,480,229.90"
2024-08-15,585.00,2.63,606.90,568.40,581.40,"163,114","95,691,452.50"
2024-08-18,563.00,-3.76,589.00,558.00,576.00,"51,176","29,326,273.60"
2024-08-21,557.10,-1.05,583.00,557.10,574.00,"37,295","21,081,372.60"
2024-08-22,555.90,-0.22,568.20,546.00,559.00,"32,787","18,299,039.30"
2024-08-25,536.00,-3.58,560.00,533.00,555.00,"53,495","29,048,757.60"
2024-08-27,513.00,-4.29,536.20,510.00,536.20,"28,841","15,018,035.30"
2024-08-28,514.00,0.19,530.00,504.20,522.90,"23,905","12,408,116.80"
2024-08-29,519.00,0.97,523.00,506.00,508.60,"29,955","15,394,135.00"
2024-09-01,513.00,-1.16,520.00,504.70,510.00,"14,712","7,489,787.00"
2024-09-02,545.00,6.24,545.00,502.80,502.80,"19,813","10,427,905.10"
2024-09-03,535.00,-1.83,555.90,525.00,555.90,"19,948","10,636,134.70"
2024-09-04,512.00,-4.3,535.00,508.00,525.00,"17,401","8,953,049.40"
2024-09-05,516.00,0.78,522.00,501.90,522.00,"25,233","12,763,531.20"
2024-09-08,501.00,-2.91,514.90,500.20,505.80,"16,562","8,386,332.70"
2024-09-09,484.50,-3.29,505.00,480.00,505.00,"14,730","7,195,986.70"
2024-09-10,480.00,-0.93,499.00,475.30,475.30,"14,755","7,140,135.20"
2024-09-11,470.50,-1.98,484.00,470.30,481.00,"9,790","4,646,699.50"
2024-09-12,504.00,7.12,508.00,465.30,470.00,"13,373","6,544,028.70"
2024-09-15,493.00,-2.18,510.00,485.00,510.00,"15,021","7,489,392.60"
2024-09-16,479.90,-2.66,493.00,465.20,484.00,"9,738","4,636,712.20"
2024-09-18,479.00,-0.19,481.40,465.40,473.00,"6,529","3,120,714.80"
2024-09-22,482.00,0.63,496.00,477.00,488.00,"8,100","3,913,950.70"
,467.00,-3.11,482.00,466.00,482.00,"7,130","3,354,861.30"
2024-04-22,392.10,-1.23,397.00,390.10,390.10,"1,932","761,919.20"
2024-04-24,393.00,0.23,407.70,384.40,392.00,"3,196","1,245,305.90"
2024-04-25,392.10,-0.23,399.00,391.50,395.00,"2,648","1,038,855.10"
2024-04-28,396.00,0.99,396.00,385.00,392.00,"3,224","1,260,979.70"
2024-04-29,395.00,-0.25,395.00,388.30,388.30,"5,789","2,261,137.30"
2024-04-30,395.50,0.13,401.00,388.00,390.00,"4,024","1,594,178.70"
2024-05-02,392.80,-0.68,405.00,392.50,400.00,"3,976","1,571,852.20"
2024-05-05,389.10,-0.94,394.00,385.20,393.00,"4,277","1,674,209.90"
2024-05-06,387.00,-0.54,394.00,381.40,381.40,375,"145,525.60"
2024-05-07,382.00,-1.29,392.00,381.50,386.00,"1,622","621,191.50"
2024-05-08,396.90,3.9,397.20,382.00,388.00,"16,825","6,637,904.50"
2024-05-09,387.30,-2.42,395.00,383.20,389.10,"3,314","1,280,162.50"
2024-05-12,394.00,1.73,397.80,385.00,391.00,"1,878","733,301.20"
2024-05-13,387.00,-1.78,401.00,387.00,401.00,"1,160","452,717.00"
2024-05-14,408.00,5.43,410.90,380.20,380.20,"6,098","2,449,192.10"
2024-05-15,404.80,-0.78,415.00,404.80,414.90,"4,441","1,835,895.90"
2024-05-16,413.30,2.1,421.00,405.00,412.80,"15,008","6,205,643.60"
2024-05-19,415.00,0.41,421.50,407.00,421.50,"7,473","3,080,809.40"
2024-05-20,412.00,-0.72,420.00,412.00,420.00,"7,252","3,014,649.10"
2024-05-21,447.00,8.5,447.90,399.00,419.80,"299,859","123,849,744.60"
2024-05-22,436.10,-2.44,455.00,436.10,452.10,"18,671","8,327,105.00"
2024-05-26,423.00,-3,430.00,419.60,428.00,"56,929","23,969,525.60"
2024-05-27,437.90,3.52,437.90,416.10,416.10,"69,566","29,845,798.00"
2024-05-29,429.90,-1.83,446.60,424.00,446.60,"22,716","9,790,544.60"
2024-05-30,434.40,1.05,447.00,422.00,429.90,"34,856","15,277,324.50"
2024-06-02,459.00,5.66,464.70,434.30,438.00,"95,133","42,975,334.70"
2024-06-03,452.90,-1.33,468.00,431.90,468.00,"55,085","24,788,864.90"
2024-06-04,447.80,-1.13,460.00,435.20,460.00,"25,679","11,413,167.40"
2024-06-05,439.00,-1.97,456.00,429.50,439.00,"42,509","18,388,092.60"
2024-06-06,443.50,1.03,444.40,431.10,431.10,"63,306","27,848,991.90"
2024-06-09,442.00,-0.34,450.00,434.00,450.00,"41,069","18,111,607.80"
2024-06-10,453.00,2.49,486.00,440.10,448.70,"162,595","73,850,044.20"
2024-06-11,484.90,7.04,490.00,462.00,462.00,"124,460","59,829,893.20"
2024-06-12,486.00,0.23,504.00,475.30,475.30,"62,102","29,960,242.80"
2024-06-13,478.90,-1.46,495.00,470.20,488.50,"44,886","21,305,511.40"
2024-06-16,468.60,-2.15,482.40,468.10,470.10,"40,586","19,229,701.70"
2024-06-18,460.00,-1.84,465.00,451.30,460.00,"47,941","21,794,342.70"
2024-06-19,451.00,-1.96,469.00,451.00,451.10,"13,663","6,229,950.20"
2024-06-20,460.00,2,477.00,445.10,459.90,"32,269","14,768,363.00"
2024-06-23,458.00,-0.43,466.00,455.00,457.00,"28,888","13,213,159.80"
2024-06-24,452.00,-1.31,467.00,448.00,451.00,"36,026","16,308,884.90"
2024-06-25,457.00,1.11,471.00,447.00,447.00,"25,040","11,567,708.40"
2024-06-26,462.00,1.09,483.00,453.10,453.10,"49,745","23,183,399.70"
2024-06-27,460.00,-0.43,480.00,454.00,455.00,"33,393","15,362,820.20"
2024-06-30,447.00,-2.83,469.20,445.00,469.20,"13,314","6,026,731.70"
2024-07-01,442.00,-1.12,455.90,441.00,455.90,"15,047","6,705,367.00"
2024-07-02,453.00,2.49,468.90,448.00,450.80,"16,409","7,464,333.00"
2024-07-03,457.90,1.08,457.90,445.10,445.10,"19,454","8,765,908.40"
2024-07-04,454.00,-0.85,460.00,450.00,460.00,"72,678","33,089,002.30"
2024-07-07,451.20,-0.62,463.00,446.00,463.00,"10,712","4,858,445.70"
2024-07-08,459.00,1.73,460.00,446.00,446.00,"18,892","8,542,274.90"
2024-07-09,453.00,-1.31,456.50,450.00,455.00,"42,812","19,372,408.00"
2024-07-10,452.00,-0.22,460.00,446.10,460.00,"10,225","4,593,171.30"
2024-07-11,453.50,0.33,459.00,445.10,445.10,"65,668","29,855,287.70"
2024-07-14,460.00,1.43,471.00,450.10,462.50,"18,630","8,532,482.70"
2024-07-15,465.00,1.09,478.00,451.00,460.00,"52,210","24,488,671.90"
2024-07-16,491.00,5.59,493.00,465.00,465.00,"75,249","36,456,334.10"
2024-07-17,495.00,0.81,510.00,490.00,500.80,"53,036","26,381,742.50"
2024-07-18,487.00,-1.62,510.20,481.80,490.10,"67,979","33,640,220.30"
2024-07-21,492.00,1.03,500.00,478.10,496.70,"68,813","33,809,389.00"
2024-07-22,524.00,6.5,529.00,492.00,501.80,"118,660","61,027,681.90"
2024-07-23,543.00,3.63,565.00,514.00,514.00,"110,399","59,406,838.10"
2024-07-24,540.00,-0.55,553.00,520.00,546.00,"74,929","39,823,387.90"
2024-07-25,519.40,-3.81,534.00,509.60,530.00,"79,233","41,396,826.70"
2024-07-28,520.00,0.12,550.00,505.00,529.70,"49,830","25,869,739.80"
2024-07-29,515.00,-0.96,535.90,515.00,520.10,"46,565","24,448,788.40"
2024-07-30,539.90,4.83,544.00,505.00,507.00,"73,409","38,604,578.40"
2024-07-31,534.00,-1.09,563.00,531.00,549.00,"83,048","45,441,238.80"
2024-08-01,530.00,-0.75,538.00,517.50,538.00,"31,280","16,426,351.40"
2024-08-05,534.00,0.75,550.00,511.00,520.00,"42,759","22,796,282.30"
2024-08-06,528.00,-1.12,581.50,523.40,531.30,"114,193","62,626,484.50"
2024-08-07,551.00,4.36,559.00,528.00,538.50,"61,648","33,609,672.80"
2024-08-08,545.00,-1.09,562.00,540.00,562.00,"29,812","16,412,971.00"
2024-08-11,559.00,2.57,561.00,540.00,555.90,"65,933","36,346,370.00"
2024-08-12,573.20,2.54,588.00,555.00,565.00,"122,725","69,913,814.00"
2024-08-13,565.00,-1.43,580.00,555.10,575.00,"26,920","15,270,365.40"
2024-08-14,570.00,0.88,573.20,550.00,555.00,"40,272","22,480,229.90"
2024-08-15,585.00,2.63,606.90,568.40,581.40,"163,114","95,691,452.50"
2024-08-18,563.00,-3.76,589.00,558.00,576.00,"51,176","29,326,273.60"
2024-08-21,557.10,-1.05,583.00,557.10,574.00,"37,295","21,081,372.60"
2024-08-22,555.90,-0.22,568.20,546.00,559.00,"32,787","18,299,039.30"
2024-08-25,536.00,-3.58,560.00,533.00,555.00,"53,495","29,048,757.60"
2024-08-27,513.00,-4.29,536.20,510.00,536.20,"28,841","15,018,035.30"
2024-08-28,514.00,0.19,530.00,504.20,522.90,"23,905","12,408,116.80"
2024-08-29,519.00,0.97,523.00,506.00,508.60,"29,955","15,394,135.00"
2024-09-01,513.00,-1.16,520.00,504.70,510.00,"14,712","7,489,787.00"
2024-09-02,545.00,6.24,545.00,502.80,502.80,"19,813","10,427,905.10"
2024-09-03,535.00,-1.83,555.90,525.00,555.90,"19,948","10,636,134.70"
2024-09-04,512.00,-4.3,535.00,508.00,525.00,"17,401","8,953,049.40"
2024-09-05,516.00,0.78,522.00,501.90,522.00,"25,233","12,763,531.20"
2024-09-08,501.00,-2.91,514.90,500.20,505.80,"16,562","8,386,332.70"
2024-09-09,484.50,-3.29,505.00,480.00,505.00,"14,730","7,195,986.70"
2024-09-10,480.00,-0.93,499.00,475.30,475.30,"14,755","7,140,135.20"
2024-09-11,470.50,-1.98,484.00,470.30,481.00,"9,790","4,646,699.50"
2024-09-12,504.00,7.12,508.00,465.30,470.00,"13,373","6,544,028.70"
2024-09-15,493.00,-2.18,510.00,485.00,510.00,"15,021","7,489,392.60"
2024-09-16,479.90,-2.66,493.00,465.20,484.00,"9,738","4,636,712.20"
2024-09-18,479.00,-0.19,481.40,465.40,473.00,"6,529","3,120,714.80"
