Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024/09/18,385.00,-0.77,395.00,380.50,390.00,"66,613","25,785,780.70"
2024/09/16,388.00,-1.77,396.00,387.90,395.00,"65,112","25,427,791.20"
2024/09/15,395.00,-1.52,409.10,393.80,408.80,"78,231","31,518,379.70"
2024/09/12,401.10,2.32,402.00,388.00,391.00,"76,942","30,488,607.50"
2024/09/11,392.00,-1.75,405.00,391.20,403.90,"61,410","24,274,407.50"
2024/09/10,399.00,-0.75,411.00,394.00,394.00,"79,000","31,777,441.50"
2024/09/09,402.00,-1.23,415.10,401.00,407.00,"93,146","37,649,968.70"
2024/09/08,407.00,-2.16,424.30,406.70,424.30,"110,090","45,556,983.20"
2024/09/05,416.00,-0.93,420.00,404.00,415.00,"166,869","68,722,870.50"
2024/09/04,419.90,-1.2,443.00,417.00,425.00,"163,406","69,997,599.20"
2024/09/03,425.00,-0.35,434.00,420.00,427.00,"132,536","56,768,114.10"
2024/09/02,426.50,5.67,427.00,401.00,410.00,"128,770","53,534,238.10"
2024/09/01,403.60,-2.51,422.20,401.50,420.00,"117,510","48,032,418.90"
2024/08/29,414.00,-2.13,428.00,413.10,428.00,"128,961","53,904,361.90"
2024/08/28,423.00,-0.94,444.00,420.00,427.00,"179,191","77,075,828.40"
2024/08/27,427.00,-5.32,460.00,424.00,460.00,"224,708","97,906,461.50"
2024/08/25,451.00,-2.78,473.10,450.00,473.10,"236,580","108,771,672.60"
2024/08/22,463.90,4.25,482.00,445.00,450.00,"553,326","260,337,581.60"
2024/08/21,445.00,-0.91,456.00,444.00,450.00,"170,814","76,544,151.60"
2024/08/18,449.10,-3.83,474.50,448.00,470.00,"276,341","127,245,528.80"
2024/08/15,467.00,3.96,474.90,452.00,458.10,"388,054","179,906,424.60"
2024/08/14,449.20,3.26,450.00,430.00,437.00,"273,547","120,963,963.80"
2024/08/13,435.00,-0.23,453.10,434.00,444.60,"271,040","119,643,675.50"
2024/08/12,436.00,1.75,438.70,428.00,437.00,"286,200","124,210,636.60"
2024/08/11,428.50,3,429.00,417.00,424.00,"188,883","80,409,184.20"
2024/08/08,416.00,-0.24,430.00,416.00,425.00,"122,267","51,358,375.60"
2024/08/07,417.00,2.21,422.00,401.90,407.00,"155,990","64,582,812.00"
2024/08/06,408.00,-5.8,441.00,405.80,441.00,"192,784","81,159,408.50"
2024/08/05,433.10,-1.3,440.00,426.40,435.00,"175,569","75,925,284.30"
2024/08/01,438.80,0.67,447.00,435.00,440.00,"255,636","112,950,131.10"
2024/07/31,435.90,2.08,442.60,428.00,428.00,"260,063","113,724,448.50"
2024/07/30,427.00,0.47,433.00,413.70,432.90,"173,426","73,168,355.90"
2024/07/29,425.00,-3.21,447.00,425.00,442.00,"184,448","79,734,159.40"
