Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024/09/18,"1,365.90",0.43,"1,390.00","1,260.00","1,333.00","129,412","169,837,144.60"
2024/09/16,"1,360.00",-8.42,"1,498.00","1,336.50","1,485.00","151,109","209,069,694.70"
2024/09/15,"1,485.00",-5.95,"1,598.90","1,480.00","1,578.90","109,826","168,675,723.30"
2024/09/12,"1,578.90",1.93,"1,583.00","1,518.10","1,518.10","81,472","127,276,853.30"
2024/09/11,"1,549.00",-0.58,"1,575.00","1,519.10","1,558.00","77,411","119,987,395.50"
2024/09/10,"1,558.00",-1.08,"1,605.00","1,520.00","1,543.50","79,478","124,223,502.60"
2024/09/09,"1,575.00",-0.44,"1,610.00","1,500.00","1,582.00","108,672","170,729,052.50"
2024/09/08,"1,582.00",5.26,"1,625.00","1,533.00","1,533.00","121,560","192,626,899.40"
2024/09/05,"1,503.00",-8.91,"1,785.90","1,503.00","1,650.00","253,776","405,099,947.10"
2024/09/04,"1,650.00",-2.25,"1,826.30","1,595.00","1,688.00","181,314","305,261,311.00"
2024/09/03,"1,688.00",-5.91,"1,788.00","1,614.60","1,758.20","125,424","213,413,058.90"
2024/09/02,"1,794.00",4.36,"1,807.00","1,635.00","1,684.70","137,047","238,809,534.40"
2024/09/01,"1,719.00",-9.53,"1,862.00","1,719.00","1,862.00","190,703","333,413,305.00"
2024/08/29,"1,900.00",3.83,"1,930.00","1,696.40","1,793.40","192,184","340,380,030.40"
2024/08/28,"1,830.00",0.16,"1,900.00","1,719.90","1,790.50","231,936","415,918,394.70"
2024/08/27,"1,827.00",-10,"2,111.00","1,827.00","1,989.40","218,596","415,589,872.50"
2024/08/25,"2,030.00",4.86,"2,094.30","1,756.20","1,897.30","145,828","266,681,796.80"
2024/08/22,"1,936.00",-1.73,"2,035.30","1,800.00","1,930.60","91,875","177,073,882.50"
2024/08/21,"1,970.00",5.74,"2,002.00","1,690.00","1,825.80","140,889","266,775,704.10"
2024/08/18,"1,863.00",-10,"2,111.40","1,863.00","2,111.40","137,472","256,667,775.70"
2024/08/15,"2,070.00",-10,"2,254.00","2,070.00","2,254.00","136,848","284,496,155.30"
2024/08/14,"2,300.00",5.6,"2,348.00","2,009.10","2,134.50","293,526","616,407,262.80"
2024/08/13,"2,178.00",-9.93,"2,614.90","2,176.20","2,369.70","360,943","819,940,822.50"
2024/08/12,"2,418.00",7.85,"2,466.00","2,017.80","2,197.10","397,535","843,695,622.70"
2024/08/11,"2,241.90",9.41,"2,241.90","1,844.10","2,008.10","309,658","597,434,869.90"
2024/08/08,"2,049.00",7.84,"2,090.00","1,754.20","1,862.00","210,335","395,269,086.00"
2024/08/07,"1,900.00",8.9,"1,919.20","1,570.40","1,710.00","388,707","655,598,952.10"
2024/08/06,"1,744.80",-10,"1,899.90","1,744.80","1,899.90","7,180","12,559,624.00"
2024/08/05,"1,938.60",-10,"2,111.00","1,938.60","2,111.00","34,044","66,029,695.00"
2024/08/01,"2,154.00",9.96,"2,154.70","1,822.80","1,919.80","213,771","416,723,113.60"
2024/07/31,"1,958.90",9.33,"1,970.80","1,687.00","1,755.90","215,179","389,458,765.50"
2024/07/30,"1,791.70",9.99,"1,791.90","1,564.60","1,596.50","219,412","353,883,830.70"
2024/07/29,"1,629.00",9.77,"1,632.40","1,470.00","1,513.60","239,152","369,110,537.90"
2024/07/28,"1,484.00",6.84,"1,527.90","1,335.00","1,361.30","115,710","166,062,244.00"
2024/07/25,"1,389.00",9.37,"1,397.00","1,270.10","1,295.40","152,769","199,833,313.20"
2024/07/24,"1,270.00",5.05,"1,309.90","1,219.50","1,233.10","125,473","159,253,552.80"
2024/07/23,"1,209.00",2.46,"1,248.90","1,130.00","1,156.40","84,896","99,483,905.80"
2024/07/22,"1,180.00",8.77,"1,189.00","1,064.00","1,106.00","158,194","174,925,083.90"
2024/07/21,"1,084.90",8.73,"1,097.00","1,017.70","1,017.70","175,396","187,705,883.50"
2024/07/18,997.80,10,997.80,889.00,889.00,"434,129","424,683,542.30"
2024/07/17,907.10,1.13,930.00,891.10,914.90,"124,718","112,747,046.10"
2024/07/16,897.00,0.34,911.80,893.00,911.80,"75,644","68,035,527.50"
2024/07/15,894.00,1.13,918.00,885.00,901.60,"116,790","104,644,898.40"
2024/07/14,884.00,5.72,886.00,840.10,852.90,"220,911","191,719,593.30"
2024/07/11,836.20,1.98,848.00,807.50,807.50,"62,616","52,489,487.60"
2024/07/10,820.00,0.61,831.30,800.10,831.30,"64,118","52,391,796.70"
2024/07/09,815.00,-4,861.00,799.00,832.10,"198,696","162,149,081.30"
2024/07/08,849.00,-0.93,868.00,839.90,839.90,"73,523","62,648,859.80"
2024/07/07,857.00,-2.94,883.90,833.00,865.40,"63,953","54,642,542.10"
2024/07/04,883.00,-1.87,900.60,830.20,881.90,"202,888","176,458,459.60"
2024/07/03,899.80,2.12,904.50,863.20,898.70,"133,584","118,558,427.00"
2024/07/02,881.10,0.93,907.80,838.00,890.40,"76,251","66,013,500.40"
2024/07/01,873.00,-10,950.60,873.00,950.60,"216,843","191,324,394.70"
2024/06/30,970.00,4.33,985.00,877.50,948.20,"141,937","128,874,154.70"
2024/06/27,929.70,-10,"1,099.00",929.70,"1,012.40","238,041","227,641,809.60"
2024/06/26,"1,033.00",9.87,"1,034.20",881.00,921.40,"174,988","164,618,830.30"
2024/06/25,940.20,2.2,990.00,938.40,938.40,"100,811","96,964,205.20"
2024/06/24,920.00,10,920.00,848.00,853.10,"103,346","92,267,790.40"
2024/06/23,836.40,9.99,836.40,766.00,775.60,"168,880","135,899,049.00"
2024/06/20,760.40,5,779.90,715.00,738.60,"94,548","71,733,142.00"
2024/06/19,724.20,9.99,724.20,657.00,671.50,"285,040","202,338,140.60"
2024/06/18,658.40,-0.41,678.00,657.00,665.00,"95,392","63,419,164.50"
2024/06/16,661.10,10,661.10,596.00,609.00,"479,987","304,053,492.90"
2024/06/13,601.00,0.52,619.90,597.70,609.80,"470,952","284,739,697.20"
2024/06/12,597.90,-0.02,609.90,590.10,609.90,"69,439","41,788,833.20"
2024/06/11,598.00,2.2,606.00,590.00,596.00,"74,525","44,555,677.50"
2024/06/10,585.10,0.53,604.00,579.10,593.60,"49,912","29,305,010.30"
2024/06/09,582.00,-0.21,599.70,578.00,583.20,"133,617","78,422,395.90"
2024/06/06,583.20,-2.98,610.00,583.20,600.00,"96,030","56,778,108.20"
2024/06/05,601.10,-1.09,619.80,600.20,600.20,"122,735","74,755,378.70"
2024/06/04,607.70,4.24,630.00,579.20,594.00,"213,458","129,837,497.30"
2024/06/03,583.00,-2.83,624.20,583.00,588.00,"168,744","100,783,768.90"
2024/06/02,600.00,7.8,612.20,552.00,567.70,"382,035","226,413,028.00"
2024/05/30,556.60,10,556.60,506.10,510.00,"358,012","194,570,451.10"
2024/05/29,506.00,-1.25,519.00,505.20,512.40,"71,599","36,564,387.40"
2024/05/27,512.40,0.87,518.00,501.00,501.00,"44,962","23,006,935.70"
2024/05/26,508.00,-0.97,519.00,506.00,508.10,"37,038","18,946,078.90"
2024/05/22,513.00,-3.21,539.90,511.00,539.00,"85,340","44,517,192.10"
2024/05/21,530.00,7.44,535.00,487.10,487.10,"81,100","42,223,215.10"
2024/05/20,493.30,-3.46,511.00,492.00,501.20,"137,198","68,515,944.10"
2024/05/19,511.00,-1.64,535.00,505.20,515.00,"144,993","74,657,299.80"
2024/05/16,519.50,-4.12,550.00,519.50,531.00,"116,356","61,921,797.60"
2024/05/15,541.80,1.27,552.30,531.00,531.00,"202,923","109,435,480.00"
2024/05/14,535.00,0.45,542.00,522.00,522.00,"106,535","57,013,418.10"
2024/05/13,532.60,0.11,542.00,527.00,527.00,"68,439","36,588,944.40"
2024/05/12,532.00,-2.92,560.00,531.00,558.90,"104,801","57,273,709.90"
2024/05/09,548.00,2.81,560.00,534.00,534.00,"309,663","169,716,418.70"
