Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024/09/18,"1,295.90",4.51,"1,298.00","1,223.10","1,263.00","125,110","159,584,120.60"
2024/09/16,"1,240.00",2.06,"1,240.00","1,172.00","1,190.80","152,316","182,432,575.20"
2024/09/15,"1,215.00",-4.18,"1,281.00","1,202.00","1,281.00","52,499","64,339,024.70"
2024/09/12,"1,268.00",3.17,"1,270.00","1,225.20","1,234.90","76,631","95,542,086.80"
2024/09/11,"1,229.00",-2.85,"1,262.10","1,229.00","1,255.00","168,767","211,018,014.90"
2024/09/10,"1,265.00",0.4,"1,275.00","1,234.00","1,260.00","154,604","194,231,610.90"
2024/09/09,"1,260.00",-4.98,"1,352.00","1,248.00","1,352.00","87,512","112,426,667.10"
2024/09/08,"1,326.00",0.08,"1,330.00","1,250.00","1,298.50","216,395","283,726,479.00"
2024/09/05,"1,325.00",3.43,"1,325.00","1,226.00","1,288.00","270,070","342,217,443.60"
2024/09/04,"1,281.00",0.83,"1,300.00","1,270.00","1,270.00","221,185","283,387,638.70"
2024/09/03,"1,270.50",10,"1,270.50","1,155.00","1,160.00","279,543","347,223,273.60"
2024/09/02,"1,155.00",10,"1,155.00","1,044.90","1,050.00","132,454","148,291,442.80"
2024/09/01,"1,050.00",0.38,"1,057.00","1,039.00","1,046.00","68,227","71,392,850.40"
2024/08/29,"1,046.00",-0.38,"1,069.90","1,031.00","1,069.90","69,977","73,092,211.40"
2024/08/28,"1,050.00",0.77,"1,099.90","1,040.00","1,062.80","53,967","56,892,204.40"
2024/08/27,"1,042.00",-3.07,"1,095.00","1,040.00","1,056.00","78,941","84,020,864.70"
2024/08/25,"1,075.00",-0.78,"1,099.00","1,051.30","1,085.00","69,574","74,848,341.10"
2024/08/22,"1,083.40",-0.15,"1,099.90","1,070.00","1,099.90","49,372","53,380,399.40"
2024/08/21,"1,085.00",-1.38,"1,117.80","1,074.00","1,100.00","66,569","72,169,600.50"
2024/08/18,"1,100.20",-0.8,"1,119.90","1,075.10","1,095.00","120,884","132,967,936.90"
2024/08/15,"1,109.10",4.93,"1,122.00","1,050.00","1,060.00","93,656","101,544,996.70"
2024/08/14,"1,057.00",4.86,"1,060.00","1,005.20","1,010.00","113,332","116,327,337.90"
2024/08/13,"1,008.00",0.8,"1,040.00",992.40,"1,015.00","85,576","86,110,719.70"
2024/08/12,"1,000.00",0.2,"1,015.00",981.00,"1,014.00","76,859","76,852,483.20"
2024/08/11,998.00,3.42,999.60,961.00,965.00,"73,154","71,285,462.60"
2024/08/08,965.00,0,983.90,947.00,983.90,"48,059","46,394,583.00"
2024/08/07,965.00,3.32,970.00,923.30,950.00,"60,859","57,755,452.60"
2024/08/06,934.00,-3.01,985.00,920.30,982.00,"111,698","106,554,691.70"
2024/08/05,963.00,-0.72,989.40,960.00,975.00,"75,506","73,289,363.90"
2024/08/01,970.00,3.75,"1,000.00",930.10,930.10,"108,733","104,565,019.90"
2024/07/31,934.90,2.06,950.00,920.10,932.80,"62,786","58,625,811.90"
2024/07/30,916.00,-0.11,930.00,887.00,908.10,"84,086","76,415,200.60"
2024/07/29,917.00,-1.93,948.00,915.10,935.00,"41,014","37,881,416.30"
2024/07/28,935.00,0.43,949.00,915.40,949.00,"47,323","44,060,493.60"
2024/07/25,931.00,2.92,945.00,900.20,910.00,"65,604","60,871,045.60"
2024/07/24,904.60,2.21,907.00,875.00,900.00,"91,907","81,740,263.40"
2024/07/23,885.00,4.12,894.90,840.00,840.20,"43,580","38,279,930.60"
2024/07/22,850.00,-0.23,865.00,837.20,865.00,"15,965","13,547,597.90"
2024/07/21,852.00,0.59,858.40,835.00,847.00,"36,200","30,611,513.80"
2024/07/18,847.00,0.83,863.00,833.10,856.80,"32,485","27,701,771.60"
2024/07/17,840.00,3.32,841.00,813.00,813.00,"24,082","19,943,241.60"
2024/07/16,813.00,2.28,813.00,792.00,795.00,"14,030","11,228,830.90"
2024/07/15,794.90,-1.49,820.00,785.00,820.00,"47,269","37,606,045.40"
2024/07/14,806.90,0.65,825.00,802.00,817.70,"11,437","9,253,440.70"
2024/07/11,801.70,-0.57,815.00,801.00,803.50,"31,935","25,780,130.70"
2024/07/10,806.30,3.68,806.30,785.00,791.90,"32,948","26,238,758.80"
2024/07/09,777.70,1.03,784.90,765.40,769.80,"9,821","7,611,827.30"
2024/07/08,769.80,-1.05,782.00,765.10,774.00,"17,945","13,844,227.80"
2024/07/07,778.00,1.7,790.00,757.30,760.00,"29,891","23,308,936.10"
2024/07/04,765.00,1.32,770.00,756.00,769.90,"4,664","3,546,480.70"
2024/07/03,755.00,-0.79,759.00,747.20,759.00,"3,304","2,483,046.60"
2024/07/02,761.00,1.89,777.00,755.00,761.80,"8,919","6,792,826.10"
2024/07/01,746.90,0.66,752.00,735.00,741.00,"8,118","6,048,560.80"
2024/06/30,742.00,-0.01,743.00,732.00,740.00,"8,819","6,514,872.80"
2024/06/27,742.10,-1.45,753.00,742.00,753.00,"4,582","3,408,896.50"
2024/06/26,753.00,0.27,760.00,745.10,760.00,"4,227","3,158,586.20"
2024/06/25,751.00,0.4,762.00,748.00,748.00,"5,815","4,363,099.90"
2024/06/24,748.00,0.11,759.00,745.60,759.00,"2,143","1,605,706.30"
2024/06/23,747.20,-1.54,759.00,747.20,759.00,"4,677","3,503,615.30"
2024/06/20,758.90,-0.01,758.90,746.40,746.50,"4,534","3,400,056.80"
2024/06/19,759.00,0.64,769.00,746.10,754.20,"7,426","5,597,417.80"
2024/06/18,754.20,-1.53,765.00,754.00,765.00,"4,502","3,407,024.20"
2024/06/16,765.90,0.64,776.20,754.10,776.20,"4,968","3,785,393.40"
2024/06/13,761.00,-1.42,778.00,759.10,762.00,"11,369","8,703,330.70"
2024/06/12,772.00,-0.31,789.50,770.00,770.00,"10,260","8,006,879.10"
2024/06/11,774.40,3.25,790.00,745.20,745.20,"19,732","15,237,867.10"
2024/06/10,750.00,0.4,756.00,745.00,747.00,"4,426","3,307,227.40"
2024/06/09,747.00,-0.77,752.40,742.30,752.40,"10,690","7,968,509.80"
2024/06/06,752.80,-1.18,777.00,752.40,777.00,"2,311","1,743,834.60"
2024/06/05,761.80,-0.29,779.20,748.80,779.20,"4,852","3,652,114.30"
2024/06/04,764.00,1.19,768.90,745.00,755.00,"12,086","9,093,852.60"
2024/06/03,755.00,-0.13,767.90,752.30,764.90,"4,576","3,464,282.40"
2024/06/02,756.00,-0.4,773.90,751.00,773.90,"3,851","2,914,146.90"
2024/05/30,759.00,-0.78,763.00,753.00,763.00,"6,959","5,262,611.10"
2024/05/29,765.00,-0.39,783.30,757.00,768.00,"5,564","4,253,653.00"
2024/05/27,768.00,-0.65,775.00,762.00,772.00,"3,922","3,013,002.00"
2024/05/26,773.00,-0.26,783.80,770.00,770.00,"3,126","2,419,420.60"
2024/05/22,775.00,-0.37,785.00,766.00,777.00,"11,656","8,992,939.70"
2024/05/21,777.90,-0.01,789.00,770.10,789.00,"9,403","7,300,888.40"
2024/05/20,778.00,-2.14,798.00,778.00,795.00,"24,558","19,263,428.70"
2024/05/19,795.00,4.61,801.10,770.00,770.00,"31,062","24,551,519.80"
2024/05/16,760.00,-0.52,769.90,756.00,756.00,"6,586","5,010,537.50"
2024/05/15,764.00,1.08,779.00,757.00,769.00,"22,295","17,097,528.40"
2024/05/14,755.80,0.35,770.00,750.00,750.10,"10,704","8,151,550.80"
2024/05/13,753.20,-0.13,765.00,748.50,765.00,"1,545","1,167,575.00"
2024/05/12,754.20,1.18,764.00,741.00,746.10,"4,700","3,546,113.70"
2024/05/09,745.40,-1.25,762.90,745.40,762.90,"2,896","2,176,680.40"
