Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024-04-22,296.00,1.58,300.00,288.10,297.00,"26,472","7,788,294.50"
2024-04-24,297.10,0.37,305.00,293.30,301.90,"6,918","2,079,627.50"
2024-04-25,299.90,0.94,308.00,293.10,293.10,"5,075","1,505,387.00"
2024-04-28,293.70,-2.07,321.00,291.20,305.80,"24,599","7,258,230.50"
2024-04-29,289.60,-1.4,310.00,288.10,295.00,"7,567","2,208,596.20"
2024-04-30,292.10,0.86,299.00,288.10,290.00,"18,346","5,382,108.40"
2024-05-02,291.90,-0.07,296.80,289.00,289.00,"9,715","2,842,832.00"
2024-05-05,282.90,-3.08,293.00,282.90,291.10,"7,995","2,286,296.00"
2024-05-06,285.00,0.74,296.40,280.00,280.00,"4,585","1,305,954.00"
2024-05-07,285.90,0.32,288.00,282.20,285.00,"9,048","2,569,146.20"
2024-05-08,286.00,0.03,289.90,283.00,283.00,"4,910","1,401,409.00"
2024-05-09,282.00,-1.4,289.60,278.40,284.00,"6,865","1,945,638.50"
2024-05-12,281.00,-0.35,285.70,279.00,282.00,"5,148","1,443,946.00"
2024-05-13,284.00,1.07,284.00,276.00,276.00,"4,436","1,244,317.50"
2024-05-14,291.00,2.46,295.00,281.00,281.00,"7,296","2,115,160.30"
2024-05-15,285.00,-2.06,290.90,282.60,285.20,"6,278","1,793,266.30"
2024-05-16,287.10,0.74,290.70,280.00,285.00,"3,610","1,028,491.50"
2024-05-19,286.00,-0.38,298.50,281.40,292.80,"2,888","827,696.00"
2024-05-20,294.20,2.87,302.00,285.00,285.00,"17,773","5,241,821.40"
2024-05-21,302.00,2.65,306.00,288.40,288.40,"19,869","5,955,621.00"
2024-05-22,299.00,-0.99,308.00,296.00,300.00,"12,560","3,784,285.50"
2024-05-26,288.00,-3.68,295.80,287.00,295.00,"7,203","2,104,984.70"
2024-05-27,293.00,1.74,299.50,283.00,288.00,"3,810","1,106,542.00"
2024-05-29,291.00,-0.68,298.80,288.00,298.80,"3,900","1,132,607.00"
2024-05-30,283.00,-2.75,292.50,280.00,287.00,"10,978","3,132,110.60"
2024-06-02,295.00,4.24,300.50,284.10,284.10,"13,517","3,962,066.50"
2024-06-03,294.60,-0.14,305.00,289.40,300.00,"9,385","2,765,031.00"
2024-06-04,288.60,-2.04,295.80,288.00,290.00,"5,073","1,476,917.70"
2024-06-05,291.00,0.83,294.20,283.30,283.30,"2,911","837,273.00"
2024-06-06,285.00,-2.06,290.00,283.40,285.20,"8,812","2,520,574.10"
2024-06-09,294.00,3.16,298.00,284.90,285.00,"15,475","4,559,204.60"
2024-06-10,303.00,3.06,306.30,290.00,290.00,"29,516","8,929,336.60"
2024-06-11,314.00,3.63,324.00,297.10,297.10,"49,088","15,479,605.70"
2024-06-12,308.00,-1.91,320.00,303.10,311.10,"26,266","8,182,471.80"
2024-06-13,307.00,-0.32,316.00,301.00,302.00,"17,399","5,330,472.70"
2024-06-16,306.70,-0.1,311.00,301.00,301.00,"14,591","4,473,820.30"
2024-06-18,303.50,-1.04,312.00,300.60,300.60,"15,301","4,654,920.90"
2024-06-19,304.00,0.16,307.00,298.10,298.10,"15,249","4,613,778.80"
2024-06-20,300.00,-1.32,308.00,296.50,304.00,"4,488","1,345,413.50"
2024-06-23,302.00,0.67,311.00,296.10,296.10,"21,540","6,566,799.80"
2024-06-24,310.00,2.65,314.00,303.00,308.00,"34,937","10,832,887.20"
2024-06-25,336.80,8.65,338.00,310.30,316.20,"87,428","28,994,229.10"
2024-06-26,326.90,-2.94,342.90,326.00,340.00,"33,150","11,003,995.40"
2024-06-27,319.10,-2.39,330.00,319.00,330.00,"36,214","11,621,237.20"
2024-06-30,333.00,4.36,342.50,321.00,321.00,"65,344","21,853,173.40"
2024-07-01,330.00,-0.9,339.60,326.40,333.00,"12,118","4,000,502.00"
2024-07-02,341.00,3.33,360.00,325.00,336.60,"34,040","11,652,880.20"
2024-07-03,338.00,-0.88,340.30,331.00,335.00,"12,884","4,309,308.20"
2024-07-04,327.00,-3.25,339.00,323.10,333.00,"30,300","9,945,619.20"
2024-07-07,325.00,-0.61,333.20,320.60,333.20,"24,504","7,955,713.30"
2024-07-08,328.00,0.92,331.20,318.80,318.80,"11,729","3,817,960.30"
2024-07-09,339.60,3.54,339.60,323.00,323.00,"29,092","9,713,917.30"
2024-07-10,352.00,3.65,355.00,339.00,339.00,"58,861","20,604,205.40"
2024-07-11,361.90,2.81,366.00,353.00,358.00,"39,766","14,245,720.10"
2024-07-14,359.00,-0.8,380.00,353.00,369.10,"36,288","13,096,743.30"
2024-07-15,350.00,-2.51,360.00,340.20,360.00,"38,250","13,422,835.00"
2024-07-16,375.00,7.14,381.00,348.00,350.00,"32,405","11,819,260.00"
2024-07-17,370.00,-1.33,379.00,362.10,368.00,"30,485","11,290,795.60"
2024-07-18,361.00,-2.43,377.00,360.80,370.00,"46,571","17,227,446.40"
2024-07-21,359.90,-0.3,370.50,358.00,365.40,"30,945","11,248,799.40"
2024-07-22,365.00,1.42,367.00,350.00,359.90,"31,203","11,160,468.50"
2024-07-23,377.00,3.29,380.00,362.00,362.00,"34,583","12,894,046.10"
2024-07-24,380.00,0.8,397.50,370.00,377.00,"62,599","24,202,521.50"
2024-07-25,375.00,-1.32,387.50,365.00,387.50,"33,758","12,617,233.70"
2024-07-28,368.00,-1.87,385.00,351.00,370.00,"40,422","14,649,321.30"
2024-07-29,372.00,1.09,389.90,365.00,375.00,"57,362","21,516,274.10"
2024-07-30,376.90,1.32,380.00,365.00,372.00,"28,794","10,760,534.40"
2024-07-31,380.00,0.82,386.00,370.00,370.00,"37,259","14,171,733.70"
2024-08-01,372.00,-2.11,387.40,366.00,387.40,"39,247","14,703,705.60"
2024-08-05,375.00,0.81,382.50,360.10,365.00,"30,281","11,270,376.70"
2024-08-06,355.00,-5.33,382.50,337.50,382.50,"50,175","17,766,518.80"
2024-08-07,370.00,4.23,370.00,343.00,360.00,"37,351","13,398,132.70"
2024-08-08,361.00,-2.43,376.00,352.00,370.00,"19,933","7,261,824.10"
2024-08-11,367.00,1.66,373.00,357.00,362.00,"29,121","10,685,108.00"
2024-08-12,372.00,1.36,375.00,364.00,364.00,"53,652","19,905,854.60"
2024-08-13,409.10,9.97,409.20,375.00,378.00,"125,230","50,035,427.40"
2024-08-14,431.00,5.35,436.40,412.00,417.20,"62,151","26,367,168.30"
2024-08-15,415.10,-3.69,434.50,415.00,426.00,"41,981","17,668,741.40"
2024-08-18,380.00,-8.46,431.00,380.00,415.00,"38,504","15,274,331.10"
2024-08-21,384.00,1.05,400.00,383.00,383.00,"31,410","12,229,900.40"
2024-08-22,386.00,0.52,418.80,380.20,380.20,"31,474","12,339,312.80"
2024-08-25,369.00,-4.4,401.00,367.00,381.10,"22,427","8,367,591.30"
2024-08-27,360.00,-2.44,369.20,350.00,361.70,"20,808","7,499,364.20"
2024-08-28,350.10,-2.75,374.50,350.10,367.20,"13,756","4,938,201.50"
2024-08-29,358.40,2.37,365.00,350.00,355.00,"22,500","8,086,057.80"
2024-09-01,350.00,-2.34,366.00,350.00,351.30,"8,302","2,948,117.00"
2024-09-02,358.20,2.34,369.20,340.50,343.10,"27,040","9,692,572.00"
2024-09-03,365.00,1.9,378.90,358.00,360.40,"30,837","11,321,657.90"
2024-09-04,368.00,0.82,374.00,340.00,368.00,"23,583","8,265,458.20"
2024-09-05,350.00,-4.89,370.00,348.10,370.00,"15,269","5,397,291.10"
2024-09-08,351.00,0.29,372.00,345.80,357.00,"12,240","4,324,981.40"
2024-09-09,349.90,-0.31,372.00,340.50,344.00,"16,470","5,736,975.90"
2024-09-10,344.00,-1.69,362.00,339.50,350.00,"7,959","2,736,772.10"
2024-09-11,340.00,-1.16,364.00,334.40,337.20,"6,402","2,172,430.00"
2024-09-12,350.00,2.94,360.00,333.30,333.30,"9,412","3,227,838.40"
2024-09-15,347.00,-0.86,362.90,338.00,357.00,"14,788","5,135,237.70"
2024-09-16,340.10,-1.99,351.00,327.10,340.10,"11,381","3,860,428.10"
2024-09-18,333.00,-2.09,338.00,319.00,333.30,"15,047","4,919,119.20"
2024-09-22,323.00,-3,360.10,314.10,339.60,"23,194","7,496,902.30"
2024-09-23,304.90,-5.6,335.90,299.20,324.00,"23,529","7,226,366.70"
2023-11-20,191.00,-0.52,194.80,190.00,190.00,"1,500","287,360.00"
2023-11-21,189.10,-0.99,190.00,187.20,188.00,"1,770","331,828.00"
2023-11-22,190.80,0.9,195.80,183.00,185.70,"1,433","269,295.00"
2023-11-23,200.00,4.82,200.00,184.10,187.00,"1,120","214,437.00"
2023-11-26,204.00,2,204.00,196.10,203.00,"2,536","509,040.50"
2023-11-27,200.00,-1.96,208.00,197.00,200.00,"2,103","420,119.00"
2023-11-28,200.00,0,204.00,196.30,196.30,"2,497","495,755.00"
2023-11-29,201.30,0.65,204.00,195.10,200.00,"1,660","328,561.00"
2023-11-30,200.00,-0.65,205.00,194.50,197.40,"2,205","437,154.50"
2023-12-03,197.00,-1.5,204.00,193.00,196.00,"1,280","251,765.00"
2023-12-04,198.90,0.96,208.90,193.20,193.20,"1,950","388,881.00"
2023-12-05,200.00,0.55,200.00,197.10,197.10,660,"131,384.00"
2023-12-06,196.90,-1.55,204.00,193.00,200.00,"2,280","459,206.00"
