Date,NRIC,NTC,SHIVM,HRL,NYADI,RADHI,NHPC,KPCL,HDHPC,DHPL,API,AKPL,UNHPL
2024-04-22,714.0,825.3,507.0,595.0,296.0,228.2,145.6,392.1,131.5,199.0,170.8,167.0,226.0
2024-04-24,708.5,828.9,505.0,592.1,297.1,226.7,146.3,393.0,130.2,198.9,171.6,165.4,223.3
2024-04-25,702.0,827.0,499.5,592.0,299.9,226.0,144.0,392.1,129.1,196.0,169.5,165.0,223.0
2024-04-28,708.0,836.0,503.0,595.6,293.7,228.0,145.8,396.0,130.0,196.8,171.0,167.0,225.0
2024-04-29,703.0,829.3,500.1,589.0,289.6,227.0,145.0,395.0,130.0,200.5,169.7,167.0,224.3
2024-04-30,706.2,829.8,509.3,590.0,292.1,233.9,149.0,395.5,133.1,209.6,172.0,171.0,229.0
2024-05-02,705.0,820.0,507.0,586.0,291.9,232.9,146.5,392.8,132.1,208.3,169.0,168.5,225.0
2024-05-05,689.9,814.8,499.0,592.5,282.9,226.0,144.9,389.1,130.1,199.3,167.7,165.6,221.9
2024-05-06,675.0,808.0,500.0,575.1,285.0,227.0,144.4,387.0,130.0,209.1,163.6,164.0,219.5
2024-05-07,682.4,819.0,500.0,569.0,285.9,226.0,145.0,382.0,130.0,204.0,162.5,164.5,218.0
2024-05-08,675.5,808.0,496.0,562.0,286.0,226.0,142.6,396.9,129.5,202.0,162.5,163.0,216.5
2024-05-09,678.0,807.0,496.0,560.0,282.0,229.9,142.9,387.3,130.9,198.0,163.3,162.9,216.0
2024-05-12,678.0,812.0,499.4,567.0,281.0,228.0,144.0,394.0,131.0,198.0,168.0,162.6,215.0
2024-05-13,685.0,823.0,493.8,565.0,284.0,227.9,145.1,387.0,131.5,195.0,171.0,163.4,220.7
2024-05-14,694.0,832.0,498.0,570.1,291.0,236.0,148.6,408.0,133.6,202.5,176.6,171.0,228.7
