Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Half Life,Rolling Window,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125
FOWAD,SMB,-2.106086659967798,1.4748458367340558,-0.24212737405836315,0.05,11754.287021674621,2.0737058623314795,0.5363604868508837,0.025065053428024436,6,0.6666666666666666,5.5416379681446335,64.36612499999997,23.230000000000018,1.6803742012358858,2.983703457067929,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10231.711987664354,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10221.48027567669,10600.88023932517,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,10590.279359085845,11226.838837915127,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11215.611999077213,11418.539385682787,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11407.120846297103,11143.47656247312,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11132.333085910646,11766.05307474937,11754.287021674621,11754.287021674621,11754.287021674621,11754.287021674621,11754.287021674621
SKBBL,SMFDB,-2.432507274568309,1.3883199427739596,0.1193292463507768,0.15000000000000002,11902.631750424765,2.2695758768827776,2.0657793371343014,0.007085983030180043,6,0.3333333333333333,0.36783712363869303,57.41937499999999,104.06666666666668,0.8506466098683431,22.093653002160142,22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9939.079248947148,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,9929.1401696982,10394.05822550204,10383.664167276538,10383.664167276538,10383.664167276538,10383.664167276538,10383.664167276538,10383.664167276538,10383.664167276538,10383.664167276538,10906.52386337395,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,10895.617339510574,11005.852111459282,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,10994.846259347823,11185.6133187402,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11174.42770542146,11914.546296721486,11902.631750424765,11902.631750424765,11902.631750424765,11902.631750424765,11902.631750424765
HEI,SMB,-1.7323204490999526,1.561722544336067,-0.22895120552117165,0.15000000000000002,10254.213275143522,0.047677807631647175,0.0055251419250459104,0.021373180176322948,5,0.4,0.21489189002486872,15.553874999999998,72.38,0.4590103236378426,17.24604346514857,17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9796.06426249927,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,10060.34239906362,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10050.282056664557,10234.92101482619,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10224.686093811364,10412.368176133994,10401.955807957862,10401.955807957862,10401.955807957862,10401.955807957862,10401.955807957862,10401.955807957862,10401.955807957862,10401.955807957862,10401.955807957862,10264.477752896419,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522,10254.213275143522
NICL,SMB,-2.631034932587979,2.0263389742615523,0.10192003860754562,0.05,10000.0,-1.1573405376882406e+17,0.0,0.0,0,0.0,inf,0.0,0.0,0.550657246277743,-87.69505056685988,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
PRIN,SMB,-1.961105067720665,1.038714489840048,-0.20936518333308718,0.05,8679.923844322475,-2.4985444640109598,-0.17929623096410785,0.1591690330716326,13,0.38461538461538464,0.8370903930506585,58.39710000000002,49.82999999999999,0.5444366361066144,-89.95085962114901,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10159.741697416976,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,10149.581955719557,9825.018119666054,9815.193101546389,9815.193101546389,9815.193101546389,9815.193101546389,9815.193101546389,9815.193101546389,9615.026237158794,9605.411210921637,9605.411210921637,9605.411210921637,9961.943979753998,9559.442058712042,9549.88261665333,9549.88261665333,9549.88261665333,9549.88261665333,9549.88261665333,9549.88261665333,9476.647551385458,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9467.170903834072,9282.487025197363,9273.204538172165,9273.204538172165,9273.204538172165,9273.204538172165,9273.204538172165,9273.204538172165,9273.204538172165,9273.204538172165,8919.712433836801,8910.792721402964,8910.792721402964,8742.88249658182,8734.13961408524,8734.13961408524,8734.13961408524,8734.13961408524,8734.13961408524,8734.13961408524,8734.13961408524,8551.17661179336,8542.625435181568,8542.625435181568,8542.625435181568,8542.625435181568,8542.625435181568,8542.625435181568,8542.625435181568,8696.917420894682,8688.220503473787,8688.220503473787,8688.220503473787,8688.220503473787,8688.220503473787,8688.220503473787,8774.257912971618,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8765.483655058646,8562.893563154876,8554.33066959172,8554.33066959172,8554.33066959172,8554.33066959172,8554.33066959172,8554.33066959172,8554.33066959172,8688.612456779254,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475,8679.923844322475
DDBL,KLBSL,-1.4758140932558605,1.0948923672635995,-0.1733809104914421,0.15000000000000002,15143.3110995939,3.1265906230189278,0.862043810025556,0.03828818567818177,21,0.7619047619047619,2.8353334554781977,29.016093750000007,32.748000000000005,1.020212490900719,3.081224277736218,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10610.121116302707,10654.902105992234,10644.247203886242,10644.247203886242,10644.247203886242,10644.247203886242,10644.247203886242,10644.247203886242,10644.247203886242,11697.974703486467,11860.082373926438,11848.22229155251,11848.22229155251,11848.22229155251,11848.22229155251,11894.430401494257,11882.535971092764,11882.535971092764,11882.535971092764,11882.535971092764,12048.8298828296,12036.78105294677,12036.78105294677,12036.78105294677,11798.994890041458,11787.195895151417,11787.195895151417,11787.195895151417,12885.926623670592,12860.15477042325,12847.294615652827,12847.294615652827,12847.294615652827,12931.400195262517,12918.468795067254,13270.63748787192,13230.769144476973,13204.30760618802,13204.30760618802,13204.30760618802,13204.30760618802,13204.30760618802,13204.30760618802,13061.359302451383,13048.297943148933,13048.297943148933,13048.297943148933,13048.297943148933,13048.297943148933,13678.131713803114,14118.690324311709,14104.571633987398,14104.571633987398,14104.571633987398,14104.571633987398,15165.165374232174,15150.000208857944,15150.000208857944,15150.000208857944,15150.000208857944,15150.000208857944,15150.000208857944,15150.000208857944,15150.000208857944,15203.887416030588,15188.683528614558,15197.642195687873,15746.204709227464,15688.72846365517,15673.039735191516,15673.039735191516,15673.039735191516,15673.039735191516,15673.039735191516,15673.039735191516,15569.279589591835,15694.7622510702,15679.06748881913,15679.06748881913,15679.06748881913,15679.06748881913,15383.405073315682,15368.021668242367,15368.021668242367,15368.021668242367,15368.021668242367,15659.95920394658,15644.299244742635,15644.299244742635,15644.299244742635,15644.299244742635,15644.299244742635,15464.26651210305,15448.802245590945,15448.802245590945,15448.802245590945,15503.31253048194,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15487.809217951459,15158.469569163064,15143.3110995939,15143.3110995939,15143.3110995939,15143.3110995939,15143.3110995939,15143.3110995939,15143.3110995939
NLG,SMB,-1.785272597629556,2.0161339743132762,0.08280939369025164,0.05,10382.751927648605,0.32077891978965994,0.05531766373907302,0.021373180176322948,4,0.25,0.29625696052055317,47.350750000000055,79.91500000000008,0.6529955945900318,167.73259433123337,30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9796.06426249927,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,9786.26819823677,10374.50025262621,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10364.125752373586,10542.88933254405,10532.346443211507,10532.346443211507,10532.346443211507,10532.346443211507,10532.346443211507,10393.145072721329,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605,10382.751927648605
DDBL,SWBBL,-1.6337642050087238,1.7282431156572877,0.49004705252401026,0.05,12066.9701496895,1.9857273934516078,8.694235142019291,0.0010000000000001208,3,1.0,inf,42.87375000000003,0.0,0.8922399888789619,1.9792883304223765,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10272.608695652176,11279.365325163422,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,11268.08595983826,12048.627392187915,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12036.578764795726,12079.049198888388,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895,12066.9701496895
HEI,PRIN,-1.496767608067499,1.590464346469706,0.4764313254975008,0.05,11403.349514148122,1.4412336291028736,0.19904774203092437,0.0670288767592047,10,0.7,1.8733954310579288,19.681357142857145,24.51333333333332,0.8440595968936683,2.8088986491519434,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10455.997709548996,10445.541711839447,10445.541711839447,10445.541711839447,10946.256833028834,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,10935.310576195805,11165.023416898806,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11153.858393481907,11142.704535088425,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11131.561830553339,11144.096085038433,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11132.951988953395,11356.878304785061,11345.521426480276,11345.521426480276,11345.521426480276,11345.521426480276,11345.521426480276,11445.128874525904,11433.68374565138,11433.68374565138,11433.68374565138,11433.68374565138,11433.68374565138,11433.68374565138,11433.68374565138,11433.68374565138,12222.617860386845,12210.395242526458,12210.395242526458,12210.395242526458,12210.395242526458,12210.395242526458,12210.395242526458,11659.976937380072,11648.316960442693,11648.316960442693,11648.316960442693,11648.316960442693,11414.764278426548,11403.349514148122,11403.349514148122,11403.349514148122,11403.349514148122,11403.349514148122,11403.349514148122
KLBSL,SMB,-1.2351890142373152,1.2741966829991755,-0.1428573489981,0.05,13833.720038710746,2.37417800010027,0.4731560521836616,0.05421647629905609,20,0.5,1.386013234250407,33.199175,23.952999999999996,0.7740350252140873,3.756537619334933,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9965.711056201042,9955.74534514484,9955.74534514484,9955.74534514484,9955.74534514484,9955.74534514484,10144.612082302852,10134.46747022055,10134.46747022055,10134.46747022055,10134.46747022055,10234.3010545173,10224.066753462785,10224.066753462785,10224.066753462785,10018.478353840605,10008.459875486764,10008.459875486764,10008.459875486764,10008.459875486764,10008.459875486764,10008.459875486764,10008.459875486764,10131.408276877532,10899.670806573155,10888.771135766581,10888.771135766581,11903.75617114727,11879.948658804975,11868.068710146172,11868.068710146172,11868.068710146172,11868.068710146172,11868.068710146172,12025.417998588257,13084.538087018844,13071.453548931826,13071.453548931826,13071.453548931826,12852.982388128312,12840.129405740185,12840.129405740185,12840.129405740185,12840.129405740185,12840.129405740185,12840.129405740185,12840.129405740185,12589.64645524343,12387.528066005898,12375.140537939891,12375.140537939891,13118.984278427404,13105.865294148974,13105.865294148974,14091.361277449258,14360.461720184421,14346.101258464236,14055.32073069135,14041.265409960659,14041.265409960659,14041.265409960659,14041.265409960659,14041.265409960659,14041.265409960659,14254.062034857006,14239.80797282215,14239.80797282215,14239.80797282215,14239.80797282215,14239.80797282215,14239.80797282215,13978.53077719034,13964.552246413152,13964.552246413152,13964.552246413152,13964.552246413152,13964.552246413152,14227.407136927497,14213.179729790569,14213.179729790569,14213.179729790569,14213.179729790569,14213.179729790569,14213.179729790569,14213.179729790569,14483.17939236332,14468.696212970955,14468.696212970955,14468.696212970955,14468.696212970955,14468.696212970955,14302.192180019236,14287.889987839215,14287.889987839215,14287.889987839215,14287.889987839215,13957.664633522703,13943.70696888918,13943.70696888918,13943.70696888918,13943.70696888918,13943.70696888918,13943.70696888918,13943.70696888918,14162.588604884097,14148.426016279212,14148.426016279212,14148.426016279212,13847.567606317063,13833.720038710746,13833.720038710746,13833.720038710746,13833.720038710746,13833.720038710746,13833.720038710746,13833.720038710746
