Stock A,Stock B,Best Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss
CFCL,RADHI,6.0,-1.56,1.68,-0.36,0.05,12901.73,2.71,1.8,0.01,7,0.71,171.29,37.68,1.1
CFCL,NHPC,12.0,-1.1,1.99,0.4,0.05,12826.44,2.71,2.43,0.01,11,0.55,2.17,34.19,23.68
CFCL,HDHPC,12.0,-1.03,1.84,0.01,0.05,12773.45,2.7,3.51,0.01,10,0.4,1.28,31.8,19.88
CFCL,DHPL,10.0,-1.3,1.85,0.12,0.1,12686.93,2.57,3.56,0.01,6,0.67,1.96,58.07,59.25
CFCL,AKPL,12.0,-1.01,1.31,0.09,0.05,12808.96,2.66,1.58,0.02,11,0.55,2.28,37.29,24.55
MFIL,NHPC,10.0,-1.49,2.13,-0.09,0.1,12175.7,2.82,1.14,0.02,7,0.71,2.23,18.65,41.9
MFIL,HDHPC,10.0,-1.46,2.01,0.17,0.05,12656.24,3.01,1.36,0.02,7,0.43,1.98,16.93,8.57
MFIL,DHPL,10.0,-1.44,2.12,0.23,0.05,12286.46,2.39,2.31,0.01,7,0.57,0.6,10.27,34.0
GUFL,NHPC,10.0,-2.19,1.18,0.4,0.05,12017.59,2.46,2.68,0.01,5,0.6,1.54,9.13,8.9
GUFL,KPCL,6.0,-2.28,1.0,-0.47,0.05,12076.21,2.46,1.3,0.01,7,0.57,2.62,27.29,13.9
GUFL,API,8.0,-2.29,1.03,0.15,0.05,11690.59,2.07,0.8,0.02,5,0.6,5.17,16.9,4.9
NYADI,RADHI,10.0,-1.04,1.16,0.14,0.05,11831.7,2.57,0.69,0.03,12,0.67,23.36,15.77,1.8
RADHI,NHPC,11.0,-1.39,1.16,0.3,0.05,12649.89,2.76,1.06,0.02,10,0.6,32.6,20.1,1.23
RADHI,KPCL,10.0,-2.6,1.01,0.02,0.05,12693.25,3.41,0.93,0.02,10,0.7,2.3,28.34,28.7
RADHI,HDHPC,12.0,-1.17,2.6,0.01,0.05,11705.25,2.44,1.87,0.01,6,0.5,15.39,30.77,3.0
RADHI,DHPL,8.0,-1.67,1.68,0.01,0.05,12324.29,2.82,1.0,0.02,9,0.78,17.06,17.06,7.0
