Stock A,Stock B,Signal,Stock,Latest Z-Score,Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold
CMF1,SBCF,Hold,None,-0.15102773109161646,10.92,-2.26,1.02,-0.23
CMF1,NICSF,Exit,NICSF,0.16696808772715752,8.85,-1.76,1.3,-0.45
SBID83,LVF2,Hold,None,-0.7871444749491077,10.38,-1.54,2.27,-0.49
CMF2,SPDL,Hold,None,-0.8730586196914158,27.09,-1.12,2.07,0.18
NSIF2,KEF,Buy,NSIF2,-1.3669072471289325,7.5,-1.03,1.41,-0.11
NSIF2,KDBY,Buy,NSIF2,-1.2691434232484693,9.18,-1.2,1.38,-0.23
NSIF2,C30MF,Exit,C30MF,-1.5174608800345035,5.26,-1.57,2.55,0.07
SFEF,HEIP,Hold,None,-0.30636835882692587,14.91,-3.0,1.48,0.42
NIBD84,NICGF,Buy,NICGF,2.2522283958345928,11.98,-2.97,1.37,0.05
CKHL,UMHL,Hold,None,-0.5664658453067082,14.85,-2.24,1.92,-0.12
MMF1,LVF2,Hold,None,0.4547900904510132,6.15,-1.02,2.43,-0.22
NBF3,H8020,Buy,NBF3,-1.5247193706862558,8.33,-1.44,1.53,-0.19
UMHL,MSHL,Hold,None,0.990498332980831,15.97,-1.08,1.02,-0.44
NICGF2,EBLD86,Hold,None,-1.6371332674925285,5.22,-1.03,2.13,0.48
NICGF2,NIL,Buy,NICGF2,-1.4397993527259745,6.55,-1.15,2.8,0.21
USHL,MSHL,Hold,None,-0.9266891829707001,9.78,-1.0,1.3,-0.44
SAEF,H8020,Hold,None,-1.4881640329355532,11.9,-1.13,2.81,-0.07
MKCL,NESDO,Hold,None,-0.04587542240688783,26.38,-1.09,1.39,0.36
SEF,SAGF,Hold,None,0.3654146500220636,7.42,-1.35,1.84,0.01
NIBLGF,CBLD88,Hold,None,0.9770516283313189,10.62,-1.46,1.01,0.49
PBLD86,NICGF,Hold,None,0.4203260678833145,21.9,-2.96,1.2,0.22
ULHC,JBBD87,Hold,None,0.7404032180331862,13.54,-1.14,2.59,-0.07
NIFRA,GIBF1,Hold,None,-1.8852019599305556,16.71,-2.97,1.87,-0.03
GIBF1,PSF,Buy,PSF,1.3105768471455297,14.23,-1.14,1.31,0.28
GIBF1,NTC,Hold,None,1.1601727003014826,7.38,-1.33,2.99,-0.3
NWCL,SONA,Hold,None,0.02515224316402247,23.89,-1.09,1.81,-0.32
LVF2,SRLI,Hold,None,1.1847747575021752,10.73,-1.71,1.98,0.25
C30MF,PSF,Hold,None,0.6759488519251033,5.94,-2.54,1.42,0.14
C30MF,OHL,Exit,C30MF,0.09122277900035936,15.95,-2.2,1.38,-0.14
C30MF,SHIVM,Hold,None,1.4659865417043076,10.32,-1.2,2.93,-0.32
SBID89,H8020,Hold,None,-1.2876957519336119,7.03,-2.14,1.12,0.06
PSF,NICSF,Hold,None,0.017251420651752416,7.17,-1.68,1.06,0.37
