stock_a,stock_b,Cointegration_P-Value,ADF_P-Value,Mean_Reversion_Coefficient,Observations
UNHPL,CMF1,0.012148985934568996,0.026274100471843077,-0.009127951737602948,1994
UNHPL,CMF2,0.00017990039017714622,0.014267245736170515,-0.014608738559023289,1465
UNHPL,BOKD86,0.012707456274991756,0.002394857494312751,-0.020272496125040656,1024
UNHPL,TPC,4.7297137342249774e-08,2.070126658762967e-08,-0.03245769657178954,1122
UNHPL,SHEL,0.0007834949621783976,0.0007702976995115897,-0.017849823698765192,1308
UNHPL,CKHL,0.01625628099919683,8.184349127618733e-05,-0.08488557755692652,341
UNHPL,MLBL,0.03869057864561127,0.011760337596773448,-0.010388396704579885,1994
UNHPL,ALBSL,0.027951372080219094,0.03858608557269314,-0.007600990890054615,1994
UNHPL,BNHC,0.0014349249910498981,7.991500514626397e-09,-0.040013529040397955,1043
UNHPL,NBF3,0.039560258163871716,0.019874751655246534,-0.018861182631912814,1100
UNHPL,JBLB,0.03942559005397674,0.0004854892840176688,-0.011797775534566622,1216
UNHPL,MKJC,9.886736503515999e-09,8.787107473117644e-11,-0.032768326750488554,1161
UNHPL,NBF2,0.004963602688839409,0.017400111291304865,-0.01106228774870222,1752
UNHPL,SMFBS,0.025390077441916212,0.03774239884400225,-0.00829065322481717,1989
UNHPL,BHL,0.0007337784162860691,0.004757615950755003,-0.02509997518312385,916
UNHPL,GVL,0.00407351512771962,0.0022150843583162217,-0.019355400415562888,952
UNHPL,NRM,0.020924321197892674,0.01646693208245992,-0.037389493874304104,478
UNHPL,SPC,0.040256029450894515,2.7426490353352957e-08,-0.03887057064554039,1097
UNHPL,SAHAS,0.04342495495574826,4.292240432744023e-06,-0.03032821672315482,1122
UNHPL,UHEWA,0.00035204731394696226,2.2950974025785045e-05,-0.035484761127408275,838
UNHPL,NIBSF2,2.594201335409102e-05,0.03544789806897026,-0.01563367851051952,1248
UNHPL,ENL,0.004900191881234544,0.00011055703167411334,-0.019337799123027802,996
UNHPL,SBCF,0.0006013750283071984,0.048805274071478714,-0.012860507067131856,1266
UNHPL,GLH,0.04717016061299684,0.007712771498011702,-0.009532004108887097,1350
UNHPL,MFIL,0.017376654645524132,0.0010552394068844581,-0.012899504320640583,1994
UNHPL,HHL,0.04931836416499635,0.035545136000013064,-0.02111722226636333,841
UNHPL,HDHPC,0.04023899965632123,0.037181302185204476,-0.007112278007424094,1736
UNHPL,SLCF,0.01949079975570894,0.0008963533581258223,-0.015273285820722503,1370
UNHPL,MSLBP,0.011852783763384677,0.00225179442958446,-0.011424010320683794,1345
UNHPL,MBJC,5.693988046039694e-05,2.2611932496291206e-07,-0.031108584048975513,1066
UNHPL,NWCL,0.018170695961126235,0.0003135628553179312,-0.050366137748467224,341
UNHPL,RURU,0.03555260193667674,0.028477285150932143,-0.011497816576756269,1303
UNHPL,NYADI,1.958202551852636e-05,2.624174454447943e-10,-0.06057653121786977,1093
UNHPL,LVF2,8.698005252417453e-05,0.019953648784322035,-0.034293975245320706,432
UNHPL,C30MF,0.0022643373085630553,0.04973742296257711,-0.03281918637639486,470
UNHPL,MMKJL,0.0044249188008161355,0.019109596375501865,-0.04362991636177432,372
UNHPL,NCCD86,0.023737445582501418,0.015346444092665426,-0.010527347747681937,1198
UNHPL,BHPL,0.006915681643788485,0.0003015902639975205,-0.03713339698487002,692
UNHPL,SIGS3,0.0006576808922794533,0.0005064046602763221,-0.10230618892301811,327
UNHPL,BBC,0.0013929268417834063,0.004429351963028962,-0.011402655684711771,1994
UNHPL,SRLI,0.03505700744147143,7.664441812202991e-05,-0.016359691944676794,1181
UNHPL,SMATA,0.01120818054731816,0.005469701608117551,-0.011083814735450555,1993
UNHPL,GUFL,0.03275524358781812,0.00028083555685145915,-0.016673321837903328,1994
UNHPL,RMF1,0.002045715600349716,0.007029900536686975,-0.016096900246658247,1181
NICLBSL,GBLBS,0.019454428627029653,0.04578768481500135,-0.00817155682669759,1601
NICLBSL,MERO,0.002988830577309551,0.021294016909407867,-0.009323899369147907,1601
NICLBSL,NSIF2,0.006887872817646414,0.0006293403364299217,-0.06474411823993242,603
NICLBSL,SFEF,0.04910221139533527,7.713187548425345e-06,-0.06768077687702138,586
NICLBSL,TPC,0.0033253619960597162,0.00022767727379320664,-0.016239724334779517,1122
NICLBSL,SHEL,0.025564754866372167,0.006253748360822376,-0.008831577520622696,1308
NICLBSL,BNHC,0.0014705329034849452,0.00015112032857769725,-0.018475333194225868,1043
NICLBSL,JBLB,5.2417620533161115e-08,4.12702757673848e-12,-0.018000208107983914,1216
NICLBSL,MKJC,0.0007287910500717872,9.709978969463584e-06,-0.018577543557002037,1161
NICLBSL,SPC,0.030372371661209083,0.0013325708917402974,-0.015841743574479747,1097
NICLBSL,SAHAS,0.0013488138792566837,0.0017429331942073595,-0.014757279633669353,1122
NICLBSL,UHEWA,0.019557096752475158,0.009405062232301623,-0.016520045986889546,838
NICLBSL,SGIC,2.2623039719454014e-05,4.354704856916392e-05,-0.03941138348466493,673
NICLBSL,NESDO,0.001043059333227326,8.396436170636166e-06,-0.01688851171076001,974
NICLBSL,NIBLGF,6.775900904738209e-05,1.0176418288326004e-05,-0.08012934656525883,579
NICLBSL,CITY,0.0364413785181277,0.0002852294701244516,-0.0326955018664501,534
NICLBSL,NIFRA,3.191535940556986e-11,7.08986867851799e-11,-0.03595728194434572,1336
NICLBSL,KDBY,0.0370011592245369,0.008227484742784272,-0.026601074330425124,853
NICLBSL,MSLBP,0.0018553158216011367,3.330098707503061e-05,-0.0232298352822484,1335
NICLBSL,RURU,5.325953718934246e-06,5.860213995400992e-07,-0.013925159507649788,1303
NICLBSL,LVF2,0.00042528901891711806,0.001004483291580504,-0.06883769307477611,432
NICLBSL,C30MF,0.0396123665114881,0.002992396002410709,-0.07182909279594077,470
