open,high,low,close,volume,date
345.6,377.86,345.6,377.86,80.0,2020-07-29 05:45:00
384.77,415.49,384.77,415.49,90.0,2020-07-30 05:45:00
423.17,456.96,423.17,456.96,230.0,2020-08-02 05:45:00
465.41,502.28,465.41,502.28,776.0,2020-08-03 05:45:00
512.26,552.2,512.26,552.2,4522.0,2020-08-05 05:45:00
579.08,606.73,549.13,552.2,31854.0,2020-08-06 20:45:00
579.08,579.08,513.8,531.46,9707.0,2020-08-09 20:45:00
527.62,584.46,526.09,572.94,11652.0,2020-08-10 20:45:00
562.19,572.94,529.93,551.43,5870.0,2020-08-11 20:45:00
541.45,559.88,537.61,541.45,3541.0,2020-08-12 20:45:00
531.46,576.77,531.46,552.96,7146.0,2020-08-13 20:45:00
542.21,545.28,522.24,533.76,5753.0,2020-08-16 20:45:00
543.75,562.19,524.55,551.43,4011.0,2020-08-17 20:45:00
540.68,545.28,534.53,545.28,2177.0,2020-08-18 20:45:00
535.3,535.3,527.62,529.93,4465.0,2020-08-19 20:45:00
539.91,539.91,522.24,532.99,2401.0,2020-08-20 20:45:00
532.99,548.36,523.01,548.36,4104.0,2020-08-23 20:45:00
543.75,554.5,538.38,552.2,5291.0,2020-08-24 20:45:00
552.96,572.17,541.45,550.66,3897.0,2020-08-25 20:45:00
541.45,554.5,541.45,548.36,4609.0,2020-08-26 20:45:00
545.28,552.2,539.14,544.52,2704.0,2020-08-27 20:45:00
544.52,544.52,523.01,539.91,1698.0,2020-08-30 23:00:00
541.45,546.05,537.61,540.68,5805.0,2020-08-31 20:45:00
546.82,556.04,538.38,542.21,4545.0,2020-09-02 20:45:00
535.3,541.45,533.76,540.68,4522.0,2020-09-03 20:45:00
567.56,567.56,535.3,539.14,5536.0,2020-09-06 20:45:00
537.61,544.52,530.69,544.52,4312.0,2020-09-07 20:45:00
545.28,550.66,538.38,544.52,5292.0,2020-09-08 20:45:00
555.27,598.27,547.59,595.21,24756.0,2020-09-09 20:45:00
624.39,624.39,584.46,600.58,11266.0,2020-09-10 22:45:00
600.58,600.58,578.31,593.67,12177.0,2020-09-13 23:00:00
583.69,590.6,566.02,583.69,12353.0,2020-09-14 20:45:00
576.0,587.52,564.48,574.47,3362.0,2020-09-15 20:45:00
585.23,596.74,564.48,572.17,5457.0,2020-09-16 20:45:00
572.17,591.37,568.32,579.08,8153.0,2020-09-17 20:45:00
590.6,591.37,568.32,569.09,3455.0,2020-09-20 20:45:00
569.09,572.17,565.25,569.09,2758.0,2020-09-21 20:45:00
569.09,569.09,556.8,562.19,5803.0,2020-09-22 20:45:00
553.73,573.71,553.73,568.32,2153.0,2020-09-23 20:45:00
559.11,568.32,559.11,566.79,3241.0,2020-09-24 20:45:00
577.54,622.85,577.54,622.85,635.0,2021-01-10 20:45:00
635.14,685.07,635.14,685.07,380.0,2021-01-11 20:45:00
698.12,753.42,698.12,753.42,406.0,2021-01-12 20:45:00
791.05,828.68,791.05,828.68,6886.0,2021-01-13 20:45:00
869.38,910.85,869.38,910.85,3217.0,2021-01-17 20:45:00
956.17,1001.48,956.17,1001.48,50962.0,2021-01-18 20:45:00
