open,high,low,close,volume,date
43.35,43.35,43.35,43.35,60.0,2011-07-18 05:45:00
43.78,43.78,42.47,43.35,1450.0,2011-07-19 05:45:00
43.35,43.78,43.35,43.35,2761.0,2011-07-20 05:45:00
43.13,43.35,42.69,43.35,1540.0,2011-07-21 05:45:00
43.35,43.35,42.25,42.92,3830.0,2011-07-24 05:45:00
42.47,42.69,42.04,42.69,1130.0,2011-07-25 05:45:00
42.25,42.25,41.82,42.25,400.0,2011-07-26 05:45:00
42.69,43.35,41.82,43.35,1932.0,2011-07-27 05:45:00
42.92,43.35,42.47,42.47,1146.0,2011-07-28 05:45:00
42.69,42.69,41.16,41.82,2491.0,2011-07-31 05:45:00
41.38,42.04,41.38,42.04,1030.0,2011-08-01 05:45:00
41.82,42.04,41.82,41.82,2112.0,2011-08-02 05:45:00
41.82,42.04,41.38,41.38,1425.0,2011-08-03 05:45:00
41.6,42.04,41.6,42.04,110.0,2011-08-04 05:45:00
42.04,42.04,41.38,41.82,685.0,2011-08-07 05:45:00
41.6,42.25,41.6,41.82,2076.0,2011-08-08 05:45:00
41.38,42.04,41.38,41.38,3006.0,2011-08-09 05:45:00
41.6,41.82,41.38,41.82,1838.0,2011-08-10 05:45:00
41.38,41.82,40.95,41.38,1547.0,2011-08-11 05:45:00
40.95,42.69,40.95,42.25,2387.0,2011-08-15 05:45:00
42.25,42.25,41.82,42.04,827.0,2011-08-16 05:45:00
42.04,42.92,42.04,42.92,2452.0,2011-08-17 05:45:00
42.47,42.47,42.25,42.47,772.0,2011-08-18 05:45:00
42.25,42.25,42.25,42.25,1000.0,2011-08-22 05:45:00
41.82,42.25,41.6,42.25,6027.0,2011-08-23 05:45:00
42.25,42.25,41.82,42.04,1351.0,2011-08-24 05:45:00
41.6,42.04,41.16,42.04,1662.0,2011-08-25 05:45:00
42.25,42.25,42.04,42.04,281.0,2011-08-28 05:45:00
42.04,42.04,41.38,41.6,435.0,2011-08-29 05:45:00
41.38,41.6,41.16,41.16,490.0,2011-08-30 05:45:00
41.38,42.04,41.38,41.82,1452.0,2011-09-01 05:45:00
41.6,41.82,40.73,41.6,1402.0,2011-09-04 05:45:00
41.38,41.38,40.29,40.73,2152.0,2011-09-05 05:45:00
40.29,40.95,40.29,40.95,3800.0,2011-09-06 05:45:00
40.95,41.16,40.52,40.73,3400.0,2011-09-07 05:45:00
40.52,40.95,40.52,40.95,1120.0,2011-09-08 05:45:00
40.95,40.95,40.52,40.52,1934.0,2011-09-12 05:45:00
40.29,40.29,39.42,40.29,1498.0,2011-09-13 05:45:00
40.29,40.52,39.85,40.08,1880.0,2011-09-14 05:45:00
40.29,40.73,40.29,40.73,845.0,2011-09-15 05:45:00
40.29,40.73,39.64,39.85,992.0,2011-09-18 05:45:00
40.08,40.29,39.85,40.08,403.0,2011-09-19 05:45:00
40.52,40.73,40.29,40.29,571.0,2011-09-20 05:45:00
40.08,40.08,40.08,40.08,683.0,2011-09-21 05:45:00
40.29,40.73,39.85,40.29,1230.0,2011-09-22 05:45:00
40.52,40.73,39.85,40.73,2124.0,2011-09-25 05:45:00
40.73,40.73,39.64,40.73,1155.0,2011-09-26 05:45:00
40.52,40.52,40.29,40.29,1650.0,2011-09-27 05:45:00
40.08,40.52,40.08,40.29,1062.0,2011-09-29 05:45:00
40.08,40.08,39.64,40.08,320.0,2011-10-02 05:45:00
40.29,40.73,39.85,40.73,781.0,2011-10-10 05:45:00
40.29,40.29,39.64,40.29,974.0,2011-10-12 05:45:00
40.29,40.52,39.85,40.29,3345.0,2011-10-13 05:45:00
40.29,40.52,39.85,40.08,1400.0,2011-10-16 05:45:00
40.08,40.08,39.64,40.08,1261.0,2011-10-17 05:45:00
40.08,40.08,39.64,39.85,991.0,2011-10-18 05:45:00
40.08,40.08,40.08,40.08,820.0,2011-10-19 05:45:00
39.64,40.29,39.42,39.85,956.0,2011-10-20 05:45:00
40.08,40.08,39.64,39.64,1908.0,2011-10-23 05:45:00
39.64,40.29,39.64,39.85,1190.0,2011-10-24 05:45:00
39.42,40.52,39.42,40.52,1244.0,2011-10-25 05:45:00
40.95,40.95,40.73,40.73,9320.0,2011-10-30 05:45:00
40.52,40.52,39.85,40.52,1262.0,2011-10-31 05:45:00
40.95,42.69,40.95,42.69,110.0,2011-11-02 05:45:00
43.13,44.0,43.13,43.56,5625.0,2011-11-03 05:45:00
43.13,43.13,40.73,40.73,3883.0,2011-11-06 05:45:00
40.29,40.73,40.08,40.52,2100.0,2011-11-08 05:45:00
40.29,40.73,40.29,40.29,1182.0,2011-11-09 05:45:00
40.29,40.52,40.29,40.52,3122.0,2011-11-10 05:45:00
40.29,40.73,40.29,40.73,1164.0,2011-11-13 05:45:00
40.73,41.16,39.42,41.16,2691.0,2011-11-14 05:45:00
40.73,40.95,40.29,40.52,1157.0,2011-11-15 05:45:00
40.52,40.73,40.29,40.73,1400.0,2011-11-16 05:45:00
40.29,40.73,40.29,40.29,734.0,2011-11-17 05:45:00
40.08,40.29,39.64,40.29,2545.0,2011-11-20 05:45:00
40.29,40.29,40.08,40.29,1461.0,2011-11-21 05:45:00
40.08,40.29,40.08,40.08,1141.0,2011-11-22 05:45:00
40.08,40.29,40.08,40.08,410.0,2011-11-23 05:45:00
39.85,40.52,39.42,40.08,1499.0,2011-11-24 05:45:00
39.85,40.52,39.85,40.52,2513.0,2011-11-27 05:45:00
40.08,40.29,40.08,40.29,61.0,2011-11-28 05:45:00
40.08,41.82,40.08,41.82,723.0,2011-11-29 05:45:00
41.38,41.38,40.95,40.95,20.0,2011-12-05 05:45:00
40.52,40.52,40.52,40.52,30.0,2011-12-06 05:45:00
40.08,40.08,39.42,39.42,5809.0,2011-12-07 05:45:00
39.64,40.08,39.42,40.08,3872.0,2011-12-08 05:45:00
39.64,39.64,39.21,39.64,1249.0,2011-12-11 05:45:00
39.42,39.64,39.42,39.64,1087.0,2011-12-12 05:45:00
39.64,39.64,39.21,39.42,2102.0,2011-12-13 05:45:00
39.42,39.85,39.21,39.42,1225.0,2011-12-14 05:45:00
39.42,39.64,39.21,39.42,2866.0,2011-12-15 05:45:00
39.64,39.64,38.99,39.42,651.0,2011-12-18 05:45:00
39.85,39.85,39.21,39.21,1228.0,2011-12-19 05:45:00
39.64,39.64,39.21,39.21,1011.0,2011-12-20 05:45:00
39.21,39.85,39.21,39.85,1397.0,2011-12-21 05:45:00
39.42,39.85,39.42,39.85,210.0,2011-12-22 05:45:00
39.42,39.42,38.99,39.21,1702.0,2011-12-26 05:45:00
39.21,39.42,39.21,39.42,1405.0,2011-12-27 05:45:00
39.21,39.21,39.21,39.21,250.0,2011-12-28 05:45:00
39.21,39.85,38.99,39.64,1699.0,2011-12-29 05:45:00
39.21,39.64,39.21,39.42,1111.0,2012-01-01 05:45:00
39.85,40.29,39.64,40.29,551.0,2012-01-02 05:45:00
39.85,39.85,39.42,39.64,490.0,2012-01-03 05:45:00
39.64,39.64,39.21,39.42,3220.0,2012-01-04 05:45:00
39.21,39.42,38.99,39.21,775.0,2012-01-05 05:45:00
39.42,39.64,39.21,39.42,3240.0,2012-01-08 05:45:00
39.21,39.21,38.77,38.77,1710.0,2012-01-09 05:45:00
39.21,39.42,38.99,38.99,549.0,2012-01-10 05:45:00
38.77,38.99,38.77,38.99,2477.0,2012-01-11 05:45:00
38.99,38.99,38.55,38.99,3102.0,2012-01-12 05:45:00
38.77,38.99,38.77,38.77,1049.0,2012-01-16 05:45:00
38.77,39.42,38.55,39.21,866.0,2012-01-17 05:45:00
39.64,40.29,39.42,40.29,2190.0,2012-01-18 05:45:00
39.85,40.08,39.64,40.08,411.0,2012-01-19 05:45:00
40.08,40.29,39.64,40.08,4484.0,2012-01-22 05:45:00
39.64,39.64,38.77,38.99,1650.0,2012-01-23 05:45:00
38.77,39.42,38.77,39.42,1170.0,2012-01-25 05:45:00
38.99,39.42,38.55,38.99,1060.0,2012-01-26 05:45:00
39.42,39.42,38.77,38.99,4200.0,2012-01-29 05:45:00
38.77,39.42,38.55,38.55,2291.0,2012-01-31 05:45:00
38.55,39.21,38.55,38.77,1833.0,2012-02-01 05:45:00
38.77,39.21,38.77,38.77,3946.0,2012-02-02 05:45:00
38.55,38.77,38.33,38.55,1611.0,2012-02-05 05:45:00
38.55,38.77,38.55,38.77,992.0,2012-02-06 05:45:00
38.33,38.55,37.89,38.55,2091.0,2012-02-07 05:45:00
38.33,38.55,38.33,38.55,386.0,2012-02-08 05:45:00
38.33,38.55,38.33,38.33,920.0,2012-02-09 05:45:00
38.33,38.33,38.12,38.33,1309.0,2012-02-12 05:45:00
38.55,38.77,37.89,38.12,1992.0,2012-02-13 05:45:00
38.55,38.55,37.89,38.33,1961.0,2012-02-14 05:45:00
38.55,38.77,38.55,38.77,276.0,2012-02-15 05:45:00
38.33,38.33,37.89,38.12,550.0,2012-02-16 05:45:00
38.12,38.33,38.12,38.33,631.0,2012-02-21 05:45:00
37.89,38.33,37.89,38.33,1230.0,2012-02-23 05:45:00
38.33,38.33,37.46,37.89,2747.0,2012-02-26 05:45:00
38.33,38.33,37.89,38.12,1285.0,2012-02-27 05:45:00
38.12,38.55,37.89,38.33,2204.0,2012-02-28 05:45:00
38.33,38.33,38.12,38.12,1030.0,2012-02-29 05:45:00
38.33,38.33,37.89,38.12,2300.0,2012-03-01 05:45:00
38.33,38.33,37.24,38.33,1451.0,2012-03-04 05:45:00
38.33,38.33,37.89,37.89,460.0,2012-03-05 05:45:00
37.89,37.89,37.46,37.46,2124.0,2012-03-06 05:45:00
37.46,37.68,37.46,37.68,754.0,2012-03-11 05:45:00
37.68,37.89,36.8,37.68,1022.0,2012-03-12 05:45:00
37.68,37.68,37.24,37.24,1321.0,2012-03-13 05:45:00
37.46,37.46,37.02,37.02,793.0,2012-03-14 05:45:00
36.59,37.02,36.59,37.02,842.0,2012-03-15 05:45:00
37.02,37.02,36.59,37.02,1003.0,2012-03-18 05:45:00
37.46,37.46,36.8,36.8,311.0,2012-03-19 05:45:00
37.02,37.02,36.59,36.59,4107.0,2012-03-20 05:45:00
37.02,37.68,36.59,37.24,1257.0,2012-03-21 05:45:00
37.02,37.68,36.8,37.68,920.0,2012-03-25 05:45:00
37.24,37.89,37.02,37.89,2082.0,2012-03-26 05:45:00
37.46,37.46,36.8,37.02,270.0,2012-03-27 05:45:00
37.24,37.68,37.24,37.68,1615.0,2012-03-28 05:45:00
37.68,38.12,37.46,37.46,1395.0,2012-03-29 05:45:00
37.46,37.68,37.46,37.68,1762.0,2012-04-01 05:45:00
37.46,37.68,37.24,37.46,1275.0,2012-04-02 05:45:00
37.68,37.68,37.68,37.68,680.0,2012-04-03 05:45:00
37.68,37.68,37.46,37.46,3550.0,2012-04-04 05:45:00
37.46,37.68,37.46,37.68,680.0,2012-04-05 05:45:00
37.46,37.68,37.46,37.68,1051.0,2012-04-08 05:45:00
37.89,37.89,37.46,37.68,921.0,2012-04-09 05:45:00
37.68,37.68,37.24,37.68,1313.0,2012-04-10 05:45:00
38.12,38.55,37.89,37.89,2180.0,2012-04-11 05:45:00
38.12,39.42,38.12,39.42,683.0,2012-04-12 05:45:00
39.85,41.6,39.85,41.38,2514.0,2012-04-15 05:45:00
41.82,44.0,41.82,44.0,833.0,2012-04-16 05:45:00
43.56,43.56,42.92,42.92,1789.0,2012-04-17 05:45:00
42.47,42.47,40.73,41.6,3301.0,2012-04-18 05:45:00
42.04,42.47,40.73,41.16,4668.0,2012-04-19 05:45:00
41.38,41.6,41.16,41.38,1560.0,2012-04-22 05:45:00
41.82,42.69,41.82,42.69,100.0,2012-04-24 05:45:00
44.0,44.0,44.0,44.0,70.0,2012-04-25 05:45:00
44.44,46.83,44.44,46.83,8831.0,2012-04-26 05:45:00
47.27,49.24,45.3,47.27,8923.0,2012-04-29 05:45:00
47.27,47.92,44.0,45.09,5694.0,2012-04-30 05:45:00
45.09,45.09,42.47,42.47,980.0,2012-05-02 05:45:00
42.92,43.35,42.92,43.35,241.0,2012-05-03 05:45:00
43.78,43.78,43.78,43.78,183.0,2012-05-07 05:45:00
44.23,45.52,44.23,45.52,2332.0,2012-05-08 05:45:00
45.09,46.83,43.56,45.52,7062.0,2012-05-09 05:45:00
45.09,45.52,42.69,44.87,11243.0,2012-05-10 05:45:00
44.44,44.44,42.92,43.35,3133.0,2012-05-13 05:45:00
42.92,42.92,40.95,41.82,5092.0,2012-05-14 05:45:00
42.25,44.44,42.25,44.44,696.0,2012-05-15 05:45:00
44.87,44.87,44.87,44.87,150.0,2012-05-16 05:45:00
45.3,46.61,45.3,45.3,6469.0,2012-05-17 05:45:00
45.52,45.52,43.78,44.87,6548.0,2012-05-20 05:45:00
45.3,46.18,44.66,44.87,3222.0,2012-05-21 05:45:00
44.44,45.75,43.56,45.75,8963.0,2012-05-22 05:45:00
45.3,45.3,43.56,43.56,905.0,2012-05-23 05:45:00
43.56,45.75,43.56,45.3,7754.0,2012-05-24 05:45:00
45.96,47.92,45.09,46.83,6836.0,2012-05-27 05:45:00
46.4,46.4,43.78,43.78,3959.0,2012-05-29 05:45:00
43.35,43.35,40.95,40.95,4480.0,2012-05-30 05:45:00
40.52,42.47,40.52,42.47,1231.0,2012-05-31 05:45:00
41.82,45.09,41.82,45.09,1647.0,2012-06-03 05:45:00
45.3,45.3,42.92,43.56,3705.0,2012-06-04 05:45:00
44.0,44.0,43.13,43.56,2968.0,2012-06-05 05:45:00
43.13,43.13,41.82,42.04,1331.0,2012-06-06 05:45:00
41.16,43.78,41.16,43.13,2120.0,2012-06-07 05:45:00
44.44,45.09,43.56,44.66,8139.0,2012-06-10 05:45:00
44.23,45.52,44.23,45.09,4583.0,2012-06-11 05:45:00
45.09,45.52,44.87,45.09,4983.0,2012-06-12 05:45:00
45.09,46.4,44.66,45.3,8518.0,2012-06-13 05:45:00
44.87,44.87,43.56,44.23,1912.0,2012-06-14 05:45:00
44.23,44.23,42.47,43.78,2426.0,2012-06-17 05:45:00
43.35,43.56,42.92,43.56,2589.0,2012-06-18 05:45:00
43.35,43.56,43.13,43.35,1549.0,2012-06-19 05:45:00
43.78,44.23,43.35,43.78,1361.0,2012-06-20 05:45:00
44.0,44.44,44.0,44.23,1170.0,2012-06-21 05:45:00
43.78,45.09,43.56,45.09,1760.0,2012-06-25 05:45:00
44.66,44.66,43.78,44.23,2036.0,2012-06-26 05:45:00
43.78,45.09,43.35,45.09,2422.0,2012-06-27 05:45:00
45.09,45.52,44.87,45.09,2876.0,2012-06-28 05:45:00
45.09,45.52,45.09,45.52,3643.0,2012-07-01 05:45:00
45.3,46.18,45.09,45.3,3256.0,2012-07-02 05:45:00
45.3,45.3,45.09,45.3,880.0,2012-07-03 05:45:00
45.09,46.4,45.09,46.4,3868.0,2012-07-04 05:45:00
46.18,46.18,45.52,46.18,3056.0,2012-07-05 05:45:00
46.18,46.83,45.75,45.96,2338.0,2012-07-08 05:45:00
45.96,47.27,45.96,46.83,3893.0,2012-07-09 05:45:00
47.27,47.92,46.83,47.27,3747.0,2012-07-10 05:45:00
46.83,47.71,46.83,47.71,3631.0,2012-07-11 05:45:00
47.06,48.58,47.06,47.49,3977.0,2012-07-12 05:45:00
47.49,48.58,47.49,48.58,1722.0,2012-07-15 05:45:00
47.92,49.88,47.27,49.88,12898.0,2012-07-16 05:45:00
49.88,52.73,49.68,51.84,12061.0,2012-07-17 05:45:00
51.64,55.12,51.64,55.12,8985.0,2012-07-18 05:45:00
55.12,57.73,52.94,57.73,21519.0,2012-07-19 05:45:00
57.73,58.17,55.33,56.42,19689.0,2012-07-22 05:45:00
55.77,57.73,55.77,55.99,13375.0,2012-07-23 05:45:00
55.12,55.99,54.03,55.99,7364.0,2012-07-24 05:45:00
55.33,55.33,54.03,54.69,10548.0,2012-07-25 05:45:00
54.03,54.03,52.73,53.16,4910.0,2012-07-26 05:45:00
52.51,52.51,49.68,50.75,4932.0,2012-07-29 05:45:00
50.11,52.07,50.11,51.84,7450.0,2012-07-30 05:45:00
51.21,54.25,51.21,52.94,4757.0,2012-07-31 05:45:00
52.51,54.25,52.51,53.81,6479.0,2012-08-01 05:45:00
53.37,54.69,53.37,54.03,4178.0,2012-08-05 05:45:00
53.81,54.46,53.81,54.03,5741.0,2012-08-06 05:45:00
54.69,54.69,52.51,52.94,4255.0,2012-08-07 05:45:00
52.28,53.59,51.64,53.59,6744.0,2012-08-08 05:45:00
53.59,53.59,50.97,51.84,3111.0,2012-08-12 05:45:00
51.21,51.21,49.44,51.21,3464.0,2012-08-13 05:45:00
51.21,51.21,50.54,50.75,1990.0,2012-08-14 05:45:00
50.54,50.75,49.68,50.11,4533.0,2012-08-15 05:45:00
50.75,52.94,50.75,51.64,5649.0,2012-08-16 05:45:00
52.73,52.73,51.64,52.07,5601.0,2012-08-19 05:45:00
