open,high,low,close,volume,date
159.16,169.81,159.16,169.81,9361.0,2017-04-16 05:45:00
172.02,181.57,172.02,181.57,31151.0,2017-04-18 05:45:00
184.14,194.43,184.14,194.43,10034.0,2017-04-19 05:45:00
197.0,208.77,190.76,201.05,110978.0,2017-04-23 05:45:00
198.11,199.94,191.49,197.74,53027.0,2017-04-24 05:45:00
194.8,203.63,194.43,199.94,39076.0,2017-04-25 05:45:00
198.11,214.65,198.11,212.07,35032.0,2017-04-26 05:45:00
209.13,222.37,206.19,219.43,45822.0,2017-04-27 05:45:00
219.06,219.06,210.97,213.54,52492.0,2017-04-30 05:45:00
213.54,217.22,209.5,213.18,30617.0,2017-05-02 05:45:00
215.75,217.96,210.24,210.97,24825.0,2017-05-03 05:45:00
210.97,215.38,209.87,214.28,51497.0,2017-05-04 05:45:00
215.38,215.38,210.6,211.34,29759.0,2017-05-07 05:45:00
208.77,214.65,208.77,213.18,24419.0,2017-05-08 05:45:00
212.81,224.21,212.07,221.63,48134.0,2017-05-09 05:45:00
222.73,234.86,221.26,228.25,53131.0,2017-05-11 05:45:00
228.25,231.19,224.57,225.31,20965.0,2017-05-15 05:45:00
225.31,228.25,223.47,226.41,12819.0,2017-05-16 05:45:00
223.47,227.88,223.47,226.78,14404.0,2017-05-17 05:45:00
223.84,231.19,223.84,230.08,25777.0,2017-05-18 05:45:00
226.78,228.25,220.9,227.88,11480.0,2017-05-21 05:45:00
224.57,226.04,219.06,223.47,8730.0,2017-05-22 05:45:00
220.9,227.51,220.9,222.0,11209.0,2017-05-23 05:45:00
219.06,227.14,219.06,222.73,9904.0,2017-05-24 05:45:00
224.57,224.57,219.43,221.63,7736.0,2017-05-28 05:45:00
219.79,222.37,215.38,219.06,11667.0,2017-05-30 05:45:00
222.0,222.37,215.75,219.06,8876.0,2017-05-31 05:45:00
219.06,219.79,216.85,219.06,7009.0,2017-06-01 05:45:00
216.12,218.69,213.18,215.38,8662.0,2017-06-04 05:45:00
213.54,217.22,212.81,215.38,5406.0,2017-06-05 05:45:00
212.07,220.16,212.07,217.96,5992.0,2017-06-06 05:45:00
214.65,217.22,213.91,214.28,11678.0,2017-06-07 05:45:00
215.01,215.01,210.6,214.65,9330.0,2017-06-08 05:45:00
213.54,213.54,207.66,208.03,13870.0,2017-06-11 05:45:00
205.09,209.87,202.88,205.09,10653.0,2017-06-12 05:45:00
202.88,208.03,202.88,205.09,7280.0,2017-06-13 05:45:00
202.52,208.03,202.52,208.03,4893.0,2017-06-14 05:45:00
205.46,209.5,203.25,209.5,6410.0,2017-06-15 05:45:00
209.5,209.87,202.52,203.63,2107.0,2017-06-18 05:45:00
201.78,203.63,198.84,198.84,4938.0,2017-06-19 05:45:00
197.0,204.72,197.0,201.42,4359.0,2017-06-20 05:45:00
200.68,202.88,199.21,202.88,8927.0,2017-06-21 05:45:00
204.35,204.35,202.52,203.63,2909.0,2017-06-22 05:45:00
203.63,211.34,203.63,210.97,5526.0,2017-06-25 05:45:00
211.34,211.34,206.93,207.66,2938.0,2017-06-27 05:45:00
204.72,206.19,203.25,204.72,1161.0,2017-06-28 05:45:00
203.99,204.35,198.84,200.68,3952.0,2017-07-02 05:45:00
199.94,203.63,198.84,199.21,5055.0,2017-07-03 05:45:00
197.0,201.42,197.0,200.31,1815.0,2017-07-04 05:45:00
199.21,203.25,198.84,203.25,3711.0,2017-07-05 05:45:00
200.31,206.19,200.31,206.19,1898.0,2017-07-06 05:45:00
206.19,208.03,199.94,206.19,5553.0,2017-07-09 05:45:00
206.19,206.19,197.38,202.52,32236.0,2017-07-10 05:45:00
202.52,203.25,199.94,203.25,4924.0,2017-07-11 05:45:00
200.68,202.16,200.68,200.68,3492.0,2017-07-12 05:45:00
198.84,201.78,198.84,200.31,2146.0,2017-07-13 05:45:00
197.38,202.52,197.38,202.52,5459.0,2017-07-16 05:45:00
199.58,202.88,199.58,201.42,7175.0,2017-07-17 05:45:00
204.35,212.07,198.84,209.5,9889.0,2017-07-18 05:45:00
209.87,209.87,203.25,203.25,10705.0,2017-07-19 05:45:00
204.35,205.09,202.52,203.25,5106.0,2017-07-20 05:45:00
201.05,206.19,201.05,202.88,5856.0,2017-07-23 05:45:00
201.78,205.46,201.05,201.42,9148.0,2017-07-24 05:45:00
198.47,205.46,198.47,201.05,3866.0,2017-07-25 05:45:00
201.42,202.88,200.68,202.52,6045.0,2017-07-26 05:45:00
201.42,202.16,200.31,201.42,3964.0,2017-07-27 05:45:00
