open,high,low,close,volume,date
53.23,53.23,53.23,53.23,100.0,2011-07-19 05:45:00
53.02,53.02,53.02,53.02,60.0,2011-07-20 05:45:00
52.71,52.71,51.74,51.74,190.0,2011-07-26 05:45:00
51.74,51.74,50.68,50.68,790.0,2011-07-27 05:45:00
50.47,52.17,50.36,52.17,450.0,2011-07-28 05:45:00
52.06,52.06,51.42,51.42,250.0,2011-07-31 05:45:00
51.11,51.11,51.11,51.11,40.0,2011-08-01 05:45:00
51.11,51.11,51.11,51.11,30.0,2011-08-02 05:45:00
51.32,51.42,51.11,51.11,1000.0,2011-08-03 05:45:00
51.11,51.74,51.11,51.74,600.0,2011-08-04 05:45:00
52.06,52.38,51.42,51.42,360.0,2011-08-07 05:45:00
51.11,51.11,51.11,51.11,80.0,2011-08-08 05:45:00
50.78,51.0,50.78,51.0,850.0,2011-08-09 05:45:00
50.78,51.32,50.78,51.32,100.0,2011-08-11 05:45:00
51.21,51.21,51.21,51.21,30.0,2011-08-15 05:45:00
51.53,51.53,51.53,51.53,100.0,2011-08-16 05:45:00
51.53,51.64,51.53,51.64,260.0,2011-08-17 05:45:00
51.42,51.74,51.42,51.74,550.0,2011-08-18 05:45:00
51.42,51.42,51.42,51.42,30.0,2011-08-22 05:45:00
51.21,51.64,51.21,51.64,1770.0,2011-08-23 05:45:00
51.32,51.95,51.32,51.95,220.0,2011-08-24 05:45:00
51.95,51.95,50.9,51.11,1500.0,2011-08-25 05:45:00
50.78,50.9,50.68,50.9,90.0,2011-08-28 05:45:00
50.68,50.68,50.47,50.58,660.0,2011-08-29 05:45:00
50.78,51.0,50.78,51.0,240.0,2011-08-30 05:45:00
51.0,51.0,50.58,50.78,210.0,2011-09-01 05:45:00
50.78,50.78,50.36,50.36,430.0,2011-09-04 05:45:00
50.36,50.36,50.15,50.15,310.0,2011-09-05 05:45:00
50.15,50.15,49.94,50.15,510.0,2011-09-06 05:45:00
50.04,50.15,50.04,50.15,370.0,2011-09-07 05:45:00
50.36,50.78,50.36,50.58,670.0,2011-09-08 05:45:00
50.58,50.58,50.15,50.25,840.0,2011-09-12 05:45:00
50.25,50.68,50.04,50.47,410.0,2011-09-13 05:45:00
50.25,50.25,50.25,50.25,70.0,2011-09-14 05:45:00
50.25,50.25,50.15,50.25,520.0,2011-09-15 05:45:00
50.25,50.25,50.25,50.25,70.0,2011-09-18 05:45:00
50.25,50.47,50.25,50.47,260.0,2011-09-19 05:45:00
50.36,50.68,50.36,50.47,90.0,2011-09-20 05:45:00
50.47,51.42,50.47,51.32,550.0,2011-09-21 05:45:00
51.32,51.64,51.32,51.64,220.0,2011-09-22 05:45:00
51.32,51.32,51.32,51.32,70.0,2011-09-25 05:45:00
51.53,51.95,51.21,51.85,700.0,2011-09-26 05:45:00
51.53,51.85,51.32,51.85,400.0,2011-09-27 05:45:00
52.17,52.17,52.17,52.17,50.0,2011-09-29 05:45:00
52.48,53.23,52.48,52.91,1180.0,2011-10-02 05:45:00
52.59,52.71,52.17,52.71,300.0,2011-10-09 05:45:00
53.02,53.02,52.71,52.91,1120.0,2011-10-10 05:45:00
53.23,53.56,53.23,53.35,290.0,2011-10-12 05:45:00
53.66,53.87,53.66,53.77,5520.0,2011-10-13 05:45:00
53.77,53.77,53.12,53.12,810.0,2011-10-16 05:45:00
53.12,53.12,53.12,53.12,80.0,2011-10-17 05:45:00
52.91,53.35,52.91,53.12,1210.0,2011-10-18 05:45:00
53.02,53.35,53.02,53.12,1410.0,2011-10-19 05:45:00
53.12,53.12,52.81,52.81,600.0,2011-10-20 05:45:00
52.71,52.81,52.38,52.71,3220.0,2011-10-23 05:45:00
53.02,53.23,53.02,53.23,380.0,2011-10-24 05:45:00
53.23,53.23,53.02,53.02,220.0,2011-10-25 05:45:00
53.02,53.23,53.02,53.23,660.0,2011-10-30 05:45:00
