open,high,low,close,volume,date
108.45,109.89,108.45,109.89,52.0,2015-11-18 05:45:00
111.31,115.61,111.31,115.61,104.0,2015-11-19 05:45:00
117.06,123.5,117.06,123.5,768.0,2015-11-22 05:45:00
125.17,132.1,125.17,132.1,12360.0,2015-11-23 05:45:00
136.88,140.93,135.69,139.28,46262.0,2015-11-24 05:45:00
139.28,140.22,132.82,133.53,25625.0,2015-11-25 05:45:00
131.63,132.1,129.71,130.9,14443.0,2015-11-26 05:45:00
147.1,147.1,144.24,145.44,15706.0,2015-11-29 05:45:00
145.19,149.25,145.19,146.15,9790.0,2015-11-30 05:45:00
145.9,149.98,145.44,149.98,11114.0,2015-12-01 05:45:00
149.98,151.16,147.58,149.5,11339.0,2015-12-02 05:45:00
148.53,150.21,146.87,148.07,11281.0,2015-12-03 05:45:00
149.25,150.21,147.1,149.5,14631.0,2015-12-06 05:45:00
149.98,151.89,148.77,149.25,16125.0,2015-12-07 05:45:00
149.25,150.45,147.82,149.72,11962.0,2015-12-08 05:45:00
149.25,152.84,148.53,152.84,14731.0,2015-12-09 05:45:00
151.89,152.35,149.5,149.98,13958.0,2015-12-10 05:45:00
149.98,150.21,148.3,149.98,23721.0,2015-12-13 05:45:00
149.98,149.98,149.5,149.5,24112.0,2015-12-14 05:45:00
149.5,149.98,147.58,147.82,8414.0,2015-12-15 05:45:00
149.01,149.98,147.58,148.3,16529.0,2015-12-16 05:45:00
146.63,149.72,146.63,147.82,12164.0,2015-12-17 05:45:00
147.82,148.77,145.67,147.34,7578.0,2015-12-20 05:45:00
146.39,147.34,144.24,144.71,6813.0,2015-12-21 05:45:00
144.71,145.19,141.37,142.81,7114.0,2015-12-22 05:45:00
141.85,144.24,141.85,143.28,12488.0,2015-12-23 05:45:00
143.28,146.39,141.61,144.96,11983.0,2015-12-24 05:45:00
143.28,146.39,141.85,146.39,9016.0,2015-12-27 05:45:00
145.19,145.19,142.81,143.04,10572.0,2015-12-28 05:45:00
142.56,145.44,142.32,143.28,13555.0,2015-12-29 05:45:00
142.81,145.44,142.32,142.81,11336.0,2015-12-31 05:45:00
142.81,144.48,140.9,142.56,11849.0,2016-01-03 05:45:00
142.09,143.52,139.94,142.32,9183.0,2016-01-04 05:45:00
140.66,143.99,138.03,143.99,27876.0,2016-01-05 05:45:00
