open,high,low,close,volume,date
316.0,347.6,316.0,347.6,212.0,2022-09-25 05:45:00
347.6,368.7,347.6,368.7,60.0,2022-09-27 20:45:00
368.7,398.9,368.7,398.9,41.0,2022-09-28 20:45:00
406.8,438.7,406.8,438.7,50.0,2022-09-29 20:45:00
447.4,456.3,447.4,456.3,30.0,2022-10-09 20:45:00
456.3,501.9,456.3,501.9,90.0,2022-10-10 20:45:00
511.0,552.0,511.0,552.0,60.0,2022-10-11 20:45:00
563.0,607.2,563.0,607.2,70.0,2022-10-12 20:45:00
619.3,667.9,619.3,667.9,50.0,2022-10-13 20:45:00
681.2,734.6,681.2,734.6,1944.0,2022-10-16 20:45:00
749.0,808.0,749.0,808.0,3780.0,2022-10-17 20:45:00
824.1,888.8,824.1,888.8,6990.0,2022-10-19 20:45:00
906.5,963.0,820.2,830.2,42382.0,2022-10-20 20:45:00
830.0,830.0,764.4,767.1,16958.0,2022-10-23 20:45:00
782.4,782.4,730.0,731.0,10764.0,2022-10-31 20:45:00
731.0,795.0,706.0,778.0,9803.0,2022-11-01 20:45:00
777.0,800.0,750.0,785.0,6290.0,2022-11-02 20:45:00
780.0,785.0,755.0,759.0,3880.0,2022-11-03 20:45:00
759.0,786.0,744.0,783.0,11612.0,2022-11-06 20:45:00
790.0,794.0,770.1,774.0,10064.0,2022-11-07 20:45:00
760.3,777.0,760.3,765.0,2826.0,2022-11-08 20:45:00
764.0,764.0,747.0,747.0,3832.0,2022-11-09 20:45:00
743.0,759.0,721.0,730.0,3358.0,2022-11-10 20:45:00
740.0,744.0,710.0,720.0,3485.0,2022-11-13 20:45:00
710.1,728.9,710.1,724.0,1880.0,2022-11-14 20:45:00
724.0,724.0,711.3,713.2,2240.0,2022-11-15 20:45:00
720.0,725.0,709.1,713.0,2109.0,2022-11-16 20:45:00
725.0,735.0,715.4,730.1,1710.0,2022-11-17 20:45:00
731.0,732.0,716.6,724.7,1530.0,2022-11-22 20:45:00
725.0,725.0,716.1,719.0,1864.0,2022-11-23 20:45:00
708.3,715.0,708.3,714.0,2013.0,2022-11-24 20:45:00
