open,high,low,close,volume,date
459.0,459.0,459.0,459.0,242.0,2011-07-19 05:45:00
459.0,465.0,459.0,465.0,272.0,2011-07-20 05:45:00
474.0,474.0,474.0,474.0,14.0,2011-07-25 05:45:00
483.0,483.0,483.0,483.0,14.0,2011-09-22 05:45:00
485.0,485.0,485.0,485.0,484.0,2011-10-19 05:45:00
494.0,494.0,494.0,494.0,20.0,2011-11-29 05:45:00
503.0,503.0,503.0,503.0,22.0,2012-01-02 05:45:00
493.0,493.0,475.0,475.0,1815.0,2012-01-18 05:45:00
466.0,466.0,448.0,448.0,978.0,2012-02-08 05:45:00
440.0,440.0,424.0,424.0,340.0,2012-02-09 05:45:00
432.0,432.0,432.0,432.0,22.0,2012-02-29 05:45:00
311.0,311.0,294.0,294.0,4356.0,2012-03-14 05:45:00
298.0,300.0,294.0,298.0,71.0,2012-03-18 05:45:00
303.0,309.0,303.0,309.0,46.0,2012-03-19 05:45:00
315.0,319.0,309.0,319.0,91.0,2012-03-20 05:45:00
325.0,331.0,325.0,331.0,48.0,2012-03-21 05:45:00
337.0,337.0,337.0,337.0,20.0,2012-03-26 05:45:00
343.0,343.0,343.0,343.0,10.0,2012-04-15 05:45:00
349.0,355.0,349.0,355.0,50.0,2012-04-17 05:45:00
360.0,374.0,360.0,374.0,80.0,2012-04-18 05:45:00
381.0,402.0,381.0,402.0,85.0,2012-04-19 05:45:00
410.0,410.0,410.0,410.0,95.0,2012-05-09 05:45:00
418.0,418.0,418.0,418.0,26.0,2012-05-10 05:45:00
426.0,426.0,426.0,426.0,10.0,2012-05-14 05:45:00
418.0,418.0,418.0,418.0,10.0,2012-05-31 05:45:00
426.0,430.0,426.0,430.0,36.0,2012-09-06 05:45:00
422.0,430.0,422.0,430.0,548.0,2012-09-12 05:45:00
430.0,430.0,430.0,430.0,60.0,2017-07-31 05:45:00
430.0,422.0,422.0,422.0,22746.0,2017-08-02 05:45:00
414.0,414.0,380.0,380.0,1250.0,2017-08-03 05:45:00
373.0,373.0,345.0,345.0,445.0,2017-08-06 05:45:00
339.0,339.0,339.0,339.0,150.0,2017-08-07 05:45:00
339.0,339.0,309.0,309.0,2080.0,2017-08-09 05:45:00
190.0,190.0,190.0,190.0,120.0,2017-08-10 05:45:00
189.0,189.0,189.0,189.0,50.0,2017-08-13 05:45:00
186.0,186.0,183.0,183.0,18101.0,2017-08-20 05:45:00
180.0,180.0,165.0,165.0,30940.0,2017-08-24 05:45:00
162.0,162.0,149.0,149.0,1900.0,2017-08-27 05:45:00
147.0,147.0,135.0,135.0,6614.0,2017-08-28 05:45:00
133.0,134.0,122.0,134.0,17372.0,2017-08-30 05:45:00
