open,high,low,close,volume,date
347.21,381.92,347.21,381.92,13674.0,2023-10-12 05:45:00
389.52,420.1,344.42,348.56,69045.0,2023-10-16 20:45:00
348.08,372.12,342.31,346.25,24008.0,2023-10-17 20:45:00
341.54,370.19,341.54,370.19,8654.0,2023-10-18 20:45:00
362.79,372.12,358.37,369.71,7467.0,2023-10-19 20:45:00
362.4,362.4,344.52,352.88,13335.0,2023-10-29 20:45:00
345.87,359.62,339.23,351.92,10137.0,2023-10-30 20:45:00
346.15,354.81,346.15,354.81,4920.0,2023-10-31 20:45:00
348.08,351.92,342.31,347.21,4299.0,2023-11-01 20:45:00
340.38,350.0,340.38,343.37,5930.0,2023-11-02 20:45:00
338.46,346.15,338.46,342.31,3910.0,2023-11-05 20:45:00
346.15,357.69,341.35,352.4,7390.0,2023-11-06 20:45:00
346.15,370.0,346.15,355.77,5410.0,2023-11-07 20:45:00
355.77,382.69,349.71,379.81,17150.0,2023-11-08 20:45:00
372.21,384.62,363.46,363.85,5930.0,2023-11-09 20:45:00
363.85,375.19,362.88,374.04,6922.0,2023-11-20 20:45:00
367.31,369.23,361.63,367.31,10370.0,2023-11-21 20:45:00
360.58,375.96,360.58,375.96,5561.0,2023-11-22 20:45:00
368.46,387.5,364.42,382.69,9037.0,2023-11-23 20:45:00
375.1,420.96,375.1,420.96,25091.0,2023-11-26 20:45:00
420.19,444.23,420.19,429.33,40705.0,2023-11-27 20:45:00
422.12,436.54,416.63,421.15,15082.0,2023-11-28 20:45:00
421.15,425.96,408.94,413.46,6210.0,2023-11-29 20:45:00
405.77,421.15,400.96,402.21,5820.0,2023-11-30 20:45:00
410.19,415.38,397.12,415.38,6337.0,2023-12-03 20:45:00
423.08,427.88,394.23,418.27,15943.0,2023-12-04 20:45:00
409.9,413.46,401.92,408.65,5080.0,2023-12-05 20:45:00
401.06,418.27,401.06,417.98,9610.0,2023-12-06 20:45:00
413.46,426.25,410.67,410.67,14212.0,2023-12-07 20:45:00
418.85,432.69,418.85,424.04,3650.0,2023-12-10 20:45:00
432.5,446.15,415.38,437.5,37059.0,2023-12-11 20:45:00
437.5,466.25,428.75,458.65,13807.0,2023-12-12 20:45:00
451.92,475.0,441.15,451.92,19877.0,2023-12-13 20:45:00
443.37,453.85,436.63,444.23,17738.0,2023-12-14 20:45:00
435.58,479.81,434.62,468.27,43595.0,2023-12-17 20:45:00
475.96,484.62,456.73,475.0,30405.0,2023-12-18 20:44:00
466.35,485.58,462.5,485.58,16673.0,2023-12-19 20:45:00
495.19,500.0,474.04,495.19,31910.0,2023-12-20 20:45:00
485.29,536.54,471.63,536.54,33285.0,2023-12-21 20:45:00
528.85,552.79,504.81,505.96,30713.0,2023-12-24 20:45:00
496.15,522.02,496.15,511.54,21147.0,2023-12-27 20:45:00
511.54,517.31,504.81,507.69,12276.0,2023-12-28 20:45:00
507.69,517.31,486.54,488.46,11187.0,2024-01-01 20:45:00
478.75,490.38,478.75,490.38,15680.0,2024-01-02 20:45:00
482.69,539.42,482.69,539.42,21702.0,2024-01-03 20:45:00
528.65,567.31,528.65,548.08,30252.0,2024-01-04 20:45:00
548.08,566.25,526.54,561.54,29562.0,2024-01-07 20:45:00
550.38,567.31,533.65,561.92,25259.0,2024-01-08 20:44:54
562.5,570.19,543.27,551.92,23928.0,2024-01-09 20:44:53
542.31,552.88,533.75,533.75,7992.0,2024-01-10 20:44:53
533.65,548.08,530.77,541.35,10255.0,2024-01-11 20:44:55
543.27,559.62,541.54,554.81,18537.0,2024-01-14 20:44:51
555.48,575.0,536.54,575.0,36138.0,2024-01-16 20:44:57
564.42,580.58,545.19,580.58,23335.0,2024-01-17 20:44:53
569.04,574.9,548.08,574.04,20337.0,2024-01-18 20:44:55
563.46,576.92,550.0,557.69,17183.0,2024-01-21 20:44:57
547.02,563.46,540.38,555.77,14318.0,2024-01-22 20:44:31
544.71,555.77,538.65,545.38,5524.0,2024-01-23 20:44:21
556.25,557.69,528.94,541.35,8008.0,2024-01-24 20:44:18
531.73,552.88,530.77,548.08,13339.0,2024-01-25 20:44:33
540.38,558.65,540.38,552.88,12004.0,2024-01-28 20:44:53
544.52,572.98,544.52,568.27,19958.0,2024-01-29 20:44:33
576.92,596.15,560.58,588.46,35369.0,2024-01-30 20:44:58
588.46,596.15,567.31,596.15,28262.0,2024-01-31 20:44:55
584.62,586.54,567.4,581.73,10095.0,2024-02-01 20:44:59
570.1,621.15,567.4,621.15,24794.0,2024-02-04 20:44:54
608.75,682.69,596.15,624.9,28825.0,2024-02-05 20:44:59
636.54,662.98,599.52,624.04,10980.0,2024-02-06 20:44:53
633.65,633.65,586.54,607.69,31730.0,2024-02-07 20:44:57
596.15,615.38,574.04,597.6,24648.0,2024-02-08 20:44:55
