open,high,low,close,volume,date
294.54,323.98,294.54,323.98,13720.0,2022-07-28 05:45:00
330.43,356.35,320.1,333.33,55635.0,2022-07-29 20:45:00
339.94,349.03,326.28,349.03,22370.0,2022-07-31 20:45:00
349.03,361.64,330.78,358.46,21390.0,2022-08-01 20:45:00
351.85,394.27,350.97,394.27,41189.0,2022-08-02 20:45:00
396.82,425.57,383.6,411.02,30777.0,2022-08-03 20:45:00
410.94,436.94,395.06,429.45,33555.0,2022-08-04 20:45:00
421.07,425.4,404.76,416.31,26010.0,2022-08-05 20:45:00
414.46,444.44,410.14,425.05,27273.0,2022-08-07 20:45:00
433.43,458.56,423.28,438.27,27790.0,2022-08-08 20:45:00
430.33,454.15,423.28,429.45,19469.0,2022-08-09 20:45:00
420.9,427.25,414.46,420.64,14665.0,2022-08-10 20:45:00
412.69,440.04,412.69,412.69,18162.0,2022-08-11 20:45:00
408.81,428.57,404.5,404.94,15793.0,2022-08-14 20:45:00
404.76,419.05,396.82,418.87,12940.0,2022-08-15 20:45:00
414.37,434.74,403.88,411.81,23137.0,2022-08-16 20:45:00
405.65,423.28,399.47,418.87,26513.0,2022-08-17 20:45:00
426.81,440.47,411.02,431.21,21993.0,2022-08-18 20:45:00
439.77,445.32,418.87,419.75,15918.0,2022-08-21 20:45:00
411.38,436.51,410.23,424.52,10150.0,2022-08-22 20:45:00
416.05,423.28,411.81,422.4,5090.0,2022-08-23 20:45:00
414.02,423.28,406.61,416.22,9780.0,2022-08-24 20:45:00
416.22,423.28,405.73,406.53,13306.0,2022-08-25 20:45:00
403.0,403.0,395.94,401.15,5720.0,2022-08-26 20:45:00
393.21,402.03,377.87,392.42,16573.0,2022-08-28 20:45:00
385.36,398.59,373.28,388.01,10911.0,2022-08-29 20:45:00
380.95,402.12,380.95,382.71,3151.0,2022-08-30 20:45:00
379.19,396.82,363.31,365.08,8330.0,2022-08-31 20:45:00
358.11,381.83,353.35,378.31,5130.0,2022-09-01 20:33:00
370.9,392.15,370.46,371.25,1210.0,2022-09-02 20:45:00
365.96,391.54,365.96,378.31,5245.0,2022-09-04 20:45:00
373.55,385.81,373.55,375.13,3360.0,2022-09-05 20:45:00
368.61,381.83,363.31,375.66,4421.0,2022-09-06 20:45:00
368.25,379.19,362.44,371.6,1750.0,2022-09-07 20:45:00
371.25,385.36,367.46,385.36,3940.0,2022-09-08 20:45:00
380.07,387.13,372.67,376.55,3400.0,2022-09-11 20:45:00
369.22,371.25,366.84,370.37,3030.0,2022-09-12 20:45:00
365.96,384.92,365.96,371.25,3790.0,2022-09-13 20:45:00
365.96,388.01,365.96,385.36,13157.0,2022-09-14 20:45:00
378.31,379.19,355.46,362.44,10060.0,2022-09-15 20:45:00
355.2,373.28,343.04,373.02,5390.0,2022-09-16 20:45:00
365.61,365.61,347.44,360.67,5110.0,2022-09-18 20:45:00
357.14,357.14,335.09,342.15,4161.0,2022-09-20 20:45:00
348.32,348.32,335.09,335.09,2750.0,2022-09-21 20:45:00
330.69,347.44,311.29,317.46,16182.0,2022-09-22 20:45:00
317.46,317.46,304.23,312.96,2217.0,2022-09-25 20:45:00
317.46,323.81,299.82,320.1,4395.0,2022-09-27 20:45:00
313.76,317.46,304.23,304.23,1439.0,2022-09-28 20:45:00
298.15,318.34,298.15,315.69,725.0,2022-09-29 20:45:00
315.69,323.63,306.88,323.63,870.0,2022-10-09 20:45:00
324.52,324.52,303.0,324.43,6495.0,2022-10-10 20:45:00
317.99,317.99,296.56,301.15,4460.0,2022-10-11 20:45:00
295.5,313.94,291.89,311.81,1356.0,2022-10-12 20:45:00
306.0,311.29,300.88,302.47,3730.0,2022-10-13 20:45:00
296.47,308.46,291.01,308.46,4250.0,2022-10-16 20:45:00
302.38,302.38,292.77,295.42,1020.0,2022-10-17 20:45:00
293.65,295.42,284.39,284.39,1845.0,2022-10-19 20:45:00
278.75,296.82,273.81,296.82,2581.0,2022-10-20 20:45:00
290.92,291.27,279.54,288.36,770.0,2022-10-23 20:45:00
282.63,291.01,273.45,287.48,1239.0,2022-10-31 20:45:00
282.19,298.15,273.37,289.42,2085.0,2022-11-01 20:45:00
294.54,301.58,278.66,294.0,8536.0,2022-11-02 20:45:00
288.44,299.82,288.44,294.54,7223.0,2022-11-03 20:45:00
294.54,303.08,291.01,299.82,2099.0,2022-11-06 20:45:00
294.0,326.28,291.89,308.64,10455.0,2022-11-07 20:45:00
302.47,308.64,297.62,308.64,1170.0,2022-11-08 20:45:00
302.47,302.47,288.36,293.56,4835.0,2022-11-09 20:45:00
289.24,291.01,283.51,289.16,4309.0,2022-11-10 20:45:00
283.6,287.48,281.31,281.31,3550.0,2022-11-13 20:45:00
279.98,298.06,279.54,288.71,810.0,2022-11-14 20:45:00
283.06,289.24,282.19,282.19,1660.0,2022-11-15 20:45:00
279.36,297.7,279.36,291.01,4547.0,2022-11-16 20:45:00
291.01,301.15,283.95,298.94,2926.0,2022-11-17 20:45:00
299.82,308.64,283.16,287.39,7559.0,2022-11-22 20:45:00
292.77,292.77,281.13,289.59,1730.0,2022-11-23 20:45:00
286.59,295.42,286.59,295.42,930.0,2022-11-24 20:45:00
291.01,302.47,285.28,302.47,3210.0,2022-11-27 20:45:00
298.24,300.7,293.65,296.39,3947.0,2022-11-28 20:45:00
290.47,304.23,288.54,299.73,1921.0,2022-11-29 20:45:00
296.39,309.08,296.39,301.68,5406.0,2022-11-30 20:45:00
296.39,311.29,296.39,304.06,2760.0,2022-12-01 20:45:00
304.06,309.53,299.82,309.53,4805.0,2022-12-04 20:45:00
305.11,315.69,299.2,299.82,10339.0,2022-12-05 20:45:00
298.06,304.23,298.06,302.56,4664.0,2022-12-06 20:45:00
299.91,305.56,297.27,302.91,3370.0,2022-12-07 20:45:00
297.18,301.58,291.89,300.7,3250.0,2022-12-11 20:45:00
294.71,304.15,291.01,304.15,1535.0,2022-12-12 20:45:00
298.32,306.88,298.32,306.88,1640.0,2022-12-13 20:45:00
302.47,312.61,302.47,308.64,6181.0,2022-12-14 20:45:00
303.35,309.35,299.82,303.35,3759.0,2022-12-15 20:45:00
298.06,299.82,291.01,299.82,8570.0,2022-12-18 20:45:00
293.82,299.82,292.77,299.82,3001.0,2022-12-19 20:45:00
296.3,302.47,296.3,301.58,934.0,2022-12-20 20:45:00
296.3,303.97,296.3,300.44,2000.0,2022-12-21 20:45:00
299.82,301.58,294.44,296.39,2870.0,2022-12-22 20:45:00
302.3,325.4,302.3,325.4,9565.0,2022-12-26 20:45:00
330.69,338.62,315.69,338.62,14907.0,2022-12-27 20:45:00
342.41,342.41,325.0,333.33,4027.0,2022-12-28 20:45:00
326.85,345.37,325.56,344.44,6700.0,2022-12-29 20:45:00
337.96,349.07,332.41,335.19,6737.0,2023-01-01 20:45:00
337.96,339.72,331.48,336.11,22880.0,2023-01-02 20:45:00
329.72,342.59,329.72,341.57,3480.0,2023-01-03 20:45:00
334.91,375.65,334.91,375.65,7155.0,2023-01-04 20:45:00
368.15,375.0,361.11,370.37,5634.0,2023-01-05 20:45:00
362.96,386.11,355.74,386.11,17474.0,2023-01-08 20:45:00
381.48,415.65,378.43,407.41,8210.0,2023-01-09 20:45:00
407.41,423.8,373.15,384.17,13654.0,2023-01-10 20:45:00
382.41,391.67,363.89,384.54,25449.0,2023-01-12 20:45:00
378.7,399.07,368.52,384.26,4633.0,2023-01-17 20:45:00
384.26,411.94,382.41,395.83,10574.0,2023-01-18 20:45:00
388.89,390.74,379.63,389.81,4140.0,2023-01-19 20:45:00
384.26,395.37,372.31,375.0,7480.0,2023-01-23 20:45:00
371.3,382.5,363.15,376.85,13400.0,2023-01-24 20:45:00
370.37,392.04,365.19,380.56,15645.0,2023-01-25 20:45:00
373.24,387.04,373.24,376.85,8905.0,2023-01-26 20:45:00
376.85,394.44,369.35,384.44,12097.0,2023-01-29 20:45:00
385.19,392.59,372.22,372.22,3020.0,2023-01-30 20:45:00
372.22,387.04,365.74,373.15,7265.0,2023-01-31 20:45:00
365.74,380.56,365.74,370.83,5491.0,2023-02-01 20:45:00
364.91,377.78,364.91,364.91,4850.0,2023-02-02 20:45:00
364.91,378.61,363.06,370.37,10490.0,2023-02-05 20:45:00
368.52,372.31,363.98,366.76,4328.0,2023-02-06 20:45:00
366.67,387.96,366.11,387.04,9453.0,2023-02-07 20:45:00
388.89,391.67,381.48,383.33,12963.0,2023-02-08 20:45:00
376.85,385.19,376.85,381.48,7076.0,2023-02-09 20:45:00
375.93,396.76,370.37,373.15,11008.0,2023-02-12 20:45:00
367.69,389.07,367.69,386.11,11504.0,2023-02-14 20:45:00
378.7,388.89,378.7,382.41,5059.0,2023-02-15 20:45:00
379.63,389.91,379.63,379.63,9496.0,2023-02-16 20:45:00
377.78,384.26,373.33,384.26,2861.0,2023-02-20 20:45:00
379.63,412.96,377.87,401.39,12533.0,2023-02-22 20:45:00
393.43,401.39,386.11,390.74,16773.0,2023-02-23 20:45:00
383.06,392.59,376.85,392.59,10659.0,2023-02-26 20:45:00
387.96,395.0,377.78,387.04,10820.0,2023-02-27 20:45:00
379.44,396.3,379.44,390.74,2420.0,2023-02-28 20:45:00
388.89,388.89,383.33,384.35,6937.0,2023-03-01 20:45:00
378.89,386.11,378.89,381.57,6480.0,2023-03-02 20:45:00
