open,high,low,close,volume,date
102.35,105.45,102.35,105.45,130.0,2022-05-25 05:45:00
106.55,106.55,106.55,106.55,30.0,2022-05-26 20:45:00
107.65,112.2,107.65,112.2,80.0,2022-05-30 20:45:00
112.2,113.4,112.2,113.4,30.0,2022-05-31 20:45:00
112.2,119.7,112.2,119.7,60.0,2022-06-01 20:45:00
118.4,126.65,118.4,126.65,80.0,2022-06-02 20:45:00
126.65,134.3,126.65,134.3,70.0,2022-06-03 20:45:00
135.95,142.7,135.95,142.7,100.0,2022-06-06 20:45:00
144.55,151.95,144.55,151.95,120.0,2022-06-07 20:45:00
153.95,162.1,153.95,162.1,100.0,2022-06-08 20:45:00
164.0,173.3,164.0,173.3,150.0,2022-06-09 20:45:00
175.75,185.6,175.75,185.6,400.0,2022-06-10 20:45:00
188.3,199.15,188.3,199.15,2160.0,2022-06-13 20:45:00
202.1,214.05,185.0,187.0,48906.0,2022-06-14 20:45:00
187.0,187.0,173.3,175.0,34219.0,2022-06-15 20:45:00
172.5,187.15,165.0,179.95,10055.0,2022-06-16 20:45:00
182.5,187.5,172.55,182.5,8537.0,2022-06-17 20:45:00
185.0,185.0,171.5,171.65,8433.0,2022-06-19 20:45:00
171.65,174.05,163.0,164.55,11693.0,2022-06-20 20:45:00
162.5,172.5,162.5,166.25,6532.0,2022-06-21 20:45:00
168.55,168.55,159.75,162.25,7003.0,2022-06-22 20:45:00
164.45,164.45,151.75,154.5,12774.0,2022-06-23 20:45:00
152.5,162.2,150.6,156.5,3625.0,2022-06-24 20:45:00
158.6,167.0,158.6,165.0,7365.0,2022-06-26 20:45:00
167.3,172.0,162.0,162.0,14086.0,2022-06-27 20:45:00
160.0,164.0,160.0,162.5,6150.0,2022-06-28 20:45:00
160.3,166.25,160.3,164.05,11087.0,2022-06-29 20:45:00
166.3,170.9,164.2,169.5,10243.0,2022-06-30 20:45:00
167.5,172.9,162.85,172.5,12622.0,2022-07-01 20:45:00
174.95,180.05,168.5,178.0,12589.0,2022-07-03 20:45:00
180.5,184.05,173.55,173.55,19683.0,2022-07-04 20:45:00
171.1,180.0,168.75,169.5,15683.0,2022-07-05 20:45:00
171.85,174.05,164.7,173.0,6930.0,2022-07-06 20:45:00
175.45,176.0,170.0,172.5,7220.0,2022-07-07 20:45:00
170.5,170.5,166.5,166.5,4562.0,2022-07-08 20:45:00
164.2,166.5,159.5,159.5,7360.0,2022-07-11 20:45:00
158.85,165.95,158.05,165.75,3574.0,2022-07-12 20:45:00
163.5,173.0,162.5,172.45,6517.0,2022-07-13 20:45:00
172.5,174.85,167.15,172.35,6125.0,2022-07-14 20:45:00
169.95,170.5,165.5,169.85,5220.0,2022-07-15 20:45:00
167.5,170.35,162.9,168.0,3582.0,2022-07-17 20:45:00
167.5,170.5,165.5,168.5,2688.0,2022-07-18 20:45:00
166.25,174.4,166.25,172.0,7432.0,2022-07-19 20:45:00
169.65,176.85,168.3,173.0,10071.0,2022-07-20 20:45:00
170.55,172.5,168.15,171.5,2985.0,2022-07-21 20:45:00
169.1,172.0,166.75,169.5,2640.0,2022-07-22 20:45:00
171.5,180.55,165.5,180.0,12895.0,2022-07-24 20:45:00
180.0,193.0,180.0,193.0,36630.0,2022-07-25 20:45:00
195.5,203.0,185.55,197.5,21245.0,2022-07-26 20:45:00
194.55,208.6,190.05,206.0,29128.0,2022-07-27 20:45:00
206.5,208.2,195.55,200.0,33095.0,2022-07-28 20:45:00
197.0,203.5,195.05,197.55,8061.0,2022-07-29 20:45:00
194.6,206.5,194.6,202.5,18976.0,2022-07-31 20:45:00
205.5,205.5,197.5,199.5,20919.0,2022-08-01 20:45:00
196.55,200.0,194.55,199.9,15095.0,2022-08-02 20:45:00
199.9,214.85,199.9,214.85,39216.0,2022-08-03 20:45:00
218.1,231.3,218.1,231.3,49371.0,2022-08-04 20:45:00
234.9,248.5,231.3,236.0,42222.0,2022-08-05 20:45:00
232.5,240.0,223.5,233.5,38350.0,2022-08-07 20:45:00
230.0,236.5,230.0,230.6,31650.0,2022-08-08 20:45:00
231.0,234.0,220.0,221.05,18559.0,2022-08-09 20:45:00
220.0,225.0,215.05,220.0,13782.0,2022-08-10 20:45:00
217.5,223.4,217.0,217.05,11647.0,2022-08-11 20:45:00
213.75,220.35,211.7,215.0,8260.0,2022-08-14 20:45:00
211.7,222.7,208.6,222.5,10960.0,2022-08-15 20:45:00
222.5,225.85,211.05,215.1,22557.0,2022-08-16 20:45:00
212.55,218.4,212.55,217.0,13437.0,2022-08-17 20:45:00
217.3,232.0,213.6,231.0,35571.0,2022-08-18 20:45:00
227.45,234.6,220.55,224.5,22050.0,2022-08-21 20:45:00
224.45,224.45,218.6,222.0,9742.0,2022-08-22 20:45:00
219.15,222.0,217.5,220.95,7390.0,2022-08-23 20:45:00
218.5,224.35,217.55,222.0,6490.0,2022-08-24 20:45:00
225.0,225.0,214.0,219.0,10985.0,2022-08-25 20:45:00
216.0,217.5,210.0,217.0,13639.0,2022-08-26 20:45:00
220.3,223.5,205.0,206.5,17163.0,2022-08-28 20:45:00
206.5,210.65,203.5,205.75,8717.0,2022-08-29 20:45:00
204.5,215.5,204.5,208.5,5877.0,2022-08-30 20:45:00
205.4,212.5,203.55,203.75,10650.0,2022-08-31 20:45:00
201.55,210.7,200.05,209.0,11402.0,2022-09-01 20:33:00
210.0,212.0,203.45,205.0,2217.0,2022-09-02 20:45:00
