open,high,low,close,volume,date
194.3,213.7,194.3,213.7,370.0,2023-01-04 20:45:00
217.9,235.0,217.9,235.0,370.0,2023-01-05 20:45:00
239.7,258.5,239.7,258.5,430.0,2023-01-08 20:45:00
263.6,284.3,263.6,284.3,340.0,2023-01-09 20:45:00
289.9,312.7,289.9,312.7,1140.0,2023-01-10 20:45:00
318.9,343.9,318.9,343.9,2890.0,2023-01-12 20:45:00
350.7,378.2,350.7,378.2,4980.0,2023-01-17 20:45:00
385.7,416.0,385.7,416.0,16324.0,2023-01-18 20:45:00
424.3,439.6,401.2,419.1,21229.0,2023-01-19 20:45:00
410.8,420.0,405.0,412.0,11120.0,2023-01-23 20:45:00
412.0,412.0,400.0,408.0,6710.0,2023-01-24 20:45:00
402.1,448.8,402.1,442.0,13179.0,2023-01-25 20:45:00
450.8,486.2,442.1,486.2,10923.0,2023-01-26 20:45:00
495.9,534.8,487.0,534.8,21198.0,2023-01-29 20:45:00
545.4,588.2,545.4,569.9,38326.0,2023-01-30 20:45:00
559.0,611.9,539.0,611.9,15594.0,2023-01-31 20:45:00
599.7,611.9,571.0,596.0,15763.0,2023-02-01 20:45:00
600.0,600.0,560.6,573.0,18237.0,2023-02-02 20:45:00
561.6,573.9,540.8,567.0,16040.0,2023-02-05 20:45:00
555.7,555.7,537.0,540.5,5651.0,2023-02-06 20:45:00
536.4,572.0,536.2,558.9,8910.0,2023-02-07 20:45:00
570.0,600.0,538.0,570.0,9113.0,2023-02-08 20:45:00
558.6,627.0,548.0,627.0,38364.0,2023-02-09 20:45:00
614.5,653.0,592.0,641.5,33770.0,2023-02-12 20:45:00
630.0,630.0,600.0,609.0,22781.0,2023-02-14 20:45:00
597.0,654.7,590.0,654.7,11799.0,2023-02-15 20:45:00
641.7,647.0,600.1,640.0,21239.0,2023-02-16 20:45:00
627.2,677.2,603.1,610.0,14501.0,2023-02-20 20:45:00
610.0,640.0,600.2,629.0,14040.0,2023-02-22 20:45:00
617.0,617.0,598.0,598.0,7752.0,2023-02-23 20:45:00
586.1,601.8,552.8,601.8,6556.0,2023-02-26 20:45:00
590.0,610.0,570.0,584.0,8772.0,2023-02-27 20:45:00
573.1,579.0,562.0,568.0,2920.0,2023-02-28 20:45:00
560.0,594.0,550.0,594.0,5891.0,2023-03-01 20:45:00
605.8,605.8,547.0,565.9,5055.0,2023-03-02 20:45:00
577.0,577.0,535.0,539.0,870.0,2023-03-05 20:45:00
531.0,549.0,528.3,528.3,1197.0,2023-03-07 20:45:00
538.8,549.5,510.0,544.9,5017.0,2023-03-09 20:45:00
555.0,561.0,529.4,543.0,7145.0,2023-03-12 20:45:00
532.3,538.9,517.7,535.0,1255.0,2023-03-13 20:45:00
524.3,555.0,515.1,554.0,1097.0,2023-03-14 20:45:00
550.0,572.0,525.1,525.1,1629.0,2023-03-15 20:45:00
535.0,535.0,516.2,522.0,7001.0,2023-03-16 20:45:00
512.0,550.0,512.0,521.2,2811.0,2023-03-19 20:45:00
521.2,541.9,521.2,525.0,2650.0,2023-03-20 20:45:00
520.0,540.0,520.0,530.0,3761.0,2023-03-22 20:45:00
525.0,526.0,514.9,525.0,3050.0,2023-03-23 20:45:00
515.2,521.0,505.0,505.3,4475.0,2023-03-26 20:45:00
515.4,515.4,496.2,514.0,4281.0,2023-03-27 20:45:00
514.0,524.2,504.0,504.0,3040.0,2023-03-28 20:45:00
500.0,510.0,490.1,496.0,2171.0,2023-03-29 20:45:00
502.0,510.0,498.1,500.0,1801.0,2023-03-30 20:45:00
500.0,530.0,495.2,495.2,7517.0,2023-04-02 20:45:00
485.4,497.8,485.4,497.8,546.0,2023-04-03 20:45:00
488.1,497.0,473.0,494.7,2230.0,2023-04-04 20:45:00
490.0,513.9,480.0,510.0,4043.0,2023-04-05 20:45:00
499.8,507.9,490.2,492.6,2252.0,2023-04-06 20:45:00
482.8,485.0,475.4,476.0,3012.0,2023-04-09 20:45:00
476.0,504.0,467.2,504.0,1610.0,2023-04-10 20:45:00
494.0,509.9,484.1,509.9,1447.0,2023-04-11 20:45:00
500.0,520.2,485.0,518.6,10477.0,2023-04-12 20:45:00
524.8,524.8,493.2,509.0,5005.0,2023-04-13 20:45:00
500.0,505.0,490.0,503.0,1560.0,2023-04-16 20:45:00
493.1,502.8,486.0,500.0,1430.0,2023-04-17 20:45:00
490.0,494.0,479.0,479.0,2555.0,2023-04-18 20:45:00
488.0,489.6,472.0,481.0,2205.0,2023-04-19 20:45:00
490.6,490.6,474.0,483.0,1721.0,2023-04-20 20:45:00
492.6,492.6,456.0,472.0,500.0,2023-04-23 20:45:00
463.0,470.0,460.0,464.0,1500.0,2023-04-24 20:45:00
456.2,482.5,456.2,481.9,2249.0,2023-04-25 20:45:00
491.5,491.5,475.0,479.9,1163.0,2023-04-26 20:45:00
474.0,488.0,465.6,470.0,2224.0,2023-04-27 20:45:00
460.6,468.0,460.0,468.0,1570.0,2023-04-30 20:45:00
477.0,477.0,457.3,463.0,660.0,2023-05-02 20:45:00
454.0,456.0,448.0,455.0,820.0,2023-05-03 20:45:00
447.0,471.0,435.0,441.0,1515.0,2023-05-04 20:45:00
440.0,449.9,440.0,445.0,1340.0,2023-05-07 20:45:00
440.0,440.0,432.3,440.0,840.0,2023-05-08 20:45:00
435.0,454.9,435.0,444.9,550.0,2023-05-09 20:45:00
436.2,471.0,428.0,471.0,2495.0,2023-05-10 20:45:00
461.6,461.6,440.0,445.0,2647.0,2023-05-11 20:45:00
453.9,462.9,435.0,461.8,2570.0,2023-05-14 20:45:00
471.0,471.0,437.1,437.1,695.0,2023-05-15 20:45:00
445.8,453.9,428.4,448.0,910.0,2023-05-16 20:45:00
439.1,448.8,432.0,447.1,670.0,2023-05-17 20:45:00
439.5,458.0,439.5,454.0,2044.0,2023-05-18 20:45:00
445.1,461.0,440.0,452.8,3254.0,2023-05-21 20:45:00
443.8,466.0,436.1,460.0,2275.0,2023-05-22 20:45:00
450.8,473.0,446.0,472.0,2631.0,2023-05-23 20:45:00
462.6,471.8,455.1,470.0,2841.0,2023-05-24 20:45:00
460.6,479.4,446.2,461.0,3122.0,2023-05-28 20:45:00
465.0,465.0,440.0,459.0,3425.0,2023-05-30 20:45:00
450.0,454.0,436.0,438.1,2040.0,2023-05-31 20:45:00
438.0,445.7,430.0,440.0,2319.0,2023-06-01 20:45:00
445.0,470.0,438.1,459.0,1595.0,2023-06-04 20:45:00
467.0,467.0,432.0,449.0,2996.0,2023-06-05 20:45:00
440.1,453.0,438.0,453.0,2420.0,2023-06-06 20:45:00
450.0,459.0,447.0,448.9,2240.0,2023-06-07 20:45:00
442.0,451.9,441.0,446.0,4085.0,2023-06-08 20:45:00
454.9,459.0,445.9,457.0,7441.0,2023-06-11 20:45:00
465.0,475.3,455.9,458.6,7335.0,2023-06-12 20:45:00
453.0,500.0,453.0,496.0,11017.0,2023-06-13 20:45:00
500.0,545.0,485.1,495.2,16654.0,2023-06-14 20:45:00
504.0,508.7,490.0,506.0,7973.0,2023-06-15 20:45:00
516.0,550.0,508.0,538.8,12270.0,2023-06-18 20:45:00
531.0,543.5,526.0,526.0,6780.0,2023-06-19 20:45:00
516.0,534.0,497.9,528.0,7341.0,2023-06-20 20:45:00
517.5,520.0,490.0,515.0,6672.0,2023-06-21 20:45:00
510.0,510.0,480.0,494.7,4979.0,2023-06-22 20:45:00
485.0,504.5,485.0,504.5,3547.0,2023-06-25 20:45:00
495.0,510.0,475.0,500.0,6135.0,2023-06-26 20:45:00
500.0,518.0,475.0,500.0,4665.0,2023-06-27 20:45:00
490.0,494.0,480.0,480.0,6243.0,2023-06-28 20:45:00
481.0,486.0,460.2,466.0,5035.0,2023-07-02 20:45:00
457.1,470.0,457.1,467.9,2723.0,2023-07-03 20:45:00
470.0,470.0,456.5,466.0,1725.0,2023-07-04 20:45:00
457.0,465.0,432.0,452.0,3295.0,2023-07-05 20:45:00
452.0,460.0,427.2,457.0,3648.0,2023-07-06 20:45:00
457.0,483.0,448.0,472.5,2130.0,2023-07-09 20:45:00
464.0,470.0,448.0,450.0,2390.0,2023-07-10 20:45:00
441.0,458.7,441.0,455.9,860.0,2023-07-11 20:45:00
446.8,479.0,438.0,468.0,1930.0,2023-07-12 20:45:00
461.0,465.0,445.1,450.0,2141.0,2023-07-13 20:45:00
449.0,458.8,445.1,454.5,2281.0,2023-07-16 20:45:00
462.0,463.5,445.9,460.0,2268.0,2023-07-17 20:45:00
450.8,457.0,442.5,457.0,1186.0,2023-07-18 20:45:00
448.5,455.5,448.5,450.0,1914.0,2023-07-19 20:45:00
441.5,465.1,441.5,457.1,2687.0,2023-07-20 20:45:00
449.0,467.0,449.0,467.0,2071.0,2023-07-23 20:45:00
469.9,503.0,460.0,480.3,8827.0,2023-07-24 20:45:00
470.8,479.0,461.5,470.0,3529.0,2023-07-25 20:45:00
464.9,509.9,464.9,486.0,5310.0,2023-07-26 20:45:00
487.0,504.9,465.5,484.2,3395.0,2023-07-27 20:45:00
486.0,486.5,475.0,476.0,2630.0,2023-07-30 20:45:00
470.0,484.0,466.5,475.0,800.0,2023-07-31 20:45:00
484.5,484.5,460.0,461.0,1506.0,2023-08-01 20:45:00
470.0,470.0,451.9,470.0,1340.0,2023-08-02 20:45:00
465.0,480.0,457.0,468.9,1550.0,2023-08-03 20:45:00
468.0,468.0,445.0,464.0,3535.0,2023-08-06 20:45:00
454.8,460.0,441.1,450.0,4140.0,2023-08-07 20:45:00
441.0,448.0,433.0,440.0,1590.0,2023-08-08 20:45:00
432.0,442.6,426.2,442.6,1978.0,2023-08-09 20:45:00
434.5,450.0,434.2,442.0,1680.0,2023-08-10 20:45:00
433.2,438.1,426.0,435.0,1040.0,2023-08-13 20:45:00
432.0,443.7,427.0,442.0,1582.0,2023-08-14 20:45:00
442.0,442.0,426.0,428.9,1200.0,2023-08-15 20:45:00
420.7,447.9,420.7,433.0,2455.0,2023-08-16 20:45:00
434.0,455.0,426.0,434.4,1035.0,2023-08-17 20:45:00
426.1,436.4,425.0,431.9,2060.0,2023-08-20 20:45:00
