open,high,low,close,volume,date
246.7,261.7,246.7,261.7,61.0,2022-01-18 05:45:00
261.7,287.8,261.7,287.8,51.0,2022-01-19 05:45:00
293.5,316.5,293.5,316.5,70.0,2022-01-20 20:45:00
322.0,348.1,322.0,348.1,130.0,2022-01-23 20:45:00
355.0,382.9,355.0,382.9,140.0,2022-01-24 20:45:00
390.5,421.1,390.5,421.1,5584.0,2022-01-25 20:45:00
425.0,463.2,425.0,463.2,820.0,2022-01-26 20:45:00
472.4,509.5,472.4,509.5,2810.0,2022-01-27 20:45:00
519.6,560.4,509.0,560.4,33715.0,2022-01-30 20:45:00
571.6,616.4,560.0,616.4,29721.0,2022-01-31 20:45:00
628.7,678.0,620.0,678.0,8999.0,2022-02-01 20:45:00
678.0,744.0,640.0,744.0,46157.0,2022-02-03 20:45:00
744.0,744.0,673.0,696.0,24660.0,2022-02-06 20:45:00
686.0,724.2,652.8,668.0,29925.0,2022-02-07 20:45:00
681.3,734.8,665.0,691.0,17120.0,2022-02-08 20:45:00
734.0,734.0,675.3,686.0,14439.0,2022-02-09 20:45:00
686.0,690.0,650.0,665.0,13244.0,2022-02-10 20:45:00
651.7,651.7,615.0,615.0,12863.0,2022-02-13 20:45:00
610.0,665.0,600.0,665.0,7814.0,2022-02-14 20:45:00
678.3,685.0,631.0,685.0,9550.0,2022-02-15 20:45:00
671.3,692.5,646.0,646.0,11600.0,2022-02-16 20:45:00
640.0,646.0,619.0,620.0,13685.0,2022-02-17 20:45:00
607.6,640.0,590.0,625.0,8903.0,2022-02-20 20:45:00
620.0,675.0,620.0,667.0,20037.0,2022-02-21 20:45:00
665.0,708.9,665.0,693.0,24504.0,2022-02-22 20:45:00
693.0,736.0,680.1,733.0,36539.0,2022-02-23 20:45:00
719.0,724.0,677.5,697.0,17184.0,2022-02-24 20:45:00
705.0,710.0,678.0,699.0,11991.0,2022-02-27 20:45:00
712.9,713.0,654.0,684.8,16754.0,2022-02-28 20:45:00
671.2,671.2,650.0,669.5,10065.0,2022-03-02 20:45:00
657.0,668.0,643.9,663.9,4477.0,2022-03-06 20:45:00
670.0,703.0,652.0,703.0,6496.0,2022-03-07 20:45:00
703.0,714.0,657.0,665.0,7166.0,2022-03-09 20:45:00
675.0,688.5,642.1,677.0,10378.0,2022-03-10 20:45:00
677.0,703.0,664.0,683.0,13279.0,2022-03-13 20:45:00
670.0,679.9,662.0,668.0,1558.0,2022-03-14 20:45:00
660.0,678.0,660.0,673.9,11688.0,2022-03-15 20:45:00
680.0,680.0,658.0,674.0,4550.0,2022-03-16 20:45:00
674.0,715.0,657.0,676.3,8960.0,2022-03-20 20:45:00
676.3,702.7,653.0,671.9,15617.0,2022-03-21 20:45:00
670.0,680.0,665.0,670.0,4769.0,2022-03-22 20:45:00
657.0,660.0,645.0,646.0,6230.0,2022-03-23 20:45:00
650.0,650.0,630.0,633.0,3530.0,2022-03-24 20:45:00
620.5,650.0,608.0,609.0,6618.0,2022-03-27 20:45:00
609.0,632.0,602.0,615.0,7254.0,2022-03-28 20:45:00
627.0,639.0,602.7,623.0,5463.0,2022-03-29 20:45:00
635.0,635.0,607.1,633.0,6102.0,2022-03-30 20:45:00
640.0,640.0,607.0,627.3,5590.0,2022-03-31 20:45:00
615.0,625.0,601.0,607.1,5783.0,2022-04-03 20:45:00
600.0,613.1,596.2,596.2,4805.0,2022-04-04 20:45:00
596.0,596.0,566.0,590.0,7330.0,2022-04-05 20:45:00
580.0,585.0,557.5,566.0,3977.0,2022-04-06 20:45:00
566.0,586.0,562.0,586.0,5225.0,2022-04-07 20:45:00
597.7,633.0,560.1,561.0,3580.0,2022-04-11 20:45:00
550.0,556.9,530.0,540.0,4668.0,2022-04-12 20:45:00
535.0,550.0,515.0,540.0,3455.0,2022-04-13 20:45:00
531.0,532.5,511.6,512.0,3725.0,2022-04-17 20:45:00
505.1,512.0,494.1,495.0,4815.0,2022-04-18 20:45:00
486.0,528.0,467.2,509.0,2698.0,2022-04-19 20:45:00
519.0,519.0,479.0,480.0,3260.0,2022-04-20 20:45:00
471.0,490.0,462.0,488.0,1832.0,2022-04-21 20:45:00
479.0,518.0,452.0,518.0,11361.0,2022-04-24 20:45:00
507.7,527.0,497.6,510.0,4355.0,2022-04-25 20:45:00
499.8,510.0,495.0,500.0,947.0,2022-04-26 20:45:00
490.1,510.0,490.0,493.6,4615.0,2022-04-27 20:45:00
495.0,510.0,484.5,498.0,3300.0,2022-04-28 20:45:00
488.5,488.5,465.0,467.0,1362.0,2022-05-02 20:45:00
458.0,469.4,436.0,442.0,2606.0,2022-05-04 20:45:00
435.0,435.0,410.0,415.0,6370.0,2022-05-05 20:45:00
423.3,423.3,392.3,423.0,3783.0,2022-05-08 20:45:00
420.0,429.4,411.7,420.0,3380.0,2022-05-09 20:45:00
420.0,444.5,411.6,442.0,3545.0,2022-05-10 20:45:00
444.4,479.4,436.7,479.0,3651.0,2022-05-11 20:45:00
488.5,498.0,461.2,498.0,5586.0,2022-05-12 20:45:00
507.9,507.9,448.2,449.0,8018.0,2022-05-17 20:45:00
457.9,464.0,426.3,458.9,2391.0,2022-05-18 20:45:00
468.0,470.0,439.1,439.1,1610.0,2022-05-19 20:45:00
447.8,456.7,431.5,440.0,2502.0,2022-05-20 20:45:00
440.0,440.0,424.0,428.0,3558.0,2022-05-23 20:45:00
425.0,450.0,420.1,439.0,835.0,2022-05-24 20:45:00
435.0,455.0,432.2,439.0,2131.0,2022-05-25 20:45:00
430.5,440.0,430.5,435.0,1720.0,2022-05-26 20:45:00
435.0,439.0,428.0,439.0,2070.0,2022-05-27 20:45:00
430.3,442.0,415.0,428.0,1418.0,2022-05-30 20:45:00
419.5,422.2,412.0,420.0,1636.0,2022-05-31 20:45:00
419.5,429.5,408.1,414.0,900.0,2022-06-01 20:45:00
406.0,422.0,406.0,409.0,950.0,2022-06-02 20:45:00
401.8,413.5,401.0,402.0,995.0,2022-06-03 20:45:00
400.0,412.0,396.0,401.0,925.0,2022-06-06 20:45:00
395.0,400.0,384.3,391.9,3295.0,2022-06-07 20:45:00
384.1,414.9,384.1,413.5,2484.0,2022-06-08 20:45:00
415.0,419.5,400.1,409.0,3707.0,2022-06-09 20:45:00
