open,high,low,close,volume,date
713.0,713.0,713.0,713.0,10.0,2011-04-19 05:45:00
727.0,727.0,727.0,727.0,428755.0,2011-04-26 05:45:00
755.0,755.0,741.0,755.0,23.0,2011-06-08 05:45:00
785.0,785.0,770.0,785.0,30.0,2011-06-09 05:45:00
785.0,816.0,785.0,816.0,25.0,2011-06-12 05:45:00
816.0,832.0,816.0,832.0,25.0,2011-06-13 05:45:00
832.0,848.0,832.0,848.0,14.0,2011-06-14 05:45:00
848.0,890.0,848.0,890.0,10.0,2011-06-15 05:45:00
890.0,907.0,890.0,907.0,17.0,2011-06-16 05:45:00
907.0,952.0,907.0,952.0,30.0,2011-06-19 05:45:00
907.0,952.0,907.0,952.0,30.0,2011-06-20 05:45:00
990.0,1009.0,990.0,1009.0,10.0,2011-06-21 05:45:00
1009.0,1080.0,1009.0,1080.0,70.0,2011-06-23 05:45:00
1080.0,1179.0,1080.0,1179.0,110.0,2011-06-26 05:45:00
1179.0,1250.0,1179.0,1250.0,130.0,2011-06-27 05:45:00
1250.0,1364.0,1250.0,1364.0,180.0,2011-06-29 05:45:00
1364.0,1489.0,1364.0,1489.0,190.0,2011-06-30 05:45:00
1489.0,1548.0,1489.0,1548.0,20.0,2011-07-05 05:45:00
1548.0,1702.0,1548.0,1702.0,550.0,2011-07-10 05:45:00
1702.0,1872.0,1702.0,1872.0,50.0,2011-07-11 05:45:00
1872.0,1909.0,1835.0,1835.0,73.0,2011-07-13 05:45:00
1835.0,1799.0,1729.0,1729.0,60.0,2011-07-14 05:45:00
1729.0,1729.0,1691.0,1691.0,428805.0,2011-07-17 05:45:00
1691.0,1690.0,1690.0,1690.0,320.0,2011-08-04 05:45:00
1690.0,1690.0,1690.0,1690.0,250.0,2011-08-10 05:45:00
1690.0,1690.0,1690.0,1690.0,250.0,2011-08-16 05:45:00
1690.0,1690.0,1690.0,1690.0,10.0,2011-08-18 05:45:00
1690.0,1690.0,1690.0,1690.0,200.0,2011-08-30 05:45:00
1690.0,1690.0,1690.0,1690.0,14.0,2011-10-10 05:45:00
1690.0,1690.0,1690.0,1690.0,127.0,2011-11-28 05:45:00
1690.0,1690.0,1690.0,1690.0,960.0,2012-04-12 05:45:00
1690.0,1680.0,1680.0,1680.0,20.0,2012-09-11 05:45:00
1680.0,1680.0,1680.0,1680.0,20.0,2013-05-26 05:45:00
1680.0,1680.0,1680.0,1680.0,60.0,2013-07-15 05:45:00
1660.0,1660.0,1660.0,1660.0,840.0,2014-08-26 05:45:00
1660.0,1660.0,1660.0,1660.0,82.0,2014-09-10 05:45:00
1726.0,1760.0,1726.0,1760.0,20.0,2019-05-06 05:45:00
1795.0,1830.0,1795.0,1830.0,134.0,2019-10-10 05:45:00
1866.6,1903.9,1866.6,1903.9,360.0,2021-08-01 05:45:00
1941.9,1941.9,1941.9,1941.9,21.0,2022-05-17 05:45:00
1980.7,2136.0,1980.7,2136.0,52.0,2022-09-13 20:45:00
2178.7,2178.7,2178.7,2178.7,10.0,2022-09-14 20:45:00
2222.2,2222.2,2222.2,2222.2,10.0,2022-09-25 20:45:00
2266.6,2311.9,2266.6,2311.9,20.0,2023-07-11 20:45:00
2358.1,2405.2,2358.1,2405.2,20.0,2023-08-07 20:45:00
2453.3,2453.3,2453.3,2453.3,22.0,2023-09-24 20:45:00
2502.3,2698.6,2502.3,2698.6,50.0,2023-12-11 20:45:00
2752.5,2968.4,2752.5,2968.4,50.0,2023-12-12 20:45:00
3027.7,3265.2,3027.7,3265.2,50.0,2023-12-13 20:45:00
3330.5,3591.7,3330.5,3591.7,50.0,2023-12-14 20:45:00
3663.5,3950.8,3663.5,3950.8,50.0,2023-12-17 20:45:00
3950.7,4345.8,3950.7,4345.8,60.0,2023-12-18 20:44:00
4432.7,4780.3,4432.7,4780.3,50.0,2023-12-19 20:45:00
4875.9,5258.3,4875.9,5258.3,50.0,2023-12-20 20:45:00
5363.4,5784.1,5363.4,5784.1,50.0,2023-12-21 20:45:00
5899.7,6362.5,5899.7,6362.5,50.0,2023-12-24 20:45:00
6235.5,6235.5,6235.5,6235.5,10.0,2023-12-27 20:45:00
6360.2,6360.2,6360.2,6360.2,10.0,2024-01-31 16:31:00
6487.4,6996.2,6487.4,6996.2,50.0,2024-02-12 19:35:31
7136.1,7695.8,7136.1,7695.8,50.0,2024-02-13 19:29:28
7849.7,8465.3,7849.7,8465.3,50.0,2024-02-14 20:06:29
