open,high,low,close,volume,date
1000.0,1020.0,1000.0,1020.0,75.0,2024-06-24 20:45:00
1040.4,1060.0,1040.4,1060.0,50.0,2024-06-27 20:45:00
1066.1,1066.1,1066.1,1066.1,25.0,2024-07-03 20:11:53
1063.2,1063.2,1063.2,1063.2,25.0,2024-07-07 17:54:35
1065.5,1065.5,1065.5,1065.5,25.0,2024-07-09 17:00:29
1069.1,1069.1,1069.1,1069.1,25.0,2024-07-10 19:55:08
1070.2,1075.0,1070.2,1075.0,50.0,2024-07-11 18:45:31
1054.0,1054.0,1054.0,1054.0,25.0,2024-07-30 20:29:05
1050.0,1050.0,1049.4,1049.4,50.0,2024-07-31 20:43:31
1055.0,1055.0,1055.0,1055.0,25.0,2024-08-01 20:02:30
1055.0,1055.0,1055.0,1055.0,25.0,2024-08-05 20:00:55
1049.0,1049.0,1046.0,1046.0,100.0,2024-08-11 20:04:58
1050.0,1062.0,1050.0,1062.0,150.0,2024-08-12 19:45:57
1052.0,1052.0,1052.0,1052.0,25.0,2024-08-14 17:49:17
1052.0,1052.0,1052.0,1052.0,50.0,2024-08-15 18:24:26
1063.0,1063.0,1063.0,1063.0,100.0,2024-08-22 19:41:45
1051.2,1051.2,1051.2,1051.2,25.0,2024-09-01 20:44:21
1060.0,1060.0,1060.0,1060.0,30.0,2024-09-03 19:23:24
1081.2,1081.2,1081.2,1081.2,80.0,2024-09-10 20:07:16
1102.7,1102.8,1102.0,1102.0,45.0,2024-09-11 20:22:06
1124.0,1124.0,1124.0,1124.0,30.0,2024-09-12 17:52:37
1120.0,1120.0,1120.0,1120.0,25.0,2024-09-29 19:23:17
1120.0,1120.0,1120.0,1120.0,25.0,2024-10-29 17:24:28
1100.0,1100.0,1100.0,1100.0,25.0,2024-11-10 18:44:11
1100.0,1100.0,1100.0,1100.0,25.0,2024-11-12 18:40:19
1100.0,1100.0,1100.0,1100.0,25.0,2024-11-17 19:23:15
