open,high,low,close,volume,date
10.0,10.0,9.81,9.81,200.0,2023-08-14 05:45:00
9.62,9.62,9.62,9.62,100.0,2023-08-15 20:45:00
9.43,9.43,9.25,9.25,200.0,2023-08-16 20:45:00
9.07,9.07,9.07,9.07,200.0,2023-08-17 20:45:00
8.89,8.89,8.89,8.89,100.0,2023-08-22 20:45:00
8.72,8.72,8.06,8.23,6760.0,2023-08-23 20:45:00
8.07,8.23,7.94,8.1,2350.0,2023-08-24 20:45:00
7.94,8.1,7.94,8.1,1450.0,2023-08-27 20:44:00
8.06,8.25,8.06,8.25,1100.0,2023-08-28 20:45:00
8.25,8.25,8.25,8.25,500.0,2023-08-29 20:45:00
8.15,8.25,8.15,8.25,1700.0,2023-08-30 20:45:00
8.2,8.36,8.2,8.25,1650.0,2023-09-03 20:45:00
8.2,8.36,8.2,8.36,2500.0,2023-09-04 20:45:00
8.35,8.53,8.35,8.4,500.0,2023-09-05 20:45:00
8.35,8.35,8.35,8.35,1300.0,2023-09-07 20:45:00
8.22,8.46,8.22,8.46,1200.0,2023-09-10 20:45:00
8.35,8.45,8.34,8.45,500.0,2023-09-11 20:44:00
8.46,8.46,8.33,8.38,800.0,2023-09-12 20:45:00
8.33,8.4,8.33,8.4,500.0,2023-09-13 20:45:00
8.4,8.4,8.3,8.32,900.0,2023-09-17 20:45:00
8.32,8.32,8.32,8.32,100.0,2023-09-18 20:45:00
8.32,8.32,8.3,8.3,300.0,2023-09-19 20:45:00
8.14,8.32,8.14,8.14,2100.0,2023-09-21 20:45:00
8.01,8.12,8.01,8.12,1050.0,2023-09-24 20:45:00
7.99,8.1,7.95,7.96,1250.0,2023-09-25 20:45:00
7.83,7.92,7.83,7.91,900.0,2023-09-26 20:45:00
7.9,8.16,7.9,8.09,3210.0,2023-09-27 20:45:00
7.95,8.25,7.95,8.09,600.0,2023-10-01 20:45:00
8.01,8.01,7.96,8.0,600.0,2023-10-02 20:45:00
7.93,7.94,7.93,7.94,300.0,2023-10-03 20:45:00
7.84,7.95,7.84,7.95,1000.0,2023-10-04 20:45:00
7.83,7.93,7.83,7.93,1100.0,2023-10-05 20:45:00
7.9,7.93,7.9,7.93,1200.0,2023-10-08 20:45:00
7.93,7.93,7.88,7.88,500.0,2023-10-09 20:45:00
7.92,8.0,7.92,8.0,1000.0,2023-10-10 20:45:00
8.1,8.15,7.91,8.0,600.0,2023-10-11 20:45:00
7.9,8.0,7.9,8.0,600.0,2023-10-12 20:45:00
7.89,8.0,7.89,7.9,1000.0,2023-10-16 20:45:00
7.97,8.0,7.97,7.97,400.0,2023-10-17 20:45:00
7.98,7.98,7.98,7.98,100.0,2023-10-18 20:45:00
7.89,7.89,7.83,7.83,200.0,2023-10-19 20:45:00
7.85,7.98,7.8,7.98,500.0,2023-10-29 20:45:00
7.89,7.92,7.89,7.92,1000.0,2023-10-30 20:45:00
7.92,7.96,7.81,7.96,600.0,2023-10-31 20:45:00
7.84,7.84,7.84,7.84,300.0,2023-11-01 20:45:00
7.8,7.84,7.8,7.81,500.0,2023-11-05 20:45:00
7.81,7.81,7.81,7.81,300.0,2023-11-06 20:45:00
7.96,7.96,7.96,7.96,100.0,2023-11-07 20:45:00
7.9,7.9,7.9,7.9,200.0,2023-11-08 20:45:00
7.75,7.81,7.75,7.81,300.0,2023-11-09 20:45:00
7.67,7.73,7.67,7.73,200.0,2023-11-20 20:45:00
7.88,7.9,7.75,7.75,900.0,2023-11-21 20:45:00
7.68,7.75,7.68,7.75,300.0,2023-11-22 20:45:00
7.62,7.9,7.62,7.9,1400.0,2023-11-23 20:45:00
7.76,7.77,7.76,7.77,1300.0,2023-11-26 20:45:00
7.67,7.67,7.67,7.67,100.0,2023-11-27 20:45:00
7.75,7.75,7.69,7.71,1300.0,2023-11-28 20:45:00
7.71,7.71,7.71,7.71,100.0,2023-11-29 20:45:00
7.81,7.85,7.81,7.83,700.0,2023-11-30 20:45:00
7.72,7.72,7.72,7.72,500.0,2023-12-04 20:45:00
7.61,7.86,7.61,7.86,600.0,2023-12-05 20:45:00
7.71,7.94,7.71,7.94,500.0,2023-12-06 20:45:00
8.09,8.09,8.09,8.09,2000.0,2023-12-07 20:45:00
8.0,8.0,7.8,7.95,600.0,2023-12-11 20:45:00
8.0,8.0,8.0,8.0,900.0,2023-12-12 20:45:00
8.13,8.16,8.0,8.15,2450.0,2023-12-13 20:45:00
8.0,8.05,8.0,8.05,800.0,2023-12-14 20:45:00
8.0,8.25,7.9,8.2,2900.0,2023-12-17 20:45:00
8.2,8.76,8.2,8.76,2000.0,2023-12-18 20:44:00
8.6,8.94,8.6,8.94,3800.0,2023-12-19 20:45:00
8.8,8.97,8.8,8.8,900.0,2023-12-20 20:45:00
8.63,8.87,8.63,8.87,1000.0,2023-12-21 20:45:00
8.8,8.97,8.8,8.8,1200.0,2023-12-24 20:45:00
8.7,8.8,8.7,8.8,1200.0,2023-12-27 20:45:00
8.8,8.97,8.7,8.7,1800.0,2023-12-28 20:45:00
8.53,8.6,8.53,8.6,1860.0,2024-01-01 20:45:00
8.5,8.5,8.5,8.5,900.0,2024-01-02 20:45:00
8.5,8.5,8.5,8.5,400.0,2024-01-03 20:45:00
8.46,8.67,8.46,8.67,1600.0,2024-01-04 20:45:00
8.5,8.67,8.5,8.67,2700.0,2024-01-07 20:45:00
8.51,8.84,8.51,8.67,102000.0,2024-01-08 20:30:26
8.5,8.67,8.5,8.55,2300.0,2024-01-09 20:23:34
8.72,8.72,8.56,8.56,1200.0,2024-01-10 20:33:38
8.39,8.56,8.24,8.25,500800.0,2024-01-11 19:49:17
8.11,8.27,8.11,8.15,800.0,2024-01-14 20:44:41
8.15,8.32,8.15,8.25,600.0,2024-01-16 20:01:21
8.4,8.45,8.13,8.38,1210.0,2024-01-17 20:18:13
8.23,8.5,8.23,8.33,2100.0,2024-01-18 20:42:18
8.2,8.36,8.2,8.36,1100.0,2024-01-21 20:32:54
8.4,8.56,8.4,8.56,1600.0,2024-01-22 18:41:38
8.4,8.5,8.4,8.5,200.0,2024-01-23 17:09:18
8.35,8.51,8.35,8.51,2400.0,2024-01-24 19:40:38
8.5,8.55,8.45,8.55,1000.0,2024-01-25 20:22:17
8.39,8.55,8.39,8.55,1700.0,2024-01-28 20:42:44
8.39,8.43,8.39,8.43,500.0,2024-01-29 20:32:40
8.32,8.48,8.32,8.48,400.0,2024-01-30 20:00:31
8.6,8.77,8.6,8.77,600.0,2024-01-31 19:41:48
8.77,8.77,8.72,8.72,400.0,2024-02-01 20:10:24
8.55,8.56,8.55,8.56,500.0,2024-02-04 20:30:26
8.39,8.77,8.39,8.77,5000.0,2024-02-05 20:41:08
8.6,9.29,8.6,9.29,2100.0,2024-02-06 19:57:22
9.2,9.29,8.84,8.84,2550.0,2024-02-07 20:43:45
8.84,9.01,8.84,9.01,600.0,2024-02-08 18:38:43
8.85,8.85,8.85,8.85,400.0,2024-02-11 19:46:58
8.68,8.85,8.68,8.85,2300.0,2024-02-12 20:44:21
8.7,8.85,8.7,8.85,300.0,2024-02-13 20:10:10
