open,high,low,close,volume,date
14.3,15.06,14.3,15.06,1004.0,2011-07-19 05:45:00
15.25,15.82,15.25,15.82,456.0,2011-07-20 05:45:00
16.04,16.04,16.04,16.04,21.0,2011-07-21 05:45:00
15.86,15.86,15.64,15.64,187.0,2011-07-24 05:45:00
15.86,15.86,15.86,15.86,94.0,2011-07-27 05:45:00
16.09,16.09,16.09,16.09,238.0,2011-07-28 05:45:00
15.86,15.86,15.86,15.86,42.0,2011-07-31 05:45:00
15.86,15.86,15.86,15.86,922.0,2011-08-03 05:45:00
15.82,15.82,15.82,15.82,625.0,2011-08-04 05:45:00
15.61,15.64,15.61,15.64,178.0,2011-08-07 05:45:00
15.86,15.86,15.86,15.86,94.0,2011-08-08 05:45:00
15.86,15.86,15.86,15.86,250.0,2011-08-09 05:45:00
15.86,15.9,15.86,15.9,233.0,2011-08-10 05:45:00
16.11,16.99,16.11,16.99,151.0,2011-08-11 05:45:00
17.21,17.69,17.21,17.69,56.0,2011-08-15 05:45:00
17.53,17.53,17.53,17.53,42.0,2011-08-16 05:45:00
17.79,18.04,17.79,18.04,24.0,2011-08-17 05:45:00
18.29,18.59,18.08,18.44,985.0,2011-08-18 05:45:00
18.7,18.7,18.44,18.44,194.0,2011-08-22 05:45:00
18.26,18.51,18.26,18.51,38.0,2011-08-23 05:45:00
18.26,18.26,18.26,18.26,51.0,2011-09-01 05:45:00
18.01,18.01,17.75,17.75,102.0,2011-09-27 05:45:00
17.75,17.9,17.75,17.9,48.0,2011-10-10 05:45:00
18.08,18.08,18.08,18.08,210.0,2011-10-18 05:45:00
18.26,18.26,18.26,18.26,51.0,2011-11-06 05:45:00
18.01,18.01,17.75,17.75,188.0,2011-11-09 05:45:00
18.63,18.63,18.63,18.63,20.0,2011-11-17 05:45:00
18.34,18.34,18.34,18.34,10.0,2011-12-14 05:45:00
18.08,18.08,17.85,17.85,41.0,2011-12-18 05:45:00
18.08,18.08,18.08,18.08,106.0,2011-12-28 05:45:00
17.85,17.85,17.85,17.85,20.0,2012-01-05 05:45:00
17.61,17.61,17.38,17.38,30.0,2012-01-11 05:45:00
17.14,17.14,17.14,17.14,21.0,2012-01-19 05:45:00
17.18,17.18,17.18,17.18,977.0,2012-01-25 05:45:00
17.07,17.07,17.07,17.07,20.0,2012-02-06 05:45:00
17.3,17.3,17.3,17.3,158.0,2012-02-08 05:45:00
17.07,17.07,16.84,16.84,138.0,2012-02-16 05:45:00
16.64,16.64,16.17,16.17,50.0,2012-02-23 05:45:00
15.97,15.97,15.39,15.39,178.0,2012-02-28 05:45:00
15.59,15.59,15.59,15.59,82.0,2012-02-29 05:45:00
15.39,15.39,14.5,14.5,1795.0,2012-03-01 05:45:00
14.3,14.3,14.3,14.3,126.0,2012-03-04 05:45:00
14.18,14.18,14.04,14.04,31.0,2012-03-05 05:45:00
14.18,14.18,14.18,14.18,158.0,2012-03-20 05:45:00
14.35,14.35,14.35,14.35,157.0,2012-03-25 05:45:00
14.39,14.39,14.39,14.39,84.0,2012-03-28 05:45:00
14.57,14.57,14.57,14.57,110.0,2012-04-08 05:45:00
14.46,14.46,14.46,14.46,476.0,2012-04-12 05:45:00
14.66,14.66,14.66,14.66,2175.0,2012-04-26 05:45:00
14.85,15.24,14.85,15.24,1927.0,2012-05-14 05:45:00
15.43,16.02,15.43,16.02,288.0,2012-05-17 05:45:00
15.82,15.82,15.82,15.82,319.0,2012-05-24 05:45:00
16.02,16.02,16.02,16.02,472.0,2012-06-07 05:45:00
15.82,15.82,15.63,15.63,658.0,2012-06-12 05:45:00
15.82,15.82,15.82,15.82,420.0,2012-06-17 05:45:00
15.74,15.74,15.74,15.74,157.0,2012-07-01 05:45:00
15.94,16.84,15.94,16.84,1141.0,2012-07-11 05:45:00
17.07,18.03,17.07,18.03,160.0,2012-07-17 05:45:00
18.28,19.36,18.28,19.36,443.0,2012-07-18 05:45:00
19.63,20.17,19.36,19.36,906.0,2012-07-19 05:45:00
