open,high,low,close,volume,date
1000.0,1000.0,1000.0,1000.0,25.0,2022-07-18 05:45:00
980.1,980.1,922.5,922.5,50.0,2022-07-19 20:45:00
905.0,905.0,874.6,890.0,235.0,2022-07-20 20:45:00
873.0,880.2,873.0,880.2,100.0,2022-07-21 20:45:00
870.0,897.6,865.4,897.6,200.0,2022-07-24 20:45:00
879.9,885.0,877.0,878.0,125.0,2022-07-25 20:45:00
895.5,899.9,882.0,882.0,75.0,2022-07-26 20:45:00
869.6,878.0,869.6,878.0,50.0,2022-07-27 20:45:00
875.0,892.5,875.0,892.5,40.0,2022-07-31 20:45:00
886.0,886.0,884.0,884.0,50.0,2022-08-01 20:45:00
870.0,881.0,870.0,881.0,150.0,2022-08-02 20:45:00
885.0,885.0,885.0,885.0,50.0,2022-08-03 20:45:00
885.0,885.0,884.1,884.1,20.0,2022-08-04 20:45:00
880.0,880.0,876.1,876.1,55.0,2022-08-07 20:45:00
877.1,890.0,877.1,890.0,50.0,2022-08-09 20:45:00
880.0,880.0,880.0,880.0,25.0,2022-08-10 20:45:00
880.2,881.0,880.2,881.0,55.0,2022-08-11 20:45:00
881.0,881.0,881.0,881.0,30.0,2022-08-14 20:45:00
895.0,895.0,881.3,881.3,50.0,2022-08-16 20:45:00
866.0,883.3,866.0,883.3,50.0,2022-08-17 20:45:00
880.1,885.0,880.1,885.0,50.0,2022-08-21 20:45:00
868.6,892.7,868.6,892.7,50.0,2022-08-22 20:45:00
876.0,890.0,874.9,880.0,160.0,2022-08-23 20:45:00
870.0,870.0,866.0,868.3,95.0,2022-08-24 20:45:00
871.5,871.5,871.5,871.5,25.0,2022-08-25 20:45:00
870.1,870.1,870.0,870.0,235.0,2022-08-28 20:45:00
870.6,871.2,870.6,871.2,75.0,2022-08-30 20:45:00
873.1,873.1,871.4,871.4,75.0,2022-08-31 20:45:00
866.0,880.0,866.0,873.0,205.0,2022-09-04 20:45:00
870.0,870.0,870.0,870.0,25.0,2022-09-07 20:45:00
870.0,870.0,870.0,870.0,25.0,2022-09-11 20:45:00
853.1,854.1,853.1,854.1,50.0,2022-09-18 20:45:00
849.0,849.0,849.0,849.0,25.0,2022-09-20 20:45:00
843.2,847.4,843.2,847.4,75.0,2022-09-22 20:45:00
864.3,864.3,864.3,864.3,190.0,2022-09-25 20:45:00
880.0,880.0,863.0,863.0,75.0,2022-09-28 20:45:00
848.1,848.1,848.0,848.0,50.0,2022-09-29 20:45:00
850.1,850.1,850.1,850.1,95.0,2022-10-09 20:45:00
867.1,884.0,867.1,884.0,95.0,2022-10-11 20:45:00
866.4,866.4,866.4,866.4,25.0,2022-10-13 20:45:00
855.0,855.0,855.0,855.0,25.0,2022-10-20 20:45:00
855.0,855.0,845.0,845.0,100.0,2022-10-23 20:45:00
849.9,849.9,849.9,849.9,25.0,2022-11-01 20:45:00
850.0,850.0,850.0,850.0,50.0,2022-11-02 20:45:00
834.3,834.3,834.3,834.3,25.0,2022-11-06 20:45:00
840.1,856.9,840.1,856.9,50.0,2022-11-07 20:45:00
845.1,845.1,845.1,845.1,50.0,2022-11-10 20:45:00
842.5,842.5,842.5,842.5,25.0,2022-11-13 20:45:00
842.5,842.5,842.5,842.5,25.0,2022-11-14 20:45:00
859.3,859.3,859.3,859.3,25.0,2022-11-15 20:45:00
850.0,850.0,850.0,850.0,25.0,2022-11-23 20:45:00
850.0,855.0,850.0,855.0,60.0,2022-11-24 20:45:00
850.0,858.0,850.0,858.0,50.0,2022-11-28 20:45:00
858.0,858.0,858.0,858.0,500.0,2022-11-29 20:45:00
845.0,845.0,842.0,842.0,95.0,2022-11-30 20:45:00
842.0,850.1,842.0,850.1,50.0,2022-12-01 20:45:00
850.0,850.0,850.0,850.0,60.0,2022-12-04 20:45:00
850.0,850.0,850.0,850.0,25.0,2022-12-05 20:45:00
840.0,840.0,840.0,840.0,25.0,2022-12-12 20:45:00
836.0,836.0,836.0,836.0,25.0,2022-12-13 20:45:00
838.0,838.0,838.0,838.0,25.0,2022-12-14 20:45:00
838.0,838.0,838.0,838.0,25.0,2022-12-18 20:45:00
838.5,840.0,838.5,839.0,65.0,2022-12-19 20:45:00
838.5,850.0,838.5,850.0,50.0,2022-12-20 20:45:00
850.0,850.0,850.0,850.0,25.0,2022-12-21 20:45:00
841.0,850.0,840.0,850.0,225.0,2022-12-27 20:45:00
850.0,850.0,850.0,850.0,50.0,2022-12-28 20:45:00
851.0,851.0,851.0,851.0,15.0,2022-12-29 20:45:00
865.0,868.0,865.0,868.0,125.0,2023-01-01 20:45:00
868.0,870.0,868.0,870.0,125.0,2023-01-03 20:45:00
887.4,887.4,887.4,887.4,10.0,2023-01-05 20:45:00
885.0,885.0,885.0,885.0,40.0,2023-01-08 20:45:00
900.0,900.0,900.0,900.0,15.0,2023-01-09 20:45:00
882.0,882.0,882.0,882.0,25.0,2023-01-18 20:45:00
879.9,882.0,879.9,882.0,240.0,2023-01-24 20:45:00
864.4,864.5,864.4,864.5,50.0,2023-02-02 20:45:00
847.3,847.3,847.3,847.3,25.0,2023-02-05 20:45:00
850.0,850.0,850.0,850.0,25.0,2023-02-06 20:45:00
850.0,850.0,850.0,850.0,25.0,2023-02-07 20:45:00
850.0,850.0,833.1,833.1,52.0,2023-02-08 20:45:00
833.0,833.0,833.0,833.0,45.0,2023-02-12 20:45:00
