open,high,low,close,volume,date
1000.0,1000.0,1000.0,1000.0,100.0,2022-07-27 05:45:00
980.0,980.0,941.4,941.4,65.0,2022-09-22 20:45:00
922.6,922.6,922.6,922.6,10.0,2022-10-10 20:45:00
904.2,904.2,851.3,851.3,105.0,2022-10-20 20:45:00
837.0,858.0,837.0,858.0,125.0,2022-10-23 20:45:00
850.0,850.0,850.0,850.0,15.0,2022-10-31 20:45:00
845.0,857.2,840.4,857.2,65.0,2022-11-01 20:45:00
858.0,858.0,843.2,843.2,45.0,2022-11-02 20:45:00
860.0,870.0,843.2,870.0,125.0,2022-11-03 20:45:00
853.1,856.1,853.1,856.1,50.0,2022-11-07 20:45:00
856.1,873.2,856.1,856.6,60.0,2022-11-08 20:45:00
856.6,873.7,856.0,858.0,140.0,2022-11-09 20:45:00
852.1,853.4,852.0,853.4,65.0,2022-11-10 20:45:00
847.1,852.0,846.6,852.0,118.0,2022-11-14 20:45:00
846.5,846.5,846.5,846.5,25.0,2022-11-15 20:45:00
842.6,846.9,842.6,846.9,125.0,2022-11-16 20:45:00
850.0,850.0,850.0,850.0,25.0,2022-11-17 20:45:00
860.0,860.0,860.0,860.0,65.0,2022-11-22 20:45:00
845.5,845.5,845.5,845.5,25.0,2022-11-24 20:45:00
842.5,842.5,842.5,842.5,25.0,2022-11-30 20:45:00
841.2,841.2,841.2,841.2,25.0,2022-12-01 20:45:00
850.0,850.0,850.0,850.0,25.0,2022-12-04 20:45:00
850.0,850.0,850.0,850.0,25.0,2022-12-06 20:45:00
840.1,843.0,840.1,841.1,125.0,2022-12-11 20:45:00
841.1,841.1,841.1,841.1,25.0,2022-12-18 20:45:00
857.9,857.9,842.7,842.7,75.0,2022-12-20 20:45:00
843.0,843.0,843.0,843.0,25.0,2022-12-21 20:45:00
838.7,838.7,838.6,838.6,30.0,2022-12-27 20:45:00
837.6,837.6,837.6,837.6,25.0,2023-01-01 20:45:00
854.3,854.3,854.3,854.3,25.0,2023-01-02 20:45:00
845.3,845.3,845.2,845.2,50.0,2023-01-04 20:45:00
845.8,867.0,845.6,867.0,185.0,2023-01-08 20:45:00
884.3,884.3,884.3,884.3,30.0,2023-01-09 20:45:00
866.7,866.7,849.4,866.3,175.0,2023-01-18 20:45:00
849.0,849.0,849.0,849.0,125.0,2023-01-19 20:45:00
846.1,846.2,846.1,846.2,25.0,2023-01-23 20:45:00
845.0,845.0,845.0,845.0,25.0,2023-01-24 20:45:00
845.0,845.0,845.0,845.0,25.0,2023-01-25 20:45:00
840.1,845.0,840.1,845.0,75.0,2023-01-29 20:45:00
845.0,845.0,845.0,845.0,25.0,2023-01-30 20:45:00
850.0,850.0,850.0,850.0,25.0,2023-02-05 20:45:00
850.0,850.0,850.0,850.0,30.0,2023-02-08 20:45:00
845.0,845.0,845.0,845.0,25.0,2023-02-15 20:45:00
861.9,861.9,844.7,844.7,50.0,2023-02-22 20:45:00
838.0,838.0,838.0,838.0,25.0,2023-02-23 20:45:00
825.1,825.1,825.1,825.1,30.0,2023-02-26 20:45:00
816.0,820.0,816.0,820.0,50.0,2023-02-27 20:45:00
819.1,819.1,819.1,819.1,25.0,2023-03-01 20:45:00
835.4,835.4,835.4,835.4,10.0,2023-03-15 20:45:00
832.8,832.8,832.8,832.8,25.0,2023-03-22 20:45:00
831.0,831.0,831.0,831.0,25.0,2023-03-23 20:45:00
832.3,833.1,832.3,833.1,40.0,2023-03-27 20:45:00
835.8,835.8,835.7,835.7,50.0,2023-03-29 20:45:00
840.0,840.0,840.0,840.0,25.0,2023-04-06 20:45:00
835.1,851.0,835.1,846.0,77.0,2023-04-09 20:45:00
862.9,880.0,862.9,880.0,35.0,2023-04-12 20:45:00
897.6,897.6,879.7,879.7,40.0,2023-04-13 20:45:00
897.2,897.2,897.2,897.2,35.0,2023-04-16 20:45:00
890.0,898.0,890.0,898.0,47.0,2023-04-17 20:45:00
915.9,915.9,900.0,900.0,58.0,2023-04-18 20:45:00
905.0,905.0,895.1,895.1,87.0,2023-04-23 20:45:00
898.5,898.5,898.5,898.5,40.0,2023-04-24 20:45:00
897.1,897.1,897.1,897.1,27.0,2023-04-26 20:45:00
905.0,905.0,905.0,905.0,50.0,2023-04-30 20:45:00
890.2,890.2,890.2,890.2,25.0,2023-05-02 20:45:00
882.5,882.5,882.5,882.5,25.0,2023-05-07 20:45:00
881.1,881.1,881.1,881.1,25.0,2023-05-08 20:45:00
898.7,899.0,898.7,899.0,50.0,2023-05-15 20:45:00
916.0,916.0,916.0,916.0,50.0,2023-05-16 20:45:00
900.1,917.9,900.0,917.9,85.0,2023-05-17 20:45:00
915.0,915.0,915.0,915.0,25.0,2023-05-21 20:45:00
905.0,905.0,905.0,905.0,25.0,2023-05-22 20:45:00
910.0,910.0,910.0,910.0,25.0,2023-05-30 20:45:00
928.2,928.2,928.2,928.2,10.0,2023-06-01 20:45:00
909.7,909.7,900.0,900.0,60.0,2023-06-06 20:45:00
900.0,900.0,900.0,900.0,25.0,2023-06-08 20:45:00
905.0,905.0,900.3,900.3,100.0,2023-06-11 20:45:00
918.3,918.3,918.3,918.3,25.0,2023-06-12 20:45:00
919.0,919.0,919.0,919.0,50.0,2023-06-13 20:45:00
937.3,943.0,927.0,943.0,55.0,2023-06-14 20:45:00
949.9,951.0,949.9,951.0,55.0,2023-06-18 20:45:00
940.0,940.0,940.0,940.0,25.0,2023-06-19 20:45:00
940.0,940.0,940.0,940.0,25.0,2023-06-20 20:45:00
922.0,922.0,922.0,922.0,25.0,2023-06-27 20:45:00
921.0,921.0,921.0,921.0,100.0,2023-06-28 20:45:00
921.1,921.1,921.1,921.1,25.0,2023-07-02 20:45:00
925.0,925.0,921.1,921.1,100.0,2023-07-03 20:45:00
939.5,958.2,939.5,958.2,35.0,2023-07-09 20:45:00
945.1,983.2,945.0,983.2,85.0,2023-07-10 20:45:00
1002.8,1002.8,1002.8,1002.8,10.0,2023-07-12 20:45:00
1022.8,1022.8,1003.0,1021.0,45.0,2023-07-13 20:45:00
1022.9,1022.9,1022.9,1022.9,10.0,2023-07-16 20:45:00
1002.5,1002.5,920.7,920.7,170.0,2023-08-09 20:45:00
905.8,908.2,905.8,908.2,100.0,2023-08-10 20:45:00
894.0,894.0,882.0,882.0,50.0,2023-08-14 20:45:00
899.6,899.6,899.6,899.6,60.0,2023-08-15 20:45:00
885.3,903.0,885.3,903.0,51.0,2023-08-16 20:45:00
895.2,895.2,895.2,895.2,25.0,2023-08-17 20:45:00
913.0,913.0,913.0,913.0,11.0,2023-08-20 20:45:00
895.3,895.3,895.0,895.0,100.0,2023-08-21 20:45:00
895.0,895.0,888.0,888.0,25.0,2023-08-22 20:45:00
891.6,891.6,891.6,891.6,50.0,2023-08-30 20:45:00
891.4,891.4,891.4,891.4,25.0,2023-09-07 20:45:00
892.3,900.0,892.3,900.0,50.0,2023-09-10 20:45:00
891.5,900.0,891.3,891.3,100.0,2023-09-11 20:44:00
900.0,900.0,900.0,900.0,25.0,2023-09-12 20:45:00
891.5,891.5,891.5,891.5,25.0,2023-09-13 20:45:00
