open,high,low,close,volume,date
90.03,93.52,90.03,93.52,720.0,2011-07-17 05:45:00
95.36,99.07,95.36,99.07,440.0,2011-07-18 05:45:00
99.07,99.07,99.07,99.07,100.0,2011-07-19 05:45:00
97.12,97.12,94.16,94.16,1370.0,2011-07-20 05:45:00
92.3,92.3,88.93,90.03,2710.0,2011-07-21 05:45:00
88.27,88.27,83.47,87.83,5900.0,2011-07-24 05:45:00
86.09,86.09,84.55,84.55,1040.0,2011-07-25 05:45:00
86.2,86.2,86.2,86.2,330.0,2011-07-26 05:45:00
87.83,87.83,86.2,86.2,2220.0,2011-07-27 05:45:00
86.2,86.75,86.2,86.31,980.0,2011-07-28 05:45:00
87.83,89.47,87.83,88.38,790.0,2011-07-31 05:45:00
88.93,88.93,88.93,88.93,100.0,2011-08-01 05:45:00
90.03,90.03,90.03,90.03,350.0,2011-08-02 05:45:00
90.56,91.11,89.47,90.56,650.0,2011-08-03 05:45:00
88.81,88.81,88.81,88.81,230.0,2011-08-04 05:45:00
88.93,88.93,88.93,88.93,500.0,2011-08-08 05:45:00
87.29,87.29,87.29,87.29,400.0,2011-08-09 05:45:00
87.29,88.6,87.29,88.6,370.0,2011-08-10 05:45:00
88.6,88.6,88.6,88.6,230.0,2011-08-11 05:45:00
90.35,92.75,90.35,92.09,1070.0,2011-08-16 05:45:00
91.65,91.65,91.65,91.65,350.0,2011-08-17 05:45:00
93.4,93.4,91.65,91.65,1360.0,2011-08-18 05:45:00
93.4,93.4,91.55,91.55,300.0,2011-08-22 05:45:00
91.65,92.75,90.89,90.89,750.0,2011-08-23 05:45:00
89.25,89.25,89.25,89.25,200.0,2011-08-24 05:45:00
91.0,94.6,89.15,89.15,780.0,2011-08-25 05:45:00
90.89,90.89,90.89,90.89,180.0,2011-08-28 05:45:00
89.15,89.15,89.15,89.15,100.0,2011-08-29 05:45:00
90.56,92.3,90.56,90.56,780.0,2011-08-30 05:45:00
92.2,94.38,92.2,92.75,1190.0,2011-09-04 05:45:00
92.2,92.2,91.65,91.65,900.0,2011-09-05 05:45:00
89.92,89.92,89.92,89.92,300.0,2011-09-06 05:45:00
91.65,91.65,90.56,90.56,740.0,2011-09-07 05:45:00
91.65,91.76,90.03,91.11,550.0,2011-09-08 05:45:00
89.47,90.35,89.47,90.35,550.0,2011-09-12 05:45:00
88.93,88.93,88.93,88.93,300.0,2011-09-13 05:45:00
87.29,87.29,85.55,85.65,3330.0,2011-09-14 05:45:00
87.19,87.83,85.11,85.65,2670.0,2011-09-15 05:45:00
84.55,84.78,82.94,84.55,6700.0,2011-09-18 05:45:00
85.22,85.22,82.94,82.94,5480.0,2011-09-19 05:45:00
84.02,84.02,84.02,84.02,500.0,2011-09-20 05:45:00
85.11,85.11,85.11,85.11,800.0,2011-09-21 05:45:00
85.65,85.65,84.02,84.67,3030.0,2011-09-22 05:45:00
85.11,85.65,84.55,85.65,1200.0,2011-09-25 05:45:00
86.2,86.53,84.67,84.67,1320.0,2011-09-26 05:45:00
85.11,85.22,85.11,85.22,290.0,2011-09-27 05:45:00
86.75,86.85,86.2,86.2,840.0,2011-09-29 05:45:00
87.29,87.29,87.29,87.29,200.0,2011-10-02 05:45:00
87.29,87.29,87.29,87.29,700.0,2011-10-09 05:45:00
88.06,88.93,87.83,87.83,820.0,2011-10-10 05:45:00
88.48,89.47,88.38,88.93,1030.0,2011-10-12 05:45:00
89.25,89.47,89.03,89.47,410.0,2011-10-13 05:45:00
89.47,92.75,89.47,92.75,1850.0,2011-10-16 05:45:00
93.85,94.6,93.29,93.29,800.0,2011-10-17 05:45:00
93.85,94.28,93.29,94.28,850.0,2011-10-18 05:45:00
96.13,103.55,96.13,102.56,8170.0,2011-10-19 05:45:00
104.54,105.29,94.28,94.49,9070.0,2011-10-20 05:45:00
96.24,98.21,96.02,96.56,3610.0,2011-10-23 05:45:00
97.12,98.21,96.02,97.22,4970.0,2011-10-24 05:45:00
97.22,97.76,96.02,96.56,3320.0,2011-10-25 05:45:00
98.43,98.43,96.56,96.56,4320.0,2011-10-30 05:45:00
96.56,97.65,96.02,97.12,2960.0,2011-10-31 05:45:00
98.96,98.96,98.96,98.96,50.0,2011-11-02 05:45:00
100.93,103.11,97.22,98.75,3530.0,2011-11-03 05:45:00
99.51,99.51,97.65,98.96,1790.0,2011-11-06 05:45:00
98.75,99.85,98.21,98.21,3430.0,2011-11-08 05:45:00
96.79,98.31,96.79,98.31,630.0,2011-11-10 05:45:00
98.21,98.21,97.12,97.12,1100.0,2011-11-13 05:45:00
98.21,98.31,97.12,97.12,970.0,2011-11-14 05:45:00
98.21,98.21,96.67,97.12,980.0,2011-11-15 05:45:00
98.75,98.75,94.93,95.04,800.0,2011-11-16 05:45:00
95.04,96.35,94.28,94.38,2680.0,2011-11-17 05:45:00
94.38,94.93,93.52,94.38,2890.0,2011-11-20 05:45:00
93.85,94.49,93.85,94.49,650.0,2011-11-21 05:45:00
93.85,93.85,92.75,92.75,1650.0,2011-11-22 05:45:00
91.65,92.75,91.34,92.2,1980.0,2011-11-23 05:45:00
91.65,91.65,90.89,90.89,2020.0,2011-11-24 05:45:00
90.35,91.65,87.29,87.29,4440.0,2011-11-27 05:45:00
85.55,85.65,80.75,85.33,21660.0,2011-11-28 05:45:00
85.65,85.65,84.45,84.89,16590.0,2011-11-29 05:45:00
