open,high,low,close,volume,date
337.63,370.91,337.63,370.91,261.0,2021-06-09 05:45:00
388.77,407.43,388.77,407.43,590.0,2021-06-10 20:45:00
427.72,448.02,427.72,448.02,1241.0,2021-06-13 20:45:00
469.93,492.66,469.93,492.66,1780.0,2021-06-14 20:45:00
517.0,541.35,517.0,541.35,3300.0,2021-06-15 20:45:00
568.14,594.92,568.14,594.92,28761.0,2021-06-16 20:45:00
624.14,654.17,551.9,555.96,139756.0,2021-06-17 20:45:00
568.14,568.14,502.4,515.38,66666.0,2021-06-20 20:45:00
505.64,515.38,481.29,496.71,30308.0,2021-06-21 20:45:00
487.78,523.5,478.86,517.81,24901.0,2021-06-22 20:45:00
515.38,515.38,486.16,495.09,21451.0,2021-06-23 20:45:00
485.35,491.04,477.23,477.23,20819.0,2021-06-24 20:45:00
477.23,495.09,465.06,465.87,15787.0,2021-06-27 20:45:00
462.62,486.97,456.95,480.48,18982.0,2021-06-28 20:45:00
486.97,491.04,468.31,474.8,14902.0,2021-06-29 20:45:00
470.74,478.86,454.5,469.12,9389.0,2021-06-30 20:45:00
460.19,478.86,460.19,469.93,14450.0,2021-07-01 20:45:00
478.86,507.26,471.55,504.02,41720.0,2021-07-04 20:45:00
507.26,542.97,503.21,530.8,51282.0,2021-07-05 20:45:00
538.11,538.11,511.32,521.87,26520.0,2021-07-06 20:45:00
515.38,523.5,507.26,515.38,21037.0,2021-07-07 20:45:00
505.64,516.19,500.77,505.64,18339.0,2021-07-08 20:45:00
495.09,522.68,495.09,515.38,30632.0,2021-07-11 20:45:00
515.38,523.5,499.95,503.21,20503.0,2021-07-12 20:45:00
497.52,503.21,493.47,495.09,15988.0,2021-07-13 20:45:00
495.09,509.7,490.22,503.21,10935.0,2021-07-14 20:45:00
503.21,511.32,495.9,502.4,12077.0,2021-07-15 20:45:00
503.21,508.07,498.33,503.29,12597.0,2021-07-18 20:45:00
507.26,522.68,503.21,521.06,28160.0,2021-07-19 20:45:00
512.46,568.14,511.32,560.02,85932.0,2021-07-20 20:45:00
568.14,616.02,560.02,616.02,105781.0,2021-07-22 20:45:00
616.83,657.41,615.21,654.17,106809.0,2021-07-25 20:45:00
667.23,681.77,630.63,678.51,87376.0,2021-07-26 20:45:00
678.51,689.88,653.36,671.22,54095.0,2021-07-27 20:45:00
662.29,673.65,637.13,663.1,48150.0,2021-07-28 20:45:00
663.1,663.91,638.75,649.3,51189.0,2021-07-29 20:45:00
649.3,714.23,649.3,711.79,78768.0,2021-08-01 20:45:00
722.34,726.0,685.01,685.82,78313.0,2021-08-02 20:45:00
685.82,740.85,677.7,740.85,65324.0,2021-08-03 20:45:00
755.62,811.62,741.01,791.33,91969.0,2021-08-04 20:45:00
791.33,805.13,760.49,763.74,59129.0,2021-08-05 20:45:00
750.75,775.1,736.95,762.93,58440.0,2021-08-08 20:45:00
751.56,787.27,751.56,770.23,46679.0,2021-08-09 20:45:00
770.23,787.27,754.89,758.86,29357.0,2021-08-10 20:45:00
762.93,834.76,756.43,818.93,67588.0,2021-08-11 20:45:00
818.93,880.61,804.32,852.21,62758.0,2021-08-12 20:45:00
852.21,860.97,803.5,835.97,88109.0,2021-08-15 20:45:00
819.74,851.4,803.5,842.47,59174.0,2021-08-16 20:45:00
842.47,926.71,830.61,926.71,70567.0,2021-08-17 20:45:00
945.22,1019.32,945.22,1004.79,88969.0,2021-08-18 20:45:00
1004.79,1076.21,971.51,1067.28,104850.0,2021-08-19 20:45:00
1071.34,1148.44,1055.92,1107.05,96331.0,2021-08-24 20:45:00
1107.05,1107.05,1034.82,1095.69,71923.0,2021-08-25 20:45:00
1073.77,1139.51,1055.11,1079.46,48706.0,2021-08-26 20:45:00
1057.86,1079.46,1022.65,1022.65,54903.0,2021-08-29 20:45:00
1043.1,1043.1,991.07,993.42,47528.0,2021-08-31 20:45:00
973.95,1012.09,965.83,978.82,41831.0,2021-09-01 20:45:00
965.83,982.06,935.8,957.71,38383.0,2021-09-02 20:45:00
