open,high,low,close,volume,date
228.21,248.44,228.21,248.44,775.0,2017-08-03 05:45:00
252.62,270.77,232.38,243.55,10396.0,2017-08-06 05:45:00
239.37,240.76,221.92,221.92,4374.0,2017-08-07 05:45:00
218.44,218.44,202.38,204.48,5869.0,2017-08-09 05:45:00
204.48,204.48,189.14,204.48,2022.0,2017-08-10 05:45:00
201.69,202.38,189.83,192.62,379.0,2017-08-13 05:45:00
190.53,190.53,176.57,177.28,608.0,2017-08-15 05:45:00
174.48,181.46,174.48,174.48,528.0,2017-08-16 05:45:00
171.69,172.38,168.9,170.29,628.0,2017-08-17 05:45:00
170.29,173.08,167.5,169.6,700.0,2017-08-20 05:45:00
172.38,175.18,160.53,163.32,1788.0,2017-08-21 05:45:00
162.62,167.5,161.22,162.62,6521.0,2017-08-22 05:45:00
160.53,161.92,153.55,153.55,3955.0,2017-08-23 05:45:00
151.46,159.13,149.36,159.13,4342.0,2017-08-24 05:45:00
160.53,162.62,157.74,162.62,2006.0,2017-08-27 05:45:00
160.53,163.32,159.13,163.32,280.0,2017-08-28 05:45:00
162.62,164.02,160.53,160.53,1851.0,2017-08-30 05:45:00
158.43,159.83,154.25,159.13,487.0,2017-08-31 05:45:00
157.04,157.04,152.85,152.85,1582.0,2017-09-04 05:45:00
152.85,155.64,152.85,155.64,370.0,2017-09-06 05:45:00
154.95,155.64,150.76,150.76,1146.0,2017-09-07 05:45:00
148.67,150.76,144.48,146.57,968.0,2017-09-10 05:45:00
145.18,145.18,138.9,138.9,179.0,2017-09-11 05:45:00
137.5,138.2,137.5,137.5,98.0,2017-09-12 05:45:00
136.11,136.81,131.92,136.81,184.0,2017-09-13 05:45:00
136.81,136.81,134.71,136.81,407.0,2017-09-14 05:45:00
138.2,138.2,133.32,134.02,248.0,2017-09-17 05:45:00
132.62,138.2,132.62,136.81,603.0,2017-09-18 05:45:00
138.2,138.2,135.41,135.41,131.0,2017-09-20 05:45:00
133.32,136.81,133.32,136.81,618.0,2017-09-24 05:45:00
138.9,140.99,138.9,140.99,80.0,2017-09-25 05:45:00
140.99,147.97,140.99,145.18,1151.0,2017-09-26 05:45:00
145.18,145.18,143.08,143.08,150.0,2017-10-03 05:45:00
143.08,143.08,143.08,143.08,40.0,2017-10-04 05:45:00
140.99,143.78,138.9,143.78,94.0,2017-10-08 05:45:00
141.68,141.68,140.29,140.29,172.0,2017-10-09 05:45:00
138.9,140.29,136.81,140.29,228.0,2017-10-10 05:45:00
138.2,140.29,138.2,140.29,76.0,2017-10-11 05:45:00
140.29,144.48,140.29,143.78,92.0,2017-10-12 05:45:00
143.08,145.88,142.38,145.88,352.0,2017-10-15 05:45:00
147.97,152.15,147.97,152.15,541.0,2017-10-16 05:45:00
150.76,159.83,150.76,159.83,1005.0,2017-10-17 05:45:00
159.13,159.83,159.13,159.83,30.0,2017-10-18 05:45:00
159.83,161.92,159.83,161.92,56.0,2017-10-22 05:45:00
161.22,161.22,157.04,159.13,422.0,2017-10-23 05:45:00
159.13,166.11,159.13,166.11,888.0,2017-10-24 05:45:00
168.9,171.69,163.32,163.32,1238.0,2017-10-25 05:45:00
160.53,161.92,160.53,161.92,20.0,2017-10-29 05:45:00
160.53,160.53,159.83,159.83,88.0,2017-10-30 05:45:00
157.74,159.13,155.64,159.13,351.0,2017-10-31 05:45:00
157.04,158.43,157.04,158.43,197.0,2017-11-01 05:45:00
158.43,158.43,155.64,155.64,258.0,2017-11-02 05:45:00
153.55,159.83,153.55,159.83,199.0,2017-11-05 05:45:00
157.74,159.83,155.64,158.43,114.0,2017-11-06 05:45:00
156.34,156.34,154.25,154.25,20.0,2017-11-07 05:45:00
152.15,152.15,150.06,150.06,162.0,2017-11-08 05:45:00
152.15,152.15,143.78,152.15,378.0,2017-11-09 05:45:00
150.06,150.06,147.27,149.36,142.0,2017-11-12 05:45:00
147.97,148.67,147.97,148.67,424.0,2017-11-13 05:45:00
148.67,148.67,145.18,148.67,871.0,2017-11-14 05:45:00
147.27,149.36,147.27,147.27,225.0,2017-11-15 05:45:00
149.36,149.36,145.18,147.27,3014.0,2017-11-16 05:45:00
145.18,145.18,143.08,145.18,1655.0,2017-11-19 05:45:00
147.27,147.27,145.88,145.88,60.0,2017-11-20 05:45:00
145.88,146.57,142.38,145.18,514.0,2017-11-21 05:45:00
143.78,143.78,139.6,142.38,387.0,2017-11-22 05:45:00
141.68,141.68,141.68,141.68,168.0,2017-11-23 05:45:00
140.99,148.67,140.99,148.67,82.0,2017-11-26 05:45:00
150.76,150.76,147.97,150.76,433.0,2017-11-27 05:45:00
150.76,152.85,150.76,152.85,98.0,2017-11-28 05:45:00
150.76,154.25,150.76,150.76,671.0,2017-11-29 05:45:00
152.15,154.25,148.67,154.25,333.0,2017-11-30 05:45:00
152.15,152.15,148.67,149.36,386.0,2017-12-04 05:45:00
149.36,152.85,148.67,152.85,365.0,2017-12-05 05:45:00
154.25,165.42,152.85,162.62,1341.0,2017-12-06 05:45:00
159.83,161.92,157.74,161.92,512.0,2017-12-10 05:45:00
159.83,159.83,156.34,156.34,94.0,2017-12-11 05:45:00
156.34,157.04,154.25,154.95,1884.0,2017-12-12 05:45:00
154.25,154.25,152.15,152.15,64.0,2017-12-13 05:45:00
150.06,152.15,150.06,151.46,130.0,2017-12-14 05:45:00
150.76,151.46,148.67,151.46,118.0,2017-12-17 05:45:00
151.46,151.46,150.76,150.76,278.0,2017-12-18 05:45:00
150.06,151.46,149.36,150.76,70.0,2017-12-19 05:45:00
148.67,150.06,148.67,149.36,122.0,2017-12-20 05:45:00
148.67,151.46,147.27,151.46,573.0,2017-12-21 05:45:00
149.36,149.36,143.08,143.08,70.0,2017-12-24 05:45:00
143.08,145.18,142.38,144.48,201.0,2017-12-26 05:45:00
146.57,146.57,143.08,143.08,272.0,2017-12-27 05:45:00
143.08,143.78,141.68,142.38,172.0,2017-12-28 05:45:00
141.68,143.08,140.99,140.99,648.0,2017-12-31 05:45:00
141.68,147.27,141.68,145.18,154.0,2018-01-01 05:45:00
143.08,150.76,143.08,148.67,1050.0,2018-01-02 05:45:00
146.57,147.27,146.57,147.27,94.0,2018-01-03 05:45:00
145.18,149.36,145.18,149.36,299.0,2018-01-04 05:45:00
150.76,152.15,148.67,150.76,238.0,2018-01-07 05:45:00
151.46,151.46,150.76,150.76,560.0,2018-01-08 05:45:00
