open,high,low,close,volume,date
33.32,33.32,33.32,33.32,31.0,2011-07-20 05:45:00
33.53,33.53,33.53,33.53,10.0,2011-07-27 05:45:00
33.74,33.74,33.74,33.74,10.0,2011-08-03 05:45:00
33.96,33.96,33.96,33.96,10.0,2011-08-07 05:45:00
34.04,34.04,33.82,33.82,72.0,2011-08-10 05:45:00
34.04,34.04,34.04,34.04,11.0,2011-08-11 05:45:00
34.25,34.25,34.25,34.25,31.0,2011-09-13 05:45:00
34.19,34.19,34.19,34.19,45.0,2011-09-15 05:45:00
34.3,34.3,34.3,34.3,20.0,2011-10-16 05:45:00
34.33,34.33,34.33,34.33,112.0,2011-10-17 05:45:00
34.16,34.16,34.16,34.16,124.0,2011-10-23 05:45:00
34.38,34.38,34.38,34.38,10.0,2011-10-31 05:45:00
34.33,34.44,34.33,34.44,124.0,2011-11-15 05:45:00
34.3,34.3,34.3,34.3,248.0,2011-11-16 05:45:00
34.3,34.3,34.3,34.3,2.0,2011-12-02 05:45:00
34.54,35.09,34.54,35.09,215.0,2011-12-13 05:45:00
35.33,35.33,35.33,35.33,31.0,2011-12-14 05:45:00
35.56,35.56,35.56,35.56,62.0,2011-12-27 05:45:00
35.33,35.33,35.33,35.33,50.0,2012-01-01 05:45:00
35.56,36.06,35.56,35.81,107.0,2012-01-08 05:45:00
36.06,36.06,36.06,36.06,12.0,2012-01-09 05:45:00
36.19,36.46,36.19,36.46,40.0,2012-01-10 05:45:00
36.46,36.46,36.46,36.46,3.0,2012-01-13 05:45:00
36.72,37.25,36.69,36.99,127.0,2012-01-23 05:45:00
37.28,37.28,37.28,37.28,15.0,2012-01-26 05:45:00
37.28,37.28,37.28,37.28,62.0,2012-01-29 05:45:00
37.28,37.57,37.28,37.57,25.0,2012-01-31 05:45:00
37.57,37.57,37.57,37.57,50.0,2012-02-01 05:45:00
37.28,37.28,37.28,37.28,52.0,2012-02-12 05:45:00
37.57,38.15,37.57,38.15,104.0,2012-02-15 05:45:00
38.44,38.51,38.44,38.51,43.0,2012-02-21 05:45:00
38.78,38.78,38.78,38.78,20.0,2012-02-23 05:45:00
39.1,39.41,39.1,39.41,46.0,2012-02-26 05:45:00
39.74,40.07,39.74,40.04,70.0,2012-02-28 05:45:00
40.1,40.1,40.1,40.1,10.0,2012-03-04 05:45:00
40.23,40.23,40.23,40.23,62.0,2012-03-06 05:45:00
40.23,40.23,40.23,40.23,126.0,2012-03-11 05:45:00
40.41,40.41,40.41,40.41,15.0,2012-03-15 05:45:00
