open,high,low,close,volume,date
111.1,122.2,111.1,122.2,376.0,2023-06-11 05:45:00
120.8,134.4,120.8,134.4,279.0,2023-06-12 20:45:00
135.7,147.8,135.7,147.8,201.0,2023-06-13 20:45:00
147.8,162.5,147.8,162.5,167.0,2023-06-14 20:45:00
165.7,178.7,165.7,178.7,122.0,2023-06-15 20:45:00
182.2,196.5,182.2,196.5,240.0,2023-06-18 20:45:00
193.3,216.1,193.3,216.1,370.0,2023-06-19 20:45:00
220.4,237.7,220.4,237.7,379.0,2023-06-20 20:45:00
242.4,261.4,242.4,261.4,411.0,2023-06-21 20:45:00
265.0,287.5,265.0,287.5,650.0,2023-06-22 20:45:00
293.2,316.2,293.2,316.2,1379.0,2023-06-25 20:45:00
315.0,347.8,315.0,347.8,1571.0,2023-06-26 20:45:00
350.8,382.5,350.8,382.5,1170.0,2023-06-27 20:45:00
390.1,420.7,390.1,420.7,2020.0,2023-06-28 20:45:00
429.0,462.7,429.0,462.7,3300.0,2023-07-02 20:45:00
471.0,508.9,471.0,508.9,6980.0,2023-07-03 20:45:00
519.0,559.7,519.0,559.7,7617.0,2023-07-04 20:45:00
570.8,615.6,570.8,615.6,9080.0,2023-07-05 20:45:00
627.9,677.1,591.0,677.1,231095.0,2023-07-06 20:45:00
690.6,744.0,650.0,741.5,62258.0,2023-07-09 20:45:00
726.7,740.0,695.0,695.1,126319.0,2023-07-10 20:45:00
685.0,715.0,671.0,686.0,58697.0,2023-07-11 20:45:00
675.0,692.0,673.0,690.0,33430.0,2023-07-12 20:45:00
680.0,725.0,680.0,696.1,48946.0,2023-07-13 20:45:00
695.0,710.0,680.0,680.1,35142.0,2023-07-16 20:45:00
680.0,701.7,675.2,694.0,27694.0,2023-07-17 20:45:00
695.0,704.0,682.1,684.0,35422.0,2023-07-18 20:45:00
678.0,691.0,678.0,681.0,24277.0,2023-07-19 20:45:00
680.0,689.0,670.0,673.0,35863.0,2023-07-20 20:45:00
662.0,711.1,662.0,703.0,43400.0,2023-07-23 20:45:00
703.0,718.0,690.0,690.0,43206.0,2023-07-24 20:45:00
690.0,754.0,690.0,743.4,89503.0,2023-07-25 20:45:00
740.0,782.5,730.0,758.0,60581.0,2023-07-26 20:45:00
758.0,759.0,725.0,727.0,52373.0,2023-07-27 20:45:00
715.1,734.0,715.1,722.0,34251.0,2023-07-30 20:45:00
718.0,744.0,716.3,720.0,44320.0,2023-07-31 20:45:00
730.0,731.0,696.1,702.0,29963.0,2023-08-01 20:45:00
716.0,744.9,694.0,715.0,20705.0,2023-08-02 20:45:00
729.0,743.8,705.0,706.1,23273.0,2023-08-03 20:45:00
700.0,703.0,685.0,690.0,30666.0,2023-08-06 20:45:00
682.0,707.0,680.0,685.0,11376.0,2023-08-07 20:45:00
678.0,696.0,678.0,678.0,17741.0,2023-08-08 20:45:00
678.0,690.0,671.0,690.0,13669.0,2023-08-09 20:45:00
680.0,729.5,680.0,706.5,45639.0,2023-08-10 20:45:00
701.1,730.0,701.1,720.0,39511.0,2023-08-13 20:45:00
711.0,730.0,709.0,712.0,24937.0,2023-08-14 20:45:00
697.8,705.0,686.0,693.1,41263.0,2023-08-15 20:45:00
685.0,693.0,680.0,690.0,17406.0,2023-08-16 20:45:00
680.0,713.8,680.0,712.7,23199.0,2023-08-17 20:45:00
701.0,710.0,688.3,688.3,12734.0,2023-08-20 20:45:00
680.4,698.5,680.4,685.0,8873.0,2023-08-21 20:45:00
685.0,693.0,680.9,693.0,9222.0,2023-08-22 20:45:00
685.0,704.0,685.0,699.5,22771.0,2023-08-23 20:45:00
698.0,700.0,677.0,678.0,15454.0,2023-08-24 20:45:00
670.0,675.0,665.0,668.9,11822.0,2023-08-27 20:44:00
661.2,703.8,657.3,700.0,23937.0,2023-08-28 20:45:00
686.0,695.0,667.0,688.0,17851.0,2023-08-29 20:45:00
675.0,756.0,670.1,756.0,26306.0,2023-08-30 20:45:00
740.9,740.9,680.4,680.4,54143.0,2023-09-03 20:45:00
666.8,690.0,666.8,679.0,14863.0,2023-09-04 20:45:00
678.0,678.0,661.0,669.0,14198.0,2023-09-05 20:45:00
660.1,670.0,655.0,655.1,8107.0,2023-09-07 20:45:00
665.0,694.0,658.1,661.0,7449.0,2023-09-10 20:45:00
655.0,677.0,655.0,676.0,10033.0,2023-09-11 20:44:00
670.1,675.0,655.0,659.0,9137.0,2023-09-12 20:45:00
670.0,683.4,657.1,675.0,8740.0,2023-09-13 20:45:00
662.0,670.0,648.0,652.9,13600.0,2023-09-17 20:45:00
647.0,663.0,646.0,655.0,2878.0,2023-09-18 20:45:00
660.0,668.0,645.0,655.9,9890.0,2023-09-19 20:45:00
669.0,677.0,656.3,667.0,21181.0,2023-09-21 20:45:00
659.0,674.0,652.0,660.0,8748.0,2023-09-24 20:45:00
647.1,665.0,647.1,650.1,9905.0,2023-09-25 20:45:00
656.0,661.9,650.1,652.0,13716.0,2023-09-26 20:45:00
650.0,659.0,637.0,645.0,26699.0,2023-09-27 20:45:00
633.1,648.0,620.0,629.8,12258.0,2023-10-01 20:45:00
639.9,639.9,612.1,628.0,12344.0,2023-10-02 20:45:00
638.0,638.0,615.0,619.0,6450.0,2023-10-03 20:45:00
616.0,630.9,611.2,623.0,4100.0,2023-10-04 20:45:00
613.1,621.0,613.1,620.0,3443.0,2023-10-05 20:45:00
615.0,615.0,606.0,607.9,5824.0,2023-10-08 20:45:00
600.0,612.0,600.0,608.0,4821.0,2023-10-09 20:45:00
595.9,608.0,582.1,585.0,4175.0,2023-10-10 20:45:00
584.0,643.5,583.0,643.5,6976.0,2023-10-11 20:45:00
630.7,630.7,579.2,585.0,25946.0,2023-10-12 20:45:00
575.3,579.0,563.8,563.8,4761.0,2023-10-16 20:45:00
553.2,574.3,540.4,549.0,11098.0,2023-10-17 20:45:00
559.9,576.3,540.2,550.0,10625.0,2023-10-18 20:45:00
539.1,560.0,539.1,554.0,8174.0,2023-10-19 20:45:00
543.0,549.0,519.3,529.8,16955.0,2023-10-29 20:45:00
