open,high,low,close,volume,date
1020.0,1040.0,1000.0,1040.0,230.0,2023-07-10 05:45:00
1020.0,1020.0,1020.0,1020.0,25.0,2023-07-12 20:45:00
1000.0,1020.0,1000.0,1020.0,25025.0,2023-07-27 20:45:00
1000.0,1000.0,1000.0,1000.0,150.0,2023-07-31 20:45:00
980.0,980.0,980.0,980.0,150.0,2023-11-30 20:45:00
980.0,980.0,980.0,980.0,25.0,2023-12-04 20:45:00
980.0,980.0,961.0,961.0,250.0,2023-12-05 20:45:00
963.1,963.1,963.1,963.1,25.0,2023-12-17 20:45:00
966.0,966.0,965.0,965.0,100.0,2023-12-20 20:45:00
967.0,967.0,967.0,967.0,25.0,2023-12-24 20:45:00
950.2,950.2,950.2,950.2,25.0,2024-01-16 18:19:29
950.0,953.0,950.0,953.0,75.0,2024-01-17 19:31:19
972.0,972.0,972.0,972.0,10.0,2024-01-21 19:56:20
990.0,991.0,990.0,991.0,40.0,2024-01-23 17:27:35
990.0,990.0,990.0,990.0,25.0,2024-01-25 17:16:49
990.0,995.0,990.0,995.0,60.0,2024-01-28 20:12:01
999.9,999.9,999.9,999.9,25.0,2024-01-31 17:25:36
990.0,995.0,990.0,995.0,50.0,2024-02-04 19:05:18
1000.0,1000.0,1000.0,1000.0,25.0,2024-02-08 20:24:11
1000.0,1000.0,1000.0,1000.0,25.0,2024-02-12 17:06:09
999.0,999.0,999.0,999.0,25.0,2024-02-25 17:37:30
1018.9,1018.9,1018.9,1018.9,1265.0,2024-03-05 19:25:40
1000.0,1002.0,1000.0,1002.0,75.0,2024-03-07 20:24:56
1008.0,1008.0,1008.0,1008.0,25.0,2024-03-19 19:22:28
1015.0,1015.0,1015.0,1015.0,25.0,2024-03-28 18:42:26
1000.3,1000.3,1000.3,1000.3,25.0,2024-04-10 17:42:01
1020.3,1020.3,1020.3,1020.3,25.0,2024-04-28 19:56:56
1020.3,1030.0,1020.3,1030.0,50.0,2024-05-05 19:42:53
1050.6,1055.0,1050.6,1055.0,50.0,2024-05-06 18:13:39
1070.0,1075.0,1070.0,1075.0,50.0,2024-05-14 17:44:16
1053.5,1053.5,1053.5,1053.5,25.0,2024-05-26 20:09:08
1045.0,1045.0,1045.0,1045.0,100.0,2024-05-29 20:44:10
1065.0,1065.0,1065.0,1065.0,10.0,2024-07-04 20:40:46
1055.0,1055.0,1055.0,1055.0,40.0,2024-07-10 19:23:46
1055.0,1055.0,1055.0,1055.0,50.0,2024-07-11 20:41:42
1060.0,1060.0,1060.0,1060.0,25.0,2024-07-15 17:30:49
1041.0,1041.0,1041.0,1041.0,25.0,2024-07-21 18:28:24
1061.0,1061.0,1061.0,1061.0,25.0,2024-07-30 20:36:04
1039.8,1039.8,1030.2,1030.2,300.0,2024-08-12 19:38:45
1030.3,1040.0,1030.3,1040.0,150.0,2024-08-13 19:51:55
1040.0,1041.0,1040.0,1041.0,100.0,2024-08-15 19:23:24
1046.2,1046.2,1046.2,1046.2,25.0,2024-09-01 20:16:04
1045.0,1045.0,1045.0,1045.0,25.0,2024-09-02 17:00:26
1065.9,1065.9,1065.9,1065.9,25.0,2024-09-03 20:26:43
1070.0,1070.0,1070.0,1070.0,50.0,2024-09-09 18:47:30
1060.0,1060.0,1060.0,1060.0,25.0,2024-10-23 19:19:02
1060.0,1124.8,1060.0,1124.8,60.0,2024-12-09 18:42:24
