Open,High,Low,Close,Volume,Date
483.81,483.81,435.43,435.43,318724,2023-10-01
428.57,435.24,421.05,429.43,287052,2023-10-02
424.76,428.57,423.81,424.76,125451,2023-10-03
416.29,432.57,416.29,426.38,154840,2023-10-04
426.38,426.38,420.1,420.95,99886,2023-10-05
420.95,422.86,410.48,411.71,104649,2023-10-08
409.52,412.38,403.9,404.38,69000,2023-10-09
400.0,409.43,398.1,398.29,61914,2023-10-10
393.9,404.76,393.9,397.43,60228,2023-10-11
395.33,400.0,388.57,390.48,79060,2023-10-12
385.81,388.57,372.0,374.38,92874,2023-10-16
376.19,387.62,375.43,380.0,41125,2023-10-17
380.0,390.0,377.14,387.62,45507,2023-10-18
382.86,389.81,381.05,384.76,34627,2023-10-19
377.33,380.95,371.43,375.24,58403,2023-10-29
371.43,375.05,370.0,372.38,35285,2023-10-30
372.38,375.24,370.57,372.38,31696,2023-10-31
367.62,376.19,367.62,370.48,38011,2023-11-01
363.14,370.48,363.14,363.81,37752,2023-11-02
363.14,363.14,357.33,360.0,36349,2023-11-05
357.14,368.57,357.14,365.43,37391,2023-11-06
365.24,384.0,363.81,383.81,56868,2023-11-07
380.95,394.1,378.1,393.33,53030,2023-11-08
386.86,391.52,379.52,386.29,41773,2023-11-09
385.71,395.71,382.1,387.05,56840,2023-11-20
382.86,386.67,375.24,377.14,46023,2023-11-21
370.57,389.52,370.57,386.86,45978,2023-11-22
381.14,413.33,381.14,409.52,125720,2023-11-23
409.52,433.33,404.76,431.43,141953,2023-11-26
423.81,440.0,423.81,428.57,143945,2023-11-27
421.9,434.29,421.9,426.86,99371,2023-11-28
426.86,431.43,414.29,419.05,95304,2023-11-29
410.67,422.38,410.67,419.05,66153,2023-11-30
414.29,423.81,413.33,419.05,63343,2023-12-03
419.05,433.33,417.24,428.38,116797,2023-12-04
436.86,450.48,433.33,439.05,176066,2023-12-05
439.05,459.05,436.48,459.05,122992,2023-12-06
450.48,457.14,442.86,445.71,202661,2023-12-07
454.29,476.0,454.29,471.43,30869,2023-12-10
476.19,479.81,457.33,470.76,296185,2023-12-11
470.48,506.67,468.57,498.19,213327,2023-12-12
500.0,508.1,485.71,493.33,140605,2023-12-13
483.81,495.24,476.19,485.81,148129,2023-12-14
485.81,494.48,466.67,494.48,143085,2023-12-17
494.48,504.76,490.57,493.33,113685,2023-12-18
490.67,536.19,490.67,531.43,193036,2023-12-19
523.81,540.0,520.95,521.43,153173,2023-12-20
523.81,523.81,505.71,505.71,138296,2023-12-21
505.71,539.14,497.14,514.29,214746,2023-12-24
514.29,528.57,513.33,514.48,146104,2023-12-27
507.71,523.81,507.71,518.1,120526,2023-12-28
516.19,524.57,502.86,503.81,118403,2024-01-01
493.81,493.81,464.76,467.62,293516,2024-01-02
467.62,478.1,454.29,475.62,129318,2024-01-03
476.19,479.05,459.52,459.52,144263,2024-01-04
459.52,466.76,453.43,455.24,109394,2024-01-07
449.52,476.19,449.52,471.43,82470,2024-01-08
480.86,491.43,474.29,476.19,151508,2024-01-09
485.71,487.81,471.43,473.33,81612,2024-01-10
479.05,481.81,463.81,471.81,93969,2024-01-11
481.0,481.0,468.1,473.0,64542,2024-01-14
470.0,490.0,470.0,484.2,66912,2024-01-16
484.2,501.0,478.2,478.2,119396,2024-01-17
475.0,478.0,465.2,470.0,69298,2024-01-18
466.1,475.0,460.1,462.0,58884,2024-01-21
455.1,480.0,455.1,467.0,73672,2024-01-22
467.0,473.0,458.0,462.5,46451,2024-01-23
464.5,471.0,456.1,457.0,33324,2024-01-24
456.0,461.0,451.2,453.0,36291,2024-01-25
455.0,464.0,453.1,458.0,36947,2024-01-28
455.0,462.0,453.5,453.5,58692,2024-01-29
455.0,462.0,454.0,456.0,68660,2024-01-30
465.0,465.0,451.0,452.8,56929,2024-01-31
448.0,456.9,448.0,449.6,48423,2024-02-01
449.0,455.0,446.1,454.5,36067,2024-02-04
450.0,456.0,448.0,449.1,27117,2024-02-05
447.0,452.6,447.0,448.6,32614,2024-02-06
448.6,470.0,448.6,468.0,70947,2024-02-07
477.3,477.3,466.0,466.9,45387,2024-02-08
466.0,475.0,460.0,462.1,43661,2024-02-11
461.0,470.0,461.0,464.0,32154,2024-02-12
455.1,461.0,451.0,455.0,44197,2024-02-13
451.0,459.0,451.0,452.1,25123,2024-02-14
443.1,460.0,443.1,447.1,42602,2024-02-15
440.0,450.0,439.9,441.0,38182,2024-02-18
441.0,443.9,436.0,438.5,35686,2024-02-20
436.0,445.0,433.1,434.2,30636,2024-02-21
434.0,440.0,428.0,428.2,32837,2024-02-22
428.0,436.0,427.0,427.6,38625,2024-02-25
424.0,434.7,424.0,432.0,27782,2024-02-26
429.0,437.0,429.0,434.1,22878,2024-02-27
433.0,450.0,431.0,434.0,17855,2024-02-28
430.0,435.1,426.0,427.0,19812,2024-02-29
418.5,430.0,418.5,421.0,32952,2024-03-03
429.4,454.0,429.4,445.0,3985,2024-03-04
450.0,450.0,432.4,434.0,59212,2024-03-05
434.0,445.5,428.0,437.0,46061,2024-03-06
437.0,449.8,437.0,447.9,42963,2024-03-07
