open,high,low,close,volume,date
4.7,4.7,4.7,4.7,1000.0,2018-04-24 05:45:00
4.52,4.52,4.52,4.52,1000.0,2018-04-29 05:45:00
4.35,4.51,4.35,4.51,700.0,2018-05-02 05:45:00
4.57,4.57,4.57,4.57,1000.0,2018-05-03 05:45:00
4.39,4.39,4.27,4.27,7900.0,2018-05-06 05:45:00
4.11,4.27,4.1,4.27,1100.0,2018-05-08 05:45:00
4.11,4.11,4.09,4.09,1000.0,2018-05-09 05:45:00
4.1,4.1,4.1,4.1,1000.0,2018-05-10 05:45:00
4.13,4.13,4.13,4.13,500.0,2018-05-16 05:45:00
4.13,4.13,4.13,4.13,200.0,2018-05-22 05:45:00
4.22,4.35,4.17,4.35,1400.0,2018-05-29 05:45:00
4.35,4.35,4.35,4.35,4500.0,2018-05-31 05:45:00
4.18,4.24,4.18,4.24,3100.0,2018-06-04 05:45:00
4.1,4.1,4.1,4.1,600.0,2018-06-10 05:45:00
4.26,4.26,4.17,4.26,7100.0,2018-06-11 05:45:00
4.26,4.35,4.26,4.35,10000.0,2018-06-12 05:45:00
4.2,4.2,4.19,4.19,7000.0,2018-06-17 05:45:00
4.19,4.19,4.19,4.19,500.0,2018-06-18 05:45:00
4.14,4.14,4.14,4.14,100.0,2018-06-19 05:45:00
4.14,4.14,4.14,4.14,500.0,2018-06-21 05:45:00
4.14,4.14,4.14,4.14,1000.0,2018-06-27 05:45:00
3.97,3.97,3.83,3.97,2200.0,2018-07-01 05:45:00
3.97,3.97,3.97,3.97,2000.0,2018-07-02 05:45:00
3.97,3.97,3.89,3.89,1500.0,2018-07-04 05:45:00
3.89,3.89,3.89,3.89,300.0,2018-07-08 05:45:00
3.89,3.89,3.89,3.89,1625.0,2018-07-10 05:45:00
3.89,3.89,3.89,3.89,1000.0,2018-07-11 05:45:00
3.89,3.89,3.89,3.89,200.0,2018-07-12 05:45:00
3.91,3.91,3.91,3.91,1000.0,2018-07-15 05:45:00
4.07,4.07,4.07,4.07,100.0,2018-07-16 05:45:00
4.17,4.17,4.17,4.17,500.0,2018-07-17 05:45:00
