open,high,low,close,volume,date
294.0,294.0,294.0,294.0,60.0,2022-06-13 05:45:00
299.85,323.38,299.85,323.38,60.0,2022-06-15 20:45:00
329.85,336.38,329.85,336.38,20.0,2022-06-17 20:45:00
343.08,349.92,343.08,349.92,30.0,2022-06-19 20:45:00
356.85,384.85,356.85,384.85,70.0,2022-06-20 20:45:00
392.54,423.31,392.54,423.31,60.0,2022-06-21 20:45:00
423.31,423.31,423.31,423.31,10.0,2022-06-22 20:45:00
431.77,465.62,431.77,465.62,50.0,2022-06-23 20:45:00
465.62,503.85,465.62,503.85,50.0,2022-06-24 20:45:00
513.92,554.23,513.92,554.23,70.0,2022-06-26 20:45:00
565.31,609.62,565.31,609.62,70.0,2022-06-27 20:45:00
600.0,670.54,600.0,670.54,89.0,2022-06-28 20:45:00
683.92,737.54,683.92,737.54,80.0,2022-06-29 20:45:00
752.23,811.23,752.23,811.23,100.0,2022-06-30 20:45:00
827.38,892.31,827.38,892.31,76.0,2022-07-01 20:45:00
910.15,981.54,910.15,981.54,88.0,2022-07-03 20:45:00
981.54,1079.69,981.54,1079.69,170.0,2022-07-04 20:45:00
1101.23,1187.62,1101.23,1187.62,144.0,2022-07-05 20:45:00
1187.62,1306.31,1187.62,1306.31,134.0,2022-07-06 20:45:00
1332.38,1436.92,1332.38,1436.92,1150.0,2022-12-11 20:45:00
1465.38,1580.62,1465.38,1580.62,1489.0,2022-12-12 20:45:00
1549.31,1738.62,1549.31,1738.62,2019.0,2022-12-13 20:45:00
1773.38,1912.46,1773.38,1912.46,760.0,2022-12-14 20:45:00
1950.69,2103.69,1800.77,1850.0,25894.0,2022-12-15 20:45:00
1850.0,1850.0,1796.23,1800.77,13170.0,2022-12-18 20:45:00
1800.77,1938.46,1783.08,1908.46,5360.0,2022-12-19 20:45:00
1922.31,2094.62,1900.0,2053.85,8826.0,2022-12-20 20:45:00
2076.92,2084.62,2013.08,2036.92,8055.0,2022-12-21 20:45:00
2061.54,2061.54,1936.92,1994.62,5725.0,2022-12-22 20:45:00
2033.85,2033.85,1861.54,1901.54,11147.0,2022-12-26 20:45:00
1907.69,1923.08,1863.85,1866.15,7093.0,2022-12-27 20:45:00
1830.77,1888.46,1830.77,1866.92,3648.0,2022-12-28 20:45:00
