open,high,low,close,volume,date
25.78,25.78,25.39,25.39,570.0,2011-07-19 05:45:00
25.59,26.39,25.59,26.39,50.0,2011-07-20 05:45:00
26.14,26.94,26.14,26.94,301.0,2011-07-21 05:45:00
27.14,27.54,27.14,27.54,153.0,2011-07-24 05:45:00
27.74,27.74,27.74,27.74,74.0,2011-07-26 05:45:00
27.99,28.74,27.99,28.49,521.0,2011-07-27 05:45:00
28.74,29.44,28.74,29.44,328.0,2011-07-28 05:45:00
29.68,29.95,29.68,29.74,218.0,2011-07-31 05:45:00
29.98,29.98,29.74,29.74,197.0,2011-08-02 05:45:00
29.64,29.64,29.24,29.49,434.0,2011-08-15 05:45:00
29.74,29.74,29.39,29.39,318.0,2011-08-16 05:45:00
29.64,29.64,29.39,29.39,175.0,2011-08-17 05:45:00
29.14,29.14,29.14,29.14,147.0,2011-08-18 05:45:00
29.14,29.14,28.64,28.64,600.0,2011-08-22 05:45:00
28.88,28.88,28.88,28.88,10.0,2011-08-24 05:45:00
29.14,29.14,29.14,29.14,63.0,2011-08-25 05:45:00
28.88,28.88,28.64,28.64,97.0,2011-08-29 05:45:00
28.39,28.39,28.14,28.14,273.0,2011-09-04 05:45:00
27.88,27.88,27.64,27.64,270.0,2011-09-05 05:45:00
27.88,28.33,27.88,28.33,268.0,2011-09-07 05:45:00
28.59,28.64,28.59,28.64,313.0,2011-09-13 05:45:00
28.39,28.39,28.39,28.39,20.0,2011-09-15 05:45:00
28.14,28.14,27.59,27.64,443.0,2011-09-19 05:45:00
27.88,27.88,27.74,27.74,311.0,2011-09-20 05:45:00
27.99,28.99,27.99,28.99,956.0,2011-09-22 05:45:00
28.99,28.99,28.99,28.99,315.0,2011-09-25 05:45:00
28.88,28.88,28.88,28.88,80.0,2011-09-26 05:45:00
29.14,29.14,29.14,29.14,74.0,2011-10-12 05:45:00
29.08,29.34,29.08,29.34,214.0,2011-10-17 05:45:00
29.59,29.64,29.39,29.64,279.0,2011-10-18 05:45:00
