open,high,low,close,volume,date
348.0,348.0,348.0,348.0,11.0,2017-02-13 05:45:00
342.0,342.0,314.0,314.0,62.0,2017-02-14 05:45:00
308.0,308.0,283.0,283.0,101.0,2017-02-15 05:45:00
278.0,278.0,255.0,255.0,324.0,2017-02-16 05:45:00
250.0,250.0,230.0,230.0,823.0,2017-02-19 05:45:00
226.0,234.0,225.0,230.0,359.0,2017-02-20 05:45:00
234.0,238.0,231.0,232.0,421.0,2017-02-21 05:45:00
230.0,233.0,224.0,228.0,567.0,2017-02-22 05:45:00
228.0,237.0,228.0,232.0,523.0,2017-02-23 05:45:00
234.0,235.0,233.0,233.0,174.0,2017-02-26 05:45:00
236.0,237.0,235.0,235.0,273.0,2017-02-28 05:45:00
232.0,234.0,229.0,230.0,267.0,2017-03-01 05:45:00
227.0,230.0,226.0,230.0,512.0,2017-03-02 05:45:00
232.0,236.0,232.0,233.0,95.0,2017-03-05 05:45:00
234.0,243.0,234.0,235.0,194.0,2017-03-06 05:45:00
231.0,236.0,231.0,234.0,147.0,2017-03-07 05:45:00
231.0,235.0,226.0,235.0,460.0,2017-03-09 05:45:00
236.0,239.0,236.0,239.0,108.0,2017-03-13 05:45:00
235.0,239.0,235.0,239.0,62.0,2017-03-14 05:45:00
238.0,239.0,234.0,239.0,161.0,2017-03-15 05:45:00
240.0,246.0,240.0,246.0,61.0,2017-03-16 05:45:00
250.0,255.0,246.0,246.0,1084.0,2017-03-19 05:45:00
250.0,250.0,249.0,250.0,30.0,2017-03-20 05:45:00
255.0,265.0,244.0,245.0,951.0,2017-03-21 05:45:00
241.0,241.0,241.0,241.0,200.0,2017-03-22 05:45:00
237.0,237.0,229.0,234.0,1064.0,2017-03-23 05:45:00
235.0,242.0,234.0,238.0,1426.0,2017-03-26 05:45:00
242.0,249.0,242.0,249.0,2809.0,2017-03-28 05:45:00
250.0,254.0,247.0,247.0,855.0,2017-03-29 05:45:00
245.0,245.0,241.0,242.0,150.0,2017-03-30 05:45:00
240.0,240.0,240.0,240.0,10.0,2017-04-02 05:45:00
244.0,244.0,240.0,240.0,30.0,2017-04-03 05:45:00
239.0,240.0,230.0,235.0,271.0,2017-04-04 05:45:00
234.0,235.0,230.0,230.0,105.0,2017-04-06 05:45:00
233.0,236.0,231.0,235.0,353.0,2017-04-09 05:45:00
235.0,239.0,235.0,239.0,172.0,2017-04-10 05:45:00
239.0,239.0,239.0,239.0,10.0,2017-04-11 05:45:00
238.0,240.0,235.0,240.0,328.0,2017-04-12 05:45:00
239.0,240.0,236.0,237.0,169.0,2017-04-16 05:45:00
237.0,248.0,237.0,244.0,583.0,2017-04-18 05:45:00
244.0,248.0,240.0,244.0,153.0,2017-04-19 05:45:00
240.0,240.0,240.0,240.0,86.0,2017-04-20 05:45:00
239.0,239.0,223.0,223.0,107.0,2017-04-24 05:45:00
223.0,230.0,223.0,230.0,569.0,2017-04-25 05:45:00
229.0,234.0,228.0,234.0,266.0,2017-04-26 05:45:00
230.0,234.0,227.0,230.0,103.0,2017-04-27 05:45:00
230.0,235.0,230.0,231.0,270.0,2017-04-30 05:45:00
228.0,229.0,220.0,224.0,495.0,2017-05-02 05:45:00
224.0,227.0,221.0,227.0,116.0,2017-05-03 05:45:00
224.0,225.0,217.0,221.0,218.0,2017-05-04 05:45:00
217.0,220.0,216.0,216.0,183.0,2017-05-07 05:45:00
218.0,220.0,214.0,220.0,1160.0,2017-05-08 05:45:00
224.0,233.0,224.0,226.0,1493.0,2017-05-09 05:45:00
230.0,248.0,227.0,248.0,1479.0,2017-05-11 05:45:00
252.0,270.0,247.0,268.0,2306.0,2017-05-15 05:45:00
270.0,271.0,250.0,250.0,746.0,2017-05-16 05:45:00
252.0,252.0,250.0,250.0,343.0,2017-05-17 05:45:00
245.0,245.0,233.0,233.0,548.0,2017-05-18 05:45:00
231.0,237.0,231.0,232.0,210.0,2017-05-21 05:45:00
232.0,232.0,220.0,225.0,178.0,2017-05-22 05:45:00
224.0,229.0,224.0,229.0,136.0,2017-05-23 05:45:00
225.0,229.0,225.0,225.0,105.0,2017-05-24 05:45:00
221.0,229.0,221.0,229.0,791.0,2017-05-28 05:45:00
225.0,225.0,218.0,222.0,185.0,2017-05-30 05:45:00
220.0,224.0,220.0,224.0,115.0,2017-05-31 05:45:00
222.0,224.0,221.0,222.0,161.0,2017-06-01 05:45:00
224.0,224.0,220.0,222.0,136.0,2017-06-04 05:45:00
222.0,227.0,219.0,225.0,563.0,2017-06-05 05:45:00
222.0,225.0,222.0,225.0,53.0,2017-06-06 05:45:00
224.0,231.0,224.0,225.0,949.0,2017-06-07 05:45:00
223.0,225.0,223.0,223.0,272.0,2017-06-08 05:45:00
222.0,223.0,220.0,222.0,350.0,2017-06-11 05:45:00
219.0,221.0,213.0,218.0,210.0,2017-06-12 05:45:00
220.0,226.0,218.0,221.0,708.0,2017-06-13 05:45:00
220.0,232.0,216.0,220.0,203.0,2017-06-14 05:45:00
216.0,222.0,216.0,222.0,501.0,2017-06-15 05:45:00
219.0,219.0,217.0,217.0,184.0,2017-06-18 05:45:00
217.0,224.0,215.0,218.0,422.0,2017-06-19 05:45:00
215.0,220.0,215.0,220.0,107.0,2017-06-20 05:45:00
221.0,226.0,220.0,220.0,250.0,2017-06-21 05:45:00
216.0,224.0,216.0,224.0,105.0,2017-06-22 05:45:00
220.0,220.0,216.0,220.0,50.0,2017-06-25 05:45:00
223.0,223.0,215.0,215.0,141.0,2017-06-27 05:45:00
211.0,215.0,211.0,214.0,85.0,2017-06-28 05:45:00
214.0,215.0,214.0,215.0,106.0,2017-07-02 05:45:00
214.0,214.0,210.0,210.0,93.0,2017-07-03 05:45:00
211.0,215.0,211.0,215.0,184.0,2017-07-04 05:45:00
219.0,219.0,211.0,211.0,52.0,2017-07-05 05:45:00
210.0,210.0,206.0,206.0,300.0,2017-07-06 05:45:00
210.0,210.0,204.0,204.0,121.0,2017-07-09 05:45:00
200.0,207.0,200.0,207.0,31.0,2017-07-10 05:45:00
210.0,210.0,206.0,208.0,141.0,2017-07-11 05:45:00
204.0,210.0,204.0,207.0,235.0,2017-07-12 05:45:00
206.0,226.0,202.0,226.0,475.0,2017-07-13 05:45:00
222.0,224.0,210.0,210.0,280.0,2017-07-16 05:45:00
210.0,210.0,202.0,205.0,229.0,2017-07-17 05:45:00
206.0,208.0,204.0,205.0,136.0,2017-07-18 05:45:00
206.0,210.0,206.0,210.0,183.0,2017-07-19 05:45:00
210.0,214.0,202.0,207.0,359.0,2017-07-20 05:45:00
203.0,207.0,200.0,207.0,168.0,2017-07-23 05:45:00
203.0,204.0,203.0,204.0,283.0,2017-07-24 05:45:00
202.0,205.0,202.0,204.0,131.0,2017-07-25 05:45:00
203.0,205.0,201.0,201.0,172.0,2017-07-26 05:45:00
200.0,200.0,200.0,200.0,72.0,2017-07-27 05:45:00
200.0,208.0,200.0,204.0,168.0,2017-07-30 05:45:00
204.0,205.0,196.0,200.0,268.0,2017-07-31 05:45:00
200.0,204.0,200.0,202.0,266.0,2017-08-01 05:45:00
199.0,204.0,199.0,201.0,362.0,2017-08-02 05:45:00
197.0,200.0,197.0,200.0,229.0,2017-08-03 05:45:00
199.0,199.0,195.0,196.0,266.0,2017-08-06 05:45:00
196.0,201.0,195.0,195.0,684.0,2017-08-07 05:45:00
195.0,198.0,194.0,194.0,309.0,2017-08-09 05:45:00
191.0,194.0,191.0,194.0,365.0,2017-08-10 05:45:00
197.0,197.0,191.0,191.0,125.0,2017-08-13 05:45:00
188.0,188.0,183.0,183.0,162.0,2017-08-15 05:45:00
184.0,189.0,184.0,189.0,309.0,2017-08-16 05:45:00
186.0,186.0,182.0,182.0,415.0,2017-08-17 05:45:00
179.0,179.0,171.0,175.0,205.0,2017-08-20 05:45:00
172.0,175.0,172.0,172.0,620.0,2017-08-21 05:45:00
170.0,175.0,169.0,175.0,227.0,2017-08-22 05:45:00
172.0,172.0,166.0,171.0,1057.0,2017-08-23 05:45:00
173.0,174.0,170.0,172.0,280.0,2017-08-24 05:45:00
170.0,173.0,167.0,173.0,525.0,2017-08-27 05:45:00
171.0,172.0,167.0,169.0,181.0,2017-08-28 05:45:00
166.0,171.0,165.0,171.0,354.0,2017-08-30 05:45:00
170.0,170.0,164.0,164.0,1125.0,2017-08-31 05:45:00
161.0,161.0,158.0,161.0,92.0,2017-09-04 05:45:00
163.0,163.0,160.0,160.0,280.0,2017-09-06 05:45:00
158.0,162.0,158.0,160.0,791.0,2017-09-07 05:45:00
163.0,163.0,160.0,160.0,20.0,2017-09-10 05:45:00
159.0,159.0,159.0,159.0,20.0,2017-09-11 05:45:00
156.0,156.0,154.0,154.0,40.0,2017-09-12 05:45:00
155.0,155.0,155.0,155.0,73.0,2017-09-13 05:45:00
155.0,156.0,153.0,155.0,76.0,2017-09-14 05:45:00
155.0,155.0,155.0,155.0,220.0,2017-09-17 05:45:00
154.0,154.0,148.0,149.0,517.0,2017-09-18 05:45:00
147.0,150.0,147.0,149.0,63.0,2017-09-20 05:45:00
151.0,152.0,148.0,148.0,812.0,2017-09-24 05:45:00
147.0,147.0,147.0,147.0,11.0,2017-09-25 05:45:00
145.0,150.0,145.0,147.0,1409.0,2017-09-26 05:45:00
147.0,149.0,145.0,149.0,73.0,2017-10-03 05:45:00
151.0,158.0,151.0,158.0,110.0,2017-10-04 05:45:00
157.0,158.0,155.0,158.0,121.0,2017-10-08 05:45:00
158.0,158.0,155.0,156.0,560.0,2017-10-09 05:45:00
154.0,159.0,154.0,159.0,807.0,2017-10-10 05:45:00
156.0,156.0,155.0,155.0,20.0,2017-10-11 05:45:00
155.0,155.0,155.0,155.0,11.0,2017-10-12 05:45:00
158.0,158.0,155.0,155.0,22.0,2017-10-15 05:45:00
156.0,158.0,155.0,158.0,44.0,2017-10-16 05:45:00
158.0,158.0,155.0,155.0,85.0,2017-10-17 05:45:00
152.0,158.0,152.0,158.0,95.0,2017-10-22 05:45:00
155.0,156.0,153.0,156.0,128.0,2017-10-23 05:45:00
155.0,158.0,155.0,158.0,122.0,2017-10-24 05:45:00
156.0,158.0,156.0,158.0,32.0,2017-10-25 05:45:00
158.0,159.0,158.0,159.0,185.0,2017-10-30 05:45:00
156.0,156.0,156.0,156.0,11.0,2017-10-31 05:45:00
154.0,159.0,154.0,159.0,158.0,2017-11-01 05:45:00
156.0,156.0,153.0,156.0,95.0,2017-11-02 05:45:00
153.0,153.0,153.0,153.0,53.0,2017-11-05 05:45:00
150.0,153.0,150.0,153.0,87.0,2017-11-06 05:45:00
150.0,150.0,148.0,150.0,297.0,2017-11-07 05:45:00
147.0,148.0,147.0,148.0,22.0,2017-11-08 05:45:00
148.0,148.0,144.0,144.0,85.0,2017-11-09 05:45:00
142.0,145.0,142.0,145.0,43.0,2017-11-12 05:45:00
147.0,149.0,147.0,149.0,33.0,2017-11-13 05:45:00
151.0,153.0,151.0,152.0,593.0,2017-11-14 05:45:00
149.0,153.0,149.0,153.0,65.0,2017-11-15 05:45:00
153.0,154.0,150.0,150.0,411.0,2017-11-16 05:45:00
147.0,149.0,145.0,145.0,250.0,2017-11-19 05:45:00
143.0,144.0,141.0,144.0,199.0,2017-11-20 05:45:00
142.0,145.0,140.0,145.0,168.0,2017-11-21 05:45:00
144.0,151.0,143.0,151.0,230.0,2017-11-22 05:45:00
151.0,151.0,148.0,148.0,51.0,2017-11-23 05:45:00
146.0,150.0,146.0,150.0,99.0,2017-11-26 05:45:00
149.0,151.0,148.0,151.0,1444.0,2017-11-27 05:45:00
148.0,151.0,148.0,151.0,175.0,2017-11-28 05:45:00
