open,high,low,close,volume,date
261.0,287.1,250.0,287.1,78315.0,2023-06-08 20:45:00
292.8,311.0,279.3,292.0,41826.0,2023-06-11 20:45:00
287.0,289.6,274.9,283.5,33479.0,2023-06-12 20:45:00
283.0,305.5,278.0,295.0,32792.0,2023-06-13 20:45:00
290.0,303.7,285.0,290.0,20048.0,2023-06-14 20:45:00
285.0,291.0,283.1,288.9,13645.0,2023-06-15 20:45:00
283.2,294.0,280.0,288.0,23489.0,2023-06-18 20:45:00
288.0,292.0,282.3,289.0,22744.0,2023-06-19 20:45:00
292.0,292.0,280.0,285.0,8314.0,2023-06-20 20:45:00
290.0,290.0,270.9,279.0,17871.0,2023-06-21 20:45:00
273.5,276.0,266.0,270.0,10461.0,2023-06-22 20:45:00
264.6,277.0,261.6,277.0,9820.0,2023-06-25 20:45:00
282.0,282.0,264.0,267.0,9980.0,2023-06-26 20:45:00
262.7,278.4,262.0,275.0,15335.0,2023-06-27 20:45:00
269.5,269.5,260.0,263.0,16091.0,2023-06-28 20:45:00
262.0,262.0,249.1,252.2,11395.0,2023-07-02 20:45:00
247.5,257.0,242.0,247.0,16563.0,2023-07-03 20:45:00
242.1,251.0,240.2,245.0,5390.0,2023-07-04 20:45:00
240.4,243.0,232.7,234.9,10875.0,2023-07-05 20:45:00
230.5,246.0,226.1,239.7,9178.0,2023-07-06 20:45:00
235.0,239.7,235.0,235.0,8040.0,2023-07-09 20:45:00
232.0,236.6,223.5,227.3,16880.0,2023-07-10 20:45:00
224.8,229.0,222.0,227.5,4049.0,2023-07-11 20:45:00
225.0,244.0,223.0,241.0,11827.0,2023-07-12 20:45:00
237.1,246.6,231.4,231.4,8899.0,2023-07-13 20:45:00
228.0,234.0,223.6,228.0,4465.0,2023-07-16 20:45:00
232.5,233.0,221.8,231.0,8295.0,2023-07-17 20:45:00
227.0,239.0,226.7,232.0,5435.0,2023-07-18 20:45:00
233.0,233.0,224.0,228.3,3135.0,2023-07-19 20:45:00
225.0,242.7,225.0,242.7,15045.0,2023-07-20 20:45:00
242.0,255.0,238.0,249.0,14804.0,2023-07-23 20:45:00
249.0,258.0,239.2,243.0,11654.0,2023-07-24 20:45:00
239.0,246.5,237.0,238.0,3315.0,2023-07-25 20:45:00
242.0,242.0,234.0,239.9,4720.0,2023-07-26 20:45:00
235.2,243.7,231.5,239.6,5101.0,2023-07-27 20:45:00
235.0,235.0,226.4,231.0,9818.0,2023-07-30 20:45:00
228.1,234.1,228.0,230.0,4848.0,2023-07-31 20:45:00
230.0,234.0,226.1,228.0,4186.0,2023-08-01 20:45:00
224.2,240.0,213.0,221.0,6077.0,2023-08-02 20:45:00
225.0,233.0,217.0,223.0,4425.0,2023-08-03 20:45:00
220.0,220.0,215.3,219.0,5296.0,2023-08-06 20:45:00
222.0,227.7,208.0,214.0,4480.0,2023-08-07 20:45:00
210.1,215.0,210.0,213.0,6700.0,2023-08-08 20:45:00
210.1,219.3,206.3,217.5,5875.0,2023-08-09 20:45:00
