open,high,low,close,volume,date
102.0,108.92,102.0,108.92,505.0,2011-07-17 05:45:00
110.55,110.78,99.25,99.25,290.0,2011-07-18 05:45:00
97.54,97.95,96.48,97.54,1097.0,2011-07-19 05:45:00
97.13,99.25,96.88,97.54,2734.0,2011-07-20 05:45:00
97.77,99.65,97.22,97.54,1522.0,2011-07-21 05:45:00
99.25,99.25,93.47,94.85,903.0,2011-07-24 05:45:00
93.23,93.23,93.06,93.06,40.0,2011-07-25 05:45:00
93.06,93.06,93.06,93.06,252.0,2011-07-26 05:45:00
92.25,97.45,91.44,97.45,2318.0,2011-07-27 05:45:00
95.75,96.32,93.55,96.32,490.0,2011-07-28 05:45:00
94.69,95.66,94.05,94.05,347.0,2011-07-31 05:45:00
93.87,94.05,93.87,94.05,116.0,2011-08-01 05:45:00
92.66,93.95,91.51,93.47,1032.0,2011-08-02 05:45:00
94.69,94.69,91.44,93.87,453.0,2011-08-03 05:45:00
92.25,95.1,92.25,95.1,297.0,2011-08-04 05:45:00
93.47,93.47,91.85,93.39,218.0,2011-08-07 05:45:00
95.01,95.01,89.97,90.62,1463.0,2011-08-08 05:45:00
90.62,90.78,89.07,90.78,1025.0,2011-08-09 05:45:00
89.8,94.12,88.99,92.9,559.0,2011-08-10 05:45:00
94.29,94.69,91.68,92.66,221.0,2011-08-11 05:45:00
91.12,91.12,91.12,91.12,6.0,2011-08-12 05:45:00
91.44,94.53,90.22,92.34,1352.0,2011-08-15 05:45:00
92.66,92.66,91.03,92.58,1000.0,2011-08-16 05:45:00
93.06,93.06,89.8,91.03,5607.0,2011-08-17 05:45:00
92.25,93.95,91.44,93.95,638.0,2011-08-18 05:45:00
92.34,92.34,90.22,90.78,730.0,2011-08-22 05:45:00
91.03,91.03,90.62,90.62,310.0,2011-08-23 05:45:00
90.7,90.7,88.43,90.05,1217.0,2011-08-24 05:45:00
91.59,91.59,88.51,89.24,740.0,2011-08-25 05:45:00
88.99,88.99,88.99,88.99,34.0,2011-08-26 05:45:00
88.99,88.99,87.45,87.45,485.0,2011-08-28 05:45:00
88.92,88.92,87.61,88.67,497.0,2011-08-29 05:45:00
88.67,91.68,87.45,91.68,534.0,2011-08-30 05:45:00
90.14,91.68,88.84,88.99,1177.0,2011-09-01 05:45:00
88.19,90.22,88.19,90.14,1168.0,2011-09-04 05:45:00
90.22,91.03,88.19,88.19,803.0,2011-09-05 05:45:00
89.65,89.8,86.64,86.73,995.0,2011-09-06 05:45:00
88.02,88.19,86.73,88.1,806.0,2011-09-07 05:45:00
87.77,87.77,86.55,86.55,518.0,2011-09-08 05:45:00
86.55,86.55,85.09,85.09,24.0,2011-09-09 05:45:00
87.37,89.8,85.75,89.8,874.0,2011-09-12 05:45:00
88.26,88.26,84.28,88.19,1650.0,2011-09-13 05:45:00
86.73,88.02,85.59,86.15,1689.0,2011-09-14 05:45:00
85.02,91.44,84.94,91.44,3778.0,2011-09-15 05:45:00
92.66,92.66,92.66,92.66,8.0,2011-09-16 05:45:00
82.82,83.95,82.82,83.95,59.0,2011-09-20 05:45:00
84.05,84.94,80.78,82.09,68.0,2011-09-21 05:45:00
81.27,82.09,80.05,82.09,799.0,2011-09-22 05:45:00
82.09,82.09,82.09,82.09,8.0,2011-09-23 05:45:00
83.23,83.23,83.23,83.23,10.0,2011-09-25 05:45:00
81.85,84.44,81.68,84.44,192.0,2011-09-26 05:45:00
83.05,84.94,81.27,84.68,1161.0,2011-09-27 05:45:00
83.31,84.52,82.09,83.14,146.0,2011-09-29 05:45:00
81.85,81.85,81.85,81.85,2.0,2011-09-30 05:45:00
81.76,82.49,81.76,82.49,100.0,2011-10-02 05:45:00
83.63,83.63,82.24,82.24,92.0,2011-10-09 05:45:00
