open,high,low,close,volume,date
35.64,35.64,35.64,35.64,200.0,2011-07-19 05:45:00
35.93,36.78,35.93,36.78,50.0,2011-08-03 05:45:00
37.07,37.07,37.07,37.07,10.0,2011-08-04 05:45:00
37.35,37.35,37.35,37.35,998.0,2011-08-08 05:45:00
37.07,37.3,37.07,37.3,82.0,2011-08-09 05:45:00
36.96,37.07,36.96,37.07,83.0,2011-08-10 05:45:00
37.07,37.07,37.07,37.07,41.0,2011-08-11 05:45:00
37.35,37.35,37.07,37.07,134.0,2011-08-16 05:45:00
36.73,36.73,36.73,36.73,164.0,2011-08-22 05:45:00
36.5,36.5,36.5,36.5,334.0,2011-08-23 05:45:00
36.78,36.78,36.78,36.78,80.0,2011-09-06 05:45:00
37.07,37.07,37.07,37.07,10.0,2011-09-07 05:45:00
37.42,37.42,37.42,37.42,10.0,2011-09-08 05:45:00
37.07,37.07,36.73,36.73,650.0,2011-10-02 05:45:00
36.73,36.73,36.73,36.73,10.0,2011-10-12 05:45:00
36.55,36.55,36.55,36.55,40.0,2011-11-09 05:45:00
36.27,36.27,36.16,36.27,282.0,2011-11-29 05:45:00
36.27,36.27,36.27,36.27,124.0,2011-12-15 05:45:00
36.21,36.21,36.21,36.21,200.0,2011-12-26 05:45:00
37.64,37.64,37.64,37.64,82.0,2012-01-12 05:45:00
37.33,37.33,36.71,36.71,92.0,2012-01-22 05:45:00
36.41,38.27,36.41,38.27,428.0,2012-02-05 05:45:00
38.58,38.95,38.58,38.95,21.0,2012-02-06 05:45:00
39.33,39.33,39.33,39.33,10.0,2012-02-07 05:45:00
38.95,38.95,37.39,37.39,300.0,2012-02-27 05:45:00
37.08,37.71,37.08,37.71,51.0,2012-02-28 05:45:00
38.02,38.02,38.02,38.02,418.0,2012-03-20 05:45:00
37.71,37.71,36.77,36.77,80.0,2012-03-21 05:45:00
36.46,36.46,35.15,35.15,502.0,2012-04-05 05:45:00
34.9,34.9,34.65,34.65,60.0,2012-04-08 05:45:00
34.9,34.9,34.9,34.9,50.0,2012-04-10 05:45:00
34.9,34.9,34.9,34.9,50.0,2012-04-11 05:45:00
34.65,35.15,34.41,35.15,573.0,2012-04-12 05:45:00
35.4,35.4,35.4,35.4,200.0,2012-04-15 05:45:00
35.65,35.65,35.65,35.65,500.0,2012-04-16 05:45:00
35.96,35.96,35.96,35.96,10.0,2012-04-17 05:45:00
35.77,35.77,35.47,35.47,200.0,2012-04-18 05:45:00
35.15,35.15,35.15,35.15,203.0,2012-04-19 05:45:00
35.34,35.65,35.34,35.65,2271.0,2012-04-22 05:45:00
