open,high,low,close,volume,date
216.0,237.6,216.0,237.6,8512.0,2022-12-14 05:45:00
242.0,261.3,242.0,261.3,4995.0,2022-12-15 20:45:00
266.5,287.4,266.5,287.4,10491.0,2022-12-18 20:45:00
293.1,293.1,258.7,264.5,30972.0,2022-12-19 20:45:00
259.3,278.0,255.0,271.2,4630.0,2022-12-20 20:45:00
265.8,297.9,265.8,297.9,5545.0,2022-12-21 20:45:00
303.8,303.8,276.2,286.0,9063.0,2022-12-22 20:45:00
281.0,309.0,281.0,309.0,9815.0,2022-12-26 20:45:00
314.0,329.0,302.1,325.0,11845.0,2022-12-27 20:45:00
320.0,333.5,308.2,328.7,6972.0,2022-12-28 20:45:00
328.7,334.7,310.4,326.0,7217.0,2022-12-29 20:45:00
325.0,340.6,321.1,327.0,5560.0,2023-01-01 20:45:00
321.0,328.9,315.0,328.0,10919.0,2023-01-02 20:45:00
322.3,340.6,322.3,340.6,5410.0,2023-01-03 20:45:00
333.8,374.0,327.2,374.0,10673.0,2023-01-04 20:45:00
366.6,411.4,352.2,411.0,7940.0,2023-01-05 20:45:00
402.8,440.0,379.3,418.9,9461.0,2023-01-08 20:45:00
410.6,423.0,400.0,423.0,9039.0,2023-01-09 20:45:00
430.0,431.2,388.0,424.0,10210.0,2023-01-10 20:45:00
416.0,416.0,393.4,404.0,11292.0,2023-01-12 20:45:00
396.0,415.2,388.4,414.9,5470.0,2023-01-17 20:45:00
410.0,426.5,395.0,405.0,7260.0,2023-01-18 20:45:00
398.0,428.9,391.1,405.0,8689.0,2023-01-19 20:45:00
413.0,413.0,391.2,399.0,2210.0,2023-01-23 20:45:00
391.1,407.7,385.1,406.9,6794.0,2023-01-24 20:45:00
400.0,417.9,392.1,415.0,10423.0,2023-01-25 20:45:00
406.7,425.0,398.7,410.5,8680.0,2023-01-26 20:45:00
402.3,451.5,397.0,451.5,16338.0,2023-01-29 20:45:00
460.5,478.3,438.0,444.0,13610.0,2023-01-30 20:45:00
435.2,474.3,430.5,470.0,13915.0,2023-01-31 20:45:00
470.0,508.0,462.1,499.0,10730.0,2023-02-01 20:45:00
489.1,499.0,466.4,477.0,11324.0,2023-02-02 20:45:00
467.5,486.0,446.9,451.0,9547.0,2023-02-05 20:45:00
442.0,465.3,442.0,455.0,10467.0,2023-02-06 20:45:00
445.9,477.6,437.0,470.0,8916.0,2023-02-07 20:45:00
460.6,475.0,455.0,469.0,9521.0,2023-02-08 20:45:00
459.7,493.9,442.0,493.9,9046.0,2023-02-09 20:45:00
484.1,503.7,465.1,497.0,13312.0,2023-02-12 20:45:00
487.1,494.0,473.6,488.5,8881.0,2023-02-14 20:45:00
478.8,488.0,462.6,474.0,7450.0,2023-02-15 20:45:00
464.6,498.4,457.0,466.0,5877.0,2023-02-16 20:45:00
457.1,466.0,448.9,448.9,6590.0,2023-02-20 20:45:00
440.0,486.0,440.0,475.1,7907.0,2023-02-22 20:45:00
465.6,468.0,450.0,450.0,4128.0,2023-02-23 20:45:00
441.0,461.0,432.4,458.0,4761.0,2023-02-26 20:45:00
448.9,466.7,443.1,466.7,6420.0,2023-02-27 20:45:00
457.4,470.2,448.3,469.2,1640.0,2023-02-28 20:45:00
460.0,462.0,451.5,451.5,6294.0,2023-03-01 20:45:00
443.0,460.0,435.1,444.9,5547.0,2023-03-02 20:45:00
436.2,448.8,427.5,427.5,2760.0,2023-03-05 20:45:00
427.0,448.0,425.4,439.9,2950.0,2023-03-07 20:45:00
431.2,457.3,431.1,449.7,1790.0,2023-03-09 20:45:00
445.0,453.9,425.0,447.0,3230.0,2023-03-12 20:45:00
439.0,460.0,431.1,450.8,2432.0,2023-03-13 20:45:00
445.0,448.8,435.1,448.8,2240.0,2023-03-14 20:45:00
439.9,457.7,432.0,457.7,2094.0,2023-03-15 20:45:00
466.8,466.8,444.5,464.1,3720.0,2023-03-16 20:45:00
454.9,460.0,442.1,453.0,2660.0,2023-03-19 20:45:00
444.0,460.0,444.0,458.6,3420.0,2023-03-20 20:45:00
466.9,475.0,443.0,473.0,7250.0,2023-03-22 20:45:00
463.6,463.6,446.0,460.0,4306.0,2023-03-23 20:45:00
450.8,450.8,431.7,431.7,4594.0,2023-03-26 20:45:00
423.2,443.2,423.2,443.2,1700.0,2023-03-27 20:45:00
440.0,451.0,432.1,447.4,3240.0,2023-03-28 20:45:00
450.0,452.0,432.2,445.3,1450.0,2023-03-29 20:45:00
436.4,451.9,431.0,450.0,4460.0,2023-03-30 20:45:00
450.0,459.0,428.1,443.5,6450.0,2023-04-02 20:45:00
434.7,443.3,420.0,435.5,1540.0,2023-04-03 20:45:00
426.8,430.5,411.1,430.5,770.0,2023-04-04 20:45:00
422.0,435.0,414.1,435.0,1660.0,2023-04-05 20:45:00
435.0,442.3,401.9,421.9,5560.0,2023-04-06 20:45:00
413.5,413.5,391.0,398.8,5870.0,2023-04-09 20:45:00
