open,high,low,close,volume,date
46.7,46.97,46.63,46.97,950.0,2012-06-10 05:45:00
47.11,47.93,47.11,47.38,2898.0,2012-06-11 05:45:00
47.38,47.38,46.76,46.76,12254.0,2012-06-12 05:45:00
46.9,47.17,46.63,46.9,10961.0,2012-06-13 05:45:00
46.83,46.97,46.7,46.9,3464.0,2012-06-14 05:45:00
46.76,46.76,46.63,46.63,1720.0,2012-06-17 05:45:00
46.63,46.76,46.63,46.76,208.0,2012-06-18 05:45:00
46.9,46.9,46.9,46.9,98.0,2012-06-19 05:45:00
47.03,47.03,46.9,46.9,724.0,2012-06-20 05:45:00
46.76,46.76,46.63,46.63,2405.0,2012-06-21 05:45:00
46.55,46.7,46.55,46.55,3945.0,2012-06-25 05:45:00
46.63,46.76,46.48,46.76,3293.0,2012-06-26 05:45:00
46.63,46.63,46.63,46.63,475.0,2012-06-27 05:45:00
46.76,46.97,46.76,46.97,2074.0,2012-06-28 05:45:00
46.9,46.9,46.7,46.7,4050.0,2012-07-01 05:45:00
46.83,46.83,46.7,46.7,825.0,2012-07-02 05:45:00
46.7,46.7,46.7,46.7,810.0,2012-07-03 05:45:00
46.83,46.83,46.83,46.83,49.0,2012-07-04 05:45:00
46.97,46.97,46.97,46.97,148.0,2012-07-05 05:45:00
46.83,46.9,46.83,46.9,619.0,2012-07-08 05:45:00
46.9,46.9,46.9,46.9,49.0,2012-07-09 05:45:00
46.76,46.76,46.76,46.76,198.0,2012-07-10 05:45:00
46.76,46.76,46.76,46.76,1655.0,2012-07-12 05:45:00
46.76,46.76,46.76,46.76,98.0,2012-07-16 05:45:00
46.9,47.58,46.9,47.25,1226.0,2012-07-17 05:45:00
47.38,47.8,47.38,47.8,1639.0,2012-07-18 05:45:00
48.0,48.2,48.0,48.2,98.0,2012-07-19 05:45:00
48.27,48.27,48.2,48.2,246.0,2012-07-22 05:45:00
48.07,48.07,47.58,47.58,295.0,2012-07-24 05:45:00
47.45,47.45,47.45,47.45,49.0,2012-07-26 05:45:00
47.32,47.32,47.32,47.32,49.0,2012-07-29 05:45:00
47.25,47.32,47.25,47.32,827.0,2012-08-01 05:45:00
47.17,47.32,47.17,47.32,249.0,2012-08-05 05:45:00
47.32,47.45,47.32,47.45,1786.0,2012-08-06 05:45:00
47.38,47.72,47.38,47.72,1972.0,2012-08-07 05:45:00
47.93,48.14,47.93,48.14,40.0,2012-08-08 05:45:00
47.93,47.93,47.93,47.93,247.0,2012-08-12 05:45:00
47.8,47.8,47.58,47.58,198.0,2012-08-13 05:45:00
47.38,47.38,47.38,47.38,795.0,2012-08-14 05:45:00
47.38,47.38,47.38,47.38,109.0,2012-08-15 05:45:00
47.38,47.38,47.11,47.38,851.0,2012-08-19 05:45:00
47.38,47.38,47.38,47.38,98.0,2012-08-21 05:45:00
47.52,47.52,47.52,47.52,109.0,2012-08-22 05:45:00
47.58,47.58,47.32,47.32,532.0,2012-08-28 05:45:00
47.45,47.45,47.38,47.45,751.0,2012-08-29 05:45:00
47.38,47.58,47.38,47.45,587.0,2012-08-30 05:45:00
47.52,47.58,47.52,47.58,128.0,2012-09-02 05:45:00
47.58,48.61,47.58,48.61,1538.0,2012-09-03 05:45:00
48.82,49.65,48.82,49.65,473.0,2012-09-04 05:45:00
49.44,49.44,48.41,48.41,2891.0,2012-09-10 05:45:00
48.2,48.27,47.58,48.2,17222.0,2012-09-11 05:45:00
48.14,49.03,48.14,48.97,21357.0,2012-09-12 05:45:00
48.75,48.75,48.41,48.61,10038.0,2012-09-13 05:45:00
48.82,49.03,48.82,48.97,14390.0,2012-09-16 05:45:00
49.23,49.58,49.23,49.58,4226.0,2012-09-17 05:45:00
49.65,49.72,49.65,49.72,5895.0,2012-09-18 05:45:00
49.58,49.65,49.58,49.65,8811.0,2012-09-19 05:45:00
49.44,49.65,49.44,49.65,534.0,2012-09-20 05:45:00
49.58,49.58,49.23,49.52,3242.0,2012-09-23 05:45:00
49.65,50.13,49.44,50.13,1868.0,2012-09-24 05:45:00
50.26,50.26,49.44,49.44,634.0,2012-09-25 05:45:00
49.65,49.65,49.44,49.44,18052.0,2012-09-26 05:45:00
50.31,50.31,50.07,50.31,879.0,2012-10-08 05:45:00
50.31,50.31,50.31,50.31,12413.0,2012-10-11 05:45:00
50.31,50.31,50.31,50.31,2925.0,2012-10-15 05:45:00
50.07,50.07,50.07,50.07,49.0,2012-11-08 05:45:00
49.85,49.85,49.85,49.85,49.0,2012-11-11 05:45:00
49.78,49.78,49.78,49.78,109.0,2012-11-26 05:45:00
49.63,49.63,49.63,49.63,49.0,2013-01-06 05:45:00
49.63,49.63,49.63,49.63,49.0,2013-01-09 05:45:00
49.85,50.22,49.63,49.7,10656.0,2013-01-13 05:45:00
49.48,49.48,49.48,49.48,494.0,2013-01-15 05:45:00
49.26,49.26,49.11,49.11,603.0,2013-01-17 05:45:00
48.96,48.96,48.96,48.96,500.0,2013-01-23 05:45:00
48.96,48.96,48.73,48.73,794.0,2013-01-24 05:45:00
48.59,48.59,48.59,48.59,148.0,2013-02-03 05:45:00
48.5,48.5,48.5,48.5,148.0,2013-02-04 05:45:00
48.5,48.5,48.5,48.5,148.0,2013-02-13 05:45:00
48.73,48.73,48.73,48.73,593.0,2013-02-20 05:45:00
48.66,48.66,48.66,48.66,59.0,2013-02-27 05:45:00
48.43,48.43,48.43,48.43,838.0,2013-03-13 05:45:00
48.5,48.5,48.5,48.5,49.0,2013-03-14 05:45:00
48.5,48.5,48.5,48.5,158.0,2013-03-18 05:45:00
48.5,48.5,48.5,48.5,347.0,2013-03-21 05:45:00
48.73,48.73,48.73,48.73,89.0,2013-04-01 05:45:00
48.5,48.73,48.5,48.73,344.0,2013-04-07 05:45:00
48.5,48.5,48.28,48.28,294.0,2013-04-25 05:45:00
48.28,48.43,48.28,48.43,218.0,2013-04-29 05:45:00
48.35,48.35,48.13,48.35,662.0,2013-04-30 05:45:00
48.2,48.2,48.2,48.2,49.0,2013-05-02 05:45:00
48.06,48.06,48.06,48.06,444.0,2013-05-12 05:45:00
48.2,48.2,48.2,48.2,15.0,2013-06-02 05:45:00
48.13,48.13,48.13,48.13,2925.0,2013-06-19 05:45:00
48.35,49.18,48.35,49.18,692.0,2013-06-24 05:45:00
49.4,50.07,49.4,50.07,196.0,2013-06-25 05:45:00
