open,high,low,close,volume,date
200.55,200.55,200.55,200.55,100.0,2017-05-21 05:45:00
210.48,210.48,210.48,210.48,30.0,2017-06-05 05:45:00
214.67,214.67,214.67,214.67,9.0,2017-06-06 05:45:00
214.67,223.07,214.67,223.07,30.0,2017-06-07 05:45:00
227.46,231.85,227.46,231.85,26.0,2017-06-11 05:45:00
236.43,245.78,236.43,245.78,530.0,2017-06-14 05:45:00
250.55,260.47,250.55,260.47,52.0,2017-06-15 05:45:00
265.62,270.78,265.62,270.78,20.0,2017-06-18 05:45:00
276.12,276.12,276.12,276.12,10.0,2017-06-19 05:45:00
281.46,292.72,281.46,292.72,30.0,2017-06-21 05:45:00
298.44,310.27,298.44,310.27,30.0,2017-06-25 05:45:00
316.38,328.98,316.38,328.98,30.0,2017-06-27 05:45:00
335.46,355.69,335.46,355.69,46.0,2017-06-28 05:45:00
362.75,362.75,362.75,362.75,26.0,2017-07-02 05:45:00
370.0,399.01,370.0,399.01,66.0,2017-07-03 05:45:00
406.84,431.45,406.84,431.45,56.0,2017-07-04 05:45:00
440.03,440.03,440.03,440.03,10.0,2017-07-05 05:45:00
448.82,483.92,448.82,483.92,102.0,2017-07-09 05:45:00
493.47,493.47,493.47,493.47,40.0,2017-07-10 05:45:00
503.19,542.7,503.19,542.7,212.0,2017-07-11 05:45:00
553.38,596.9,553.38,596.9,3230.0,2017-07-12 05:45:00
608.72,645.74,608.72,614.64,39591.0,2017-07-13 05:45:00
616.35,630.67,601.09,629.33,16692.0,2017-07-16 05:45:00
629.33,681.23,622.08,675.9,14227.0,2017-07-17 05:45:00
677.42,724.17,672.26,724.17,16051.0,2017-07-18 05:45:00
725.13,738.48,706.23,707.95,15286.0,2017-07-19 05:45:00
696.5,721.31,696.5,717.5,11248.0,2017-07-20 05:45:00
715.58,731.81,713.68,728.75,9171.0,2017-07-23 05:45:00
725.13,738.48,722.26,729.33,6313.0,2017-07-24 05:45:00
727.03,744.4,721.5,731.99,5324.0,2017-07-25 05:45:00
732.76,732.95,721.31,727.03,4911.0,2017-07-26 05:45:00
721.31,744.21,716.73,725.13,4396.0,2017-07-27 05:45:00
726.08,728.94,719.4,728.94,3113.0,2017-07-30 05:45:00
727.03,729.9,725.13,725.89,6159.0,2017-07-31 05:45:00
726.08,735.43,725.13,733.52,4826.0,2017-08-01 05:45:00
731.81,763.29,731.81,759.48,7876.0,2017-08-02 05:45:00
761.38,790.01,746.5,767.3,10587.0,2017-08-03 05:45:00
763.29,767.1,753.94,757.56,5505.0,2017-08-06 05:45:00
757.56,757.56,746.3,751.84,3357.0,2017-08-07 05:45:00
751.84,751.84,734.66,743.26,5300.0,2017-08-09 05:45:00
739.44,739.44,714.06,734.66,5334.0,2017-08-10 05:45:00
734.66,734.66,717.5,721.31,5257.0,2017-08-13 05:45:00
