open,high,low,close,volume,date
1000.0,1000.0,1000.0,1000.0,25.0,2022-07-22 05:45:00
980.0,980.0,901.0,901.0,278.0,2022-09-22 20:45:00
883.0,883.0,810.9,810.9,95.0,2022-09-27 20:45:00
794.7,794.7,729.9,745.0,566.0,2022-10-10 20:45:00
730.1,735.1,722.5,735.1,320.0,2022-10-11 20:45:00
729.1,745.0,729.1,745.0,249.0,2022-10-12 20:45:00
740.0,754.8,740.0,750.1,255.0,2022-10-13 20:45:00
737.8,762.0,737.7,762.0,265.0,2022-10-16 20:45:00
746.8,748.1,740.1,748.1,125.0,2022-10-19 20:45:00
748.0,762.9,748.0,760.0,150.0,2022-10-20 20:45:00
774.5,775.0,774.5,775.0,100.0,2022-10-31 20:45:00
759.5,759.5,755.0,755.0,80.0,2022-11-01 20:45:00
755.0,755.0,750.0,750.0,150.0,2022-11-02 20:45:00
750.0,750.0,750.0,750.0,25.0,2022-11-03 20:45:00
745.0,745.1,745.0,745.1,125.0,2022-11-06 20:45:00
745.1,745.1,743.1,743.1,75.0,2022-11-07 20:45:00
750.0,765.0,742.4,765.0,135.0,2022-11-08 20:45:00
749.7,750.4,749.7,750.4,75.0,2022-11-10 20:45:00
750.1,750.1,750.0,750.0,40.0,2022-11-13 20:45:00
747.0,750.0,746.4,750.0,40.0,2022-11-14 20:45:00
751.0,751.0,747.0,747.0,50.0,2022-11-15 20:45:00
755.0,755.0,755.0,755.0,50.0,2022-11-16 20:45:00
750.0,750.1,750.0,750.1,50.0,2022-11-17 20:45:00
752.0,752.0,752.0,752.0,25.0,2022-11-22 20:45:00
755.2,755.2,752.1,752.1,135.0,2022-11-23 20:45:00
754.0,760.0,754.0,755.0,90.0,2022-11-27 20:45:00
770.0,801.1,770.0,801.1,470.0,2022-11-28 20:45:00
801.1,817.0,801.1,817.0,225.0,2022-11-29 20:45:00
800.7,816.7,800.7,816.7,105.0,2022-11-30 20:45:00
814.7,820.0,813.0,820.0,375.0,2022-12-04 20:45:00
834.0,834.0,834.0,834.0,25.0,2022-12-05 20:45:00
817.4,817.4,801.1,801.1,75.0,2022-12-20 20:45:00
817.0,822.0,800.8,822.0,625.0,2022-12-21 20:45:00
806.0,838.0,790.0,838.0,60.0,2022-12-22 20:45:00
825.0,845.0,808.6,845.0,125.0,2022-12-26 20:45:00
830.0,830.0,830.0,830.0,25.0,2022-12-27 20:45:00
830.0,830.0,830.0,830.0,70.0,2022-12-28 20:45:00
830.0,830.0,830.0,830.0,50.0,2022-12-29 20:45:00
815.0,830.0,798.7,830.0,300.0,2023-01-01 20:45:00
830.0,847.0,830.0,847.0,175.0,2023-01-02 20:45:00
844.0,847.0,835.0,835.0,150.0,2023-01-03 20:45:00
820.0,840.0,820.0,840.0,150.0,2023-01-04 20:45:00
825.0,825.0,825.0,825.0,75.0,2023-01-05 20:45:00
815.0,815.0,795.1,800.0,195.0,2023-01-08 20:45:00
795.0,827.0,795.0,827.0,100.0,2023-01-09 20:45:00
843.5,860.3,843.5,860.3,35.0,2023-01-10 20:45:00
877.5,892.0,877.5,892.0,185.0,2023-01-12 20:45:00
874.2,874.2,874.2,874.2,10.0,2023-01-31 20:45:00
856.8,856.8,787.0,787.0,215.0,2023-02-15 20:45:00
785.0,785.0,778.0,785.0,120.0,2023-02-16 20:45:00
770.0,775.1,770.0,775.1,90.0,2023-02-20 20:45:00
760.0,760.0,745.1,750.5,120.0,2023-02-22 20:45:00
750.0,750.0,750.0,750.0,40.0,2023-02-23 20:45:00
747.0,747.0,746.0,746.0,25.0,2023-02-26 20:45:00
746.1,746.5,746.1,746.5,50.0,2023-02-27 20:45:00
761.4,761.4,761.4,761.4,40.0,2023-02-28 20:45:00
750.0,755.0,746.1,755.0,110.0,2023-03-01 20:45:00
744.1,744.1,744.1,744.1,25.0,2023-03-02 20:45:00
745.1,745.1,745.1,745.1,25.0,2023-03-05 20:45:00
751.0,781.8,751.0,781.8,75.0,2023-03-09 20:45:00
790.0,800.0,790.0,800.0,235.0,2023-03-12 20:45:00
800.0,800.0,800.0,800.0,125.0,2023-03-13 20:45:00
800.0,800.0,800.0,800.0,125.0,2023-03-14 20:45:00
795.0,800.0,795.0,800.0,40.0,2023-03-16 20:45:00
800.0,800.0,800.0,800.0,25.0,2023-03-19 20:45:00
790.0,790.0,790.0,790.0,25.0,2023-03-20 20:45:00
775.2,800.0,775.2,800.0,100.0,2023-03-22 20:45:00
784.0,784.0,784.0,784.0,25.0,2023-03-23 20:45:00
780.0,805.0,780.0,805.0,85.0,2023-03-26 20:45:00
799.0,804.0,788.9,804.0,85.0,2023-03-27 20:45:00
789.0,804.5,789.0,804.5,60.0,2023-03-28 20:45:00
805.0,805.0,800.0,800.0,40.0,2023-03-29 20:45:00
784.0,784.0,784.0,784.0,25.0,2023-03-30 20:45:00
784.0,799.0,784.0,799.0,150.0,2023-04-02 20:45:00
783.4,790.9,772.0,790.9,105.0,2023-04-03 20:45:00
775.1,775.1,775.1,775.1,25.0,2023-04-04 20:45:00
772.0,773.5,772.0,773.5,50.0,2023-04-05 20:45:00
768.1,771.1,768.1,771.1,75.0,2023-04-06 20:45:00
773.0,773.0,773.0,773.0,25.0,2023-04-09 20:45:00
774.0,774.0,774.0,774.0,25.0,2023-04-10 20:45:00
776.0,776.0,776.0,776.0,25.0,2023-04-11 20:45:00
791.5,839.0,791.5,839.0,285.0,2023-04-13 20:45:00
822.3,822.3,806.0,806.0,50.0,2023-04-16 20:45:00
810.0,812.0,810.0,812.0,50.0,2023-04-17 20:45:00
810.0,828.0,810.0,827.0,75.0,2023-04-18 20:45:00
811.0,811.0,797.1,797.1,50.0,2023-04-19 20:45:00
800.1,800.1,800.1,800.1,25.0,2023-04-20 20:45:00
800.0,800.1,800.0,800.1,75.0,2023-04-23 20:45:00
800.1,800.1,800.1,800.1,25.0,2023-04-24 20:45:00
784.2,784.2,784.2,784.2,25.0,2023-04-25 20:45:00
799.8,800.1,799.8,800.0,50.0,2023-04-26 20:45:00
800.0,805.1,800.0,805.0,120.0,2023-04-27 20:45:00
810.0,810.0,803.0,803.0,50.0,2023-04-30 20:45:00
810.0,810.0,810.0,810.0,55.0,2023-05-02 20:45:00
810.0,810.0,810.0,810.0,25.0,2023-05-03 20:45:00
810.0,810.0,810.0,810.0,79.0,2023-05-04 20:45:00
810.0,810.0,810.0,810.0,25.0,2023-05-07 20:45:00
805.0,810.0,805.0,810.0,75.0,2023-05-08 20:45:00
805.0,805.0,805.0,805.0,75.0,2023-05-09 20:45:00
805.1,805.1,805.0,805.0,65.0,2023-05-10 20:45:00
805.0,805.0,805.0,805.0,25.0,2023-05-11 20:45:00
806.0,806.0,805.0,805.0,150.0,2023-05-14 20:45:00
805.1,805.1,805.1,805.1,25.0,2023-05-15 20:45:00
805.0,805.0,795.0,795.0,120.0,2023-05-16 20:45:00
795.1,795.1,795.0,795.0,50.0,2023-05-21 20:45:00
795.1,795.1,795.0,795.0,25.0,2023-05-22 20:45:00
795.0,795.0,795.0,795.0,40.0,2023-05-23 20:45:00
781.0,795.0,781.0,795.0,150.0,2023-05-24 20:45:00
782.1,790.1,782.1,790.0,200.0,2023-05-28 20:45:00
805.5,821.9,805.5,821.9,45.0,2023-05-30 20:45:00
806.0,806.0,800.0,800.0,70.0,2023-05-31 20:45:00
799.9,800.0,795.1,795.1,90.0,2023-06-01 20:45:00
795.0,795.1,795.0,795.1,100.0,2023-06-05 20:45:00
795.3,800.0,795.3,800.0,50.0,2023-06-06 20:45:00
800.0,800.0,800.0,800.0,77.0,2023-06-07 20:45:00
805.0,816.0,805.0,810.0,150.0,2023-06-08 20:45:00
810.0,810.0,810.0,810.0,75.0,2023-06-11 20:45:00
824.0,825.0,824.0,825.0,20.0,2023-06-12 20:45:00
810.0,810.1,810.0,810.1,60.0,2023-06-15 20:45:00
810.0,810.0,810.0,810.0,25.0,2023-06-18 20:45:00
811.0,811.0,811.0,811.0,10.0,2023-06-20 20:45:00
810.0,822.0,810.0,822.0,63.0,2023-06-21 20:45:00
822.0,822.0,822.0,822.0,75.0,2023-06-22 20:45:00
822.1,822.1,822.1,822.1,25.0,2023-06-25 20:45:00
825.1,858.4,825.1,858.4,90.0,2023-06-26 20:45:00
841.3,841.3,825.0,832.0,95.0,2023-06-27 20:45:00
832.0,832.0,832.0,832.0,25.0,2023-06-28 20:45:00
822.0,822.0,822.0,822.0,100.0,2023-07-02 20:45:00
822.0,822.4,822.0,822.4,90.0,2023-07-03 20:45:00
830.0,846.6,830.0,846.6,230.0,2023-07-04 20:45:00
848.0,858.0,848.0,858.0,180.0,2023-07-05 20:45:00
863.0,863.0,863.0,863.0,125.0,2023-07-06 20:45:00
863.0,880.0,863.0,880.0,425.0,2023-07-09 20:45:00
897.5,897.5,897.5,897.5,10.0,2023-07-10 20:45:00
911.0,911.0,911.0,911.0,25.0,2023-07-11 20:45:00
892.8,929.0,892.8,929.0,695.0,2023-07-12 20:45:00
947.0,1000.0,947.0,1000.0,70.0,2023-07-13 20:45:00
980.0,1000.0,980.0,1000.0,600.0,2023-07-16 20:45:00
980.0,980.0,980.0,980.0,25.0,2023-08-21 20:45:00
960.4,960.4,960.4,960.4,360.0,2023-08-27 20:44:00
941.2,941.2,864.4,864.4,176.0,2023-10-08 20:45:00
847.2,847.2,814.0,814.0,375.0,2023-10-10 20:45:00
800.1,815.0,800.1,815.0,175.0,2023-10-11 20:45:00
815.0,831.3,811.0,815.1,200.0,2023-10-12 20:45:00
815.1,825.0,805.1,805.1,130.0,2023-10-16 20:45:00
805.0,810.0,805.0,810.0,125.0,2023-10-17 20:45:00
802.1,824.1,802.1,812.1,85.0,2023-10-18 20:45:00
827.0,844.5,812.0,844.5,160.0,2023-10-19 20:45:00
840.0,845.0,840.0,845.0,165.0,2023-10-29 20:45:00
840.0,845.0,840.0,840.0,150.0,2023-10-30 20:45:00
840.0,840.0,840.0,840.0,100.0,2023-10-31 20:45:00
840.1,840.1,840.0,840.0,120.0,2023-11-01 20:45:00
845.0,845.0,840.0,840.0,225.0,2023-11-02 20:45:00
840.0,840.0,840.0,840.0,100.0,2023-11-05 20:45:00
830.0,830.0,827.0,827.0,25.0,2023-11-08 20:45:00
813.2,813.2,813.2,813.2,25.0,2023-11-09 20:45:00
808.1,824.2,808.1,816.2,50.0,2023-11-20 20:45:00
832.5,849.1,820.0,849.1,45.0,2023-11-21 20:45:00
832.3,863.9,832.3,863.9,85.0,2023-11-22 20:45:00
846.7,846.7,846.7,846.7,25.0,2023-11-23 20:45:00
840.0,840.0,840.0,840.0,50.0,2023-11-26 20:45:00
840.0,840.0,834.0,834.0,60.0,2023-11-28 20:45:00
822.2,825.1,822.2,825.1,50.0,2023-11-29 20:45:00
826.2,826.2,826.2,826.2,25.0,2023-11-30 20:45:00
827.2,828.0,827.2,828.0,75.0,2023-12-03 20:45:00
825.1,829.6,825.0,829.5,100.0,2023-12-04 20:45:00
815.0,815.0,815.0,815.0,25.0,2023-12-05 20:45:00
831.3,831.3,826.3,826.3,40.0,2023-12-06 20:45:00
842.8,843.0,836.1,837.0,120.0,2023-12-07 20:45:00
850.0,870.7,845.0,870.7,135.0,2023-12-11 20:45:00
853.3,853.3,853.3,853.3,25.0,2023-12-12 20:45:00
853.3,887.7,853.3,870.0,110.0,2023-12-13 20:45:00
880.0,914.0,865.0,914.0,1992.0,2023-12-14 20:45:00
913.6,932.2,913.6,920.0,350.0,2023-12-18 20:44:00
910.0,910.0,910.0,910.0,153.0,2023-12-19 20:45:00
910.0,910.0,910.0,910.0,223.0,2023-12-20 20:45:00
910.0,928.2,910.0,928.2,305.0,2023-12-21 20:45:00
928.2,928.2,891.6,891.6,25.0,2024-01-02 20:45:00
873.8,873.8,857.3,860.0,195.0,2024-01-03 20:45:00
860.0,894.5,860.0,867.0,310.0,2024-01-04 20:45:00
855.5,860.0,855.5,860.0,125.0,2024-01-07 20:45:00
846.0,861.0,845.0,855.2,130.0,2024-01-08 19:43:49
843.0,876.0,843.0,876.0,121.0,2024-01-09 19:58:44
893.5,893.5,893.5,893.5,25.0,2024-01-10 18:25:32
875.7,909.9,859.0,909.9,140.0,2024-01-14 20:43:13
891.8,891.8,891.8,891.8,250.0,2024-01-16 20:43:00
874.0,980.0,874.0,980.0,600.0,2024-01-17 20:21:14
960.4,970.0,960.4,970.0,140437.0,2024-01-18 16:46:35
950.6,985.0,950.6,985.0,99671.0,2024-01-24 20:23:22
985.0,985.0,886.5,886.5,93.0,2024-01-29 20:20:43
869.0,870.0,869.0,870.0,75.0,2024-01-30 19:51:59
858.0,880.0,856.0,880.0,205.0,2024-01-31 20:39:25
880.0,897.7,880.0,880.0,331.0,2024-02-01 19:15:56
897.6,897.6,897.0,897.0,50.0,2024-02-04 19:25:49
914.0,914.9,900.0,900.0,86.0,2024-02-05 20:38:36
910.0,918.0,899.7,899.7,130.0,2024-02-06 18:50:19
897.0,897.0,897.0,897.0,50.0,2024-02-07 19:30:47
890.0,890.0,890.0,890.0,50.0,2024-02-08 20:31:48
890.0,900.0,890.0,892.0,80.0,2024-02-11 18:59:35
890.1,893.0,890.1,893.0,75.0,2024-02-12 20:40:23
893.0,893.0,893.0,893.0,100.0,2024-02-13 20:43:45
893.2,894.0,893.2,894.0,50.0,2024-02-14 20:32:10
