open,high,low,close,volume,date
30.37,30.56,30.37,30.46,680.0,2011-07-18 05:45:00
30.46,30.66,30.46,30.66,870.0,2011-07-19 05:45:00
30.56,30.75,30.56,30.75,630.0,2011-07-20 05:45:00
30.85,30.94,30.85,30.85,170.0,2011-07-21 05:45:00
30.85,30.85,30.46,30.46,760.0,2011-07-24 05:45:00
30.37,30.37,30.17,30.17,160.0,2011-07-25 05:45:00
30.26,30.37,30.17,30.37,990.0,2011-07-26 05:45:00
30.46,30.66,30.31,30.66,1030.0,2011-07-27 05:45:00
30.56,30.56,30.41,30.46,1080.0,2011-07-28 05:45:00
30.37,30.46,30.26,30.37,460.0,2011-07-31 05:45:00
30.37,30.8,30.37,30.75,3220.0,2011-08-01 05:45:00
30.75,30.75,30.51,30.51,1560.0,2011-08-02 05:45:00
30.41,30.56,30.37,30.56,1230.0,2011-08-03 05:45:00
30.66,30.8,30.6,30.7,2930.0,2011-08-04 05:45:00
30.6,30.75,30.51,30.56,3000.0,2011-08-07 05:45:00
30.46,30.56,30.46,30.51,4610.0,2011-08-08 05:45:00
30.46,30.56,30.46,30.56,810.0,2011-08-09 05:45:00
30.6,30.6,30.37,30.56,1260.0,2011-08-10 05:45:00
30.6,30.7,30.56,30.66,3860.0,2011-08-11 05:45:00
30.7,30.75,30.6,30.75,1950.0,2011-08-15 05:45:00
30.75,30.85,30.66,30.66,1030.0,2011-08-16 05:45:00
30.66,30.8,30.56,30.6,5710.0,2011-08-17 05:45:00
30.56,30.8,30.56,30.8,2140.0,2011-08-18 05:45:00
30.7,30.75,30.6,30.7,1340.0,2011-08-22 05:45:00
30.7,30.85,30.51,30.75,6350.0,2011-08-23 05:45:00
30.75,30.85,30.7,30.8,1700.0,2011-08-24 05:45:00
30.75,30.8,30.56,30.8,820.0,2011-08-25 05:45:00
30.7,30.7,30.51,30.51,250.0,2011-08-28 05:45:00
30.46,30.51,30.41,30.51,680.0,2011-08-29 05:45:00
30.6,30.89,30.6,30.85,770.0,2011-08-30 05:45:00
30.75,30.75,30.66,30.66,150.0,2011-09-01 05:45:00
30.75,30.85,30.66,30.7,5540.0,2011-09-04 05:45:00
30.75,30.8,30.6,30.7,4340.0,2011-09-05 05:45:00
30.75,30.8,30.66,30.66,2900.0,2011-09-06 05:45:00
30.75,30.75,30.7,30.7,1940.0,2011-09-07 05:45:00
30.8,30.85,30.6,30.6,1630.0,2011-09-08 05:45:00
30.6,30.6,30.22,30.46,2270.0,2011-09-12 05:45:00
30.37,30.37,30.26,30.31,310.0,2011-09-13 05:45:00
30.26,30.41,30.26,30.41,720.0,2011-09-14 05:45:00
30.51,30.51,30.22,30.22,470.0,2011-09-15 05:45:00
30.26,30.26,30.17,30.26,330.0,2011-09-18 05:45:00
30.26,30.51,30.26,30.51,160.0,2011-09-19 05:45:00
30.6,30.89,30.6,30.75,1500.0,2011-09-20 05:45:00
30.85,30.85,30.7,30.75,1060.0,2011-09-21 05:45:00
30.85,30.99,30.85,30.89,740.0,2011-09-22 05:45:00
30.99,30.99,30.89,30.89,110.0,2011-09-25 05:45:00
30.89,30.89,30.89,30.89,90.0,2011-09-26 05:45:00
30.8,30.8,30.6,30.6,290.0,2011-09-27 05:45:00
30.7,30.8,30.7,30.75,1760.0,2011-09-29 05:45:00
30.7,30.75,30.7,30.75,60.0,2011-10-09 05:45:00
30.66,30.75,30.66,30.75,340.0,2011-10-10 05:45:00
30.66,30.66,30.56,30.66,120.0,2011-10-12 05:45:00
30.6,30.7,30.6,30.7,1610.0,2011-10-13 05:45:00
30.6,30.8,30.6,30.75,540.0,2011-10-16 05:45:00
30.75,30.75,30.66,30.66,280.0,2011-10-17 05:45:00
30.56,30.6,30.46,30.6,160.0,2011-10-18 05:45:00
30.56,30.56,30.56,30.56,40.0,2011-10-19 05:45:00
30.46,30.75,30.46,30.75,360.0,2011-10-20 05:45:00
30.66,30.75,30.56,30.56,690.0,2011-10-23 05:45:00
30.56,30.7,30.56,30.6,590.0,2011-10-24 05:45:00
30.7,30.7,30.7,30.7,20.0,2011-10-25 05:45:00
30.7,30.7,30.7,30.7,600.0,2011-10-30 05:45:00
30.7,30.7,30.7,30.7,120.0,2011-10-31 05:45:00
30.8,30.8,30.8,30.8,10.0,2011-11-02 05:45:00
30.89,31.09,30.7,30.75,1210.0,2011-11-03 05:45:00
30.85,30.89,30.75,30.85,2090.0,2011-11-06 05:45:00
30.89,30.89,30.8,30.8,260.0,2011-11-08 05:45:00
30.8,30.8,30.7,30.7,1040.0,2011-11-09 05:45:00
30.7,30.7,30.66,30.66,610.0,2011-11-10 05:45:00
30.75,30.99,30.75,30.89,2000.0,2011-11-13 05:45:00
30.94,30.94,30.75,30.85,3150.0,2011-11-14 05:45:00
30.85,30.85,30.75,30.75,550.0,2011-11-15 05:45:00
30.75,30.85,30.7,30.8,910.0,2011-11-16 05:45:00
30.85,30.85,30.7,30.75,2790.0,2011-11-17 05:45:00
30.7,30.8,30.6,30.7,860.0,2011-11-20 05:45:00
30.66,30.75,30.6,30.75,3320.0,2011-11-21 05:45:00
31.63,31.63,31.63,31.63,60.0,2011-11-22 05:45:00
31.57,31.57,31.02,31.02,280.0,2011-11-23 05:45:00
30.91,30.91,30.58,30.58,270.0,2011-11-24 05:45:00
30.47,30.47,30.47,30.47,20.0,2011-11-27 05:45:00
30.37,30.37,30.25,30.25,70.0,2011-11-28 05:45:00
30.15,30.25,30.15,30.25,430.0,2011-11-29 05:45:00
30.25,30.47,30.25,30.47,260.0,2011-12-04 05:45:00
30.53,30.53,30.53,30.53,20.0,2011-12-06 05:45:00
30.53,30.53,30.53,30.53,80.0,2011-12-07 05:45:00
30.58,30.58,30.47,30.47,110.0,2011-12-08 05:45:00
30.58,30.58,30.58,30.58,300.0,2011-12-11 05:45:00
30.53,30.53,30.15,30.15,1310.0,2011-12-13 05:45:00
30.03,30.25,30.03,30.25,600.0,2011-12-14 05:45:00
30.2,30.31,30.2,30.31,290.0,2011-12-15 05:45:00
30.25,30.25,30.09,30.09,1150.0,2011-12-19 05:45:00
30.03,30.03,30.03,30.03,60.0,2011-12-21 05:45:00
30.09,30.09,30.09,30.09,2070.0,2011-12-22 05:45:00
30.2,30.2,30.15,30.15,560.0,2011-12-26 05:45:00
30.09,30.09,29.97,29.97,380.0,2011-12-27 05:45:00
29.87,29.97,29.76,29.97,440.0,2011-12-28 05:45:00
30.09,30.09,29.97,30.09,570.0,2011-12-29 05:45:00
30.03,30.2,30.03,30.2,230.0,2012-01-01 05:45:00
30.15,30.47,30.09,30.42,1060.0,2012-01-02 05:45:00
30.53,30.53,30.37,30.37,640.0,2012-01-03 05:45:00
30.42,30.42,30.15,30.37,1100.0,2012-01-04 05:45:00
30.47,30.47,30.31,30.42,510.0,2012-01-05 05:45:00
30.31,30.37,30.2,30.31,280.0,2012-01-09 05:45:00
30.31,30.31,30.31,30.31,120.0,2012-01-10 05:45:00
30.37,30.37,30.37,30.37,900.0,2012-01-11 05:45:00
30.25,30.25,30.03,30.03,280.0,2012-01-12 05:45:00
30.09,30.2,30.09,30.2,110.0,2012-01-16 05:45:00
30.09,30.42,30.09,30.42,1100.0,2012-01-17 05:45:00
30.42,30.58,30.42,30.58,380.0,2012-01-18 05:45:00
30.64,30.64,30.53,30.58,420.0,2012-01-19 05:45:00
30.53,30.64,30.31,30.31,1550.0,2012-01-22 05:45:00
30.42,30.53,30.42,30.53,160.0,2012-01-23 05:45:00
30.64,30.74,30.64,30.64,150.0,2012-01-25 05:45:00
30.58,30.58,30.25,30.25,100.0,2012-01-26 05:45:00
30.25,30.25,30.25,30.25,80.0,2012-01-29 05:45:00
30.31,30.53,30.31,30.53,360.0,2012-01-31 05:45:00
30.64,30.64,30.47,30.47,620.0,2012-02-01 05:45:00
30.47,30.47,30.15,30.15,600.0,2012-02-02 05:45:00
30.25,30.37,30.25,30.37,620.0,2012-02-05 05:45:00
30.47,30.58,30.31,30.47,1230.0,2012-02-06 05:45:00
30.53,30.53,30.37,30.37,550.0,2012-02-07 05:45:00
30.47,30.47,30.37,30.37,1230.0,2012-02-08 05:45:00
30.37,30.37,30.25,30.25,380.0,2012-02-09 05:45:00
30.37,30.47,30.37,30.47,250.0,2012-02-12 05:45:00
30.37,30.37,30.15,30.31,730.0,2012-02-13 05:45:00
30.31,30.53,30.31,30.31,480.0,2012-02-14 05:45:00
30.31,30.31,30.31,30.31,60.0,2012-02-15 05:45:00
30.42,30.42,30.37,30.42,120.0,2012-02-16 05:45:00
30.47,30.53,30.47,30.53,970.0,2012-02-21 05:45:00
30.42,30.42,30.37,30.37,220.0,2012-02-23 05:45:00
30.47,30.47,30.31,30.42,530.0,2012-02-26 05:45:00
30.37,30.42,30.37,30.42,180.0,2012-02-27 05:45:00
30.53,30.53,30.31,30.42,900.0,2012-02-28 05:45:00
30.53,30.53,30.53,30.53,20.0,2012-02-29 05:45:00
30.53,30.53,30.31,30.42,490.0,2012-03-01 05:45:00
30.31,30.53,30.31,30.47,370.0,2012-03-04 05:45:00
30.42,30.47,30.37,30.37,360.0,2012-03-05 05:45:00
30.37,30.42,30.31,30.31,470.0,2012-03-06 05:45:00
30.25,30.31,30.25,30.31,1000.0,2012-03-11 05:45:00
