open,high,low,close,volume,date
45.22,49.55,45.22,49.55,3265.0,2011-07-17 05:45:00
50.43,50.43,46.52,47.17,1025.0,2011-07-18 05:45:00
46.3,47.17,44.79,47.17,2405.0,2011-07-19 05:45:00
46.3,48.25,45.88,47.6,2562.0,2011-07-20 05:45:00
47.82,49.12,47.17,47.17,1965.0,2011-07-21 05:45:00
47.17,47.17,47.17,47.17,2.0,2011-07-22 05:45:00
47.17,47.17,44.58,45.44,575.0,2011-07-24 05:45:00
44.58,44.58,43.7,43.7,165.0,2011-07-25 05:45:00
44.14,44.14,41.76,41.76,860.0,2011-07-26 05:45:00
41.98,44.58,41.12,44.58,1300.0,2011-07-27 05:45:00
45.22,45.65,44.58,45.22,1845.0,2011-07-28 05:45:00
46.09,46.09,42.41,43.28,2705.0,2011-07-31 05:45:00
42.41,43.5,42.41,43.5,460.0,2011-08-01 05:45:00
43.5,43.5,43.28,43.5,670.0,2011-08-02 05:45:00
43.5,43.7,43.28,43.28,1085.0,2011-08-03 05:45:00
43.05,43.93,43.05,43.05,335.0,2011-08-04 05:45:00
43.05,43.7,41.12,43.05,1510.0,2011-08-07 05:45:00
42.41,42.41,39.37,39.81,805.0,2011-08-09 05:45:00
39.17,41.76,37.86,41.12,6185.0,2011-08-10 05:45:00
40.89,43.7,40.89,43.7,4125.0,2011-08-11 05:45:00
42.84,43.7,42.41,43.28,620.0,2011-08-15 05:45:00
42.84,42.84,41.55,42.84,845.0,2011-08-16 05:45:00
43.28,43.28,41.12,41.76,445.0,2011-08-17 05:45:00
41.76,42.19,41.32,41.98,1955.0,2011-08-18 05:45:00
41.76,42.41,41.76,42.41,130.0,2011-08-22 05:45:00
41.76,42.19,41.12,41.55,1660.0,2011-08-23 05:45:00
41.32,41.32,38.95,41.32,1880.0,2011-08-24 05:45:00
40.68,40.89,40.03,40.89,715.0,2011-08-25 05:45:00
40.25,40.89,39.37,40.89,845.0,2011-08-28 05:45:00
40.25,40.25,39.59,40.25,420.0,2011-08-29 05:45:00
40.89,41.55,40.89,41.55,95.0,2011-08-30 05:45:00
40.89,40.89,40.46,40.46,375.0,2011-09-01 05:45:00
40.89,41.55,40.89,41.55,845.0,2011-09-04 05:45:00
41.55,41.55,40.46,40.46,675.0,2011-09-05 05:45:00
39.81,40.03,38.95,38.95,705.0,2011-09-06 05:45:00
39.37,39.37,38.31,38.31,425.0,2011-09-07 05:45:00
37.66,38.51,37.0,38.31,510.0,2011-09-08 05:45:00
38.31,38.31,37.66,37.86,380.0,2011-09-12 05:45:00
37.66,37.66,35.05,35.5,1860.0,2011-09-13 05:45:00
35.5,35.5,34.19,35.27,390.0,2011-09-14 05:45:00
35.27,35.27,34.83,34.83,800.0,2011-09-15 05:45:00
34.83,36.77,34.83,35.91,480.0,2011-09-18 05:45:00
35.91,37.0,35.91,36.57,795.0,2011-09-19 05:45:00
37.22,37.43,36.77,36.77,245.0,2011-09-20 05:45:00
36.77,37.66,36.77,37.66,1035.0,2011-09-21 05:45:00
37.0,38.95,36.36,38.95,245.0,2011-09-22 05:45:00
39.59,39.59,39.59,39.59,135.0,2011-09-25 05:45:00
38.95,38.95,38.95,38.95,770.0,2011-09-26 05:45:00
38.95,38.95,37.43,37.86,760.0,2011-09-27 05:45:00
38.51,39.37,38.08,38.95,1995.0,2011-09-29 05:45:00
38.73,38.73,38.08,38.08,200.0,2011-10-02 05:45:00
36.59,36.59,35.91,35.91,370.0,2011-10-13 05:45:00
35.91,35.91,35.69,35.69,225.0,2011-10-16 05:45:00
35.69,35.69,35.01,35.01,700.0,2011-10-17 05:45:00
35.01,35.01,34.34,35.01,2760.0,2011-10-18 05:45:00
35.01,36.37,35.01,35.01,1495.0,2011-10-19 05:45:00
35.01,35.01,34.79,34.79,2375.0,2011-10-20 05:45:00
34.57,35.01,33.88,34.11,1710.0,2011-10-23 05:45:00
34.11,34.34,34.11,34.34,80.0,2011-10-24 05:45:00
35.01,35.01,35.01,35.01,150.0,2011-10-25 05:45:00
35.69,36.37,35.69,36.37,960.0,2011-10-30 05:45:00
36.82,37.49,36.82,37.49,80.0,2011-10-31 05:45:00
38.18,41.12,38.18,41.12,290.0,2011-11-02 05:45:00
41.79,42.46,38.63,39.98,3015.0,2011-11-03 05:45:00
39.98,40.66,39.98,40.44,295.0,2011-11-06 05:45:00
39.76,39.76,38.4,38.85,350.0,2011-11-08 05:45:00
39.54,40.66,38.85,38.85,555.0,2011-11-09 05:45:00
39.32,39.32,38.4,38.4,393.0,2011-11-10 05:45:00
38.18,38.18,36.59,37.49,1152.0,2011-11-13 05:45:00
37.49,37.49,36.37,36.59,2255.0,2011-11-14 05:45:00
36.37,36.37,35.91,36.13,665.0,2011-11-15 05:45:00
36.59,36.82,36.59,36.82,130.0,2011-11-16 05:45:00
37.28,37.72,36.37,36.59,3455.0,2011-11-17 05:45:00
36.59,37.28,36.59,36.59,625.0,2011-11-20 05:45:00
36.37,38.4,36.37,37.72,455.0,2011-11-21 05:45:00
37.05,37.28,37.05,37.28,170.0,2011-11-22 05:45:00
37.28,37.28,36.59,36.82,235.0,2011-11-23 05:45:00
36.59,36.59,36.37,36.37,145.0,2011-11-24 05:45:00
36.59,36.59,35.69,36.37,860.0,2011-11-28 05:45:00
35.91,36.59,35.91,36.59,1125.0,2011-11-29 05:45:00
36.59,36.82,35.91,36.82,3110.0,2011-11-30 05:45:00
37.49,37.49,36.82,37.28,2120.0,2011-12-01 05:45:00
37.49,37.49,37.49,37.49,420.0,2011-12-04 05:45:00
37.49,37.49,36.82,37.28,1672.0,2011-12-05 05:45:00
37.28,37.95,37.28,37.28,1430.0,2011-12-06 05:45:00
37.28,37.28,36.59,36.82,800.0,2011-12-07 05:45:00
36.82,37.05,36.82,37.05,180.0,2011-12-08 05:45:00
36.37,37.49,36.37,37.28,540.0,2011-12-11 05:45:00
36.59,36.59,36.59,36.59,60.0,2011-12-12 05:45:00
35.91,36.13,34.79,35.23,1195.0,2011-12-13 05:45:00
35.91,35.91,35.23,35.91,1170.0,2011-12-14 05:45:00
35.91,36.59,35.48,36.59,480.0,2011-12-15 05:45:00
37.28,37.28,36.59,36.59,285.0,2011-12-18 05:45:00
36.82,37.49,36.82,37.49,335.0,2011-12-20 05:45:00
37.28,37.28,36.82,36.82,315.0,2011-12-26 05:45:00
36.13,37.05,36.13,37.05,540.0,2011-12-27 05:45:00
36.37,36.37,35.69,35.69,710.0,2011-12-28 05:45:00
36.13,36.82,35.91,36.82,860.0,2011-12-29 05:45:00
36.13,38.18,35.69,38.18,545.0,2012-01-01 05:45:00
38.4,39.54,37.95,39.54,1920.0,2012-01-02 05:45:00
40.21,40.88,39.98,40.66,200.0,2012-01-03 05:45:00
39.98,39.98,39.98,39.98,20.0,2012-01-04 05:45:00
39.32,39.32,37.49,37.95,875.0,2012-01-08 05:45:00
37.95,38.4,37.95,38.18,1140.0,2012-01-09 05:45:00
38.85,38.85,37.49,37.49,325.0,2012-01-10 05:45:00
37.95,38.85,37.95,38.63,780.0,2012-01-11 05:45:00
38.18,38.18,37.49,37.49,1240.0,2012-01-12 05:45:00
36.82,37.28,36.82,36.82,1045.0,2012-01-16 05:45:00
36.82,37.49,36.13,37.28,351.0,2012-01-17 05:45:00
37.28,37.72,37.28,37.72,300.0,2012-01-18 05:45:00
37.05,37.05,37.05,37.05,200.0,2012-01-22 05:45:00
36.59,36.82,36.59,36.82,135.0,2012-01-23 05:45:00
36.37,36.37,36.37,36.37,60.0,2012-01-25 05:45:00
36.37,36.82,36.13,36.82,525.0,2012-01-29 05:45:00
36.13,36.82,36.13,36.59,495.0,2012-01-31 05:45:00
36.59,37.28,36.59,37.28,75.0,2012-02-01 05:45:00
36.59,36.59,35.48,36.13,1296.0,2012-02-02 05:45:00
36.82,39.54,36.82,39.54,50.0,2012-09-09 05:45:00
40.21,43.36,40.21,43.36,254.0,2012-09-10 05:45:00
44.06,47.67,44.06,47.67,376.0,2012-09-11 05:45:00
48.57,52.41,48.57,52.41,1131.0,2012-09-12 05:45:00
53.32,57.6,53.32,57.6,27430.0,2012-09-13 05:45:00
57.6,57.6,57.6,57.6,5.0,2012-09-14 05:45:00
56.71,58.72,54.9,58.72,9406.0,2012-09-16 05:45:00
57.83,61.0,57.16,61.0,6296.0,2012-09-17 05:45:00
59.87,62.57,58.72,62.11,8686.0,2012-09-18 05:45:00
61.0,61.2,58.97,61.0,4336.0,2012-09-19 05:45:00
60.09,60.31,58.72,58.72,11416.0,2012-09-20 05:45:00
57.6,57.6,55.36,55.8,5384.0,2012-09-23 05:45:00
56.02,56.46,55.36,56.02,9768.0,2012-09-24 05:45:00
56.25,56.25,55.12,56.02,4830.0,2012-09-25 05:45:00
56.02,56.25,55.12,55.8,7227.0,2012-09-26 05:45:00
56.25,56.25,54.23,55.36,4600.0,2012-09-27 05:45:00
55.36,55.8,53.75,55.12,7236.0,2012-09-30 05:45:00
55.12,55.36,54.23,54.9,5064.0,2012-10-01 05:45:00
54.66,56.02,54.66,56.02,2854.0,2012-10-02 05:45:00
56.71,56.71,55.12,56.02,3424.0,2012-10-03 05:45:00
56.02,56.46,55.12,56.46,3162.0,2012-10-04 05:45:00
56.46,56.46,56.46,56.46,7.0,2012-10-05 05:45:00
56.46,57.6,56.02,56.93,6485.0,2012-10-07 05:45:00
55.8,57.16,55.36,56.93,7223.0,2012-10-08 05:45:00
56.46,57.83,56.46,57.83,3945.0,2012-10-09 05:45:00
57.6,57.83,56.71,57.16,1964.0,2012-10-10 05:45:00
56.71,56.93,56.46,56.71,3846.0,2012-10-11 05:45:00
56.71,56.71,56.71,56.71,4.0,2012-10-12 05:45:00
56.71,57.37,56.71,57.37,1029.0,2012-10-14 05:45:00
56.71,57.37,56.25,56.93,1589.0,2012-10-15 05:45:00
55.8,58.72,55.8,58.72,2975.0,2012-10-17 05:45:00
59.87,60.09,58.72,60.09,3263.0,2012-10-18 05:45:00
59.41,62.11,59.41,61.0,2478.0,2012-10-30 05:45:00
