open,high,low,close,volume,date
105.33,106.67,105.33,106.67,20.0,2015-11-24 05:45:00
108.0,113.33,108.0,113.33,50.0,2015-11-25 05:45:00
114.67,121.33,114.67,121.33,1000.0,2015-11-26 05:45:00
122.67,130.0,122.67,130.0,1020.0,2015-11-29 05:45:00
131.33,139.33,131.33,139.33,60.0,2015-11-30 05:45:00
141.33,149.33,141.33,149.33,70.0,2015-12-01 05:45:00
151.33,160.67,151.33,160.67,100.0,2015-12-02 05:45:00
162.67,173.33,162.67,173.33,5701.0,2015-12-03 05:45:00
176.0,187.33,176.0,187.33,1020.0,2015-12-06 05:45:00
190.0,202.67,190.0,202.67,420.0,2015-12-07 05:45:00
206.0,219.6,206.0,219.6,1368.0,2015-12-08 05:45:00
222.67,238.0,222.67,238.0,5511.0,2015-12-09 05:45:00
242.0,258.0,242.0,258.0,974.0,2015-12-10 05:45:00
262.0,280.0,262.0,280.0,15750.0,2015-12-13 05:45:00
284.67,304.67,284.67,304.67,9670.0,2015-12-14 05:45:00
306.67,331.33,306.67,331.33,82044.0,2015-12-15 05:45:00
336.67,353.33,302.0,302.0,36004.0,2015-12-16 05:45:00
296.67,296.67,276.67,278.0,11833.0,2015-12-17 05:45:00
273.33,273.33,254.0,254.0,2909.0,2015-12-20 05:45:00
250.0,250.0,233.33,233.33,3662.0,2015-12-21 05:45:00
232.0,233.33,225.33,232.67,62224.0,2015-12-22 05:45:00
230.0,252.0,228.67,252.0,33837.0,2015-12-23 05:45:00
254.0,273.33,253.33,254.0,19474.0,2015-12-24 05:45:00
258.0,263.33,255.33,259.33,4457.0,2015-12-27 05:45:00
259.33,259.33,255.33,255.33,2183.0,2015-12-28 05:45:00
256.67,257.33,252.67,253.33,2338.0,2015-12-29 05:45:00
253.33,254.0,246.67,246.67,7697.0,2015-12-31 05:45:00
250.67,250.67,242.67,242.67,9153.0,2016-01-03 05:45:00
242.0,242.0,232.67,233.33,9497.0,2016-01-04 05:45:00
233.33,236.67,231.33,234.0,4650.0,2016-01-05 05:45:00
230.0,244.0,226.67,239.33,17122.0,2016-01-06 05:45:00
240.0,244.67,238.0,238.0,7164.0,2016-01-07 05:45:00
240.67,242.67,233.33,236.67,6551.0,2016-01-10 05:45:00
233.33,238.67,233.33,238.67,10524.0,2016-01-11 05:45:00
238.67,249.33,234.67,245.33,23134.0,2016-01-12 05:45:00
249.33,261.33,249.33,261.33,1985.0,2016-01-13 05:45:00
265.33,269.33,265.33,266.67,1850.0,2016-01-18 05:45:00
271.33,284.0,266.67,276.67,5750.0,2016-01-19 05:45:00
281.33,288.0,280.0,280.0,2460.0,2016-01-20 05:45:00
278.0,278.0,273.33,275.33,2100.0,2016-01-21 05:45:00
270.67,274.0,270.67,273.33,3200.0,2016-01-24 05:45:00
278.0,278.0,273.33,273.33,270.0,2016-01-25 05:45:00
270.0,270.0,250.0,258.0,38454.0,2016-01-26 05:45:00
262.0,280.0,262.0,280.0,12939.0,2016-01-27 05:45:00
284.67,289.33,282.67,282.67,17649.0,2016-01-28 05:45:00
