open,high,low,close,volume,date
78.24,78.24,78.24,78.24,146.0,2011-07-20 05:45:00
77.41,77.41,76.57,76.57,110.0,2012-03-18 05:45:00
75.74,75.74,75.74,75.74,10.0,2012-03-20 05:45:00
76.57,77.12,76.57,77.12,146.0,2012-05-22 05:45:00
76.29,76.29,76.29,76.29,50.0,2012-07-02 05:45:00
75.45,75.45,75.45,75.45,50.0,2012-07-18 05:45:00
74.62,74.62,74.34,74.34,240.0,2012-07-31 05:45:00
73.51,73.51,73.51,73.51,61.0,2012-10-03 05:45:00
72.67,72.67,72.67,72.67,100.0,2012-10-10 05:45:00
71.83,71.83,71.83,71.83,1428.0,2012-11-04 05:45:00
72.67,72.67,72.67,72.67,387.0,2012-12-03 05:45:00
71.83,71.83,71.56,71.56,186.0,2012-12-04 05:45:00
70.72,70.72,69.33,69.33,3481.0,2012-12-05 05:45:00
68.77,68.77,65.44,65.44,17939.0,2012-12-06 05:45:00
67.1,67.1,67.1,67.1,73.0,2013-01-27 05:45:00
67.1,67.1,67.1,67.1,1106.0,2013-03-13 05:45:00
66.51,66.51,66.51,66.51,2.0,2013-03-22 05:45:00
66.51,66.51,66.51,66.51,1190.0,2013-04-30 05:45:00
66.51,66.51,66.51,66.51,203.0,2013-05-27 05:45:00
65.9,66.51,64.7,64.7,1233.0,2013-05-30 05:45:00
64.11,64.11,62.3,62.3,709.0,2013-06-05 05:45:00
62.91,62.91,62.3,62.3,87.0,2013-06-10 05:45:00
61.7,61.7,61.1,61.1,535.0,2013-06-12 05:45:00
60.5,60.5,60.5,60.5,446.0,2013-07-29 05:45:00
59.9,60.2,59.0,59.0,756.0,2013-09-02 05:45:00
59.6,59.6,59.0,59.6,1562.0,2013-09-03 05:45:00
60.2,60.2,60.2,60.2,198.0,2013-09-05 05:45:00
60.8,60.8,60.8,60.8,500.0,2013-09-09 05:45:00
60.8,60.8,60.8,60.8,40.0,2013-09-10 05:45:00
60.8,60.8,60.2,60.2,1385.0,2013-09-11 05:45:00
