open,high,low,close,volume,date
327.02,327.02,327.02,327.02,22.0,2018-02-08 05:45:00
327.02,327.02,323.57,323.57,70.0,2018-02-11 05:45:00
323.57,323.57,317.71,317.71,86.0,2018-02-12 05:45:00
312.23,312.23,312.23,312.23,28.0,2018-02-14 05:45:00
317.9,335.12,317.9,335.12,47.0,2018-02-15 05:45:00
335.12,341.19,327.02,327.02,199.0,2018-02-18 20:45:00
320.94,320.94,315.07,315.07,128.0,2018-02-20 20:45:00
309.4,311.84,303.73,303.73,202.0,2018-02-21 20:45:00
301.71,306.78,301.71,306.78,87.0,2018-02-22 20:45:00
306.56,306.78,301.1,295.63,107.0,2018-02-25 20:45:00
296.24,296.64,294.63,296.64,235.0,2018-02-26 20:45:00
291.58,297.05,286.93,297.05,567.0,2018-02-27 20:45:00
292.59,292.59,291.58,291.79,73.0,2018-02-28 20:45:00
286.32,286.32,286.32,286.32,10.0,2018-03-04 20:45:00
281.46,281.46,266.28,267.28,231.0,2018-03-05 20:45:00
262.42,262.42,253.11,253.11,110.0,2018-03-06 20:45:00
257.56,271.74,257.56,266.47,192.0,2018-03-07 20:45:00
271.34,266.47,247.85,248.05,373.0,2018-03-11 20:45:00
248.05,248.25,236.1,244.61,331.0,2018-03-12 20:45:00
243.59,247.85,240.96,246.02,103.0,2018-03-13 20:45:00
243.38,248.05,243.38,248.05,116.0,2018-03-14 20:45:00
252.5,252.5,252.5,252.5,17.0,2018-03-15 20:45:00
256.15,256.15,255.74,251.48,153.0,2018-03-18 20:45:00
256.15,256.15,251.48,251.48,208.0,2018-03-19 20:45:00
253.11,253.11,238.32,250.08,1609.0,2018-03-20 20:45:00
246.43,246.43,246.43,246.43,16.0,2018-03-21 20:45:00
241.98,246.02,233.88,246.02,519.0,2018-03-22 20:45:00
241.57,241.57,241.57,237.31,62.0,2018-03-26 20:45:00
237.31,244.4,233.07,244.21,135.0,2018-03-27 20:45:00
240.15,240.15,225.79,227.79,1104.0,2018-03-28 20:45:00
229.82,229.82,217.88,225.79,311.0,2018-03-29 20:45:00
225.79,227.79,220.11,220.31,144.0,2018-04-01 20:45:00
220.11,220.11,217.68,217.68,146.0,2018-04-02 20:45:00
217.68,220.71,215.86,216.66,1267.0,2018-04-03 20:45:00
219.7,231.45,219.7,227.39,71.0,2018-04-04 20:45:00
227.6,235.49,227.39,231.45,293.0,2018-04-05 20:45:00
235.49,252.09,235.49,245.62,734.0,2018-04-08 20:45:00
249.87,254.32,242.17,242.17,2452.0,2018-04-09 20:45:00
237.92,237.92,233.88,237.92,87.0,2018-04-11 20:45:00
242.17,242.17,229.82,233.88,489.0,2018-04-12 20:45:00
233.88,235.89,230.03,230.03,81.0,2018-04-15 20:45:00
231.65,250.68,231.65,250.68,774.0,2018-04-16 20:45:00
250.68,273.36,255.13,273.36,538.0,2018-04-17 20:45:00
278.21,293.4,274.38,293.4,1427.0,2018-04-18 20:45:00
296.45,296.45,285.91,285.91,260.0,2018-04-19 20:45:00
285.91,291.79,280.85,291.79,793.0,2018-04-22 20:45:00
297.05,297.05,286.32,286.32,333.0,2018-04-23 20:45:00
291.37,291.37,286.32,286.32,291.0,2018-04-24 20:45:00
291.37,292.19,286.12,286.12,480.0,2018-04-25 20:45:00
290.57,290.57,266.28,266.28,384.0,2018-04-26 20:45:00
261.4,270.72,261.4,270.72,58.0,2018-04-29 20:45:00
270.72,268.09,265.87,266.28,87.0,2018-05-02 20:45:00
271.13,285.91,271.13,278.21,534.0,2018-05-03 20:45:00
283.28,286.53,281.46,282.27,352.0,2018-05-06 20:45:00
287.33,287.54,279.44,282.47,343.0,2018-05-07 20:45:00
282.47,284.49,278.42,284.49,599.0,2018-05-08 20:45:00
284.49,286.32,286.32,286.32,40.0,2018-05-09 20:45:00
286.32,288.54,283.48,288.54,1153.0,2018-05-10 20:45:00
284.49,286.53,282.67,284.49,346.0,2018-05-14 20:45:00
284.49,284.49,284.49,284.49,20.0,2018-05-15 20:45:00
289.55,289.55,286.53,286.53,69.0,2018-05-16 20:45:00
282.67,282.67,282.47,282.47,32.0,2018-05-17 20:45:00
277.41,277.41,277.41,277.41,75.0,2018-05-20 20:45:00
277.41,292.59,274.97,292.59,156.0,2018-05-21 20:45:00
292.59,308.59,292.39,308.59,918.0,2018-05-22 20:45:00
306.78,308.18,298.87,308.18,482.0,2018-05-23 20:45:00
308.18,304.95,302.92,302.92,62.0,2018-05-24 20:45:00
302.92,308.38,297.46,306.78,280.0,2018-05-28 20:45:00
312.44,312.44,295.63,296.64,421.0,2018-05-29 20:45:00
291.18,306.78,291.18,297.66,447.0,2018-05-30 20:45:00
292.59,293.2,285.91,290.97,371.0,2018-05-31 20:45:00
285.71,285.71,281.05,281.05,49.0,2018-06-03 20:45:00
275.99,277.21,261.62,262.83,494.0,2018-06-04 20:45:00
267.49,277.21,267.49,267.49,170.0,2018-06-06 20:45:00
267.28,267.28,260.2,266.28,534.0,2018-06-07 20:45:00
266.28,266.28,256.75,256.75,144.0,2018-06-10 20:45:00
257.16,265.26,256.15,261.21,304.0,2018-06-11 20:45:00
257.16,265.87,252.09,265.87,846.0,2018-06-12 20:45:00
261.21,268.09,256.75,262.22,375.0,2018-06-13 20:45:00
272.96,272.96,256.75,261.4,142.0,2018-06-14 20:45:00
258.18,258.18,256.75,258.18,77.0,2018-06-17 20:45:00
259.18,263.84,259.18,263.84,317.0,2018-06-18 20:45:00
267.28,267.28,262.42,262.42,30.0,2018-06-19 20:45:00
257.96,259.18,257.96,259.18,41.0,2018-06-20 20:45:00
262.22,262.22,256.15,256.15,130.0,2018-06-21 20:45:00
254.73,254.73,254.73,254.73,19.0,2018-06-24 20:45:00
255.13,255.13,255.13,255.13,19.0,2018-06-25 20:45:00
254.73,256.15,250.27,250.27,195.0,2018-06-26 20:45:00
254.73,254.73,254.73,254.73,100.0,2018-06-27 20:45:00
258.78,258.78,257.16,257.16,35.0,2018-06-28 20:45:00
254.12,254.32,254.12,254.12,90.0,2018-07-01 20:45:00
250.08,254.12,250.08,254.12,115.0,2018-07-02 20:45:00
250.08,252.09,250.08,251.89,179.0,2018-07-03 20:45:00
252.09,258.58,252.09,256.15,111.0,2018-07-04 20:45:00
260.2,267.89,255.54,267.89,616.0,2018-07-05 20:45:00
272.75,272.75,272.75,267.89,55.0,2018-07-08 20:45:00
267.89,267.89,263.03,260.2,88.0,2018-07-09 20:45:00
258.37,260.2,258.37,258.37,101.0,2018-07-10 20:45:00
263.03,276.19,263.03,272.14,330.0,2018-07-11 20:45:00
277.0,286.53,266.47,266.47,247.0,2018-07-12 20:45:00
265.26,266.28,260.2,266.28,172.0,2018-07-15 20:45:00
271.13,275.99,266.28,275.99,144.0,2018-07-16 20:45:00
280.85,285.51,280.45,280.45,187.0,2018-07-17 20:45:00
280.45,280.45,270.52,274.38,53.0,2018-07-18 20:45:00
266.47,266.47,265.66,265.66,23.0,2018-07-19 20:45:00
261.21,261.21,261.0,261.21,29.0,2018-07-22 20:45:00
259.99,261.62,256.96,261.62,88.0,2018-07-23 20:45:00
266.28,271.13,266.28,266.28,120.0,2018-07-24 20:45:00
261.4,261.4,261.4,261.4,118.0,2018-07-25 20:45:00
256.96,256.96,255.13,255.13,158.0,2018-07-26 20:45:00
259.58,259.58,254.93,254.93,45.0,2018-07-29 20:45:00
250.48,250.48,250.48,246.02,159.0,2018-07-30 20:45:00
252.09,252.09,252.09,252.09,19.0,2018-07-31 20:45:00
