open,high,low,close,volume,date
10.0,10.0,9.0,10.0,11380.0,2024-01-14 05:45:00
9.9,10.1,9.0,9.03,12850.0,2024-01-16 20:38:50
8.9,9.2,8.9,9.1,9250.0,2024-01-17 20:42:11
9.0,9.1,8.6,8.9,6460.0,2024-01-18 20:40:28
8.73,8.9,8.56,8.8,11010.0,2024-01-21 20:39:58
8.97,8.97,8.63,8.71,3500.0,2024-01-22 20:41:41
8.6,8.8,8.6,8.7,8700.0,2024-01-23 20:39:20
8.6,9.04,8.6,8.9,6500.0,2024-01-24 20:36:28
8.74,8.97,8.61,8.83,4100.0,2024-01-25 20:32:19
8.66,9.0,8.6,8.76,5600.0,2024-01-28 20:38:57
8.61,8.89,8.61,8.76,3900.0,2024-01-29 20:35:02
8.76,8.82,8.63,8.7,12830.0,2024-01-30 20:38:33
8.6,8.87,8.6,8.87,4050.0,2024-01-31 20:44:35
8.71,8.8,8.71,8.8,600.0,2024-02-01 20:41:19
8.65,8.97,8.65,8.8,3800.0,2024-02-04 20:43:46
8.63,8.87,8.63,8.8,3200.0,2024-02-05 20:19:54
8.66,8.88,8.66,8.71,1400.0,2024-02-06 20:39:52
8.6,8.9,8.58,8.76,2750.0,2024-02-07 20:34:40
8.76,8.93,8.66,8.7,2500.0,2024-02-08 20:43:07
8.7,9.09,8.58,8.74,2550.0,2024-02-11 20:30:06
8.74,8.74,8.62,8.7,3500.0,2024-02-12 20:29:01
8.7,8.87,8.68,8.87,1400.0,2024-02-13 20:43:57
8.8,9.0,8.8,9.0,6510.0,2024-02-14 20:40:36
8.82,8.9,8.72,8.76,207700.0,2024-02-15 20:13:55
8.76,9.63,8.76,8.94,42720.0,2024-02-18 20:17:04
9.0,9.15,8.85,9.0,7750.0,2024-02-20 20:25:12
8.82,8.82,8.63,8.63,2300.0,2024-02-21 20:40:07
8.46,9.01,8.46,8.83,108900.0,2024-02-22 20:43:50
8.67,8.83,8.67,8.71,1000.0,2024-02-25 20:44:51
8.7,8.7,8.6,8.6,1900.0,2024-02-26 20:24:18
8.6,9.45,8.43,9.02,4710.0,2024-02-27 20:37:39
8.84,8.84,8.68,8.8,10900.0,2024-02-28 20:43:47
8.63,8.63,8.46,8.54,2200.0,2024-02-29 20:15:43
8.54,9.04,8.4,8.55,4500.0,2024-03-03 19:47:38
8.38,8.94,8.3,8.94,53000.0,2024-03-05 20:40:29
8.8,9.35,8.8,9.35,650.0,2024-03-06 18:14:51
9.17,9.17,8.99,8.99,300.0,2024-03-07 20:35:05
8.95,9.88,8.65,9.34,17300.0,2024-03-10 18:21:58
9.34,9.65,9.1,9.1,1460.0,2024-03-12 20:44:38
8.92,9.83,8.86,8.86,6060.0,2024-03-13 20:41:02
8.8,9.21,8.8,9.03,2000.0,2024-03-14 20:42:38
9.21,9.48,8.5,8.77,2200.0,2024-03-17 20:44:57
8.61,9.18,8.56,8.82,32200.0,2024-03-18 20:44:58
8.7,8.93,8.55,8.93,2000.0,2024-03-19 20:38:27
8.93,8.97,8.8,8.81,1500.0,2024-03-20 20:35:06
8.7,8.87,8.64,8.75,11800.0,2024-03-21 20:41:12
8.92,9.09,8.74,8.74,500.0,2024-03-25 20:19:36
8.7,8.96,8.6,8.96,2300.0,2024-03-26 20:43:01
8.79,9.85,8.79,9.85,2000.0,2024-03-27 20:38:31
9.66,9.66,8.87,9.18,21600.0,2024-03-28 20:32:35
9.01,9.36,8.85,8.85,9150.0,2024-03-31 20:25:44
8.68,9.0,8.52,9.0,2450.0,2024-04-01 20:40:54
8.85,9.0,8.82,8.86,650.0,2024-04-02 20:39:48
8.8,8.81,8.56,8.81,3150.0,2024-04-03 20:44:23
8.8,8.84,8.66,8.69,1800.0,2024-04-04 20:20:47
8.52,8.68,8.52,8.68,2100.0,2024-04-07 20:39:30
8.54,9.09,8.54,9.09,1800.0,2024-04-09 20:24:27
8.92,9.08,8.67,9.08,18500.0,2024-04-10 20:44:37
9.07,9.07,8.51,8.68,3720.0,2024-04-14 20:37:00
8.6,8.61,8.51,8.61,2400.0,2024-04-15 20:17:35
8.51,8.78,8.51,8.78,1100.0,2024-04-16 20:33:27
8.61,8.63,8.51,8.63,1600.0,2024-04-18 20:31:39
8.5,8.67,8.47,8.67,700.0,2024-04-21 20:44:37
8.67,8.67,8.52,8.6,3600.0,2024-04-22 20:40:56
8.55,8.55,8.4,8.5,1100.0,2024-04-24 20:01:27
8.67,8.84,8.51,8.51,6200.0,2024-04-25 20:19:41
8.4,8.87,8.36,8.87,36100.0,2024-04-28 20:43:25
8.7,8.87,8.55,8.83,1900.0,2024-04-29 20:43:29
8.66,9.24,8.49,9.24,4120.0,2024-04-30 20:44:22
9.06,9.06,8.7,9.0,37131.0,2024-05-02 19:18:08
8.82,8.82,8.55,8.65,1800.0,2024-05-05 20:40:27
8.65,8.65,8.6,8.6,2490.0,2024-05-06 20:25:49
8.7,8.78,8.6,8.78,1200.0,2024-05-07 20:39:14
8.95,9.0,8.82,8.99,40900.0,2024-05-08 20:22:58
8.82,8.83,8.65,8.82,8000.0,2024-05-09 20:27:00
8.65,8.77,8.55,8.7,64469.0,2024-05-12 20:07:24
8.7,8.7,8.62,8.7,1200.0,2024-05-13 20:25:22
8.6,8.71,8.6,8.71,1300.0,2024-05-14 19:44:39
8.55,8.86,8.55,8.7,30800.0,2024-05-15 20:42:06
8.7,8.87,8.53,8.75,11200.0,2024-05-16 20:43:40
8.58,8.85,8.52,8.63,22661.0,2024-05-19 20:27:36
8.63,8.87,8.6,8.7,1250.0,2024-05-20 20:42:13
8.53,8.61,8.53,8.61,1700.0,2024-05-21 20:44:33
8.5,8.7,8.5,8.66,800.0,2024-05-22 19:30:27
8.5,8.69,8.5,8.65,2850.0,2024-05-26 20:15:19
8.61,9.15,8.61,9.15,21100.0,2024-05-27 20:44:09
8.97,9.06,8.97,9.01,1900.0,2024-05-29 19:51:23
8.85,9.19,8.85,9.19,62019.0,2024-05-30 20:38:02
9.1,9.1,8.93,8.97,800.0,2024-06-02 20:21:05
8.97,8.97,8.97,8.97,500.0,2024-06-03 19:39:00
