open,high,low,close,volume,date
82.79,84.25,82.79,84.25,444.0,2011-07-18 05:45:00
85.71,87.98,85.71,87.31,554.0,2011-07-19 05:45:00
88.92,91.98,87.98,89.98,2810.0,2011-07-20 05:45:00
89.98,91.57,89.98,90.11,1159.0,2011-07-21 05:45:00
89.98,89.98,87.31,87.31,783.0,2011-07-24 05:45:00
86.78,87.31,85.98,87.31,499.0,2011-07-25 05:45:00
86.65,86.65,84.38,85.98,782.0,2011-07-26 05:45:00
86.92,87.58,85.98,87.31,680.0,2011-07-27 05:45:00
86.65,88.38,86.25,88.38,1697.0,2011-07-28 05:45:00
89.31,89.71,88.11,88.65,632.0,2011-08-01 05:45:00
87.31,87.31,85.31,85.31,867.0,2011-08-02 05:45:00
86.92,88.52,86.92,88.52,261.0,2011-08-03 05:45:00
88.11,88.65,87.98,87.98,288.0,2011-08-04 05:45:00
87.98,87.98,86.38,87.98,1462.0,2011-08-07 05:45:00
86.78,86.78,85.04,85.31,175.0,2011-08-08 05:45:00
83.98,83.98,82.52,82.65,997.0,2011-08-09 05:45:00
83.31,86.92,83.31,86.92,375.0,2011-08-10 05:45:00
88.38,88.38,88.38,88.38,15.0,2011-08-11 05:45:00
88.65,88.65,88.24,88.38,275.0,2011-08-15 05:45:00
86.78,86.78,86.78,86.78,100.0,2011-08-16 05:45:00
85.18,85.18,84.65,84.65,469.0,2011-08-17 05:45:00
85.44,87.05,85.44,87.05,124.0,2011-08-18 05:45:00
86.65,86.65,85.04,85.04,257.0,2011-08-22 05:45:00
84.65,84.65,84.65,84.65,104.0,2011-08-23 05:45:00
84.65,85.98,84.65,85.85,827.0,2011-08-24 05:45:00
86.65,86.65,85.85,85.85,646.0,2011-08-25 05:45:00
84.65,84.65,83.05,83.05,135.0,2011-08-28 05:45:00
81.57,84.52,81.57,84.52,761.0,2011-08-29 05:45:00
85.98,86.38,85.31,86.38,226.0,2011-08-30 05:45:00
85.71,87.18,85.71,87.18,136.0,2011-09-01 05:45:00
85.98,85.98,85.04,85.04,607.0,2011-09-04 05:45:00
84.65,84.92,84.65,84.92,228.0,2011-09-05 05:45:00
83.31,83.31,81.97,81.97,378.0,2011-09-12 05:45:00
80.65,80.65,79.44,79.44,642.0,2011-09-13 05:45:00
79.44,79.44,77.31,77.31,2154.0,2011-09-14 05:45:00
77.97,79.44,77.97,77.97,497.0,2011-09-15 05:45:00
76.51,76.51,75.17,75.98,1039.0,2011-09-18 05:45:00
74.64,74.64,72.23,72.64,762.0,2011-09-19 05:45:00
73.17,73.97,73.17,73.97,252.0,2011-09-20 05:45:00
75.31,75.31,75.31,75.31,198.0,2011-09-22 05:45:00
76.64,82.38,76.64,82.38,606.0,2011-09-25 05:45:00
81.31,81.97,80.65,80.65,942.0,2011-09-26 05:45:00
80.65,83.98,80.65,83.98,1456.0,2011-09-27 05:45:00
83.31,83.31,83.31,83.31,80.0,2011-09-29 05:45:00
83.31,83.31,81.84,81.84,333.0,2011-10-09 05:45:00
83.31,83.31,83.31,83.31,12.0,2011-10-10 05:45:00
83.44,84.78,83.44,83.44,326.0,2011-10-12 05:45:00
83.31,83.98,83.31,83.98,216.0,2011-10-13 05:45:00
82.52,82.52,81.31,81.31,146.0,2011-10-16 05:45:00
80.65,80.65,80.65,80.65,101.0,2011-10-17 05:45:00
82.11,83.31,82.11,83.05,75.0,2011-10-18 05:45:00
84.52,84.52,81.97,81.97,277.0,2011-10-19 05:45:00
80.65,80.65,80.51,80.51,122.0,2011-10-20 05:45:00
81.97,81.97,81.97,81.97,25.0,2011-10-23 05:45:00
82.65,82.65,82.65,82.65,19.0,2011-10-24 05:45:00
81.18,81.18,79.44,79.84,286.0,2011-10-25 05:45:00
80.65,80.65,80.11,80.11,414.0,2011-10-31 05:45:00
80.11,84.65,80.11,84.65,945.0,2011-11-03 05:45:00
86.25,91.06,86.25,89.31,2495.0,2011-11-06 05:45:00
90.65,90.65,88.38,88.92,1314.0,2011-11-08 05:45:00
88.65,89.31,87.31,87.31,1148.0,2011-11-09 05:45:00
85.71,87.31,85.71,85.98,776.0,2011-11-10 05:45:00
85.98,85.98,85.98,85.98,6.0,2011-11-11 05:45:00
85.57,85.98,84.78,84.78,1062.0,2011-11-13 05:45:00
86.38,86.38,86.38,86.38,221.0,2011-11-14 05:45:00
86.38,87.98,85.18,85.85,2586.0,2011-11-15 05:45:00
87.05,87.05,85.44,85.98,224.0,2011-11-16 05:45:00
85.31,87.18,84.65,87.18,1719.0,2011-11-17 05:45:00
85.57,85.57,84.65,84.65,1410.0,2011-11-20 05:45:00
84.65,85.71,84.65,84.65,368.0,2011-11-21 05:45:00
85.31,85.31,84.38,84.92,1450.0,2011-11-23 05:45:00
84.65,85.57,84.65,84.65,1237.0,2011-11-24 05:45:00
84.65,85.18,84.65,84.65,664.0,2011-11-27 05:45:00
84.65,84.78,84.65,84.65,880.0,2011-11-28 05:45:00
84.65,85.31,84.65,85.31,1560.0,2011-11-29 05:45:00
85.98,85.98,85.98,85.98,27.0,2011-11-30 05:45:00
85.57,85.57,84.78,84.78,1495.0,2011-12-01 05:45:00
85.04,85.44,85.04,85.44,810.0,2011-12-04 05:45:00
85.31,85.85,85.31,85.85,1849.0,2011-12-05 05:45:00
85.31,85.98,83.98,85.04,2473.0,2011-12-06 05:45:00
85.31,86.38,84.65,84.65,612.0,2011-12-07 05:45:00
85.25,85.25,85.25,85.25,43.0,2011-12-11 05:45:00
83.77,83.77,83.77,83.77,99.0,2011-12-12 05:45:00
82.28,83.77,82.28,83.77,45.0,2011-12-13 05:45:00
83.77,85.25,83.77,85.25,49.0,2011-12-14 05:45:00
86.72,86.72,86.72,86.72,15.0,2011-12-15 05:45:00
87.22,87.38,86.07,86.07,97.0,2011-12-20 05:45:00
85.25,85.25,85.25,85.25,74.0,2011-12-21 05:45:00
