open,high,low,close,volume,date
117.14,117.14,116.0,116.0,30.0,2020-02-25 05:45:00
114.86,114.86,114.86,114.86,10.0,2020-02-26 05:45:00
113.71,113.71,111.43,111.43,290.0,2020-03-01 05:45:00
110.29,110.29,110.29,110.29,10.0,2020-03-03 05:45:00
109.14,109.14,104.0,104.0,160.0,2020-03-05 05:45:00
102.86,102.86,98.29,98.29,2130.0,2020-03-11 05:45:00
97.71,97.71,93.14,93.14,1390.0,2020-03-12 05:45:00
92.57,92.57,92.57,92.57,50.0,2020-03-15 05:45:00
92.0,92.0,92.0,92.0,80.0,2020-03-16 05:45:00
91.43,91.43,91.43,91.43,40.0,2020-03-18 05:45:00
90.86,90.86,89.71,89.71,220.0,2020-03-22 05:45:00
92.0,92.57,91.43,92.0,2190.0,2020-06-29 05:45:00
91.43,93.14,91.43,93.14,1800.0,2020-06-30 05:45:00
95.43,96.0,95.43,96.0,70.0,2020-07-01 05:45:00
95.43,95.43,95.43,95.43,10.0,2020-07-02 05:45:00
94.86,94.86,93.71,94.86,350.0,2020-07-05 05:45:00
94.29,94.29,94.29,94.29,70.0,2020-07-06 05:45:00
93.71,93.71,93.71,93.71,100.0,2020-07-07 05:45:00
96.0,96.0,94.29,94.29,190.0,2020-07-08 05:45:00
96.57,97.71,93.71,97.14,6340.0,2020-07-09 05:45:00
99.43,99.43,96.57,98.86,3520.0,2020-07-12 05:45:00
101.14,101.14,98.86,98.86,180.0,2020-07-13 05:45:00
101.14,104.0,98.86,101.14,3800.0,2020-07-14 05:45:00
104.0,106.86,101.14,103.43,3680.0,2020-07-15 05:45:00
102.29,102.29,102.29,102.29,30.0,2020-07-16 05:45:00
101.14,101.14,101.14,101.14,100.0,2020-07-20 05:45:00
100.0,100.0,95.43,95.43,206160.0,2020-07-21 05:45:00
95.43,98.86,92.0,98.29,1910.0,2020-07-22 05:45:00
97.71,97.71,97.71,97.71,20.0,2020-07-23 05:45:00
97.14,101.14,96.57,97.14,11360.0,2020-07-26 05:45:00
96.57,96.57,96.0,96.0,60.0,2020-07-27 05:45:00
95.43,95.43,93.14,94.86,540.0,2020-07-28 05:45:00
97.14,97.71,94.86,94.86,900.0,2020-07-29 05:45:00
94.86,96.57,94.29,94.86,800.0,2020-07-30 05:45:00
94.29,98.86,93.14,98.29,7960.0,2020-08-02 05:45:00
100.57,100.57,97.14,97.14,13940.0,2020-08-03 05:45:00
96.57,96.57,92.0,94.29,1770.0,2020-08-06 05:45:00
93.71,95.43,93.71,93.71,500.0,2020-08-09 05:45:00
93.14,96.0,89.14,95.43,5060.0,2020-08-10 05:45:00
97.71,98.29,96.57,96.57,280.0,2020-08-11 05:45:00
96.0,96.0,94.86,94.86,40.0,2020-08-12 05:45:00
94.29,94.29,92.57,92.57,570.0,2020-08-13 05:45:00
92.0,96.0,92.0,95.43,1080.0,2020-08-16 05:45:00
97.71,97.71,97.14,97.14,100.0,2020-08-17 05:45:00
99.43,99.43,96.0,96.0,200.0,2020-08-18 05:45:00
95.43,95.43,94.29,94.29,220.0,2020-08-19 05:45:00
93.71,94.86,91.43,94.29,1760.0,2020-08-20 05:45:00
96.57,96.57,94.29,95.43,250.0,2020-08-24 05:45:00
97.71,97.71,97.71,97.71,40.0,2020-08-25 05:45:00
97.71,98.86,97.14,98.29,2152.0,2020-08-26 05:45:00
100.57,102.86,93.14,97.14,41140.0,2020-08-27 05:45:00
99.43,99.43,97.71,97.71,40.0,2020-08-30 05:45:00
100.0,100.0,92.57,93.71,13068.0,2020-08-31 05:45:00
96.0,98.29,93.71,98.29,15150.0,2020-09-02 05:45:00
100.57,101.14,95.43,99.43,51010.0,2020-09-03 05:45:00
101.71,101.71,94.29,97.14,13220.0,2020-09-06 05:45:00
99.43,99.43,97.71,97.71,1480.0,2020-09-07 05:45:00
100.0,100.0,94.29,96.57,5840.0,2020-09-08 05:45:00
96.0,96.0,94.29,95.43,4080.0,2020-09-09 05:45:00
97.71,97.71,93.71,94.86,7560.0,2020-09-10 05:45:00
94.29,95.43,93.71,95.43,5010.0,2020-09-13 05:45:00
94.86,98.86,94.29,97.71,11890.0,2020-09-14 05:45:00
98.29,99.43,94.29,97.71,40080.0,2020-09-15 05:45:00
97.14,102.29,93.71,100.0,184325.0,2020-09-16 05:45:00
102.86,105.71,98.86,105.71,435991.0,2020-09-17 05:45:00
108.57,110.29,99.43,99.43,116385.0,2020-09-20 05:45:00
99.43,101.71,98.29,98.29,75870.0,2020-09-21 20:45:00
100.57,100.57,96.0,96.57,38150.0,2020-09-22 20:45:00
98.29,100.0,95.43,96.0,82984.0,2020-09-23 20:45:00
98.29,101.14,98.29,101.14,152597.0,2020-09-24 20:45:00
102.86,106.86,100.0,104.57,1358560.0,2020-09-27 20:45:00
105.71,108.57,103.43,105.14,869603.0,2020-09-28 20:45:00
105.14,110.86,105.14,110.86,930009.0,2020-09-29 20:45:00
113.71,117.14,112.57,117.14,651062.0,2020-09-30 20:45:00
117.14,124.0,113.14,114.29,360149.0,2020-10-01 20:45:00
113.14,114.29,107.43,110.29,725959.0,2020-10-04 20:45:00
113.14,116.57,109.14,115.43,593558.0,2020-10-05 20:45:00
116.57,122.29,115.43,120.57,620970.0,2020-10-06 20:45:00
120.57,128.0,120.0,128.0,752462.0,2020-10-07 20:45:00
129.71,130.86,120.0,124.57,489272.0,2020-10-08 20:45:00
123.43,125.71,118.86,120.57,514551.0,2020-10-11 20:45:00
119.43,122.86,118.86,120.0,205483.0,2020-10-12 20:45:00
120.0,122.86,114.86,117.71,255970.0,2020-10-13 20:45:00
121.14,121.14,113.71,116.0,224477.0,2020-10-14 20:45:00
114.29,118.86,114.29,114.29,140114.0,2020-10-15 20:45:00
115.43,121.14,115.43,121.14,253736.0,2020-10-20 20:45:00
124.57,125.71,120.57,122.86,474192.0,2020-10-21 20:45:00
122.86,124.0,120.57,121.14,235638.0,2020-10-22 20:45:00
122.29,122.29,119.43,121.14,89007.0,2020-10-28 20:45:00
120.57,125.14,120.57,122.86,263536.0,2020-10-29 20:45:00
123.43,126.29,122.29,124.57,411789.0,2020-11-01 20:45:00
128.57,128.57,123.43,124.0,136345.0,2020-11-02 20:45:00
125.14,125.14,122.29,124.0,114057.0,2020-11-03 20:45:00
124.0,125.14,123.43,124.0,141312.0,2020-11-04 20:45:00
125.14,126.86,123.43,126.29,341199.0,2020-11-05 20:45:00
127.43,132.57,126.29,132.0,616319.0,2020-11-08 20:45:00
134.29,134.29,128.57,129.14,392716.0,2020-11-09 20:45:00
130.86,132.57,129.14,130.86,285649.0,2020-11-10 20:45:00
130.86,132.0,129.71,130.29,144374.0,2020-11-11 20:45:00
