open,high,low,close,volume,date
12.63,12.63,12.63,12.63,44710.0,2011-10-24 05:45:00
12.63,12.63,12.63,12.63,29060.0,2011-10-25 05:45:00
12.38,12.38,12.38,12.38,200.0,2011-10-30 05:45:00
12.51,12.63,12.51,12.63,56120.0,2011-10-31 05:45:00
12.63,12.63,12.63,12.63,11180.0,2011-11-03 05:45:00
12.38,12.63,12.38,12.63,9120.0,2011-11-08 05:45:00
12.63,12.63,12.51,12.63,208360.0,2011-11-10 05:45:00
12.63,12.63,12.63,12.63,460.0,2011-11-13 05:45:00
12.63,12.63,12.63,12.63,5020.0,2011-11-16 05:45:00
12.63,12.63,12.63,12.63,13415.0,2011-11-17 05:45:00
12.63,12.63,12.63,12.63,44965.0,2011-11-21 05:45:00
12.63,12.63,12.63,12.63,12180.0,2011-11-22 05:45:00
12.75,12.75,12.75,12.75,145320.0,2011-11-23 05:45:00
12.51,12.51,12.51,12.51,30.0,2011-12-05 05:45:00
12.63,12.63,12.63,12.63,240.0,2011-12-07 05:45:00
12.63,12.63,12.63,12.63,8540.0,2011-12-11 05:45:00
12.63,12.63,12.63,12.63,50.0,2011-12-13 05:45:00
12.63,12.63,12.63,12.63,1550.0,2011-12-14 05:45:00
12.63,12.63,12.63,12.63,50.0,2011-12-18 05:45:00
12.51,12.51,12.51,12.51,20.0,2012-02-07 05:45:00
12.51,12.51,12.51,12.51,40.0,2012-03-20 05:45:00
12.38,12.63,12.38,12.63,5730.0,2012-04-30 05:45:00
12.63,12.63,12.63,12.63,13810.0,2012-07-08 05:45:00
12.63,12.63,12.63,12.63,50.0,2012-07-16 05:45:00
12.51,12.51,12.51,12.51,70.0,2012-08-01 05:45:00
12.63,12.63,12.63,12.63,20.0,2012-09-18 05:45:00
12.38,12.38,12.38,12.38,330.0,2013-02-05 05:45:00
12.25,12.25,12.13,12.13,70.0,2013-05-20 05:45:00
12.25,12.38,12.25,12.38,80.0,2013-07-07 05:45:00
12.51,12.75,12.51,12.63,11240.0,2013-07-08 05:45:00
12.63,12.63,12.63,12.63,310.0,2013-07-09 05:45:00
12.63,12.63,12.63,12.63,609080.0,2013-08-01 05:45:00
12.63,12.63,12.63,12.63,120.0,2013-08-04 05:45:00
12.38,12.38,12.38,12.38,150.0,2013-08-11 05:45:00
12.51,12.51,12.51,12.51,400.0,2013-10-07 05:45:00
12.63,12.63,12.63,12.63,70.0,2013-10-22 05:45:00
12.38,12.38,12.38,12.38,40.0,2013-10-31 05:45:00
12.51,12.51,12.51,12.51,100.0,2013-12-03 05:45:00
12.63,12.63,12.63,12.63,60.0,2014-03-24 05:45:00
12.63,12.63,12.63,12.63,59000.0,2014-03-27 05:45:00
12.63,12.63,12.63,12.63,100.0,2014-04-02 05:45:00
12.88,13.9,12.88,13.9,100.0,2014-04-03 05:45:00
14.15,14.15,14.15,14.15,20.0,2014-04-09 05:45:00
14.4,14.65,14.4,14.65,1020.0,2014-04-17 05:45:00
14.9,14.9,14.9,14.9,100.0,2014-04-23 05:45:00
15.15,15.66,15.15,15.66,400.0,2014-04-27 05:45:00
15.92,16.17,15.92,16.17,1050.0,2014-04-29 05:45:00
16.42,16.93,16.42,16.93,1750.0,2014-05-08 05:45:00
17.17,17.69,17.17,17.69,30.0,2014-06-17 05:45:00
17.94,17.94,17.94,17.94,20.0,2014-06-19 05:45:00
18.19,19.33,18.19,19.33,60.0,2014-06-25 05:45:00
19.7,19.7,19.7,19.7,20.0,2014-07-01 05:45:00
20.08,21.6,20.08,21.6,100.0,2014-07-08 05:45:00
21.98,22.86,21.98,22.86,710.0,2014-07-22 05:45:00
23.25,23.25,23.25,23.25,30.0,2014-07-23 05:45:00
23.62,23.62,23.62,23.62,50.0,2014-08-03 05:45:00
24.0,24.0,24.0,24.0,180.0,2014-08-05 05:45:00
24.38,24.38,24.38,24.38,50.0,2014-08-06 05:45:00
24.38,24.38,24.38,24.38,20.0,2014-08-12 05:45:00
24.75,25.15,24.75,25.15,40.0,2014-08-18 05:45:00
25.15,25.15,25.15,25.15,4470.0,2014-09-01 05:45:00
25.52,26.53,25.52,26.53,60.0,2014-09-09 05:45:00
27.04,27.54,27.04,27.54,70.0,2014-09-28 05:45:00
27.54,27.54,27.54,27.54,500.0,2014-09-29 05:45:00
28.04,28.04,28.04,28.04,30.0,2014-10-13 05:45:00
28.04,28.04,28.04,28.04,20.0,2014-10-30 05:45:00
28.55,29.55,28.55,29.55,60.0,2014-11-02 05:45:00
30.06,30.06,30.06,30.06,60.0,2014-11-04 05:45:00
31.45,31.96,31.45,31.96,20.0,2014-11-06 05:45:00
32.59,33.22,32.59,33.22,1450.0,2014-11-09 05:45:00
35.21,37.17,35.21,37.17,60.0,2014-11-17 05:45:00
37.84,38.49,37.84,38.49,30.0,2014-11-30 05:45:00
39.15,39.15,39.15,39.15,50.0,2014-12-01 05:45:00
39.81,39.81,39.81,39.81,10.0,2014-12-07 05:45:00
40.6,42.17,40.6,42.17,250.0,2014-12-08 05:45:00
42.96,45.33,42.96,45.33,1090.0,2014-12-09 05:45:00
46.11,47.04,46.11,47.04,80.0,2014-12-10 05:45:00
47.95,51.63,47.95,51.63,870.0,2014-12-11 05:45:00
52.55,56.75,52.55,56.75,2450.0,2014-12-14 05:45:00
57.67,59.9,55.7,59.9,240.0,2014-12-15 05:45:00
61.09,61.09,59.9,60.96,190.0,2014-12-16 05:45:00
60.43,60.43,59.78,60.43,310.0,2014-12-17 05:45:00
61.61,63.58,61.61,63.58,180.0,2014-12-18 05:45:00
64.76,64.76,62.15,62.15,1310.0,2014-12-21 05:45:00
60.96,60.96,57.54,57.54,60.0,2014-12-28 05:45:00
56.49,56.49,53.34,53.34,180.0,2015-01-05 05:45:00
52.29,58.6,52.29,58.6,2480.0,2015-01-06 05:45:00
59.65,64.37,59.12,64.37,2210.0,2015-01-07 05:45:00
65.55,70.81,65.55,70.81,1430.0,2015-01-08 05:45:00
72.13,77.78,72.13,77.78,460.0,2015-01-11 05:45:00
79.22,83.95,79.22,83.95,220.0,2015-01-12 05:45:00
85.53,92.23,85.53,92.23,3880.0,2015-01-13 05:45:00
94.06,101.42,94.06,101.42,4125.0,2015-01-14 05:45:00
103.39,107.46,103.39,107.46,30.0,2015-01-19 05:45:00
105.36,105.36,96.83,96.83,70.0,2015-01-22 05:45:00
94.98,94.98,87.24,87.24,1090.0,2015-01-25 05:45:00
85.53,93.94,83.82,90.52,3715.0,2015-01-26 05:45:00
88.81,88.81,87.1,87.49,790.0,2015-01-27 05:45:00
