open,high,low,close,volume,date
456.56,456.56,411.67,411.67,39935.0,2022-08-10 05:45:00
403.53,403.53,379.87,387.21,106384.0,2022-08-11 20:45:00
387.04,387.04,373.24,379.87,18955.0,2022-08-14 20:45:00
385.24,392.95,359.17,389.73,73423.0,2022-08-15 20:45:00
385.24,387.04,369.12,377.99,29833.0,2022-08-16 20:45:00
373.15,388.82,368.22,380.68,19105.0,2022-08-17 20:45:00
385.24,385.24,370.91,374.41,36151.0,2022-08-18 20:45:00
371.8,376.1,370.1,371.8,17196.0,2022-08-21 20:45:00
368.85,386.5,365.63,374.41,11844.0,2022-08-22 20:45:00
373.6,375.39,365.53,367.33,10994.0,2022-08-23 20:45:00
367.33,371.8,365.63,368.94,8711.0,2022-08-24 20:45:00
364.64,370.91,357.47,358.36,26968.0,2022-08-25 20:45:00
358.36,358.36,351.2,351.2,12876.0,2022-08-26 20:45:00
346.72,349.41,335.97,336.06,24649.0,2022-08-28 20:45:00
338.65,344.93,332.39,342.15,10683.0,2022-08-29 20:45:00
348.51,348.51,339.56,343.95,7955.0,2022-08-30 20:45:00
348.96,348.96,331.49,331.49,10845.0,2022-08-31 20:45:00
335.97,364.64,329.25,364.64,143616.0,2022-09-01 20:33:00
371.9,371.9,352.99,355.33,15502.0,2022-09-02 20:45:00
361.05,390.62,358.36,387.93,136843.0,2022-09-04 20:45:00
395.64,403.53,374.49,403.17,107791.0,2022-09-05 20:45:00
395.1,416.6,370.91,378.88,217023.0,2022-09-06 20:45:00
376.29,376.29,360.16,362.04,113241.0,2022-09-07 20:45:00
358.64,377.27,358.36,369.03,324764.0,2022-09-08 20:45:00
374.49,374.49,359.27,364.37,97751.0,2022-09-11 20:45:00
358.81,361.95,357.11,359.27,24198.0,2022-09-12 20:45:00
364.55,364.64,356.58,362.4,95720.0,2022-09-13 20:45:00
358.36,370.46,358.36,369.93,107208.0,2022-09-14 20:45:00
363.83,367.33,344.93,351.2,102070.0,2022-09-15 20:45:00
344.21,363.74,338.65,363.74,22169.0,2022-09-16 20:45:00
356.58,356.58,339.56,344.03,37496.0,2022-09-18 20:45:00
337.76,337.76,328.09,329.7,43519.0,2022-09-20 20:45:00
335.7,335.97,327.99,332.12,21990.0,2022-09-21 20:45:00
330.77,331.58,326.12,327.01,12540.0,2022-09-22 20:45:00
324.32,324.32,316.44,324.05,16852.0,2022-09-25 20:45:00
322.53,334.18,322.53,326.12,14044.0,2022-09-27 20:45:00
326.12,334.62,320.74,322.53,13456.0,2022-09-28 20:45:00
327.01,333.28,321.63,323.43,21240.0,2022-09-29 20:45:00
323.87,340.45,323.43,332.39,16093.0,2022-10-09 20:45:00
338.65,344.93,320.74,322.53,13167.0,2022-10-10 20:45:00
317.43,322.98,317.43,320.74,7037.0,2022-10-11 20:45:00
320.74,331.49,316.26,328.71,46735.0,2022-10-12 20:45:00
324.32,333.2,322.53,327.9,20827.0,2022-10-13 20:45:00
327.9,330.59,321.63,326.12,13343.0,2022-10-16 20:45:00
320.74,327.1,320.74,322.53,6848.0,2022-10-17 20:45:00
318.23,318.23,313.57,315.36,11153.0,2022-10-19 20:45:00
310.88,314.47,309.1,310.88,6445.0,2022-10-20 20:45:00
309.99,318.85,309.45,318.85,12627.0,2022-10-23 20:45:00
313.57,320.65,313.57,320.65,5366.0,2022-10-31 20:45:00
316.26,345.73,313.57,345.73,37852.0,2022-11-01 20:45:00
341.34,349.41,334.62,342.42,38180.0,2022-11-02 20:45:00
335.97,342.24,329.34,334.18,15032.0,2022-11-03 20:45:00
337.67,344.75,335.07,344.03,12242.0,2022-11-06 20:45:00
338.48,352.28,335.07,338.65,31273.0,2022-11-07 20:45:00
334.26,344.03,332.84,340.45,21387.0,2022-11-08 20:45:00
334.26,344.93,321.63,324.32,29947.0,2022-11-09 20:45:00
330.59,330.59,313.57,319.76,19995.0,2022-11-10 20:45:00
325.13,325.13,313.57,320.74,8227.0,2022-11-13 20:45:00
316.26,326.83,314.38,326.12,14649.0,2022-11-14 20:45:00
329.7,331.49,316.98,320.74,5997.0,2022-11-15 20:45:00
322.53,325.76,320.74,322.53,12396.0,2022-11-16 20:45:00
327.01,331.31,322.62,323.16,16148.0,2022-11-17 20:45:00
328.8,329.7,314.55,320.83,6783.0,2022-11-22 20:45:00
318.95,323.6,315.82,317.33,5829.0,2022-11-23 20:45:00
315.36,326.21,314.47,324.23,11146.0,2022-11-24 20:45:00
324.32,337.4,318.05,335.79,130479.0,2022-11-27 20:45:00
338.57,342.15,326.12,333.28,16934.0,2022-11-28 20:45:00
333.28,333.28,320.47,331.49,12295.0,2022-11-29 20:45:00
331.49,331.49,322.53,329.7,7941.0,2022-11-30 20:45:00
328.8,336.24,325.31,331.49,19645.0,2022-12-01 20:45:00
328.8,340.45,328.8,335.97,20608.0,2022-12-04 20:45:00
335.97,339.56,326.65,328.8,19357.0,2022-12-05 20:45:00
327.01,329.61,322.53,328.35,23370.0,2022-12-06 20:45:00
322.71,328.8,322.62,325.67,10910.0,2022-12-07 20:45:00
322.62,326.12,321.63,322.53,6650.0,2022-12-11 20:45:00
328.8,329.7,322.26,329.7,12496.0,2022-12-12 20:45:00
323.7,328.8,323.43,327.01,8360.0,2022-12-13 20:45:00
327.01,327.01,323.43,323.6,11252.0,2022-12-14 20:45:00
321.63,324.95,321.19,324.32,16839.0,2022-12-15 20:45:00
324.32,324.32,315.54,318.05,10626.0,2022-12-18 20:45:00
314.47,323.43,314.47,323.43,12782.0,2022-12-19 20:45:00
329.7,329.7,318.05,322.44,14136.0,2022-12-20 20:45:00
319.13,322.44,319.13,322.44,3952.0,2022-12-21 20:45:00
320.74,321.63,317.24,321.63,10796.0,2022-12-22 20:45:00
327.9,352.99,317.16,352.99,21710.0,2022-12-26 20:45:00
359.98,381.84,341.43,363.74,111577.0,2022-12-27 20:45:00
357.47,364.64,353.89,361.05,32260.0,2022-12-28 20:45:00
357.47,376.29,352.99,373.6,54895.0,2022-12-29 20:45:00
372.71,400.48,365.53,375.39,112155.0,2023-01-01 20:45:00
376.29,398.68,368.76,393.76,56324.0,2023-01-02 20:45:00
387.04,412.12,380.05,399.58,64652.0,2023-01-03 20:45:00
399.13,418.39,391.6,417.5,58092.0,2023-01-04 20:45:00
417.5,424.66,403.17,416.87,157119.0,2023-01-05 20:45:00
412.12,442.4,404.95,425.65,99871.0,2023-01-08 20:45:00
425.56,458.71,425.56,455.93,131055.0,2023-01-09 20:45:00
461.4,470.36,427.35,432.73,109157.0,2023-01-10 20:45:00
424.13,424.13,398.78,401.37,119047.0,2023-01-12 20:45:00
393.4,412.12,389.73,404.95,66077.0,2023-01-17 20:45:00
412.12,413.02,398.78,398.78,58841.0,2023-01-18 20:45:00
394.2,405.85,393.31,402.26,28182.0,2023-01-19 20:45:00
