open,high,low,close,volume,date
228.0,250.8,228.0,250.8,780.0,2022-08-08 05:45:00
255.8,275.8,255.8,275.8,1308.0,2022-08-09 20:45:00
281.3,303.3,281.3,303.3,6250.0,2022-08-10 20:45:00
309.3,333.6,309.3,333.6,74264.0,2022-08-11 20:45:00
340.2,361.0,315.0,316.0,56104.0,2022-08-14 20:45:00
316.0,331.0,305.0,327.0,24430.0,2022-08-15 20:45:00
333.0,335.0,314.0,317.1,28602.0,2022-08-16 20:45:00
315.0,327.0,310.7,325.9,19939.0,2022-08-17 20:45:00
332.4,355.0,322.5,355.0,62134.0,2022-08-18 20:45:00
362.0,362.1,336.0,337.0,25805.0,2022-08-21 20:45:00
334.7,343.7,328.3,335.0,17151.0,2022-08-22 20:45:00
335.0,335.0,326.0,332.0,13919.0,2022-08-23 20:45:00
332.0,339.0,321.0,335.0,23852.0,2022-08-24 20:45:00
328.4,341.0,323.6,329.9,15796.0,2022-08-25 20:45:00
323.4,325.0,318.0,322.0,8989.0,2022-08-26 20:45:00
315.6,318.2,301.0,303.0,24587.0,2022-08-28 20:45:00
297.0,311.1,290.0,300.0,14061.0,2022-08-29 20:45:00
302.0,309.5,296.2,296.2,9010.0,2022-08-30 20:45:00
292.0,297.0,283.0,284.2,11590.0,2022-08-31 20:45:00
280.0,298.0,273.1,288.4,14792.0,2022-09-01 20:33:00
287.0,305.0,280.1,286.0,3700.0,2022-09-02 20:45:00
286.0,293.8,283.0,290.0,4220.0,2022-09-04 20:45:00
285.0,294.0,281.0,288.0,9467.0,2022-09-05 20:45:00
292.7,292.7,274.1,276.1,13184.0,2022-09-06 20:45:00
271.2,279.2,271.2,279.0,7840.0,2022-09-07 20:45:00
284.0,286.0,270.0,285.9,7793.0,2022-09-08 20:45:00
280.2,285.0,276.7,276.7,5596.0,2022-09-11 20:45:00
272.0,275.0,268.1,268.1,5763.0,2022-09-12 20:45:00
273.1,281.0,265.0,270.7,4920.0,2022-09-13 20:45:00
272.0,287.6,272.0,287.6,11922.0,2022-09-14 20:45:00
287.6,290.0,267.2,268.1,14793.0,2022-09-15 20:45:00
262.8,273.0,255.2,261.8,7165.0,2022-09-16 20:45:00
267.0,267.0,248.0,250.1,12680.0,2022-09-18 20:45:00
246.0,246.0,233.1,240.0,9508.0,2022-09-20 20:45:00
242.0,251.7,237.3,239.0,5111.0,2022-09-21 20:45:00
235.0,247.0,225.4,232.5,9066.0,2022-09-22 20:45:00
227.9,231.1,216.7,222.0,5242.0,2022-09-25 20:45:00
218.1,230.9,214.1,218.0,5900.0,2022-09-27 20:45:00
220.0,224.0,217.0,218.0,1892.0,2022-09-28 20:45:00
214.0,226.7,214.0,219.0,1367.0,2022-09-29 20:45:00
219.1,224.5,219.0,223.5,2792.0,2022-10-09 20:45:00
220.0,226.0,216.1,223.9,6755.0,2022-10-10 20:45:00
219.5,223.0,213.8,217.6,3890.0,2022-10-11 20:45:00
215.1,223.0,213.3,222.3,3625.0,2022-10-12 20:45:00
220.0,223.5,216.0,222.0,2440.0,2022-10-13 20:45:00
218.0,222.0,214.0,218.0,4523.0,2022-10-16 20:45:00
215.0,220.0,214.2,220.0,2270.0,2022-10-17 20:45:00
216.0,216.0,211.1,212.9,3581.0,2022-10-19 20:45:00
208.7,211.1,204.9,206.0,3669.0,2022-10-20 20:45:00
202.1,208.9,202.1,208.8,2580.0,2022-10-23 20:45:00
212.9,212.9,206.4,210.0,3400.0,2022-10-31 20:45:00
210.0,220.0,206.0,219.0,11383.0,2022-11-01 20:45:00
