open,high,low,close,volume,date
175.56,187.99,175.56,187.99,29034.0,2016-07-12 05:45:00
190.8,202.02,190.8,202.02,36508.0,2016-07-13 05:45:00
202.02,217.66,198.01,217.66,383111.0,2016-07-14 05:45:00
217.66,234.9,214.04,234.9,279518.0,2016-07-17 05:45:00
234.9,244.91,220.87,226.48,165946.0,2016-07-18 05:45:00
226.48,230.08,212.85,215.25,139774.0,2016-07-19 05:45:00
215.25,217.26,204.43,204.43,107322.0,2016-07-20 05:45:00
205.22,216.46,205.22,208.44,49398.0,2016-07-21 05:45:00
208.44,217.26,206.43,216.46,45118.0,2016-07-25 05:45:00
216.46,224.07,213.25,216.46,53932.0,2016-07-26 05:45:00
216.46,218.45,211.64,214.45,42012.0,2016-07-27 05:45:00
214.45,214.45,210.43,210.84,20633.0,2016-07-28 05:45:00
210.84,212.44,208.44,209.24,30489.0,2016-07-31 05:45:00
209.24,211.24,207.23,207.64,38734.0,2016-08-01 05:45:00
207.64,210.84,204.43,206.43,42066.0,2016-08-02 05:45:00
206.43,208.44,204.43,205.63,40746.0,2016-08-03 05:45:00
205.63,211.24,200.02,200.81,51130.0,2016-08-04 05:45:00
200.81,208.44,200.42,200.42,45554.0,2016-08-07 05:45:00
199.22,199.22,191.99,191.99,29440.0,2016-08-08 05:45:00
194.81,203.23,194.81,202.42,16573.0,2016-08-09 05:45:00
202.42,205.22,198.41,201.22,45740.0,2016-08-10 05:45:00
201.22,201.22,197.61,200.42,34904.0,2016-08-11 05:45:00
200.42,200.42,187.58,189.19,49307.0,2016-08-14 05:45:00
189.19,190.8,179.57,181.98,36829.0,2016-08-15 05:45:00
181.98,186.39,178.76,184.38,36420.0,2016-08-16 05:45:00
184.38,187.2,182.38,186.39,33053.0,2016-08-17 05:45:00
186.39,186.79,181.98,182.79,14759.0,2016-08-21 05:45:00
180.77,180.77,174.76,175.96,30973.0,2016-08-22 05:45:00
175.96,176.37,171.96,174.35,29800.0,2016-08-23 05:45:00
174.35,179.97,174.35,178.38,20017.0,2016-08-24 05:45:00
178.38,182.79,176.37,176.77,16833.0,2016-08-28 05:45:00
176.77,177.97,172.76,174.76,25024.0,2016-08-29 05:45:00
174.76,179.57,174.76,176.77,28564.0,2016-08-30 05:45:00
176.77,177.57,172.36,174.35,18569.0,2016-08-31 05:45:00
174.35,175.56,172.36,174.35,19977.0,2016-09-01 05:45:00
174.35,174.35,171.15,172.36,18682.0,2016-09-04 05:45:00
172.36,173.97,169.15,173.97,20849.0,2016-09-05 05:45:00
173.97,174.76,170.75,172.36,23174.0,2016-09-06 05:45:00
172.36,174.35,169.94,172.76,13664.0,2016-09-07 05:45:00
172.76,175.96,171.15,173.97,22517.0,2016-09-08 05:45:00
173.97,176.37,170.35,170.75,28696.0,2016-09-11 05:45:00
170.75,171.96,168.75,169.56,31672.0,2016-09-12 05:45:00
169.56,169.94,165.53,166.34,33290.0,2016-09-14 05:45:00
166.34,170.35,165.53,166.34,28671.0,2016-09-18 05:45:00
166.34,166.74,163.54,163.94,22726.0,2016-09-20 05:45:00
163.94,165.53,162.33,164.74,29742.0,2016-09-21 05:45:00
164.74,167.14,162.73,164.34,22034.0,2016-09-22 05:45:00
164.34,165.94,159.94,162.33,12975.0,2016-09-25 05:45:00
162.33,164.34,162.33,163.54,20918.0,2016-09-26 05:45:00
163.54,165.53,162.33,164.34,45477.0,2016-09-27 05:45:00
164.34,164.74,162.33,164.74,19123.0,2016-09-28 05:45:00
164.74,165.15,163.14,163.14,24587.0,2016-09-29 05:45:00
163.14,168.35,162.33,167.55,10053.0,2016-10-02 05:45:00
167.55,168.75,164.74,166.34,7688.0,2016-10-03 05:45:00
166.34,167.95,163.14,164.34,12183.0,2016-10-04 05:45:00
164.34,165.94,163.94,164.34,11360.0,2016-10-05 05:45:00
164.34,166.34,163.54,164.34,16601.0,2016-10-06 05:45:00
164.34,165.53,162.33,163.94,16068.0,2016-10-16 05:45:00
163.94,164.34,161.13,163.94,8452.0,2016-10-17 05:45:00
163.94,164.34,160.74,164.34,12086.0,2016-10-18 05:45:00
164.34,165.53,161.93,163.14,20664.0,2016-10-19 05:45:00
163.14,163.94,162.73,163.54,16334.0,2016-10-20 05:45:00
163.54,164.34,161.93,164.34,17264.0,2016-10-23 05:45:00
163.94,163.94,161.53,162.73,6900.0,2016-10-24 05:45:00
162.73,163.94,157.92,161.53,10061.0,2016-10-25 05:45:00
