open,high,low,close,volume,date
115.2,115.2,101.7,103.7,166062.0,2022-08-26 05:45:00
105.5,105.5,98.0,100.0,77430.0,2022-08-28 20:45:00
98.0,104.3,96.5,100.4,16850.0,2022-08-29 20:45:00
102.3,102.3,97.3,100.4,63770.0,2022-08-30 20:45:00
102.4,104.0,97.1,98.2,34940.0,2022-08-31 20:45:00
98.2,106.3,98.0,100.0,120254.0,2022-09-01 20:33:00
101.9,106.8,99.9,105.5,50310.0,2022-09-02 20:45:00
103.4,107.3,103.1,107.3,202424.0,2022-09-04 20:45:00
105.2,108.0,104.1,105.5,76871.0,2022-09-05 20:45:00
104.9,104.9,101.2,101.7,51890.0,2022-09-06 20:45:00
103.7,104.9,100.9,104.5,19640.0,2022-09-07 20:45:00
102.5,103.9,102.0,103.0,3020.0,2022-09-08 20:45:00
104.0,104.0,99.6,100.9,44033.0,2022-09-11 20:45:00
102.0,102.0,99.0,100.0,31060.0,2022-09-12 20:45:00
102.0,102.0,98.4,100.9,13931.0,2022-09-13 20:45:00
100.1,101.2,100.0,100.1,24920.0,2022-09-14 20:45:00
99.5,100.0,96.9,97.3,106477.0,2022-09-15 20:45:00
99.2,99.7,96.2,99.7,17370.0,2022-09-16 20:45:00
97.8,97.8,95.0,97.2,94975.0,2022-09-18 20:45:00
98.9,98.9,95.9,97.5,23710.0,2022-09-20 20:45:00
97.1,98.3,96.6,98.0,18830.0,2022-09-21 20:45:00
99.9,100.2,98.0,98.1,47085.0,2022-09-22 20:45:00
96.2,99.9,96.2,98.0,23922.0,2022-09-25 20:45:00
98.0,99.8,95.5,95.5,86970.0,2022-09-27 20:45:00
97.4,99.0,96.1,96.2,52130.0,2022-09-28 20:45:00
98.0,98.0,95.9,97.4,24084.0,2022-09-29 20:45:00
99.1,99.1,96.9,98.9,12570.0,2022-10-09 20:45:00
98.0,98.8,96.0,97.0,17942.0,2022-10-10 20:45:00
98.0,98.5,97.1,97.1,4287.0,2022-10-11 20:45:00
98.0,98.0,95.6,95.6,9000.0,2022-10-12 20:45:00
97.5,99.0,95.7,95.9,16208.0,2022-10-13 20:45:00
97.0,99.6,96.0,99.0,32751.0,2022-10-16 20:45:00
98.9,99.0,96.7,97.9,14370.0,2022-10-17 20:45:00
97.3,98.8,96.5,96.5,46885.0,2022-10-19 20:45:00
98.0,99.8,97.0,97.2,20603.0,2022-10-20 20:45:00
98.4,98.4,97.5,97.8,4940.0,2022-10-23 20:45:00
98.5,98.5,97.0,97.0,84250.0,2022-10-31 20:45:00
98.8,102.7,97.0,100.0,131464.0,2022-11-01 20:45:00
101.9,103.9,98.0,100.0,102022.0,2022-11-02 20:45:00
100.0,101.0,98.0,98.0,34293.0,2022-11-03 20:45:00
99.9,100.3,98.9,98.9,17942.0,2022-11-06 20:45:00
100.3,100.3,98.2,98.2,34499.0,2022-11-07 20:45:00
97.8,100.1,97.5,99.9,10361.0,2022-11-08 20:45:00
100.4,100.4,96.0,98.0,28704.0,2022-11-09 20:45:00
98.0,98.0,97.0,97.2,6130.0,2022-11-10 20:45:00
98.0,98.0,96.6,96.8,620.0,2022-11-13 20:45:00
98.7,98.7,96.8,97.4,14740.0,2022-11-14 20:45:00
97.4,99.1,97.4,98.9,3530.0,2022-11-15 20:45:00
100.7,100.7,97.0,98.9,3726.0,2022-11-16 20:45:00
100.5,100.5,97.4,98.9,2946.0,2022-11-17 20:45:00
99.0,99.0,97.0,98.7,11640.0,2022-11-22 20:45:00
98.0,98.0,96.9,97.0,7920.0,2022-11-23 20:45:00
97.0,97.9,96.5,97.8,36738.0,2022-11-24 20:45:00
96.8,98.2,96.8,98.0,14210.0,2022-11-27 20:45:00
98.0,98.4,97.2,98.4,5135.0,2022-11-28 20:45:00
98.0,98.4,97.0,97.0,14623.0,2022-11-29 20:45:00
97.0,98.5,97.0,98.2,10411.0,2022-11-30 20:45:00
97.2,98.7,97.2,97.3,16751.0,2022-12-01 20:45:00
98.5,98.5,97.0,98.2,23192.0,2022-12-04 20:45:00
98.3,98.3,96.7,96.9,11592.0,2022-12-05 20:45:00
98.0,98.5,97.9,97.9,4470.0,2022-12-06 20:45:00
98.0,98.0,96.7,96.7,6240.0,2022-12-07 20:45:00
96.6,97.0,96.5,97.0,4300.0,2022-12-11 20:45:00
96.6,96.6,95.8,96.0,10721.0,2022-12-12 20:45:00
97.0,97.4,96.0,96.0,4822.0,2022-12-13 20:45:00
95.3,97.8,95.3,97.6,935.0,2022-12-14 20:45:00
99.5,99.5,97.3,97.3,7980.0,2022-12-15 20:45:00
95.5,97.9,95.5,97.9,23247.0,2022-12-18 20:45:00
98.0,98.1,96.2,96.2,4110.0,2022-12-19 20:45:00
