open,high,low,close,volume,date
87.76,87.76,87.76,87.76,140.0,2011-09-15 05:45:00
87.32,87.32,87.32,87.32,35.0,2012-01-22 05:45:00
86.88,86.88,86.88,86.88,35.0,2012-02-12 05:45:00
86.45,86.45,86.0,86.0,160.0,2012-02-27 05:45:00
85.57,85.57,85.12,85.12,70.0,2012-03-28 05:45:00
84.09,84.09,84.09,84.09,90.0,2012-07-12 05:45:00
83.8,83.8,82.03,82.03,80.0,2012-07-30 05:45:00
81.74,81.74,80.27,80.27,60.0,2012-07-31 05:45:00
79.98,79.98,78.66,78.66,70.0,2013-06-06 05:45:00
78.37,78.37,77.19,77.19,170.0,2013-06-09 05:45:00
77.05,77.05,75.87,75.87,90.0,2013-06-10 05:45:00
75.73,75.73,74.69,74.69,200.0,2013-06-11 05:45:00
74.55,74.55,73.66,73.66,500.0,2013-06-12 05:45:00
73.52,73.52,72.64,72.64,340.0,2013-06-13 05:45:00
72.49,72.49,71.75,71.75,810.0,2013-06-16 05:45:00
71.61,71.61,71.03,71.03,320.0,2013-06-17 05:45:00
70.88,70.88,70.28,70.28,450.0,2013-06-18 05:45:00
70.14,70.14,69.56,69.56,1350.0,2013-06-19 05:45:00
69.56,69.56,69.56,69.56,2050.0,2013-06-20 05:45:00
69.7,70.14,69.7,70.14,100.0,2013-07-02 05:45:00
70.28,70.88,70.28,70.88,1420.0,2013-07-03 05:45:00
70.88,71.46,70.88,71.46,270.0,2013-07-04 05:45:00
71.61,72.04,71.61,72.04,380.0,2013-07-07 05:45:00
72.2,72.2,71.91,71.91,485.0,2013-07-08 05:45:00
72.04,72.2,71.91,72.2,2560.0,2013-07-09 05:45:00
72.34,72.78,72.34,72.78,720.0,2013-07-10 05:45:00
72.92,73.23,72.92,73.08,2340.0,2013-07-11 05:45:00
73.23,73.23,73.23,73.23,60.0,2013-07-14 05:45:00
73.08,73.08,73.08,73.08,210.0,2013-07-15 05:45:00
72.92,72.92,72.78,72.78,170.0,2013-07-17 05:45:00
72.78,72.78,72.78,72.78,20.0,2013-07-18 05:45:00
72.64,72.64,72.64,72.64,350.0,2013-07-21 05:45:00
72.64,72.64,72.64,72.64,280.0,2013-07-28 05:45:00
72.49,72.49,72.34,72.34,150.0,2013-07-29 05:45:00
72.34,72.34,72.34,72.34,50.0,2013-07-30 05:45:00
72.2,72.2,72.04,72.04,190.0,2013-08-01 05:45:00
71.91,71.91,71.91,71.91,80.0,2013-08-15 05:45:00
71.91,72.04,71.75,72.04,320.0,2013-08-20 05:45:00
71.91,71.91,71.75,71.75,190.0,2013-08-25 05:45:00
71.91,71.91,71.91,71.91,240.0,2013-12-05 05:45:00
72.04,72.64,72.04,72.64,1930.0,2013-12-09 05:45:00
72.78,72.92,72.78,72.92,540.0,2013-12-10 05:45:00
73.08,73.81,73.08,73.81,530.0,2013-12-11 05:45:00
73.96,74.1,73.96,74.1,360.0,2013-12-12 05:45:00
74.25,74.69,74.25,74.69,730.0,2013-12-15 05:45:00
74.85,74.85,74.85,74.85,160.0,2013-12-16 05:45:00
74.99,75.13,74.99,75.13,240.0,2013-12-18 05:45:00
75.13,75.27,75.13,75.27,360.0,2013-12-19 05:45:00
75.13,75.13,75.13,75.13,100.0,2013-12-24 05:45:00
75.37,75.37,75.37,75.37,10.0,2016-06-16 05:45:00
75.61,75.61,75.61,75.61,10.0,2016-07-10 05:45:00
75.73,76.26,75.73,76.26,40.0,2016-07-13 05:45:00
76.52,76.75,76.52,76.75,30.0,2016-07-25 05:45:00
76.89,76.89,76.89,76.89,10.0,2016-08-14 05:45:00
77.16,77.92,77.16,77.92,40.0,2016-08-17 05:45:00
78.08,78.08,78.08,78.08,10.0,2016-08-22 05:45:00
78.37,78.66,78.37,78.66,80.0,2016-09-08 05:45:00
