open,high,low,close,volume,date
161.3,177.43,161.3,177.43,70.0,2019-07-08 05:45:00
186.12,194.91,186.12,194.91,2030.0,2019-07-09 05:45:00
204.21,214.03,204.21,214.03,1170.0,2019-07-10 05:45:00
224.38,228.51,204.21,204.73,33978.0,2019-07-11 20:45:00
204.73,205.76,195.43,199.56,9560.0,2019-07-14 20:45:00
198.53,206.28,198.53,203.18,6312.0,2019-07-15 20:45:00
203.18,206.8,202.14,206.8,3470.0,2019-07-16 20:45:00
205.76,205.76,203.69,204.21,3115.0,2019-07-17 20:45:00
204.21,206.8,201.63,203.18,3580.0,2019-07-18 20:45:00
202.14,203.69,201.11,203.18,4220.0,2019-07-21 20:45:00
203.18,203.69,200.59,202.66,2380.0,2019-07-22 20:45:00
206.28,206.8,202.14,203.69,4115.0,2019-07-23 20:45:00
203.69,209.38,203.69,208.86,8278.0,2019-07-24 20:45:00
208.86,208.86,203.18,206.28,4425.0,2019-07-25 20:45:00
209.38,213.52,206.28,212.48,7960.0,2019-07-28 20:45:00
215.07,227.48,211.97,227.48,7883.0,2019-07-29 20:45:00
231.61,240.93,227.48,238.33,16362.0,2019-07-30 20:45:00
240.4,260.04,233.17,258.5,16916.0,2019-07-31 20:45:00
263.67,284.34,251.78,275.56,17210.0,2019-08-01 20:45:00
280.73,284.86,253.83,262.11,14349.0,2019-08-04 20:45:00
263.67,265.21,241.44,243.5,10930.0,2019-08-05 20:45:00
238.85,242.98,226.96,241.95,5996.0,2019-08-06 20:45:00
237.29,259.53,225.92,253.33,8803.0,2019-08-07 20:45:00
250.74,250.74,239.88,246.61,3480.0,2019-08-08 20:45:00
245.05,251.26,235.75,245.05,2700.0,2019-08-11 20:45:00
245.05,255.91,242.98,248.15,5140.0,2019-08-12 20:45:00
248.15,253.33,245.57,248.67,4465.0,2019-08-13 20:45:00
244.54,251.26,244.54,245.57,2635.0,2019-08-14 20:45:00
245.57,250.22,241.95,247.13,1190.0,2019-08-15 20:45:00
237.29,248.15,237.29,245.05,3469.0,2019-08-19 20:45:00
242.98,249.71,241.44,242.98,2380.0,2019-08-20 20:45:00
238.85,242.98,235.23,238.85,5410.0,2019-08-21 20:45:00
241.95,242.98,237.82,240.4,2455.0,2019-08-22 20:45:00
240.4,240.4,234.19,234.19,2820.0,2019-08-25 20:45:00
233.17,237.82,232.65,233.17,3185.0,2019-08-26 20:45:00
228.51,242.47,228.51,236.27,1735.0,2019-08-27 20:45:00
