open,high,low,close,volume,date
423.6,465.92,423.6,465.92,54780.0,2023-08-06 05:45:00
475.2,512.48,475.2,492.8,701803.0,2023-08-07 20:45:00
492.8,495.2,468.0,471.2,299597.0,2023-08-08 20:45:00
478.4,480.56,456.96,477.84,266818.0,2023-08-09 20:45:00
483.2,487.2,466.4,472.0,141998.0,2023-08-10 20:45:00
472.0,476.0,464.0,464.64,182198.0,2023-08-13 20:45:00
455.36,477.44,455.36,471.92,191385.0,2023-08-14 20:45:00
480.0,480.0,464.24,464.8,98939.0,2023-08-15 20:45:00
464.0,468.0,460.16,461.52,103174.0,2023-08-16 20:45:00
460.0,472.0,456.8,466.48,133203.0,2023-08-17 20:45:00
466.4,468.0,462.4,464.0,114230.0,2023-08-20 20:45:00
464.0,466.32,457.68,461.6,101241.0,2023-08-21 20:45:00
453.6,463.2,453.6,460.8,61149.0,2023-08-22 20:45:00
460.0,468.0,459.2,463.28,94254.0,2023-08-23 20:45:00
464.0,472.0,456.0,456.16,85739.0,2023-08-24 20:45:00
456.0,456.0,444.0,444.08,96136.0,2023-08-27 20:44:00
440.88,451.2,440.88,443.6,69132.0,2023-08-28 20:45:00
443.2,446.4,440.0,440.72,58882.0,2023-08-29 20:45:00
438.4,443.2,438.4,439.36,60855.0,2023-08-30 20:45:00
440.0,442.4,432.8,433.04,69096.0,2023-09-03 20:45:00
432.0,447.2,432.0,447.2,96212.0,2023-09-04 20:45:00
447.2,448.0,441.6,445.12,50793.0,2023-09-05 20:45:00
440.88,440.88,435.44,436.4,57647.0,2023-09-07 20:45:00
432.08,439.92,428.48,431.04,72788.0,2023-09-10 20:45:00
422.56,441.6,422.56,440.0,63895.0,2023-09-11 20:44:00
431.68,452.8,431.68,432.96,60371.0,2023-09-12 20:45:00
432.0,444.24,432.0,443.2,70531.0,2023-09-13 20:45:00
442.4,444.0,428.24,428.8,86027.0,2023-09-17 20:45:00
428.0,432.0,424.0,432.0,45272.0,2023-09-18 20:45:00
424.8,432.0,424.8,429.6,42969.0,2023-09-19 20:45:00
432.0,443.2,430.48,434.56,107149.0,2023-09-21 20:45:00
436.0,436.0,424.88,425.2,54688.0,2023-09-24 20:45:00
424.8,431.92,424.08,424.24,45640.0,2023-09-25 20:45:00
428.0,432.64,426.48,430.4,51509.0,2023-09-26 20:45:00
427.2,436.0,424.48,426.0,46183.0,2023-09-27 20:45:00
424.0,424.8,413.04,416.08,68794.0,2023-10-01 20:45:00
412.0,417.6,408.8,411.2,50083.0,2023-10-02 20:45:00
410.4,411.2,404.0,404.8,35796.0,2023-10-03 20:45:00
406.4,414.4,405.6,408.0,44037.0,2023-10-04 20:45:00
405.6,408.4,401.6,402.64,36244.0,2023-10-05 20:45:00
400.0,403.6,387.28,388.8,85829.0,2023-10-08 20:45:00
384.0,395.2,381.84,384.8,42793.0,2023-10-09 20:45:00
384.8,392.0,380.8,381.6,31208.0,2023-10-10 20:45:00
380.0,386.4,378.0,384.16,36280.0,2023-10-11 20:45:00
380.4,386.4,378.48,384.72,50497.0,2023-10-12 20:45:00
378.56,384.0,368.48,373.68,61593.0,2023-10-16 20:45:00
373.68,387.6,370.64,387.6,42542.0,2023-10-17 20:45:00
380.08,395.2,380.08,391.6,49828.0,2023-10-18 20:45:00
391.28,398.08,385.04,388.16,47462.0,2023-10-19 20:45:00
388.0,388.0,375.2,376.16,24923.0,2023-10-29 20:45:00
376.0,376.8,369.2,374.4,15882.0,2023-10-30 20:45:00
372.0,375.2,368.88,369.68,18484.0,2023-10-31 20:45:00
368.48,372.8,367.28,368.0,17431.0,2023-11-01 20:45:00
361.76,379.44,360.0,361.6,27479.0,2023-11-02 20:45:00
356.8,362.4,355.2,361.6,31593.0,2023-11-05 20:45:00
356.88,368.8,356.88,365.44,24440.0,2023-11-06 20:45:00
360.8,374.56,360.8,372.08,30656.0,2023-11-07 20:45:00
372.0,379.2,366.4,375.6,33311.0,2023-11-08 20:45:00
370.4,383.04,370.4,372.08,24362.0,2023-11-09 20:45:00
372.0,383.2,368.08,371.2,24427.0,2023-11-20 20:45:00
376.0,378.4,365.36,366.96,27383.0,2023-11-21 20:45:00
364.0,374.4,360.24,374.16,20892.0,2023-11-22 20:45:00
371.2,393.6,368.16,389.6,55355.0,2023-11-23 20:45:00
392.0,420.0,385.68,417.6,117199.0,2023-11-26 20:45:00
412.0,425.6,406.56,414.4,66185.0,2023-11-27 20:45:00
408.0,419.28,407.2,414.4,58658.0,2023-11-28 20:45:00
414.4,416.0,400.0,402.96,51413.0,2023-11-29 20:45:00
